2085_147971_000000_000000	XVIII	eighteen	false	4.26	27.24	13
2085_147971_000001_000000	AFTER I began to go to the country school, I saw less of the Bohemians.	AFTER I began to go to the country school, I saw less of the Bohemians.	true	27.24	31.21	9
2085_147971_000001_000001	We were sixteen pupils at the sod schoolhouse, and we all came on horseback and brought our dinner.	We were sixteen pupils at the sod schoolhouse, and we all came on horseback and brought our dinner.	true	31.64	37.42	15
2085_147971_000001_000002	My schoolmates were none of them very interesting, but I somehow felt that by making comrades of them I was getting even with Antonia for her indifference.	My schoolmates were none of them very interesting, but I somehow felt that by making comrades of them I was getting even with Antonia for her indifference.	true	37.7	46.06	12
2085_147971_000001_000003	Since the father's death, Ambrosch was more than ever the head of the house and he seemed to direct the feelings as well as the fortunes of his women-folk.	Since the father's death, Ambrosch was more than ever the head of the house and he seemed to direct the feelings as well as the fortunes of his women folk.	true	46.64	55.3	13
2085_147971_000001_000004	Antonia often quoted his opinions to me, and she let me see that she admired him, while she thought of me only as a little boy.	Antonia often quoted his opinions to me, and she let me see that she admired him, while she thought of me only as a little boy.	true	55.55	63.46	11
2085_147971_000001_000005	Before the spring was over, there was a distinct coldness between us and the Shimerdas.	Before the spring was over, there was a distinct coldness between us and the Shimerdas.	true	63.86	68.56	12
2085_147971_000001_000006	It came about in this way.	It came about in this way.	true	68.93	70.69	14
2085_147971_000002_000000	One Sunday I rode over there with Jake to get a horse-collar which Ambrosch had borrowed from him and had not returned.	One Sunday I rode over there with Jake to get a horse collar which Ambrosch had borrowed from him and had not returned.	false	71.33	77.77	12
2085_147971_000002_000001	It was a beautiful blue morning.	It was a beautiful blue morning.	true	78.41	80.14	11
2085_147971_000002_000002	The buffalo-peas were blooming in pink and purple masses along the roadside, and the larks, perched on last year's dried sunflower stalks, were singing straight at the sun, their heads thrown back and their yellow breasts a-quiver.	The buffalo peas were blooming in pink and purple masses along the roadside, and the larks, perched on last year's dried sunflower stalks, were singing straight at the sun, their heads thrown back and their yellow breasts a quiver.	true	80.33	93.43	12
2085_147971_000002_000003	The wind blew about us in warm, sweet gusts.	The wind blew about us in warm, sweet gusts.	true	93.8	97.09	16
2085_147971_000002_000004	We rode slowly, with a pleasant sense of Sunday indolence.	We rode slowly, with a pleasant sense of Sunday indolence.	true	97.22	100.78	9
2085_147971_000003_000000	We found the Shimerdas working just as if it were a week-day.	We found the Shimerdas working just as if it were a week day.	true	101.87	105.13	12
2085_147971_000003_000001	Marek was cleaning out the stable, and Antonia and her mother were making garden, off across the pond in the draw-head.	Marek was cleaning out the stable, and Antonia and her mother were making garden, off across the pond in the draw head.	false	105.65	112.3	10
2085_147971_000003_000002	Ambrosch was up on the windmill tower, oiling the wheel.	Ambrosch was up on the windmill tower, oiling the wheel.	true	112.91	116.2	13
2085_147971_000003_000003	He came down, not very cordially.	He came down, not very cordially.	true	116.42	118.51	15
2085_147971_000003_000004	When Jake asked for the collar, he grunted and scratched his head.	When Jake asked for the collar, he grunted and scratched his head.	false	118.82	122.7	14
2085_147971_000003_000005	The collar belonged to grandfather, of course, and Jake, feeling responsible for it, flared up.	The collar belonged to grandfather, of course, and Jake, feeling responsible for it, flared up.	false	122.7	128.05	15
2085_147971_000004_000000	"Now, don't you say you have n't got it, Ambrosch, because I know you have, and if you ain't a-going to look for it, I will."	"Now, don't you say you have n't got it, Ambrosch, because I know you have, and if you ain't a going to look for it, I will."	false	128.69	135.22	14
2085_147971_000005_000000	Ambrosch shrugged his shoulders and sauntered down the hill toward the stable.	Ambrosch shrugged his shoulders and sauntered down the hill toward the stable.	true	135.98	139.815	9
2085_147971_000005_000001	I could see that it was one of his mean days.	I could see that it was one of his mean days.	true	139.815	142.3	11
2085_147971_000005_000002	Presently he returned, carrying a collar that had been badly used--trampled in the dirt and gnawed by rats until the hair was sticking out of it.	Presently he returned, carrying a collar that had been badly used-trampled in the dirt and gnawed by rats until the hair was sticking out of it.	true	142.7	150.79	13
2085_147971_000006_000000	"This what you want?" he asked surlily.	"This what you want?" he asked surlily.	true	151.37	153.97	12
2085_147971_000007_000000	Jake jumped off his horse.	Jake jumped off his horse.	true	154.52	156.405	14
2085_147971_000007_000001	I saw a wave of red come up under the rough stubble on his face.	I saw a wave of red come up under the rough stubble on his face.	true	156.405	159.88	13
