7240_108066_000000_000000	What was it worked the change?	What was it worked the change?	false	0	3.51	26.604706
7240_108066_000000_000001	Grief and responsibility, nobly met.	Grief and responsibility, nobly met.	false	3.51	5.31	23.997593
7240_108066_000001_000000	-------------------------------------	dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash dash	false	5.31	18.735	25.148184
7240_108066_000002_000000	The church has aureoled and sainted the men and women who have fought the Cosmic Urge.	The church has aureoled and sainted the men and women who have fought the Cosmic Urge.	false	18.735	20.91	25.520157
7240_108066_000002_000001	To do nothing and to be nothing was regarded as a virtue.	To do nothing and to be nothing was regarded as a virtue.	false	20.91	22.53	21.172737
7240_108066_000003_000000	SIMEON STYLITES THE SYRIAN	SIMEON STYLITES THE SYRIAN	false	22.53	25.99	26.649176
7240_108066_000004_000000	The church has aureoled and sainted the men and women who have fought the Cosmic Urge.	The church has aureoled and sainted the men and women who have fought the Cosmic Urge.	true	26.99	34.27	24.346052
7240_108066_000004_000001	To do nothing and to be nothing was regarded as a virtue.	To do nothing and to be nothing was regarded as a virtue.	false	34.58	40.09	28.496922
7240_108066_000005_000000	As the traveler journeys through Southern Italy, Sicily and certain parts of what was Ancient Greece, he will see broken arches, parts of viaducts, and now and again a beautiful column pointing to the sky. All about is the desert, or solitary pastures, and only this white milestone marking the path of the centuries and telling in its own silent, solemn and impressive way of a day that is dead.	As the traveler journeys through Southern Italy, Sicily and certain parts of what was Ancient Greece, he will see broken arches, parts of viaducts, and now and again a beautiful column pointing to the sky. All about is the desert, or solitary pastures, and only this white milestone marking the path of the centuries and telling in its own silent, solemn and impressive way of a day that is dead.	true	41.33	74.59	25.128843
7240_108066_000006_000000	In the Fifth Century a monk called Simeon the Syrian, and known to us as Simeon Stylites, having taken the vow of chastity, poverty and obedience, began to fear greatly lest he might not be true to his pledge.	In the Fifth Century a monk called Simeon the Syrian, and known to us as Simeon Stylites, having taken the vow of chastity, poverty and obedience, began to fear greatly lest he might not be true to his pledge.	false	75.14	93.91	23.024084
7240_108066_000006_000001	And that he might live absolutely beyond reproach, always in public view, free from temptation, and free from the tongue of scandal, he decided to live in the world, and still not be of it.	And that he might live absolutely beyond reproach, always in public view, free from temptation, and free from the tongue of scandal, he decided to live in the world, and still not be of it.	true	94.55	111.34	23.107216
7240_108066_000006_000002	To this end he climbed to the top of a marble column, sixty feet high, and there on the capstone he began to live a life beyond reproach.	To this end he climbed to the top of a marble column, sixty feet high, and there on the capstone he began to live a life beyond reproach.	true	111.83	123.22	25.02272
7240_108066_000007_000000	Simeon was then twenty-four years old.	Simeon was then twenty four years old.	true	123.53	127.51	20.610443
7240_108066_000008_000000	The environment was circumscribed, but there were outlook, sunshine, ventilation--three good things.	The environment was circumscribed, but there were outlook, sunshine, ventilation-three good things.	true	127.91	136.6	26.318848
7240_108066_000008_000001	But beyond these the place had certain disadvantages.	But beyond these the place had certain disadvantages.	true	136.88	140.74	17.601656
7240_108066_000008_000002	The capstone was a little less than three feet square, so Simeon could not lie down.	The capstone was a little less than three feet square, so Simeon could not lie down.	true	141.35	147.91	25.618923
7240_108066_000008_000003	He slept sitting, with his head bowed between his knees, and, indeed, in this posture he passed most of his time.	He slept sitting, with his head bowed between his knees, and, indeed, in this posture he passed most of his time.	true	148.31	157.81	26.10984
7240_108066_000008_000004	Any recklessness in movement, and he would have slipped from his perilous position and been dashed to death upon the stones beneath.	Any recklessness in movement, and he would have slipped from his perilous position and been dashed to death upon the stones beneath.	true	158.27	167.83	23.526945
7240_108066_000009_000000	As the sun arose he stood up, just for a few moments, and held out his arms in greeting, blessing and in prayer.	As the sun arose he stood up, just for a few moments, and held out his arms in greeting, blessing and in prayer.	true	168.44	178.15	21.876448
7240_108066_000009_000001	Three times during the day did he thus stretch his cramped limbs, and pray with his face to the East.	Three times during the day did he thus stretch his cramped limbs, and pray with his face to the East.	true	178.58	186.28	23.70182
7240_108066_000009_000002	At such times, those who stood near shared in his prayers, and went away blessed and refreshed.	At such times, those who stood near shared in his prayers, and went away blessed and refreshed.	true	186.62	194.95	22.455053
7240_108066_000010_000000	How did Simeon get to the top of the column?	How did Simeon get to the top of the column?	true	195.56	198.76	29.453426
7240_108066_000011_000000	Well, his companions at the monastery, a mile away, said he was carried there in the night by a miraculous power; that he went to sleep in his stone cell and awoke on the pillar.	Well, his companions at the monastery, a mile away, said he was carried there in the night by a miraculous power; that he went to sleep in his stone cell and awoke on the pillar.	true	199.28	213.34	22.922064
7240_108066_000011_000001	Other monks said that Simeon had gone to pay his respects to a fair lady, and in wrath God had caught him and placed him on high.	Other monks said that Simeon had gone to pay his respects to a fair lady, and in wrath God had caught him and placed him on high.	true	213.71	224.35	24.74721
7240_108066_000011_000002	The probabilities are, however, Terese, as viewed by an unbeliever, that he shot a line over the column with a bow and arrow and then drew up a rope ladder and ascended with ease.	The probabilities are, however, Terese, as viewed by an unbeliever, that he shot a line over the column with a bow and arrow and then drew up a rope ladder and ascended with ease.	true	224.93	239.65	23.134317
7240_108066_000012_000000	However, in the morning the simple people of the scattered village saw the man on the column.	However, in the morning the simple people of the scattered village saw the man on the column.	true	240.35	247.09	21.744429
7240_108066_000013_000000	All day he stayed there.	All day he stayed there.	true	247.52	249.79	20.929281
7240_108066_000014_000000	And the next day he was still there.	And the next day he was still there.	true	250.07	252.91	25.91674
7240_108066_000015_000000	The days passed, with the scorching heat of the midday sun, and the cool winds of the night.	The days passed, with the scorching heat of the midday sun, and the cool winds of the night.	true	253.46	260.65	24.920923
7240_108066_000016_000000	Still Simeon kept his place.	Still Simeon kept his place.	true	261.08	264.22	26.425093
7240_108066_000017_000000	The rainy season came on.	The rainy season came on.	true	264.92	267.04	20.440336
7240_108066_000017_000001	When the nights were cold and dark, Simeon sat there with bowed head, and drew the folds of his single garment, a black robe, over his face.	When the nights were cold and dark, Simeon sat there with bowed head, and drew the folds of his single garment, a black robe, over his face.	true	267.32	278.62	25.401363
7240_108066_000018_000000	Another season passed; the sun again grew warm, then hot, and the sandstorms raged and blew, when the people below almost lost sight of the man on the column.	Another season passed; the sun again grew warm, then hot, and the sandstorms raged and blew, when the people below almost lost sight of the man on the column.	false	279.23	292.6	23.845156
7240_108066_000018_000001	Some prophesied he would be blown off, but the morning light revealed his form, naked from the waist up, standing with hands outstretched to greet the rising sun.	Some prophesied he would be blown off, but the morning light revealed his form, naked from the waist up, standing with hands outstretched to greet the rising sun	true	293.03	306.31	22.301878
7240_108066_000019_000000	Once each day, as darkness gathered, a monk came with a basket containing a bottle of goat's milk and a little loaf of black bread, and Simeon dropped down a rope and drew up the basket.	Once each day, as darkness gathered, a monk came with a basket containing a bottle of goat's milk and a little loaf of black bread, and Simeon dropped down a rope and drew up the basket.	true	306.8	321.55	26.766947
7240_108066_000020_000000	Simeon never spoke, for words are folly, and to the calls of saint or sinner he made no reply.	Simeon never spoke, for words are folly, and to the calls of saint or sinner he made no reply.	true	322.01	330.79	21.876652
7240_108066_000020_000001	He lived in a perpetual attitude of adoration.	He lived in a perpetual attitude of adoration.	true	331.13	335.38	21.462254
7240_108066_000021_000000	Did he suffer?	Did he suffer?	true	336.02	337.42	22.704008
7240_108066_000021_000001	During those first weeks he must have suffered terribly and horribly.	During those first weeks he must have suffered terribly and horribly.	true	337.79	342.82	23.88183
7240_108066_000021_000002	There was no respite nor rest from the hard surface of the rock, and aching muscles could find no change from the cramped and perilous position.	There was no respite nor rest from the hard surface of the rock, and aching muscles could find no change from the cramped and perilous position.	true	343.19	353.8	22.07076
7240_108066_000021_000003	If he fell, it was damnation for his soul--all were agreed as to this.	If he fell, it was damnation for his soul-all were agreed as to this.	true	354.17	360.73	21.105877
7240_108066_000022_000000	But man's body and mind accommodate themselves to almost any condition.	But man's body and mind accommodate themselves to almost any condition.	true	361.34	367.42	22
7240_108066_000022_000001	One thing at least, Simeon was free from economic responsibilities, free from social cares and intrusion.	One thing at least, Simeon was free from economic responsibilities, free from social cares and intrusion.	true	367.76	377.02	21.266315
7240_108066_000022_000002	Bores with sad stories of unappreciated lives and fond hopes unrealized, never broke in upon his peace.	Bores with sad stories of unappreciated lives and fond hopes unrealized, never broke in upon his peace.	true	377.45	387.19	21.559166
7240_108066_000022_000003	He was not pressed for time.	He was not pressed for time.	true	387.47	389.59	23.24507
7240_108066_000022_000004	No frivolous dame of tarnished fame sought to share with him his perilous perch.	No frivolous dame of tarnished fame sought to share with him his perilous perch.	true	390.41	397.66	25.471405
7240_108066_000022_000005	The people on a slow schedule, ten minutes late, never irritated his temper.	The people on a slow schedule, ten minutes late, never irritated his temper.	true	398.09	404.59	26.162722
7240_108066_000022_000006	His correspondence never got in a heap.	His correspondence never got in a heap.	true	404.84	408.55	26.571865
7240_108066_000023_000000	Simeon kept no track of the days, having no engagements to meet, nor offices to perform, beyond the prayers at morn, midday and night.	Simeon kept no track of the days, having no engagements to meet, nor offices to perform, beyond the prayers at morn, midday and night.	true	408.86	420.94	24.031572
7240_108066_000024_000000	Memory died in him, the hurts became callouses, the world-pain died out of his heart, and to cling became a habit.	Memory died in him, the hurts became callouses, the world pain died out of his heart, and to cling became a habit.	true	421.49	432.25	21.451519
7240_108066_000025_000000	Language was lost in disuse.	Language was lost in disuse.	true	432.74	436.03	21.675283
7240_108066_000026_000000	The food he ate was minimum in quantity; sensation ceased, and the dry, hot winds reduced bodily tissue to a dessicated something called a saint--loved, feared and reverenced for his fortitude.	The food he ate was minimum in quantity; sensation ceased, and the dry, hot winds reduced bodily tissue to a dessicated something called a saint-loved, feared and reverenced for his fortitude.	true	436.7	455.2	21.822245
7240_108066_000027_000000	This pillar, which had once graced the portal of a pagan temple, again became a place of pious pilgrimage, and people flocked to Simeon's rock, so that they might be near when he stretched out his black, bony hands to the East, and the spirit of Almighty God, for a space, hovered close around.	This pillar, which had once graced the portal of a pagan temple, again became a place of pious pilgrimage, and people flocked to Simeon's rock, so that they might be near when he stretched out his black, bony hands to the East, and the spirit of Almighty God, for a space, hovered close around.	true	455.66	479.83	24.516144
7240_108066_000028_000000	So much attention did the abnegation of Simeon attract that various other pillars, marking the ruins of art and greatness gone, in that vicinity, were crowned with pious monks.	So much attention did the abnegation of Simeon attract that various other pillars, marking the ruins of art and greatness gone, in that vicinity, were crowned with pious monks.	true	480.26	495.49	23.4121
7240_108066_000028_000001	The thought of these monks was to show how Christianity had triumphed over heathenism.	The thought of these monks was to show how Christianity had triumphed over heathenism.	true	495.95	502.63	24.728535
7240_108066_000028_000002	Imitators were numerous.	Imitators were numerous.	true	503	505.03	23.956259
7240_108066_000028_000003	About then the Bishops in assembly asked, "Is Simeon sincere?" To test the matter of Simeon's pride, he was ordered to come down from his retreat.	About then the Bishops in assembly asked, "Is Simeon sincere?" To test the matter of Simeon's pride, he was ordered to come down from his retreat.	true	505.46	518.5	23.497816
7240_108066_000029_000000	As to his chastity, there was little doubt, his poverty was beyond question, but how about obedience to his superiors?	As to his chastity, there was little doubt, his poverty was beyond question, but how about obedience to his superiors?	false	518.81	528.97	24.427979
