54_121080_000002_000000	Chapter 62.	Chapter sixty two.
54_121080_000002_000001	Ghosts.	Ghosts.
54_121080_000003_000001	The splendor was within.	The splendor was within.
54_121080_000003_000002	Indeed, almost before the door opened, the scene changed.	Indeed, almost before the door opened, the scene changed.
54_121080_000005_000000	The library was divided into two parts on either side of the wall, and contained upwards of two thousand volumes; one division was entirely devoted to novels, and even the volume which had been published but the day before was to be seen in its place in all the dignity of its red and gold binding.	The library was divided into two parts on either side of the wall, and contained upwards of two thousand volumes; one division was entirely devoted to novels, and even the volume which had been published but the day before was to be seen in its place in all the dignity of its red and gold binding.
54_121080_000005_000001	On the other side of the house, to match with the library, was the conservatory, ornamented with rare flowers, that bloomed in china jars; and in the midst of the greenhouse, marvellous alike to sight and smell, was a billiard-table which looked as if it had been abandoned during the past hour by players who had left the balls on the cloth.	On the other side of the house, to match with the library, was the conservatory, ornamented with rare flowers, that bloomed in china jars; and in the midst of the greenhouse, marvellous alike to sight and smell, was a billiard table which looked as if it had been abandoned during the past hour by players who had left the balls on the cloth.
54_121080_000005_000003	Before this room, to which you could ascend by the grand, and go out by the back staircase, the servants passed with curiosity, and Bertuccio with terror.	Before this room, to which you could ascend by the grand, and go out by the back staircase, the servants passed with curiosity, and Bertuccio with terror.
54_121080_000005_000006	Monte Cristo descended into the courtyard, walked all over the house, without giving any sign of approbation or pleasure, until he entered his bedroom, situated on the opposite side to the closed room; then he approached a little piece of furniture, made of rosewood, which he had noticed at a previous visit.	Monte Cristo descended into the courtyard, walked all over the house, without giving any sign of approbation or pleasure, until he entered his bedroom, situated on the opposite side to the closed room; then he approached a little piece of furniture, made of rosewood, which he had noticed at a previous visit.
54_121080_000005_000007	"That can only be to hold gloves," he said.	"That can only be to hold gloves," he said.
54_121080_000007_000001	At precisely six o'clock the clatter of horses' hoofs was heard at the entrance door; it was our captain of Spahis, who had arrived on Medeah.	At precisely six o'clock the clatter of horses' hoofs was heard at the entrance door; it was our captain of Spahis, who had arrived on Medeah.
54_121080_000007_000003	Julie and Emmanuel have a thousand things to tell you.	Julie and Emmanuel have a thousand things to tell you.
54_121080_000007_000004	Ah, really this is magnificent!	Ah, really this is magnificent!
54_121080_000007_000005	But tell me, count, will your people take care of my horse?"	But tell me, count, will your people take care of my horse?"
