2532_157475_000000_000000	[Illustration: How did the bunny get into this room?]	[Illustration: How did the bunny get into this room?]	false	0	8.52	24.557312
2532_157475_000001_000000	[Illustration: Looking out the window]	[Illustration: Looking out the window]	false	8.52	14.64	22
2532_157475_000002_000000	[Illustration: Raggedy Andy under the quilt]	[Illustration: Raggedy Andy under the quilt]	false	14.64	20.64	27.112207
2532_157475_000003_000000	THE NEW TIN GUTTER	THE NEW TIN GUTTER	true	20.64	22.87	21.968311
2532_157475_000004_000000	All day Saturday the men had worked out upon the eaves of the house and the dolls facing the window could see them.	All day Saturday the men had worked out upon the eaves of the house and the dolls facing the window could see them.	true	23.33	29.62	23.31637
2532_157475_000005_000000	The men made quite a lot of noise with their hammers, for they were putting new gutters around the eaves, and pounding upon tin makes a great deal of noise.	The men made quite a lot of noise with their hammers, for they were putting new gutters around the eaves, and pounding upon tin makes a great deal of noise.	true	29.81	38.56	20
2532_157475_000006_000000	Marcella had not played with the dolls all that day, for she had gone visiting; so when the men hammered and made a lot of noise, the dolls could talk to each other without fear of anyone hearing or knowing they were really talking to each other.	Marcella had not played with the dolls all that day, for she had gone visiting; so when the men hammered and made a lot of noise, the dolls could talk to each other without fear of anyone hearing or knowing they were really talking to each other.	false	38.99	53.32	21
2532_157475_000007_000000	"What are they doing now?" Raggedy Andy asked.	"What are they doing now?" Raggedy Andy asked.	true	53.66	56.77	25.489828
2532_157475_000008_000000	He was lying with his head beneath a little bed quilt, just as Marcella had dropped him when she left the nursery; so he could not see what was going on.	He was lying with his head beneath a little bed quilt, just as Marcella had dropped him when she left the nursery; so he could not see what was going on.	true	57.14	65.62	22
2532_157475_000009_000000	"We can only see the men's legs as they pass the window," answered Uncle Clem.	"We can only see the men's legs as they pass the window," answered Uncle Clem.	true	66.2	70.3	21
2532_157475_000009_000001	"But they are putting new shingles or something on the roof!"	"But they are putting new shingles or something on the roof!"	true	70.52	73.63	20.546858
2532_157475_000010_000000	After the men had left their work and gone home to supper and the house was quiet, Raggedy Andy cautiously moved his head out from under the little bed quilt and, seeing that the coast was clear, sat up.	After the men had left their work and gone home to supper and the house was quiet, Raggedy Andy cautiously moved his head out from under the little bed quilt and, seeing that the coast was clear, sat up.	true	74.3	87.4	22.907112
2532_157475_000011_000000	This was a signal for all the dolls to sit up and smooth out the wrinkles in their clothes.	This was a signal for all the dolls to sit up and smooth out the wrinkles in their clothes.	true	87.47	92.49	21
2532_157475_000012_000000	[Illustration: Lifting the penny dolls]	[Illustration: Lifting the penny dolls]	false	92.49	92.79	100
2532_157475_000013_000000	The nursery window was open; so Raggedy Andy lifted the penny dolls to the sill and climbed up beside them.	The nursery window was open; so Raggedy Andy lifted the penny dolls to the sill and climbed up beside them.	false	92.79	99.33	20.686514
2532_157475_000014_000000	Leaning out, he could look along the new shiny tin gutter the men had put in place.	Leaning out, he could look along the new shiny tin gutter the men had put in place.	true	99.33	104.08	17
2532_157475_000015_000000	"Here's a grand place to have a lovely slide!" he said as he gave one of the penny dolls a scoot down the shiny tin gutter.	"Here's a grand place to have a lovely slide!" he said as he gave one of the penny dolls a scoot down the shiny tin gutter.	true	104.57	111.18	22
2532_157475_000016_000000	"Whee!	"Whee!	false	111.18	112.53	13.675384
2532_157475_000016_000001	See her go!" Raggedy Andy cried.	See her go!" Raggedy Andy cried.	true	112.53	115.06	24.653173
2532_157475_000017_000000	All the other dolls climbed upon the window sill beside him.	All the other dolls climbed upon the window sill beside him.	true	115.28	118.69	25.346258
2532_157475_000018_000000	"Scoot me too!" cried the other little penny doll in her squeeky little voice, and Raggedy Andy took her in his rag hand and gave her a great swing which sent her scooting down the shiny tin gutter, "Kerswish!"	"Scoot me too!" cried the other little penny doll in her squeeky little voice, and Raggedy Andy took her in his rag hand and gave her a great swing which sent her scooting down the shiny tin gutter, "Kerswish!"	false	118.94	132.24	18.813293
2532_157475_000019_000000	Then Raggedy Andy climbed into the gutter himself and, taking a few steps, spread out his feet and went scooting down the shiny tin.	Then Raggedy Andy climbed into the gutter himself and, taking a few steps, spread out his feet and went scooting down the shiny tin.	true	132.24	140.71	22.077795
2532_157475_000020_000000	The other dolls followed his example and scooted along behind him.	The other dolls followed his example and scooted along behind him.	true	140.75	144.87	22.488945
2532_157475_000021_000000	When Raggedy Andy came to the place where he expected to find the penny dolls lying, they were nowhere about.	When Raggedy Andy came to the place where he expected to find the penny dolls lying, they were nowhere about.	true	144.87	151.03	23.21631
2532_157475_000022_000000	"Perhaps you scooted them farther than you thought!" Uncle Clem said.	"Perhaps you scooted them farther than you thought!" Uncle Clem said.	true	151.46	154.99	27.358603
2532_157475_000023_000000	"Perhaps I did!" Raggedy Andy said, "We will look around the bend in the eave!"	"Perhaps I did!" Raggedy Andy said, "We will look around the bend in the eave!"	true	155.45	160.54	25.156122
2532_157475_000024_000000	"Oh dear!" he exclaimed when he had peeped around the corner of the roof, "the gutter ends here and there is nothing but a hole!"	"Oh dear!" he exclaimed when he had peeped around the corner of the roof, "the gutter ends here and there is nothing but a hole!"	true	160.79	168.79	23.558615
2532_157475_000025_000000	"They must have scooted right into the hole," Henny, the Dutch doll said.	"They must have scooted right into the hole," Henny, the Dutch doll said.	true	169.28	173.26	22.575579
2532_157475_000026_000000	Raggedy Andy lay flat upon the shiny tin and looked down into the hole.	Raggedy Andy lay flat upon the shiny tin and looked down into the hole.	true	173.6	177.73	23
2532_157475_000027_000000	"Are you down there, penny dolls?" he called.	"Are you down there, penny dolls?" he called.	true	178.22	181	22.903526
2532_157475_000028_000000	There was no answer.	There was no answer.	true	181.4	182.71	19.619648
