6544_71420_000008_000000	CHAPTER XXIX	CHAPTER twenty nine
6544_71420_000009_000000	A GLASS OF POISON	A GLASS OF POISON
6544_71420_000010_000000	Margaret could do nothing but stare at the man before her.	Margaret could do nothing but stare at the man before her.
6544_71420_000011_000000	"Mr. Styles--" she began, but he put his hand over her mouth.	"mr Styles-" she began, but he put his hand over her mouth.
6544_71420_000012_000000	"You are sick--out of your head," he interrupted.	"You are sick-out of your head," he interrupted.
6544_71420_000012_000001	"I know what is best, and you must do as I say.	"I know what is best, and you must do as I say.
6544_71420_000012_000002	Come on." And he pulled her forward by the hand.	Come on." And he pulled her forward by the hand.
6544_71420_000013_000000	"Where to?"	"Where to?"
6544_71420_000014_000000	"Not very far."	"Not very far."
6544_71420_000015_000000	"I--I do not wish to go to your home."	"I-I do not wish to go to your home."
6544_71420_000016_000000	"I'll not take you there, don't fear."	"I'll not take you there, don't fear."
6544_71420_000017_000000	"You are going to hand me over to the--the authorities."	"You are going to hand me over to the-the authorities."
6544_71420_000018_000000	"Never!	"Never!
6544_71420_000018_000001	Come.	Come.
6544_71420_000018_000002	I won't hurt you."	I won't hurt you."
6544_71420_000019_000000	He led the way through the woods, across a small stream and past a spot where some wild berries grew.	He led the way through the woods, across a small stream and past a spot where some wild berries grew.
6544_71420_000019_000001	Then they struck a trail leading up a hillside.	Then they struck a trail leading up a hillside.
6544_71420_000019_000002	The place was new to her.	The place was new to her.
6544_71420_000020_000000	"I want to know where you are taking me," she said presently, and came to a halt.	"I want to know where you are taking me," she said presently, and came to a halt.
6544_71420_000021_000000	"To a place where you will be safe."	"To a place where you will be safe."
6544_71420_000022_000000	"That isn't answering the question."	"That isn't answering the question."
6544_71420_000023_000001	Cannot you trust me, girl?	Cannot you trust me, girl?
6544_71420_000023_000002	I'm not going to hurt you.	I'm not going to hurt you.
6544_71420_000023_000003	I love you, and I'll do all I can to help you.	I love you, and I'll do all I can to help you.
6544_71420_000023_000004	Come!" And again he made her move on.	Come!" And again he made her move on.
6544_71420_000024_000000	At last they came in sight of a tumbled-down cottage on the edge of what had once been a clearing, but which was now overgrown with weeds and brushwood.	At last they came in sight of a tumbled down cottage on the edge of what had once been a clearing, but which was now overgrown with weeds and brushwood.
6544_71420_000024_000001	As they came up, Margaret's strength gave out, and suddenly she sank down on her knees.	As they came up, Margaret's strength gave out, and suddenly she sank down on her knees.
6544_71420_000025_000000	"All in, are you?" he said, not unkindly, and, stooping, he picked her up bodily.	"All in, are you?" he said, not unkindly, and, stooping, he picked her up bodily.
6544_71420_000025_000001	She tried to resist, but could not, and he took her into the cottage and placed her on a couch.	She tried to resist, but could not, and he took her into the cottage and placed her on a couch.
6544_71420_000026_000000	"I'll get you a nurse," he said, noting her extreme paleness.	"I'll get you a nurse," he said, noting her extreme paleness.
6544_71420_000026_000001	"You need one."	"You need one."
6544_71420_000028_000000	"Yes."	"Yes."
6544_71420_000029_000000	"Thank you," she murmured, and then closed her eyes, for she was too far gone to say more, or to make a move.	"Thank you," she murmured, and then closed her eyes, for she was too far gone to say more, or to make a move.
6544_71420_000030_000001	She had administered some sort of drug--what, the girl did not know--and it had put her into a sound sleep.	She had administered some sort of drug-what, the girl did not know-and it had put her into a sound sleep.
6544_71420_000031_000000	When Margaret looked around again, she was surprised to see that it was morning.	When Margaret looked around again, she was surprised to see that it was morning.
6544_71420_000031_000001	She tried to think, but her mind was almost a blank.	She tried to think, but her mind was almost a blank.
6544_71420_000031_000002	Outside of the broken window a wild bird was singing gayly.	Outside of the broken window a wild bird was singing gayly.
6544_71420_000031_000003	She looked around. The old woman was not in sight.	She looked around. The old woman was not in sight.
6544_71420_000032_000000	She had been put to bed, and sat there, trying to think for several minutes.	She had been put to bed, and sat there, trying to think for several minutes.
6544_71420_000032_000001	Then she gave a low call, and the old woman appeared in the doorway.	Then she gave a low call, and the old woman appeared in the doorway.
6544_71420_000034_000000	"Where am I?" asked Margaret feebly.	"Where am I?" asked Margaret feebly.
6544_71420_000035_000000	"You're safe enough, never fear."	"You're safe enough, never fear."
6544_71420_000036_000000	Margaret said no more and the woman went about some little work. Presently the girl arose and dressed herself.	Margaret said no more and the woman went about some little work. Presently the girl arose and dressed herself.
6544_71420_000036_000001	She felt much stronger than when at the home of Martha Sampson, in spite of what she had experienced in running away.	She felt much stronger than when at the home of Martha Sampson, in spite of what she had experienced in running away.
6544_71420_000036_000002	She sank down in a rocking chair, to think matters over.	She sank down in a rocking chair, to think matters over.
6544_71420_000037_000000	How far was she from Sidham?	How far was she from Sidham?
6544_71420_000037_000001	She knew she must have come a long distance, but could not tell if it was five miles or fifty.	She knew she must have come a long distance, but could not tell if it was five miles or fifty.
6544_71420_000037_000002	She looked out of the window, but the scenery was strange to her.	She looked out of the window, but the scenery was strange to her.
6544_71420_000038_000000	As she sat there she reviewed what had passed, her mind becoming clearer as she thought.	As she sat there she reviewed what had passed, her mind becoming clearer as she thought.
6544_71420_000038_000001	She remembered the scene at the inquest, and remembered how she had fainted, and how Raymond had supported her and taken her to the nurse's house.	She remembered the scene at the inquest, and remembered how she had fainted, and how Raymond had supported her and taken her to the nurse's house.
6544_71420_000039_000000	"Poor, dear father," she murmured.	"Poor, dear father," she murmured.
6544_71420_000039_000001	"Who could have been so wicked as to take your life?"	"Who could have been so wicked as to take your life?"
6544_71420_000040_000000	An hour went by, and she prepared to leave the cottage, when a shadow fell across the window, and Matlock Styles appeared.	An hour went by, and she prepared to leave the cottage, when a shadow fell across the window, and Matlock Styles appeared.
6544_71420_000040_000001	He spoke a few low words to the old woman, and the latter walked away.	He spoke a few low words to the old woman, and the latter walked away.
6544_71420_000041_000000	As the man entered the room, Margaret arose and faced him.	As the man entered the room, Margaret arose and faced him.
6544_71420_000041_000001	The Englishman was well dressed, and newly shaven, and wore a rosebud in his buttonhole.	The Englishman was well dressed, and newly shaven, and wore a rosebud in his buttonhole.
