2167_149881_000000_000000	They talked some few minutes on general topics.	They talked some few minutes on general topics.	false	0	1.86	18.650833
2167_149881_000001_000000	"Say," said Drouet, as if struck by a sudden idea, "I want you to come out some evening."	"Say," said Drouet, as if struck by a sudden idea, "I want you to come out some evening."	false	1.86	4.83	17
2167_149881_000002_000000	"Out where?" inquired Hurstwood.	"Out where?" inquired Hurstwood.	false	4.83	5.34	-3
2167_149881_000003_000000	"Out to my house, of course," said Drouet, smiling.	"Out to my house, of course," said Drouet, smiling.	false	5.34	6.48	10
2167_149881_000004_000000	Hurstwood looked up quizzically, the least suggestion of a smile hovering about his lips.	Hurstwood looked up quizzically, the least suggestion of a smile hovering about his lips.	false	6.48	8.28	15
2167_149881_000004_000001	He studied the face of Drouet in his wise way, and then with the demeanour of a gentleman, said: "Certainly; glad to."	He studied the face of Drouet in his wise way, and then with the demeanour of a gentleman, said: "Certainly; glad to."	false	8.28	16.8	19.464344
2167_149881_000005_000000	"We'll have a nice game of euchre."	"We'll have a nice game of euchre."	false	16.8	18.21	17.26188
2167_149881_000006_000000	"May I bring a nice little bottle of Sec?" asked Hurstwood.	"May I bring a nice little bottle of Sec?" asked Hurstwood.	false	18.21	19.11	1
2167_149881_000007_000000	"Certainly," said Drouet.	"Certainly," said Drouet.	false	19.11	19.35	-20
2167_149881_000007_000001	"I'll introduce you."	"I'll introduce you."	false	19.35	19.59	-20
2167_149881_000008_000000	CHAPTER IX	CHAPTER nine	true	19.59	20.74	20.394306
2167_149881_000009_000000	CONVENTION'S OWN TINDER-BOX: THE EYE THAT IS GREEN	CONVENTION'S OWN TINDER BOX: THE EYE THAT IS GREEN	true	20.93	24.97	17
2167_149881_000010_000000	Hurstwood's residence on the North Side, near Lincoln Park, was a brick building of a very popular type then, a three-story affair with the first floor sunk a very little below the level of the street.	Hurstwood's residence on the North Side, near Lincoln Park, was a brick building of a very popular type then, a three story affair with the first floor sunk a very little below the level of the street.	true	25.88	37.18	12
2167_149881_000010_000001	It had a large bay window bulging out from the second floor, and was graced in front by a small grassy plot, twenty-five feet wide and ten feet deep. There was also a small rear yard, walled in by the fences of the neighbours and holding a stable where he kept his horse and trap.	It had a large bay window bulging out from the second floor, and was graced in front by a small grassy plot, twenty five feet wide and ten feet deep. There was also a small rear yard, walled in by the fences of the neighbours and holding a stable where he kept his horse and trap.	true	37.34	55.09	13
2167_149881_000011_000000	The ten rooms of the house were occupied by himself, his wife Julia, and his son and daughter, George, Jr., and Jessica.	The ten rooms of the house were occupied by himself, his wife Julia, and his son and daughter, George junior, and Jessica.	true	55.16	62.8	15
2167_149881_000011_000001	There were besides these a maid-servant, represented from time to time by girls of various extraction, for Mrs. Hurstwood was not always easy to please.	There were besides these a maid servant, represented from time to time by girls of various extraction, for mrs Hurstwood was not always easy to please.	true	63.38	73.03	10
2167_149881_000012_000000	"George, I let Mary go yesterday," was not an unfrequent salutation at the dinner table.	"George, I let Mary go yesterday," was not an unfrequent salutation at the dinner table.	true	73.46	78.67	15
2167_149881_000013_000000	"All right," was his only reply.	"All right," was his only reply.	true	79.34	81.34	16
2167_149881_000013_000001	He had long since wearied of discussing the rancorous subject.	He had long since wearied of discussing the rancorous subject.	true	81.56	85.27	14
2167_149881_000014_000000	A lovely home atmosphere is one of the flowers of the world, than which there is nothing more tender, nothing more delicate, nothing more calculated to make strong and just the natures cradled and nourished within it.	A lovely home atmosphere is one of the flowers of the world, than which there is nothing more tender, nothing more delicate, nothing more calculated to make strong and just the natures cradled and nourished within it.	true	85.61	100.12	15
2167_149881_000014_000001	Those who have never experienced such a beneficent influence will not understand wherefore the tear springs glistening to the eyelids at some strange breath in lovely music.	Those who have never experienced such a beneficent influence will not understand wherefore the tear springs glistening to the eyelids at some strange breath in lovely music.	true	100.43	110.77	13
2167_149881_000014_000002	The mystic chords which bind and thrill the heart of the nation, they will never know.	The mystic chords which bind and thrill the heart of the nation, they will never know.	true	110.84	115.33	12
2167_149881_000015_000000	Hurstwood's residence could scarcely be said to be infused with this home spirit.	Hurstwood's residence could scarcely be said to be infused with this home spirit.	true	115.73	120.13	11
2167_149881_000015_000001	It lacked that toleration and regard without which the home is nothing.	It lacked that toleration and regard without which the home is nothing.	true	120.5	124.27	14
2167_149881_000015_000002	There was fine furniture, arranged as soothingly as the artistic perception of the occupants warranted.	There was fine furniture, arranged as soothingly as the artistic perception of the occupants warranted.	true	124.79	130.51	11
2167_149881_000015_000003	There were soft rugs, rich, upholstered chairs and divans, a grand piano, a marble carving of some unknown Venus by some unknown artist, and a number of small bronzes gathered from heaven knows where, but generally sold by the large furniture houses along with everything else which goes to make the "perfectly appointed house."	There were soft rugs, rich, upholstered chairs and divans, a grand piano, a marble carving of some unknown Venus by some unknown artist, and a number of small bronzes gathered from heaven knows where, but generally sold by the large furniture houses along with everything else which goes to make the "perfectly appointed house."	false	130.61	150.61	10
2167_149881_000016_000000	In the dining-room stood a sideboard laden with glistening decanters and other utilities and ornaments in glass, the arrangement of which could not be questioned.	In the dining room stood a sideboard laden with glistening decanters and other utilities and ornaments in glass, the arrangement of which could not be questioned.	true	151.07	160.45	14
2167_149881_000016_000001	Here was something Hurstwood knew about.	Here was something Hurstwood knew about.	true	160.61	162.64	16
2167_149881_000016_000002	He had studied the subject for years in his business.	He had studied the subject for years in his business.	true	162.77	165.79	11
2167_149881_000016_000003	He took no little satisfaction in telling each Mary, shortly after she arrived, something of what the art of the thing required.	He took no little satisfaction in telling each Mary, shortly after she arrived, something of what the art of the thing required.	false	165.89	173.71	13
2167_149881_000016_000004	He was not garrulous by any means.	He was not garrulous by any means.	true	173.93	176.35	13
2167_149881_000016_000005	On the contrary, there was a fine reserve in his manner toward the entire domestic economy of his life which was all that is comprehended by the popular term, gentlemanly.	On the contrary, there was a fine reserve in his manner toward the entire domestic economy of his life which was all that is comprehended by the popular term, gentlemanly.	true	176.48	186.04	11
2167_149881_000016_000006	He would not argue, he would not talk freely.	He would not argue, he would not talk freely.	true	186.62	189.55	21
2167_149881_000016_000007	In his manner was something of the dogmatist. What he could not correct, he would ignore.	In his manner was something of the dogmatist. What he could not correct, he would ignore.	true	189.59	194.98	17
2167_149881_000016_000008	There was a tendency in him to walk away from the impossible thing.	There was a tendency in him to walk away from the impossible thing.	true	195.23	199.15	10
2167_149881_000017_000000	There was a time when he had been considerably enamoured of his Jessica, especially when he was younger and more confined in his success.	There was a time when he had been considerably enamoured of his Jessica, especially when he was younger and more confined in his success.	true	199.97	208.18	13
2167_149881_000017_000001	Now, however, in her seventeenth year, Jessica had developed a certain amount of reserve and independence which was not inviting to the richest form of parental devotion.	Now, however, in her seventeenth year, Jessica had developed a certain amount of reserve and independence which was not inviting to the richest form of parental devotion.	true	208.4	217.06	8
2167_149881_000017_000002	She was in the high school, and had notions of life which were decidedly those of a patrician.	She was in the high school, and had notions of life which were decidedly those of a patrician.	true	217.28	223.15	13
2167_149881_000017_000003	She liked nice clothes and urged for them constantly.	She liked nice clothes and urged for them constantly.	true	223.58	227.44	14
2167_149881_000017_000004	Thoughts of love and elegant individual establishments were running in her head.	Thoughts of love and elegant individual establishments were running in her head.	true	227.63	231.58	8
2167_149881_000017_000005	She met girls at the high school whose parents were truly rich and whose fathers had standing locally as partners or owners of solid businesses.	She met girls at the high school whose parents were truly rich and whose fathers had standing locally as partners or owners of solid businesses.	true	231.86	239.74	10
2167_149881_000017_000006	These girls gave themselves the airs befitting the thriving domestic establishments from whence they issued.	These girls gave themselves the airs befitting the thriving domestic establishments from whence they issued.	true	240.14	246.4	12
2167_149881_000017_000007	They were the only ones of the school about whom Jessica concerned herself.	They were the only ones of the school about whom Jessica concerned herself.	true	246.65	250.57	12
2167_149881_000018_000000	Young Hurstwood, Jr., was in his twentieth year, and was already connected in a promising capacity with a large real estate firm.	Young Hurstwood junior, was in his twentieth year, and was already connected in a promising capacity with a large real estate firm.	true	251.18	259.18	13
2167_149881_000018_000001	He contributed nothing for the domestic expenses of the family, but was thought to be saving his money to invest in real estate.	He contributed nothing for the domestic expenses of the family, but was thought to be saving his money to invest in real estate.	true	259.49	266.41	11
2167_149881_000018_000002	He had some ability, considerable vanity, and a love of pleasure that had not, as yet, infringed upon his duties, whatever they were.	He had some ability, considerable vanity, and a love of pleasure that had not, as yet, infringed upon his duties, whatever they were.	true	266.75	275.92	15
2167_149881_000018_000003	He came in and went out, pursuing his own plans and fancies, addressing a few words to his mother occasionally, relating some little incident to his father, but for the most part confining himself to those generalities with which most conversation concerns itself.	He came in and went out, pursuing his own plans and fancies, addressing a few words to his mother occasionally, relating some little incident to his father, but for the most part confining himself to those generalities with which most conversation concerns itself.	true	276.41	291.88	11
2167_149881_000018_000004	He was not laying bare his desires for any one to see.	He was not laying bare his desires for any one to see.	true	292.16	295.39	10
2167_149881_000018_000005	He did not find any one in the house who particularly cared to see.	He did not find any one in the house who particularly cared to see.	true	295.7	299.71	13
2167_149881_000019_000000	Mrs. Hurstwood was the type of the woman who has ever endeavoured to shine and has been more or less chagrined at the evidences of superior capability in this direction elsewhere.	mrs Hurstwood was the type of the woman who has ever endeavoured to shine and has been more or less chagrined at the evidences of superior capability in this direction elsewhere.	false	300.26	309.88	8
2167_149881_000019_000001	Her knowledge of life extended to that little conventional round of society of which she was not--but longed to be--a member.	Her knowledge of life extended to that little conventional round of society of which she was not-but longed to be-a member.	true	310.31	317.53	11
2167_149881_000019_000002	She was not without realisation already that this thing was impossible, so far as she was concerned.	She was not without realisation already that this thing was impossible, so far as she was concerned.	true	318.02	323.41	12
2167_149881_000019_000003	For her daughter, she hoped better things.	For her daughter, she hoped better things.	true	323.42	325.93	18
2167_149881_000019_000004	Through Jessica she might rise a little.	Through Jessica she might rise a little.	true	326.39	328.41	14
2167_149881_000019_000005	Through George, Jr.'s, possible success she might draw to herself the privilege of pointing proudly.	Through George junior's, possible success she might draw to herself the privilege of pointing proudly.	false	328.41	334.75	12
2167_149881_000019_000006	Even Hurstwood was doing well enough, and she was anxious that his small real estate adventures should prosper.	Even Hurstwood was doing well enough, and she was anxious that his small real estate adventures should prosper.	true	335.03	340.54	11
2167_149881_000019_000007	His property holdings, as yet, were rather small, but his income was pleasing and his position with Fitzgerald and Moy was fixed.	His property holdings, as yet, were rather small, but his income was pleasing and his position with Fitzgerald and Moy was fixed.	false	340.88	347.65	10
2167_149881_000019_000008	Both those gentlemen were on pleasant and rather informal terms with him.	Both those gentlemen were on pleasant and rather informal terms with him.	true	348.02	352.03	12
2167_149881_000020_000000	The atmosphere which such personalities would create must be apparent to all.	The atmosphere which such personalities would create must be apparent to all.	true	352.46	356.71	12
2167_149881_000020_000001	It worked out in a thousand little conversations, all of which were of the same calibre.	It worked out in a thousand little conversations, all of which were of the same calibre.	true	357.05	361.72	9
2167_149881_000021_000000	"I'm going up to Fox Lake to-morrow," announced George, Jr., at the dinner table one Friday evening.	"I'm going up to Fox Lake to morrow," announced George junior, at the dinner table one Friday evening.	false	362.24	367.03	9
2167_149881_000022_000000	"What's going on up there?" queried Mrs. Hurstwood.	"What's going on up there?" queried mrs Hurstwood.	true	367.55	370.27	14
2167_149881_000023_000000	"Eddie Fahrway's got a new steam launch, and he wants me to come up and see how it works."	"Eddie Fahrway's got a new steam launch, and he wants me to come up and see how it works."	true	370.91	375.73	12
2167_149881_000024_000000	"How much did it cost him?" asked his mother.	"How much did it cost him?" asked his mother.	true	376.49	378.42	14
2167_149881_000025_000000	"Oh, over two thousand dollars.	"Oh, over two thousand dollars.	false	378.42	380.79	15.2369175
2167_149881_000025_000001	He says it's a dandy."	He says it's a dandy."	true	380.79	382.03	16
2167_149881_000026_000000	"Old Fahrway must be making money," put in Hurstwood.	"Old Fahrway must be making money," put in Hurstwood.	true	382.64	385.81	16
2167_149881_000027_000000	"He is, I guess.	"He is, I guess.	true	386.45	387.885	15
2167_149881_000027_000001	Jack told me they were shipping Vega-cura to Australia now--said they sent a whole box to Cape Town last week."	Jack told me they were shipping Vega cura to Australia now-said they sent a whole box to Cape Town last week."	true	387.885	394.78	14
2167_149881_000028_000000	"Just think of that!" said Mrs. Hurstwood, "and only four years ago they had that basement in Madison Street."	"Just think of that!" said mrs Hurstwood, "and only four years ago they had that basement in Madison Street."	true	395.27	401.29	15
2167_149881_000029_000000	"Jack told me they were going to put up a six-story building next spring in Robey Street."	"Jack told me they were going to put up a six story building next spring in Robey Street."	true	401.36	405.54	15
2167_149881_000030_000000	"Just think of that!" said Jessica.	"Just think of that!" said Jessica.	true	405.54	408.01	20.350922
2167_149881_000031_000000	On this particular occasion Hurstwood wished to leave early.	On this particular occasion Hurstwood wished to leave early.	true	408.5	411.64	15
2167_149881_000032_000000	"I guess I'll be going down town," he remarked, rising.	"I guess I'll be going down town," he remarked, rising.	true	412.04	414.88	14
2167_149881_000033_000000	"Are we going to McVickar's Monday?" questioned Mrs. Hurstwood, without rising.	"Are we going to McVickar's Monday?" questioned mrs Hurstwood, without rising.	true	415.7	419.44	14
2167_149881_000034_000000	"Yes," he said indifferently.	"Yes," he said indifferently.	true	419.96	421.72	17
2167_149881_000035_000000	They went on dining, while he went upstairs for his hat and coat. Presently the door clicked.	They went on dining, while he went upstairs for his hat and coat. Presently the door clicked.	true	422.39	427.66	17.974997
2167_149881_000036_000000	"I guess papa's gone," said Jessica.	"I guess papa's gone," said Jessica.	true	428.09	430.18	16
2167_149881_000037_000000	The latter's school news was of a particular stripe.	The latter's school news was of a particular stripe.	true	430.73	433.66	16
2167_149881_000038_000000	"They're going to give a performance in the Lyceum, upstairs," she reported one day, "and I'm going to be in it."	"They're going to give a performance in the Lyceum, upstairs," she reported one day, "and I'm going to be in it."	true	434.18	438.91	11
2167_149881_000039_000000	"Are you?" said her mother.	"Are you?" said her mother.	true	439.19	440.53	17
2167_149881_000040_000000	"Yes, and I'll have to have a new dress.	"Yes, and I'll have to have a new dress.	true	440.87	443.14	12
2167_149881_000040_000001	Some of the nicest girls in the school are going to be in it.	Some of the nicest girls in the school are going to be in it.	true	443.15	445.99	11
2167_149881_000040_000002	Miss Palmer is going to take the part of Portia."	Miss Palmer is going to take the part of Portia."	true	446.03	448.84	16
2167_149881_000041_000000	"Is she?" said Mrs. Hurstwood.	"Is she?" said mrs Hurstwood.	true	449.15	451.24	15.026011
2167_149881_000042_000000	"They've got that Martha Griswold in it again.	"They've got that Martha Griswold in it again.	true	451.7	453.75	12
2167_149881_000042_000001	She thinks she can act."	She thinks she can act."	true	453.75	455.22	16
2167_149881_000043_000000	"Her family doesn't amount to anything, does it?" said Mrs. Hurstwood sympathetically.	"Her family doesn't amount to anything, does it?" said mrs Hurstwood sympathetically.	false	455.22	459.52	16
2167_149881_000043_000001	"They haven't anything, have they?"	"They haven't anything, have they?"	true	459.71	461.41	14.381231
2167_149881_000044_000000	"No," returned Jessica, "they're poor as church mice."	"No," returned Jessica, "they're poor as church mice."	true	462.56	465.7	13
2167_149881_000045_000000	She distinguished very carefully between the young boys of the school, many of whom were attracted by her beauty.	She distinguished very carefully between the young boys of the school, many of whom were attracted by her beauty.	true	466.37	471.37	7
2167_149881_000046_000000	"What do you think?" she remarked to her mother one evening; "that Herbert Crane tried to make friends with me."	"What do you think?" she remarked to her mother one evening; "that Herbert Crane tried to make friends with me."	true	471.89	477.88	18
2167_149881_000047_000000	"Who is he, my dear?" inquired Mrs. Hurstwood.	"Who is he, my dear?" inquired mrs Hurstwood.	true	478.19	480.82	15
2167_149881_000048_000000	"Oh, no one," said Jessica, pursing her pretty lips.	"Oh, no one," said Jessica, pursing her pretty lips.	true	481.01	484.24	14
2167_149881_000048_000001	"He's just a student there.	"He's just a student there.	true	484.25	485.43	13
2167_149881_000048_000002	He hasn't anything."	He hasn't anything."	true	485.43	486.67	13
2167_149881_000049_000000	The other half of this picture came when young Blyford, son of Blyford, the soap manufacturer, walked home with her.	The other half of this picture came when young Blyford, son of Blyford, the soap manufacturer, walked home with her.	true	487.04	494.08	14
2167_149881_000049_000001	Mrs. Hurstwood was on the third floor, sitting in a rocking-chair reading, and happened to look out at the time.	mrs Hurstwood was on the third floor, sitting in a rocking chair reading, and happened to look out at the time.	true	494.51	499.99	12
2167_149881_000050_000000	"Who was that with you, Jessica?" she inquired, as Jessica came upstairs.	"Who was that with you, Jessica?" she inquired, as Jessica came upstairs.	true	500.66	504.58	15
2167_149881_000051_000000	"It's Mr. Blyford, mamma," she replied.	"It's mr Blyford, mamma," she replied.	true	505.37	507.94	19.01532
2167_149881_000052_000000	"Is it?" said Mrs. Hurstwood.	"Is it?" said mrs Hurstwood.	true	508.16	510.43	20.154747
2167_149881_000053_000000	"Yes, and he wants me to stroll over into the park with him," explained Jessica, a little flushed with running up the stairs.	"Yes, and he wants me to stroll over into the park with him," explained Jessica, a little flushed with running up the stairs.	true	510.62	516.97	15
2167_149881_000054_000000	"All right, my dear," said Mrs. Hurstwood.	"All right, my dear," said mrs Hurstwood.	true	517.64	519.645	13
2167_149881_000054_000001	"Don't be gone long."	"Don't be gone long."	true	519.645	520.81	16
2167_149881_000055_000000	As the two went down the street, she glanced interestedly out of the window.	As the two went down the street, she glanced interestedly out of the window.	false	521.51	525.7	13
2167_149881_000055_000001	It was a most satisfactory spectacle indeed, most satisfactory.	It was a most satisfactory spectacle indeed, most satisfactory.	true	525.95	530.14	16
2167_149881_000056_000000	In this atmosphere Hurstwood had moved for a number of years, not thinking deeply concerning it.	In this atmosphere Hurstwood had moved for a number of years, not thinking deeply concerning it.	true	530.93	536.2	14
