1678_142279_000000_000000	They were startled by hearing Mrs. Hale inquiring for her daughter.	They were startled by hearing mrs Hale inquiring for her daughter.	false	0	7.35	20.22995
1678_142279_000000_000001	They started asunder in the full consciousness of all that was before them. Mr. Hale hurriedly said--'Go, Margaret, go.	They started asunder in the full consciousness of all that was before them. mr Hale hurriedly said-'Go, Margaret, go.	false	7.35	16.23	22.07864
1678_142279_000000_000002	I shall be out all to-morrow.	I shall be out all to morrow.	false	16.23	19.08	23.533373
1678_142279_000000_000003	Before night you will have told your mother.'	Before night you will have told your mother.'	false	19.08	22.32	20.651205
1678_142279_000001_000000	'Yes,' she replied, and she returned to the drawing-room in a stunned and dizzy state.	'Yes,' she replied, and she returned to the drawing room in a stunned and dizzy state.	false	22.32	26.37	20.239397
1678_142279_000002_000000	CHAPTER V	CHAPTER five	true	26.37	28.12	22.025873
1678_142279_000003_000000	DECISION	DECISION	true	28.94	30.07	18.096558
1678_142279_000004_000000	'I ask Thee for a thoughtful love, Through constant watching wise, To meet the glad with joyful smiles, And to wipe the weeping eyes; And a heart at leisure from itself To soothe and sympathise.' ANON.	'I ask Thee for a thoughtful love, Through constant watching wise, To meet the glad with joyful smiles, And to wipe the weeping eyes; And a heart at leisure from itself To soothe and sympathise.' ANON.	false	32.03	50.25	21.862064
1678_142279_000005_000000	Margaret made a good listener to all her mother's little plans for adding some small comforts to the lot of the poorer parishioners.	Margaret made a good listener to all her mother's little plans for adding some small comforts to the lot of the poorer parishioners.	true	50.25	58.06	23.332504
1678_142279_000005_000001	She could not help listening, though each new project was a stab to her heart.	She could not help listening, though each new project was a stab to her heart.	true	58.58	63.61	24.593805
1678_142279_000005_000002	By the time the frost had set in, they should be far away from Helstone.	By the time the frost had set in, they should be far away from Helstone.	true	64.13	68.08	23
1678_142279_000005_000003	Old Simon's rheumatism might be bad and his eyesight worse; there would be no one to go and read to him, and comfort him with little porringers of broth and good red flannel: or if there was, it would be a stranger, and the old man would watch in vain for her.	Old Simon's rheumatism might be bad and his eyesight worse; there would be no one to go and read to him, and comfort him with little porringers of broth and good red flannel: or if there was, it would be a stranger, and the old man would watch in vain for her.	true	68.45	84.94	23.129076
1678_142279_000005_000004	Mary Domville's little crippled boy would crawl in vain to the door and look for her coming through the forest.	Mary Domville's little crippled boy would crawl in vain to the door and look for her coming through the forest.	true	85.37	90.7	23
1678_142279_000005_000005	These poor friends would never understand why she had forsaken them; and there were many others besides.	These poor friends would never understand why she had forsaken them; and there were many others besides.	true	91.19	98.445	24.613205
