323_126408_000000_000000	Cyril tightened his belt ostentatiously.	Cyril tightened his belt ostentatiously.	false	3.78	9.48	16.170746
323_126408_000000_000001	Jane burst into tears.	Jane burst into tears.	false	9.48	21.375	18.397821
323_126408_000001_000000	CHAPTER 7 A SIEGE AND BED	CHAPTER seven A SIEGE AND BED	true	21.375	25.33	19.129047
323_126408_000002_000000	The children were sitting in the gloomy banqueting-hall, at the end of one of the long bare wooden tables.	The children were sitting in the gloomy banqueting hall, at the end of one of the long bare wooden tables.	true	27.8	34.63	13
323_126408_000002_000001	There was now no hope.	There was now no hope.	true	35.09	37.75	16.5319
323_126408_000002_000002	Martha had brought in the dinner, and the dinner was invisible, and unfeelable too; for, when they rubbed their hands along the table, they knew but too well that for them there was nothing there BUT table.	Martha had brought in the dinner, and the dinner was invisible, and unfeelable too; for, when they rubbed their hands along the table, they knew but too well that for them there was nothing there BUT table.	false	38.18	52.78	17.193604
323_126408_000003_000000	Suddenly Cyril felt in his pocket.	Suddenly Cyril felt in his pocket.	true	53.72	56.41	19
323_126408_000004_000000	'Right, oh!' he cried.	'Right, oh!' he cried.	true	56.66	57.885	18.615503
323_126408_000004_000001	'Look here!	'Look here!	true	57.885	58.32	26
323_126408_000004_000002	Biscuits.'	Biscuits.'	true	58.32	59.05	27.170258
323_126408_000005_000000	Rather broken and crumbled, certainly, but still biscuits.	Rather broken and crumbled, certainly, but still biscuits.	true	59.84	63.67	21.05488
323_126408_000005_000001	Three whole ones, and a generous handful of crumbs and fragments.	Three whole ones, and a generous handful of crumbs and fragments.	true	64.13	68.2	18
323_126408_000006_000000	'I got them this morning - cook - and I'd quite forgotten,' he explained as he divided them with scrupulous fairness into four heaps.	'I got them this morning — cook — and I'd quite forgotten,' he explained as he divided them with scrupulous fairness into four heaps.	true	68.78	77.47	20.449858
323_126408_000007_000000	They were eaten in a happy silence, though they tasted a little oddly, because they had been in Cyril's pocket all the morning with a hank of tarred twine, some green fir-cones, and a ball of cobbler's wax.	They were eaten in a happy silence, though they tasted a little oddly, because they had been in Cyril's pocket all the morning with a hank of tarred twine, some green fir cones, and a ball of cobbler's wax.	false	78.65	90.55	16
323_126408_000008_000000	'Yes, but look here, Squirrel,' said Robert; 'you're so clever at explaining about invisibleness and all that.	'Yes, but look here, Squirrel,' said Robert; 'you're so clever at explaining about invisibleness and all that.	true	91.94	98.08	21.73682
323_126408_000008_000001	How is it the biscuits are here, and all the bread and meat and things have disappeared?'	How is it the biscuits are here, and all the bread and meat and things have disappeared?'	true	98.51	103.21	19
323_126408_000009_000000	'I don't know,' said Cyril after a pause, 'unless it's because WE had them.	'I don't know,' said Cyril after a pause, 'unless it's because WE had them.	true	104.6	109.93	18.732468
323_126408_000009_000001	Nothing about us has changed.	Nothing about us has changed.	false	110.48	112.41	19
323_126408_000009_000002	Everything's in my pocket all right.'	Everything's in my pocket all right.'	false	112.41	114.73	20
323_126408_000010_000000	'Then if we HAD the mutton it would be real,' said Robert. 'Oh, don't I wish we could find it!'	'Then if we HAD the mutton it would be real,' said Robert. 'Oh, don't I wish we could find it!'	true	116.18	121.75	21.27263
323_126408_000011_000000	'But we can't find it.	'But we can't find it.	true	122.93	124.27	18
323_126408_000011_000001	I suppose it isn't ours till we've got it in our mouths.'	I suppose it isn't ours till we've got it in our mouths.'	true	124.55	127.96	16
323_126408_000012_000000	'Or in our pockets,' said Jane, thinking of the biscuits.	'Or in our pockets,' said Jane, thinking of the biscuits.	false	128.75	131.85	18.183039
323_126408_000013_000000	'Who puts mutton in their pockets, goose-girl?' said Cyril. 'But I know - at any rate, I'll try it!'	'Who puts mutton in their pockets, goose girl?' said Cyril. 'But I know — at any rate, I'll try it!'	false	131.85	140.56	19.6145
323_126408_000014_000000	He leaned over the table with his face about an inch from it, and kept opening and shutting his mouth as if he were taking bites out of air.	He leaned over the table with his face about an inch from it, and kept opening and shutting his mouth as if he were taking bites out of air.	false	141.14	149.26	15
323_126408_000015_000000	'It's no good,' said Robert in deep dejection.	'It's no good,' said Robert in deep dejection.	true	150.23	152.83	17
323_126408_000015_000001	'You'll only - Hullo!'	'You'll only — Hullo!'	true	152.93	154.93	17.54495
323_126408_000016_000000	Cyril stood up with a grin of triumph, holding a square piece of bread in his mouth.	Cyril stood up with a grin of triumph, holding a square piece of bread in his mouth.	true	155.54	161.35	19
323_126408_000016_000001	It was quite real.	It was quite real.	true	161.42	163.15	19.30865
323_126408_000016_000002	Everyone saw it.	Everyone saw it.	true	163.31	164.56	16
323_126408_000016_000003	It is true that, directly he bit a piece off, the rest vanished; but it was all right, because he knew he had it in his hand though he could neither see nor feel it.	It is true that, directly he bit a piece off, the rest vanished; but it was all right, because he knew he had it in his hand though he could neither see nor feel it.	true	165.44	175	20
323_126408_000016_000004	He took another bite from the air between his fingers, and it turned into bread as he bit.	He took another bite from the air between his fingers, and it turned into bread as he bit.	true	175.58	180.64	17
323_126408_000016_000005	The next moment all the others were following his example, and opening and shutting their mouths an inch or so from the bare-looking table.	The next moment all the others were following his example, and opening and shutting their mouths an inch or so from the bare looking table.	true	181.22	187.45	12
323_126408_000016_000006	Robert captured a slice of mutton, and - but I think I will draw a veil over the rest of this painful scene.	Robert captured a slice of mutton, and — but I think I will draw a veil over the rest of this painful scene.	false	187.76	197.83	18.915403
323_126408_000016_000007	It is enough to say that they all had enough mutton, and that when Martha came to change the plates she said she had never seen such a mess in all her born days.	It is enough to say that they all had enough mutton, and that when Martha came to change the plates she said she had never seen such a mess in all her born days.	true	198.26	209.8	19.958345
323_126408_000017_000000	The pudding was, fortunately, a plain suet roly-poly, and in answer to Martha's questions the children all with one accord said that they would NOT have treacle on it - nor jam, nor sugar - 'Just plain, please,' they said.	The pudding was, fortunately, a plain suet roly poly, and in answer to Martha's questions the children all with one accord said that they would NOT have treacle on it — nor jam, nor sugar - 'Just plain, please,' they said.	false	211.1	227.23	18.650324
323_126408_000017_000001	Martha said, 'Well, I never - what next, I wonder!' and went away.	Martha said, 'Well, I never — what next, I wonder!' and went away.	true	227.42	231.88	17.922518
323_126408_000018_000000	Then ensued another scene on which I will not dwell, for nobody looks nice picking up slices of suet pudding from the table in its mouth, like a dog. The great thing, after all, was that they had had dinner; and now everyone felt more courage to prepare for the attack that was to be delivered before sunset.	Then ensued another scene on which I will not dwell, for nobody looks nice picking up slices of suet pudding from the table in its mouth, like a dog. The great thing, after all, was that they had had dinner; and now everyone felt more courage to prepare for the attack that was to be delivered before sunset.	true	233.3	253.89	18.257532
323_126408_000018_000001	Robert, as captain, insisted on climbing to the top of one of the towers to reconnoitre, so up they all went.	Robert, as captain, insisted on climbing to the top of one of the towers to reconnoitre, so up they all went.	true	253.89	261.46	17.605158
323_126408_000018_000002	And now they could see all round the castle, and could see, too, that beyond the moat, on every side, the tents of the besieging party were pitched.	And now they could see all round the castle, and could see, too, that beyond the moat, on every side, the tents of the besieging party were pitched.	false	261.62	269.38	18
323_126408_000018_000003	Rather uncomfortable shivers ran down the children's backs as they saw that all the men were very busy cleaning or sharpening their arms, re-stringing their bows, and polishing their shields.	Rather uncomfortable shivers ran down the children's backs as they saw that all the men were very busy cleaning or sharpening their arms, re stringing their bows, and polishing their shields.	false	270.35	282.25	14
323_126408_000018_000004	A large party came along the road, with horses dragging along the great trunk of a tree; and Cyril felt quite pale, because he knew this was for a battering-ram.	A large party came along the road, with horses dragging along the great trunk of a tree; and Cyril felt quite pale, because he knew this was for a battering ram.	true	283.97	295.21	16
323_126408_000019_000000	'What a good thing we've got a moat,' he said; 'and what a good thing the drawbridge is up - I should never have known how to work it.'	'What a good thing we've got a moat,' he said; 'and what a good thing the drawbridge is up — I should never have known how to work it.'	true	296.54	304.12	17
323_126408_000020_000000	'Of course it would be up in a besieged castle.'	'Of course it would be up in a besieged castle.'	true	304.79	307.44	18
323_126408_000021_000000	'You'd think there ought to have been soldiers in it, wouldn't you?' said Robert.	'You'd think there ought to have been soldiers in it, wouldn't you?' said Robert.	false	307.44	312.82	18.982044
323_126408_000022_000000	'You see you don't know how long it's been besieged,' said Cyril darkly; 'perhaps most of the brave defenders were killed quite early in the siege and all the provisions eaten, and now there are only a few intrepid survivors - that's us, and we are going to defend it to the death.'	'You see you don't know how long it's been besieged,' said Cyril darkly; 'perhaps most of the brave defenders were killed quite early in the siege and all the provisions eaten, and now there are only a few intrepid survivors — that's us, and we are going to defend it to the death.'	false	314.33	332.74	19.070953
323_126408_000023_000000	'How do you begin - defending to the death, I mean?' asked Anthea.	'How do you begin — defending to the death, I mean?' asked Anthea.	true	334.25	338.86	17.327059
323_126408_000024_000000	'We ought to be heavily armed - and then shoot at them when they advance to the attack.'	'We ought to be heavily armed — and then shoot at them when they advance to the attack.'	true	340.01	344.98	18
323_126408_000025_000000	'They used to pour boiling lead down on besiegers when they got too close,' said Anthea. 'Father showed me the holes on purpose for pouring it down through at Bodiam Castle.	'They used to pour boiling lead down on besiegers when they got too close,' said Anthea. 'Father showed me the holes on purpose for pouring it down through at Bodiam Castle.	false	346.1	356.8	17
323_126408_000025_000001	And there are holes like it in the gate-tower here.'	And there are holes like it in the gate tower here.'	true	357.29	361.39	17.644571
323_126408_000026_000000	'I think I'm glad it's only a game; it IS only a game, isn't it?' said Jane.	'I think I'm glad it's only a game; it IS only a game, isn't it?' said Jane.	true	363.2	367.78	21.577671
