112_123215_000000_000000	Anne glanced over it, then fell to reading it intently.	Anne glanced over it, then fell to reading it intently.	false	0	0.6	21.929792
112_123215_000000_000001	It was a little dialogue between asters and sweet-peas, wild canaries in the lilac bush, and the guardian spirit of the garden.	It was a little dialogue between asters and sweet peas, wild canaries in the lilac bush, and the guardian spirit of the garden.	false	0.6	7.47	14
112_123215_000000_000002	After she had read it, she sat, staring into space; and when Stella had gone she smoothed out the crumpled manuscript.	After she had read it, she sat, staring into space; and when Stella had gone she smoothed out the crumpled manuscript.	false	7.47	12.39	17.899801
112_123215_000001_000000	"I believe I will," she said resolutely.	"I believe I will," she said resolutely.	false	12.39	15.99	15.857406
112_123215_000002_000000	Chapter XXXVI	Chapter thirty six	true	15.99	17.5	16
112_123215_000003_000000	The Gardners'Call	The Gardners'Call	true	17.81	20.26	15.865879
112_123215_000004_000000	"Here is a letter with an Indian stamp for you, Aunt Jimsie," said Phil. "Here are three for Stella, and two for Pris, and a glorious fat one for me from Jo.	"Here is a letter with an Indian stamp for you, Aunt Jimsie," said Phil. "Here are three for Stella, and two for Pris, and a glorious fat one for me from Jo.	true	20.36	29.05	17
112_123215_000004_000001	There's nothing for you, Anne, except a circular."	There's nothing for you, Anne, except a circular."	true	29.42	31.69	14
112_123215_000005_000000	Nobody noticed Anne's flush as she took the thin letter Phil tossed her carelessly.	Nobody noticed Anne's flush as she took the thin letter Phil tossed her carelessly.	true	32.39	37.21	14
112_123215_000005_000001	But a few minutes later Phil looked up to see a transfigured Anne.	But a few minutes later Phil looked up to see a transfigured Anne.	true	37.52	41.41	14
112_123215_000006_000000	"Honey, what good thing has happened?"	"Honey, what good thing has happened?"	true	41.84	43.66	19.67053
112_123215_000007_000000	"The Youth's Friend has accepted a little sketch I sent them a fortnight ago," said Anne, trying hard to speak as if she were accustomed to having sketches accepted every mail, but not quite succeeding.	"The Youth's Friend has accepted a little sketch I sent them a fortnight ago," said Anne, trying hard to speak as if she were accustomed to having sketches accepted every mail, but not quite succeeding.	false	44.33	55.2	14
112_123215_000008_000000	"Anne Shirley!	"Anne Shirley!	false	55.2	57.255	16.267872
112_123215_000008_000001	How glorious!	How glorious!	true	57.255	58.3	22
112_123215_000008_000002	What was it?	What was it?	true	58.31	59.22	24.33491
112_123215_000008_000003	When is it to be published? Did they pay you for it?"	When is it to be published? Did they pay you for it?"	true	59.22	62.02	18.634079
112_123215_000009_000000	"Yes; they've sent a check for ten dollars, and the editor writes that he would like to see more of my work.	"Yes; they've sent a check for ten dollars, and the editor writes that he would like to see more of my work.	false	62.42	68.89	17.895876
112_123215_000009_000001	Dear man, he shall.	Dear man, he shall.	true	69.26	70.72	18
112_123215_000009_000002	It was an old sketch I found in my box.	It was an old sketch I found in my box.	true	71.27	73.68	15
112_123215_000009_000003	I re-wrote it and sent it in--but I never really thought it could be accepted because it had no plot," said Anne, recalling the bitter experience of Averil's Atonement.	I re wrote it and sent it in-but I never really thought it could be accepted because it had no plot," said Anne, recalling the bitter experience of Averil's Atonement.	false	73.68	83.23	17
112_123215_000010_000000	"What are you going to do with that ten dollars, Anne?	"What are you going to do with that ten dollars, Anne?	false	84.26	86.7	17.915297
112_123215_000010_000001	Let's all go up town and get drunk," suggested Phil.	Let's all go up town and get drunk," suggested Phil.	false	86.7	90.31	22
112_123215_000011_000000	"I AM going to squander it in a wild soulless revel of some sort," declared Anne gaily.	"I a m going to squander it in a wild soulless revel of some sort," declared Anne gaily.	false	90.95	95.77	14
112_123215_000011_000001	"At all events it isn't tainted money--like the check I got for that horrible Reliable Baking Powder story.	"At all events it isn't tainted money-like the check I got for that horrible Reliable Baking Powder story.	true	95.9	102.16	17
112_123215_000011_000002	I spent IT usefully for clothes and hated them every time I put them on."	I spent i t usefully for clothes and hated them every time I put them on."	false	102.68	107.08	17
112_123215_000012_000000	"Think of having a real live author at Patty's Place," said Priscilla.	"Think of having a real live author at Patty's Place," said Priscilla.	true	108.38	112.06	17
