4290_7622_000001_000000	CHAPTER X--THE KITE	CHAPTER ten-THE KITE
4290_7622_000002_000000	On the following day, a little after four o'clock, Adam set out for Mercy.	On the following day, a little after four o'clock, Adam set out for Mercy.
4290_7622_000003_000000	He was home just as the clocks were striking six.	He was home just as the clocks were striking six.
4290_7622_000003_000001	He was pale and upset, but otherwise looked strong and alert.	He was pale and upset, but otherwise looked strong and alert.
4290_7622_000003_000002	The old man summed up his appearance and manner thus: "Braced up for battle."	The old man summed up his appearance and manner thus: "Braced up for battle."
4290_7622_000004_000000	"Now!" said Sir Nathaniel, and settled down to listen, looking at Adam steadily and listening attentively that he might miss nothing--even the inflection of a word.	"Now!" said Sir Nathaniel, and settled down to listen, looking at Adam steadily and listening attentively that he might miss nothing-even the inflection of a word.
4290_7622_000005_000000	"I found Lilla and Mimi at home.	"I found Lilla and Mimi at home.
4290_7622_000005_000001	Watford had been detained by business on the farm.	Watford had been detained by business on the farm.
4290_7622_000005_000002	Miss Watford received me as kindly as before; Mimi, too, seemed glad to see me.	Miss Watford received me as kindly as before; Mimi, too, seemed glad to see me.
4290_7622_000005_000004	He was followed closely by the negro, who was puffing hard as if he had been running--so it was probably he who watched.	He was followed closely by the negro, who was puffing hard as if he had been running-so it was probably he who watched.
4290_7622_000005_000006	However, we got on very well.	However, we got on very well.
4290_7622_000005_000007	He talked pleasantly on all sorts of questions.	He talked pleasantly on all sorts of questions.
4290_7622_000005_000010	True, they seemed to be very deep and earnest, but there was no offence in them.	True, they seemed to be very deep and earnest, but there was no offence in them.
4290_7622_000005_000011	Had it not been for the drawing down of the brows and the stern set of the jaws, I should not at first have noticed anything.	Had it not been for the drawing down of the brows and the stern set of the jaws, I should not at first have noticed anything.
4290_7622_000005_000012	But the stare, when presently it began, increased in intensity.	But the stare, when presently it began, increased in intensity.
4290_7622_000005_000013	I could see that Lilla began to suffer from nervousness, as on the first occasion; but she carried herself bravely.	I could see that Lilla began to suffer from nervousness, as on the first occasion; but she carried herself bravely.
4290_7622_000005_000014	However, the more nervous she grew, the harder Mr. Caswall stared.	However, the more nervous she grew, the harder mr Caswall stared.
4290_7622_000005_000015	It was evident to me that he had come prepared for some sort of mesmeric or hypnotic battle.	It was evident to me that he had come prepared for some sort of mesmeric or hypnotic battle.
4290_7622_000005_000017	It was evidently intended to give some sign to the negro, for he came, in his usual stealthy way, quietly in by the hall door, which was open.	It was evidently intended to give some sign to the negro, for he came, in his usual stealthy way, quietly in by the hall door, which was open.
4290_7622_000005_000018	Then Mr. Caswall's efforts at staring became intensified, and poor Lilla's nervousness grew greater.	Then mr Caswall's efforts at staring became intensified, and poor Lilla's nervousness grew greater.
4290_7622_000005_000020	This evidently made a difficulty for Mr. Caswall, for his efforts, without appearing to get feebler, seemed less effective.	This evidently made a difficulty for mr Caswall, for his efforts, without appearing to get feebler, seemed less effective.
4290_7622_000005_000022	Then there was a diversion.	Then there was a diversion.
4290_7622_000005_000024	I had seen her coming through the great window.	I had seen her coming through the great window.
4290_7622_000005_000025	Without a word she crossed the room and stood beside Mr. Caswall.	Without a word she crossed the room and stood beside mr Caswall.
4290_7622_000005_000026	It really was very like a fight of a peculiar kind; and the longer it was sustained the more earnest--the fiercer--it grew. That combination of forces--the over-lord, the white woman, and the black man--would have cost some--probably all of them--their lives in the Southern States of America.	It really was very like a fight of a peculiar kind; and the longer it was sustained the more earnest-the fiercer-it grew. That combination of forces-the over lord, the white woman, and the black man-would have cost some-probably all of them-their lives in the Southern States of America.
4290_7622_000005_000027	To us it was simply horrible.	To us it was simply horrible.
4290_7622_000005_000028	But all that you can understand.	But all that you can understand.
4290_7622_000005_000029	This time, to go on in sporting phrase, it was understood by all to be a 'fight to a finish,' and the mixed group did not slacken a moment or relax their efforts.	This time, to go on in sporting phrase, it was understood by all to be a 'fight to a finish,' and the mixed group did not slacken a moment or relax their efforts.
4290_7622_000005_000031	She grew pale--a patchy pallor, which meant that her nerves were out of order.	She grew pale-a patchy pallor, which meant that her nerves were out of order.
4290_7622_000005_000032	She trembled like an aspen, and though she struggled bravely, I noticed that her legs would hardly support her.	She trembled like an aspen, and though she struggled bravely, I noticed that her legs would hardly support her.
4290_7622_000005_000033	A dozen times she seemed about to collapse in a faint, but each time, on catching sight of Mimi's eyes, she made a fresh struggle and pulled through.	A dozen times she seemed about to collapse in a faint, but each time, on catching sight of Mimi's eyes, she made a fresh struggle and pulled through.
4290_7622_000006_000000	"By now Mr. Caswall's face had lost its appearance of passivity.	"By now mr Caswall's face had lost its appearance of passivity.
