3703_71550_000000_000000	This had been in the early days spoken of.	This had been in the early days spoken of.	false	4.56	8.25	24.513939
3703_71550_000001_000000	CHAPTER XXXVI	CHAPTER thirty six	true	8.25	9.82	27
3703_71550_000002_000000	Harrowby and the rest did not carry on their War Work in the slice of a house.	Harrowby and the rest did not carry on their War Work in the slice of a house.	false	10.34	16.03	23
3703_71550_000002_000001	It was of an order requiring a more serious atmosphere.	It was of an order requiring a more serious atmosphere.	true	16.55	20.92	22
3703_71550_000002_000002	Feather saw even the Starling less and less.	Feather saw even the Starling less and less.	false	21.62	24.82	21.564117
3703_71550_000003_000000	"Since the Dowager took her up she's far too grand for the likes of us," she said.	"Since the Dowager took her up she's far too grand for the likes of us," she said.	true	24.89	30.91	23.076393
3703_71550_000004_000000	So to speak, Feather blew about from one place to another.	So to speak, Feather blew about from one place to another.	true	31.25	35.38	27
3703_71550_000004_000001	She had never found life so exciting and excitement had become more vitally necessary to her existence as the years had passed.	She had never found life so exciting and excitement had become more vitally necessary to her existence as the years had passed.	true	35.84	45.43	23
3703_71550_000004_000002	She still looked extraordinarily youthful and if her face was at times rather marvelous in its white and red, and her lips daring in their pomegranate scarlet, the fine grain of her skin aided her effects and she was dazzlingly in the fashion.	She still looked extraordinarily youthful and if her face was at times rather marvelous in its white and red, and her lips daring in their pomegranate scarlet, the fine grain of her skin aided her effects and she was dazzlingly in the fashion.	true	46.58	64.09	22
3703_71550_000004_000003	She had never worn such enchanting clothes and never had seemed to possess so many.	She had never worn such enchanting clothes and never had seemed to possess so many.	true	64.28	70.57	21.051231
3703_71550_000005_000000	"I twist my rags together myself," she used to laugh.	"I twist my rags together myself," she used to laugh.	false	71.84	76.335	23.483435
3703_71550_000005_000001	"That's my gift. Helene says I have genius.	"That's my gift. Helene says I have genius.	true	76.335	80.71	21.46874
3703_71550_000005_000002	I don't mean that I sit and sew.	I don't mean that I sit and sew.	false	81.17	83.73	23.14291
3703_71550_000005_000003	I have a little slave woman who does that by the day.	I have a little slave woman who does that by the day.	true	83.73	86.89	21
3703_71550_000005_000004	She admires me and will do anything that I tell her.	She admires me and will do anything that I tell her.	true	87.35	90.705	20.949976
3703_71550_000005_000005	Things are so delightfully scant and short now that you can cut two or three frocks out of one of your old petticoats--and mine were never very old."	Things are so delightfully scant and short now that you can cut two or three frocks out of one of your old petticoats-and mine were never very old."	true	90.705	101.2	23.821264
3703_71550_000006_000000	There was probably a modicum of truth in this--the fact remained that the garments which were more scant and shorter than those of any other feathery person were also more numerous and exquisite.	There was probably a modicum of truth in this-the fact remained that the garments which were more scant and shorter than those of any other feathery person were also more numerous and exquisite.	true	102.05	114.52	23
3703_71550_000006_000001	Her patriotic entertainment of soldiers who required her special order of support and recreation was fast and furious.	Her patriotic entertainment of soldiers who required her special order of support and recreation was fast and furious.	true	115.61	124.87	23.55545
3703_71550_000006_000002	She danced with them at cabarets; she danced as a nymph for patriotic entertainments, with snow-white bare feet and legs and a swathing of Spring woodland green tulle and leaves and primroses.	She danced with them at cabarets; she danced as a nymph for patriotic entertainments, with snow white bare feet and legs and a swathing of Spring woodland green tulle and leaves and primroses.	false	125.42	140.32	23.922693
3703_71550_000006_000003	She was such a success that important personages smiled on her and asked her to appear under undreamed of auspices.	She was such a success that important personages smiled on her and asked her to appear under undreamed of auspices.	true	140.87	149.83	23
3703_71550_000006_000004	Secretly triumphant though she was, she never so far lost her head as to do anything which would bore her or cause her to appear at less than an alluring advantage.	Secretly triumphant though she was, she never so far lost her head as to do anything which would bore her or cause her to appear at less than an alluring advantage.	true	151.37	163.78	22.481052
3703_71550_000006_000005	When she could invent a particularly unique and inspiring shred of a garment to startle the public with, she danced for some noble object and intoxicated herself with the dazzle of light and applause.	When she could invent a particularly unique and inspiring shred of a garment to startle the public with, she danced for some noble object and intoxicated herself with the dazzle of light and applause.	false	163.97	179.05	23.76366
3703_71550_000006_000006	She found herself strung to her highest pitch of excitement by the air raids, which in the midst of their terrors had the singular effect of exciting many people and filling them with an insane recklessness.	She found herself strung to her highest pitch of excitement by the air raids, which in the midst of their terrors had the singular effect of exciting many people and filling them with an insane recklessness.	true	179.54	194.23	23.118551
3703_71550_000006_000007	Those so excited somehow seemed to feel themselves immune. Feather chattered about "Zepps" as if bombs could only wreak their vengeance upon coast towns and the lower orders.	Those so excited somehow seemed to feel themselves immune. Feather chattered about "Zepps" as if bombs could only wreak their vengeance upon coast towns and the lower orders.	true	195.38	208.36	23.82987
3703_71550_000007_000000	When Lord Coombe definitely refused to allow her to fit up the roof of the slice of a house as a sort of luxurious Royal Box from which she and her friends might watch the spectacle, she found among her circle acquaintances who shared her thrills and had prepared places for themselves.	When Lord Coombe definitely refused to allow her to fit up the roof of the slice of a house as a sort of luxurious Royal Box from which she and her friends might watch the spectacle, she found among her circle acquaintances who shared her thrills and had prepared places for themselves.	true	208.94	229.45	22.965359
3703_71550_000007_000001	Sometimes she was even rather indecently exhilarated by her sense of high adventure.	Sometimes she was even rather indecently exhilarated by her sense of high adventure.	true	229.58	236.32	23.746155
3703_71550_000007_000002	The fact was that the excitement of the seething world about her had overstrung her trivial being and turned her light head until it whirled too fast.	The fact was that the excitement of the seething world about her had overstrung her trivial being and turned her light head until it whirled too fast.	true	236.57	248.62	24.172499
3703_71550_000008_000000	"It may seem horrid to say so and I'm not horrid--but I _like_ the war. You know what I mean.	"It may seem horrid to say so and I'm not horrid-but I underscore like underscore the war. You know what I mean.	false	248.87	256.45	20.939919
3703_71550_000008_000001	London never was so thrilling--with things happening every minute--and all sorts of silly solemn fads swept away so that one can do as one likes.	London never was so thrilling-with things happening every minute-and all sorts of silly solemn fads swept away so that one can do as one likes.	false	256.52	268.39	22.010366
3703_71550_000008_000002	And interesting heroic men coming and going in swarms and being so grateful for kindness and entertainment. One is really doing good all the time--and being adored for it.	And interesting heroic men coming and going in swarms and being so grateful for kindness and entertainment. One is really doing good all the time-and being adored for it.	true	269.15	283.78	22.430937
3703_71550_000008_000003	I own I like being adored myself--and of course one likes doing good.	I own I like being adored myself-and of course one likes doing good.	true	284.18	290.68	22.362787
3703_71550_000008_000004	I never was so happy in my life."	I never was so happy in my life."	true	290.81	293.41	21.546268
3703_71550_000009_000000	"I used to be rather a coward, I suppose," she chattered gaily on another occasion.	"I used to be rather a coward, I suppose," she chattered gaily on another occasion.	true	293.9	300.28	22.919802
3703_71550_000009_000001	"I was horribly afraid of things.	"I was horribly afraid of things.	true	300.5	302.71	19.584538
3703_71550_000009_000002	I believe the War and living among soldiers has had an effect on me and made me braver. The Zepps don't frighten me at all--at least they excite me so that they make me forget to be frightened.	I believe the War and living among soldiers has had an effect on me and made me braver. The Zepps don't frighten me at all-at least they excite me so that they make me forget to be frightened.	true	302.87	316.45	23.072294
3703_71550_000009_000003	I don't know what they do to me exactly.	I don't know what they do to me exactly.	true	317.3	320.11	26.851397
