303_123506_000002_000000	CHAPTER VIII	CHAPTER eight
303_123506_000003_000000	A FAIR CAPTIVE FROM THE SKY	A FAIR CAPTIVE FROM THE SKY
303_123506_000004_000000	The third day after the incubator ceremony we set forth toward home, but scarcely had the head of the procession debouched into the open ground before the city than orders were given for an immediate and hasty return.	The third day after the incubator ceremony we set forth toward home, but scarcely had the head of the procession debouched into the open ground before the city than orders were given for an immediate and hasty return.
303_123506_000004_000001	As though trained for years in this particular evolution, the green Martians melted like mist into the spacious doorways of the nearby buildings, until, in less than three minutes, the entire cavalcade of chariots, mastodons and mounted warriors was nowhere to be seen.	As though trained for years in this particular evolution, the green Martians melted like mist into the spacious doorways of the nearby buildings, until, in less than three minutes, the entire cavalcade of chariots, mastodons and mounted warriors was nowhere to be seen.
303_123506_000005_000000	Sola and I had entered a building upon the front of the city, in fact, the same one in which I had had my encounter with the apes, and, wishing to see what had caused the sudden retreat, I mounted to an upper floor and peered from the window out over the valley and the hills beyond; and there I saw the cause of their sudden scurrying to cover.	Sola and I had entered a building upon the front of the city, in fact, the same one in which I had had my encounter with the apes, and, wishing to see what had caused the sudden retreat, I mounted to an upper floor and peered from the window out over the valley and the hills beyond; and there I saw the cause of their sudden scurrying to cover.
303_123506_000005_000001	A huge craft, long, low, and gray-painted, swung slowly over the crest of the nearest hill.	A huge craft, long, low, and gray painted, swung slowly over the crest of the nearest hill.
303_123506_000005_000002	Following it came another, and another, and another, until twenty of them, swinging low above the ground, sailed slowly and majestically toward us.	Following it came another, and another, and another, until twenty of them, swinging low above the ground, sailed slowly and majestically toward us.
303_123506_000006_000001	I could see figures crowding the forward decks and upper works of the air craft.	I could see figures crowding the forward decks and upper works of the air craft.
303_123506_000006_000002	Whether they had discovered us or simply were looking at the deserted city I could not say, but in any event they received a rude reception, for suddenly and without warning the green Martian warriors fired a terrific volley from the windows of the buildings facing the little valley across which the great ships were so peacefully advancing.	Whether they had discovered us or simply were looking at the deserted city I could not say, but in any event they received a rude reception, for suddenly and without warning the green Martian warriors fired a terrific volley from the windows of the buildings facing the little valley across which the great ships were so peacefully advancing.
303_123506_000008_000000	The fire from the vessels was most ineffectual, owing, as I afterward learned, to the unexpected suddenness of the first volley, which caught the ship's crews entirely unprepared and the sighting apparatus of the guns unprotected from the deadly aim of our warriors.	The fire from the vessels was most ineffectual, owing, as I afterward learned, to the unexpected suddenness of the first volley, which caught the ship's crews entirely unprepared and the sighting apparatus of the guns unprotected from the deadly aim of our warriors.
303_123506_000010_000000	Twenty minutes after the first volley the great fleet swung trailing off in the direction from which it had first appeared.	Twenty minutes after the first volley the great fleet swung trailing off in the direction from which it had first appeared.
303_123506_000010_000001	Several of the craft were limping perceptibly, and seemed but barely under the control of their depleted crews.	Several of the craft were limping perceptibly, and seemed but barely under the control of their depleted crews.
303_123506_000011_000000	One by one, however, the ships managed to dip below the crests of the outlying hills until only one barely moving craft was in sight.	One by one, however, the ships managed to dip below the crests of the outlying hills until only one barely moving craft was in sight.
303_123506_000011_000002	Slowly she swung from her course, circling back toward us in an erratic and pitiful manner.	Slowly she swung from her course, circling back toward us in an erratic and pitiful manner.
303_123506_000011_000003	Instantly the warriors ceased firing, for it was quite apparent that the vessel was entirely helpless, and, far from being in a position to inflict harm upon us, she could not even control herself sufficiently to escape.	Instantly the warriors ceased firing, for it was quite apparent that the vessel was entirely helpless, and, far from being in a position to inflict harm upon us, she could not even control herself sufficiently to escape.
303_123506_000012_000000	As she neared the city the warriors rushed out upon the plain to meet her, but it was evident that she still was too high for them to hope to reach her decks.	As she neared the city the warriors rushed out upon the plain to meet her, but it was evident that she still was too high for them to hope to reach her decks.
303_123506_000012_000001	From my vantage point in the window I could see the bodies of her crew strewn about, although I could not make out what manner of creatures they might be.	From my vantage point in the window I could see the bodies of her crew strewn about, although I could not make out what manner of creatures they might be.
303_123506_000012_000002	Not a sign of life was manifest upon her as she drifted slowly with the light breeze in a southeasterly direction.	Not a sign of life was manifest upon her as she drifted slowly with the light breeze in a southeasterly direction.
303_123506_000014_000000	As the craft neared the building, and just before she struck, the Martian warriors swarmed upon her from the windows, and with their great spears eased the shock of the collision, and in a few moments they had thrown out grappling hooks and the big boat was being hauled to ground by their fellows below.	As the craft neared the building, and just before she struck, the Martian warriors swarmed upon her from the windows, and with their great spears eased the shock of the collision, and in a few moments they had thrown out grappling hooks and the big boat was being hauled to ground by their fellows below.
303_123506_000015_000000	After making her fast, they swarmed the sides and searched the vessel from stem to stern.	After making her fast, they swarmed the sides and searched the vessel from stem to stern.
303_123506_000015_000001	I could see them examining the dead sailors, evidently for signs of life, and presently a party of them appeared from below dragging a little figure among them.	I could see them examining the dead sailors, evidently for signs of life, and presently a party of them appeared from below dragging a little figure among them.
303_123506_000015_000002	The creature was considerably less than half as tall as the green Martian warriors, and from my balcony I could see that it walked erect upon two legs and surmised that it was some new and strange Martian monstrosity with which I had not as yet become acquainted.	The creature was considerably less than half as tall as the green Martian warriors, and from my balcony I could see that it walked erect upon two legs and surmised that it was some new and strange Martian monstrosity with which I had not as yet become acquainted.
303_123506_000016_000001	This operation required several hours, during which time a number of the chariots were requisitioned to transport the loot, which consisted in arms, ammunition, silks, furs, jewels, strangely carved stone vessels, and a quantity of solid foods and liquids, including many casks of water, the first I had seen since my advent upon Mars.	This operation required several hours, during which time a number of the chariots were requisitioned to transport the loot, which consisted in arms, ammunition, silks, furs, jewels, strangely carved stone vessels, and a quantity of solid foods and liquids, including many casks of water, the first I had seen since my advent upon Mars.
303_123506_000018_000000	This operation concluded, they hastily clambered over her sides, sliding down the guy ropes to the ground.	This operation concluded, they hastily clambered over her sides, sliding down the guy ropes to the ground.
303_123506_000018_000001	The last warrior to leave the deck turned and threw something back upon the vessel, waiting an instant to note the outcome of his act.	The last warrior to leave the deck turned and threw something back upon the vessel, waiting an instant to note the outcome of his act.
303_123506_000018_000002	As a faint spurt of flame rose from the point where the missile struck he swung over the side and was quickly upon the ground.	As a faint spurt of flame rose from the point where the missile struck he swung over the side and was quickly upon the ground.
303_123506_000018_000003	Scarcely had he alighted than the guy ropes were simultaneously released, and the great warship, lightened by the removal of the loot, soared majestically into the air, her decks and upper works a mass of roaring flames.	Scarcely had he alighted than the guy ropes were simultaneously released, and the great warship, lightened by the removal of the loot, soared majestically into the air, her decks and upper works a mass of roaring flames.
303_123506_000019_000001	The sight was awe-inspiring in the extreme as one contemplated this mighty floating funeral pyre, drifting unguided and unmanned through the lonely wastes of the Martian heavens; a derelict of death and destruction, typifying the life story of these strange and ferocious creatures into whose unfriendly hands fate had carried it.	The sight was awe inspiring in the extreme as one contemplated this mighty floating funeral pyre, drifting unguided and unmanned through the lonely wastes of the Martian heavens; a derelict of death and destruction, typifying the life story of these strange and ferocious creatures into whose unfriendly hands fate had carried it.
303_123506_000020_000000	Much depressed, and, to me, unaccountably so, I slowly descended to the street.	Much depressed, and, to me, unaccountably so, I slowly descended to the street.
303_123506_000021_000000	Close at my heel, in his now accustomed place, followed Woola, the hound, and as I emerged upon the street Sola rushed up to me as though I had been the object of some search on her part.	Close at my heel, in his now accustomed place, followed Woola, the hound, and as I emerged upon the street Sola rushed up to me as though I had been the object of some search on her part.
303_123506_000021_000001	The cavalcade was returning to the plaza, the homeward march having been given up for that day; nor, in fact, was it recommenced for more than a week, owing to the fear of a return attack by the air craft.	The cavalcade was returning to the plaza, the homeward march having been given up for that day; nor, in fact, was it recommenced for more than a week, owing to the fear of a return attack by the air craft.
303_123506_000022_000000	Lorquas Ptomel was too astute an old warrior to be caught upon the open plains with a caravan of chariots and children, and so we remained at the deserted city until the danger seemed passed.	Lorquas Ptomel was too astute an old warrior to be caught upon the open plains with a caravan of chariots and children, and so we remained at the deserted city until the danger seemed passed.
303_123506_000024_000001	She did not see me at first, but just as she was disappearing through the portal of the building which was to be her prison she turned, and her eyes met mine.	She did not see me at first, but just as she was disappearing through the portal of the building which was to be her prison she turned, and her eyes met mine.
303_123506_000024_000003	Her skin was of a light reddish copper color, against which the crimson glow of her cheeks and the ruby of her beautifully molded lips shone with a strangely enhancing effect.	Her skin was of a light reddish copper color, against which the crimson glow of her cheeks and the ruby of her beautifully molded lips shone with a strangely enhancing effect.
303_123506_000025_000000	She was as destitute of clothes as the green Martians who accompanied her; indeed, save for her highly wrought ornaments she was entirely naked, nor could any apparel have enhanced the beauty of her perfect and symmetrical figure.	She was as destitute of clothes as the green Martians who accompanied her; indeed, save for her highly wrought ornaments she was entirely naked, nor could any apparel have enhanced the beauty of her perfect and symmetrical figure.
303_123506_000026_000001	Just a moment we gazed upon each other, and then the look of hope and renewed courage which had glorified her face as she discovered me, faded into one of utter dejection, mingled with loathing and contempt.	Just a moment we gazed upon each other, and then the look of hope and renewed courage which had glorified her face as she discovered me, faded into one of utter dejection, mingled with loathing and contempt.
303_123506_000026_000002	I realized I had not answered her signal, and ignorant as I was of Martian customs, I intuitively felt that she had made an appeal for succor and protection which my unfortunate ignorance had prevented me from answering.	I realized I had not answered her signal, and ignorant as I was of Martian customs, I intuitively felt that she had made an appeal for succor and protection which my unfortunate ignorance had prevented me from answering.
