698_122863_000002_000000	A week after the tea at the manse Diana Barry gave a party.	A week after the tea at the manse Diana Barry gave a party.
698_122863_000003_000000	"Small and select," Anne assured Marilla.	"Small and select," Anne assured Marilla.
698_122863_000003_000001	"Just the girls in our class."	"Just the girls in our class."
698_122863_000004_000000	They had a very good time and nothing untoward happened until after tea, when they found themselves in the Barry garden, a little tired of all their games and ripe for any enticing form of mischief which might present itself.	They had a very good time and nothing untoward happened until after tea, when they found themselves in the Barry garden, a little tired of all their games and ripe for any enticing form of mischief which might present itself.
698_122863_000005_000001	It had begun among the boys, but soon spread to the girls, and all the silly things that were done in Avonlea that summer because the doers thereof were "dared" to do them would fill a book by themselves.	It had begun among the boys, but soon spread to the girls, and all the silly things that were done in Avonlea that summer because the doers thereof were "dared" to do them would fill a book by themselves.
698_122863_000006_000000	First of all Carrie Sloane dared Ruby Gillis to climb to a certain point in the huge old willow tree before the front door; which Ruby Gillis, albeit in mortal dread of the fat green caterpillars with which said tree was infested and with the fear of her mother before her eyes if she should tear her new muslin dress, nimbly did, to the discomfiture of the aforesaid Carrie Sloane.	First of all Carrie Sloane dared Ruby Gillis to climb to a certain point in the huge old willow tree before the front door; which Ruby Gillis, albeit in mortal dread of the fat green caterpillars with which said tree was infested and with the fear of her mother before her eyes if she should tear her new muslin dress, nimbly did, to the discomfiture of the aforesaid Carrie Sloane.
698_122863_000007_000002	But Josie Pye, if deficient in some qualities that make for popularity, had at least a natural and inborn gift, duly cultivated, for walking board fences.	But Josie Pye, if deficient in some qualities that make for popularity, had at least a natural and inborn gift, duly cultivated, for walking board fences.
698_122863_000007_000003	Josie walked the Barry fence with an airy unconcern which seemed to imply that a little thing like that wasn't worth a "dare." Reluctant admiration greeted her exploit, for most of the other girls could appreciate it, having suffered many things themselves in their efforts to walk fences.	Josie walked the Barry fence with an airy unconcern which seemed to imply that a little thing like that wasn't worth a "dare." Reluctant admiration greeted her exploit, for most of the other girls could appreciate it, having suffered many things themselves in their efforts to walk fences.
698_122863_000007_000004	Josie descended from her perch, flushed with victory, and darted a defiant glance at Anne.	Josie descended from her perch, flushed with victory, and darted a defiant glance at Anne.
698_122863_000009_000000	"I don't think it's such a very wonderful thing to walk a little, low, board fence," she said.	"I don't think it's such a very wonderful thing to walk a little, low, board fence," she said.
698_122863_000010_000000	"I don't believe it," said Josie flatly.	"I don't believe it," said Josie flatly.
698_122863_000010_000001	"I don't believe anybody could walk a ridgepole.	"I don't believe anybody could walk a ridgepole.
698_122863_000010_000002	YOU couldn't, anyhow."	YOU couldn't, anyhow."
698_122863_000011_000000	"Couldn't I?" cried Anne rashly.	"Couldn't I?" cried Anne rashly.
698_122863_000012_000000	"Then I dare you to do it," said Josie defiantly.	"Then I dare you to do it," said Josie defiantly.
698_122863_000012_000001	"I dare you to climb up there and walk the ridgepole of Mr. Barry's kitchen roof."	"I dare you to climb up there and walk the ridgepole of mr Barry's kitchen roof."
698_122863_000013_000002	All the fifth-class girls said, "Oh!" partly in excitement, partly in dismay.	All the fifth class girls said, "Oh!" partly in excitement, partly in dismay.
698_122863_000014_000001	"You'll fall off and be killed.	"You'll fall off and be killed.
698_122863_000014_000002	Never mind Josie Pye.	Never mind Josie Pye.
698_122863_000015_000002	"I shall walk that ridgepole, Diana, or perish in the attempt.	"I shall walk that ridgepole, Diana, or perish in the attempt.
698_122863_000015_000003	If I am killed you are to have my pearl bead ring."	If I am killed you are to have my pearl bead ring."
698_122863_000016_000001	Nevertheless, she managed to take several steps before the catastrophe came.	Nevertheless, she managed to take several steps before the catastrophe came.
698_122863_000016_000002	Then she swayed, lost her balance, stumbled, staggered, and fell, sliding down over the sun-baked roof and crashing off it through the tangle of Virginia creeper beneath--all before the dismayed circle below could give a simultaneous, terrified shriek.	Then she swayed, lost her balance, stumbled, staggered, and fell, sliding down over the sun baked roof and crashing off it through the tangle of Virginia creeper beneath-all before the dismayed circle below could give a simultaneous, terrified shriek.
698_122863_000017_000001	Fortunately she fell on the other side, where the roof extended down over the porch so nearly to the ground that a fall therefrom was a much less serious thing.	Fortunately she fell on the other side, where the roof extended down over the porch so nearly to the ground that a fall therefrom was a much less serious thing.
698_122863_000018_000001	"Oh, Anne, dear Anne, speak just one word to me and tell me if you're killed."	"Oh, Anne, dear Anne, speak just one word to me and tell me if you're killed."
698_122863_000021_000000	"Where?" sobbed Carrie Sloane.	"Where?" sobbed Carrie Sloane.
698_122863_000021_000001	"Oh, where, Anne?" Before Anne could answer Mrs. Barry appeared on the scene.	"Oh, where, Anne?" Before Anne could answer mrs Barry appeared on the scene.
698_122863_000022_000000	"What's the matter?	"What's the matter?
