2473_155521_000000_000000	"How do you mean?"	"How do you mean?"	false	2.22	5.19	19.850975
2473_155521_000001_000000	Her answer, in the faintest of whispers, staggered me.	Her answer, in the faintest of whispers, staggered me.	false	5.19	13.44	13
2473_155521_000002_000000	"If you have the blood of another man on your hands I'm through."	"If you have the blood of another man on your hands I'm through."	false	13.44	17.955	17
2473_155521_000003_000000	XXII	twenty two	true	17.955	18.91	10
2473_155521_000004_000000	THE STEM	THE STEM	true	19.31	21.51	15.055569
2473_155521_000005_000000	Though my hands trembled so that I could hardly control them, I managed to close the door softly and to back away down the hall without being discovered.	Though my hands trembled so that I could hardly control them, I managed to close the door softly and to back away down the hall without being discovered.	true	21.51	29.62	12
2473_155521_000005_000001	My head was spinning and I was dizzy.	My head was spinning and I was dizzy.	true	30.35	32.41	13
2473_155521_000005_000002	With my own ears I had heard Marilyn Loring virtually betray the guilt of the man she loved and whom therefore she had tried to shield.	With my own ears I had heard Marilyn Loring virtually betray the guilt of the man she loved and whom therefore she had tried to shield.	true	32.87	40.66	10
2473_155521_000005_000003	"If you have the blood of another man on your hands--" What more could Kennedy want?	"If you have the blood of another man on your hands-" What more could Kennedy want?	true	41.78	46.78	16.359785
2473_155521_000006_000000	I started to run toward the studio.	I started to run toward the studio.	true	47.21	49.66	14
2473_155521_000006_000001	Then recollection of my errand stopped me.	Then recollection of my errand stopped me.	true	50	52.63	17
2473_155521_000006_000002	Kennedy wished the blood smears and stomach contents and was anxious to get them before the arrival of the police.	Kennedy wished the blood smears and stomach contents and was anxious to get them before the arrival of the police.	true	52.97	59.23	14
2473_155521_000006_000003	At first I thought that all such evidence would be unnecessary now, after the dialogue I had overheard, but it struck me as an afterthought that it might be necessary still to prove Shirley's guilt to the satisfaction of a court and jury, and so I rushed to the next dressing room and to another, until I located the doctor and the body of the dead man.	At first I thought that all such evidence would be unnecessary now, after the dialogue I had overheard, but it struck me as an afterthought that it might be necessary still to prove Shirley's guilt to the satisfaction of a court and jury, and so I rushed to the next dressing room and to another, until I located the doctor and the body of the dead man.	true	59.99	80.71	16
2473_155521_000007_000000	With the little package for Kennedy safely in my pocket I hurried out again into the sweltering heat beneath the glass of the big studio, and to the side of Kennedy and Mackay in the banquet-hall set.	With the little package for Kennedy safely in my pocket I hurried out again into the sweltering heat beneath the glass of the big studio, and to the side of Kennedy and Mackay in the banquet hall set.	true	81.71	94.39	17
