439_122810_000008_000000	Now Karen was old enough to be confirmed; she had new clothes and was to have new shoes also.	Now Karen was old enough to be confirmed; she had new clothes and was to have new shoes also.
439_122810_000008_000003	All this looked charming, but the old lady could not see well, and so had no pleasure in them.	All this looked charming, but the old lady could not see well, and so had no pleasure in them.
439_122810_000008_000004	In the midst of the shoes stood a pair of red ones, just like those the princess had worn.	In the midst of the shoes stood a pair of red ones, just like those the princess had worn.
439_122810_000013_000000	The next Sunday there was the sacrament, and Karen looked at the black shoes, looked at the red ones--looked at them again, and put on the red shoes.	The next Sunday there was the sacrament, and Karen looked at the black shoes, looked at the red ones-looked at them again, and put on the red shoes.
439_122810_000014_000000	The sun shone gloriously; Karen and the old lady walked along the path through the corn; it was rather dusty there.	The sun shone gloriously; Karen and the old lady walked along the path through the corn; it was rather dusty there.
439_122810_000016_000001	"Sit firm when you dance"; and he put his hand out towards the soles.	"Sit firm when you dance"; and he put his hand out towards the soles.
439_122810_000021_000000	And Karen could not help dancing a step or two, and when she began her feet continued to dance; it was just as though the shoes had power over them.	And Karen could not help dancing a step or two, and when she began her feet continued to dance; it was just as though the shoes had power over them.
439_122810_000022_000000	The shoes were placed in a closet at home, but Karen could not avoid looking at them.	The shoes were placed in a closet at home, but Karen could not avoid looking at them.
439_122810_000024_000001	She danced, and was forced to dance straight out into the gloomy wood.	She danced, and was forced to dance straight out into the gloomy wood.
439_122810_000028_000000	"Dance shalt thou!" said he.	"Dance shalt thou!" said he.
439_122810_000028_000004	Dance shalt thou--!"	Dance shalt thou-!"
439_122810_000029_000000	"Mercy!" cried Karen.	"Mercy!" cried Karen.
439_122810_000031_000002	Here, she knew, dwelt the executioner; and she tapped with her fingers at the window, and said, "Come out!	Here, she knew, dwelt the executioner; and she tapped with her fingers at the window, and said, "Come out!
439_122810_000031_000003	Come out!	Come out!
439_122810_000031_000004	I cannot come in, for I am forced to dance!"	I cannot come in, for I am forced to dance!"
439_122810_000033_000000	"Don't strike my head off!" said Karen.	"Don't strike my head off!" said Karen.
439_122810_000033_000001	"Then I can't repent of my sins! But strike off my feet in the red shoes!"	"Then I can't repent of my sins! But strike off my feet in the red shoes!"
439_122810_000038_000001	And the clergyman's wife was sorry for her and took her into service; and she was industrious and thoughtful.	And the clergyman's wife was sorry for her and took her into service; and she was industrious and thoughtful.
439_122810_000040_000001	And he touched the ceiling with the spray, and the ceiling rose so high, and where he had touched it there gleamed a golden star.	And he touched the ceiling with the spray, and the ceiling rose so high, and where he had touched it there gleamed a golden star.
439_122810_000040_000004	For the church itself had come to the poor girl in her narrow chamber, or else she had come into the church.	For the church itself had come to the poor girl in her narrow chamber, or else she had come into the church.
