3967_292604_000000_000000	CHAPTER VII	CHAPTER seven	false	0.72	12.79	23.183027
3967_292604_000001_000000	TELLS OF AN EXTRAORDINARY INCIDENT IN CULLEN MAYLE'S BEDROOM	TELLS OF AN EXTRAORDINARY INCIDENT IN CULLEN MAYLE'S BEDROOM	true	12.83	17.44	22.44001
3967_292604_000002_000000	I was very tired, but in spite of my fatigue it was some while before I fell asleep.	I was very tired, but in spite of my fatigue it was some while before I fell asleep.	true	18.77	24.49	20.927181
3967_292604_000002_000001	Parmiter had thrown a new light upon the business tonight, and by the help of that light I arrayed afresh my scanty knowledge.	Parmiter had thrown a new light upon the business tonight, and by the help of that light I arrayed afresh my scanty knowledge.	true	24.68	32.86	21
3967_292604_000002_000002	The strangeness of my position, besides, kept me in some excitement.	The strangeness of my position, besides, kept me in some excitement.	true	33.11	37.98	20.99153
3967_292604_000002_000003	Here was I quietly abed in a house where I knew no one; Clutterbuck might well talk about impertinence, and I could not but wonder what in the world I should find to say if Dick was late in the morning.	Here was I quietly abed in a house where I knew no one; Clutterbuck might well talk about impertinence, and I could not but wonder what in the world I should find to say if Dick was late in the morning.	false	37.98	50.65	19.9054
3967_292604_000002_000004	Finally, there was the adventure of that night.	Finally, there was the adventure of that night.	true	51.41	54.25	21.231834
3967_292604_000002_000005	I felt myself again slipping down the wet grass and dangling over the precipice.	I felt myself again slipping down the wet grass and dangling over the precipice.	true	54.41	59.77	18
3967_292604_000002_000006	I heard again that unearthly screeching which had so frightened Dick and perplexed me, It perplexed me still.	I heard again that unearthly screeching which had so frightened Dick and perplexed me, It perplexed me still.	true	60.05	68.26	23.735384
3967_292604_000002_000007	I could not for a moment entertain Dick's supposition of a spirit.	I could not for a moment entertain Dick's supposition of a spirit.	true	68.39	72.82	24.24539
3967_292604_000002_000008	This was the middle of the eighteenth century, you will understand, and I had come fresh from London.	This was the middle of the eighteenth century, you will understand, and I had come fresh from London.	true	73.07	78.79	16
3967_292604_000002_000009	Ghosts and bogies might do very well for the island of Tresco, but Mr. Berkeley was not to be terrified with any such old-wives' stories, and so Mr. Berkeley fell asleep.	Ghosts and bogies might do very well for the island of Tresco, but mr Berkeley was not to be terrified with any such old wives' stories, and so mr Berkeley fell asleep.	true	79.25	92.02	21.761497
3967_292604_000003_000000	At what precise hour the thing happened I do not know.	At what precise hour the thing happened I do not know.	true	92.66	96.73	16
3967_292604_000003_000001	The room was so dark that I could not have read my watch, even if I had looked at it, which I did not think to do.	The room was so dark that I could not have read my watch, even if I had looked at it, which I did not think to do.	true	96.83	103.33	22.419516
3967_292604_000003_000002	But at some time during that night I woke up quite suddenly with a clear sense that I had been waked up.	But at some time during that night I woke up quite suddenly with a clear sense that I had been waked up.	true	103.43	110.17	23.431484
3967_292604_000004_000000	I sat up in my bed with my heart beating very quick; and then with as a little noise as I could I gathered myself up in the shadow of the bed-hangings, at the head.	I sat up in my bed with my heart beating very quick; and then with as a little noise as I could I gathered myself up in the shadow of the bed hangings, at the head.	false	110.33	120.7	18
3967_292604_000004_000001	The fog was still thick about the house, so that hardly a glimmer of light came from the window.	The fog was still thick about the house, so that hardly a glimmer of light came from the window.	true	121.13	127.66	22
3967_292604_000004_000002	But there was some one in the room I knew, for I could hear a rustle as of stealthy movements.	But there was some one in the room I knew, for I could hear a rustle as of stealthy movements.	false	128.18	134.2	20.831253
3967_292604_000004_000003	And then straight in front of me between the two posts of the bed-foot, I saw something white that wavered and swayed this way and that.	And then straight in front of me between the two posts of the bed foot, I saw something white that wavered and swayed this way and that.	true	134.45	143.29	19
3967_292604_000004_000004	Only an hour or so before I had been boasting to myself that I was London-bred and lived in the middle of the eighteenth century. But none the less my hair stirred upon my head, and all the moisture dried up in my throat as I stared at that dim white thing wavering and swaying between the bed-posts.	Only an hour or so before I had been boasting to myself that I was London bred and lived in the middle of the eighteenth century. But none the less my hair stirred upon my head, and all the moisture dried up in my throat as I stared at that dim white thing wavering and swaying between the bed posts.	false	143.75	163.63	18
3967_292604_000004_000005	It was taller than any human being that I had seen.	It was taller than any human being that I had seen.	true	164.15	167.5	21
3967_292604_000004_000006	I remembered the weird screeching sound which I had heard in the hollow; I think that in my heart I begged Dick Parmiter's pardon for laughing at his fears; I know that I crouched back among the hangings and shuddered till the bed shook and shook again.	I remembered the weird screeching sound which I had heard in the hollow; I think that in my heart I begged Dick Parmiter's pardon for laughing at his fears; I know that I crouched back among the hangings and shuddered till the bed shook and shook again.	true	167.66	183.67	19
3967_292604_000004_000007	And then it made a sound, and all the blood in my veins stood still.	And then it made a sound, and all the blood in my veins stood still.	true	184.49	189.4	22.837957
3967_292604_000004_000008	I thought that my heart would stop or my brain burst.	I thought that my heart would stop or my brain burst.	true	189.71	193.45	22.828821
3967_292604_000004_000009	For the sound was neither a screech like that which rose from the hollow, nor a groan, nor any ghostly noise.	For the sound was neither a screech like that which rose from the hollow, nor a groan, nor any ghostly noise.	true	193.55	201.67	22.106077
3967_292604_000004_000010	It was purely human, it was a kecking sound in the throat, such as one makes who gasps for breath.	It was purely human, it was a kecking sound in the throat, such as one makes who gasps for breath.	true	201.8	208.96	23.40072
3967_292604_000004_000011	The white thing was a live thing of flesh and blood.	The white thing was a live thing of flesh and blood.	true	209.21	213.28	20.550034
3967_292604_000005_000000	I sprang up on the bed and jumped to the foot of it.	I sprang up on the bed and jumped to the foot of it.	true	213.71	216.88	24.069262
3967_292604_000005_000001	It was very dark in the room, but through the darkness, I could see, on a level with my face, the face of a woman.	It was very dark in the room, but through the darkness, I could see, on a level with my face, the face of a woman.	true	217.04	224.2	19
3967_292604_000005_000002	Her eyes were open and they stared into mine.	Her eyes were open and they stared into mine.	true	224.48	227.98	21
3967_292604_000005_000003	I could see the whites of them; our heads were so near they almost touched.	I could see the whites of them; our heads were so near they almost touched.	true	228.02	232.84	24.336588
3967_292604_000006_000000	Even then I did not understand.	Even then I did not understand.	true	233.21	235.575	19
3967_292604_000006_000001	I wondered what it was on which she stood.	I wondered what it was on which she stood.	true	235.575	238.27	25.888428
3967_292604_000006_000002	I noticed a streak of white which ran straight up towards the ceiling from behind her head, and I wondered what that was.	I noticed a streak of white which ran straight up towards the ceiling from behind her head, and I wondered what that was.	true	238.49	245.94	21
