5660_101884_000000_000000	CHAPTER XXXII	CHAPTER thirty two	false	17.82	19.38	24.773596
5660_101884_000001_000000	The winter passed and the spring came.	The winter passed and the spring came.	false	19.38	25.42	24.771814
5660_101884_000001_000001	The Mill House, even to the most skeptical observer, showed signs of being a success.	The Mill House, even to the most skeptical observer, showed signs of being a success.	false	25.49	30.7	22.061197
5660_101884_000001_000002	Even already a visible influence had radiated from its shining windows and orderly yard; and the neighboring houses, with their obvious attempt at "slickin' up," reminded one of a small boy who has been told to wash his face, for company was coming.	Even already a visible influence had radiated from its shining windows and orderly yard; and the neighboring houses, with their obvious attempt at "slickin' up," reminded one of a small boy who has been told to wash his face, for company was coming.	false	31.1	46.6	22.812977
5660_101884_000001_000003	The classes boasted a larger attendance, and the stomachs and the babies of many a family in the town were feeling the beneficial results of the lessons.	The classes boasted a larger attendance, and the stomachs and the babies of many a family in the town were feeling the beneficial results of the lessons.	false	47.63	56.56	22
5660_101884_000002_000000	To Margaret, however, the whole thing seemed hopelessly small: there was so much to do, so little done!	To Margaret, however, the whole thing seemed hopelessly small: there was so much to do, so little done!	true	57.17	63.19	22.320032
5660_101884_000002_000001	She was still the little girl with the teaspoon and the bowl of sand; and the chasm yawned as wide as ever.	She was still the little girl with the teaspoon and the bowl of sand; and the chasm yawned as wide as ever.	true	63.56	69.82	21.365652
5660_101884_000002_000002	To tell the truth, Margaret was tired, discouraged, and homesick.	To tell the truth, Margaret was tired, discouraged, and homesick.	true	70.49	74.2	22.039743
5660_101884_000002_000003	For months her strength, time, nerves, and sympathies had been taxed to the utmost; and now that there had come a breathing space, when the intricate machinery of her scheme could run for a moment without her hand at the throttle, she was left weak and nerveless.	For months her strength, time, nerves, and sympathies had been taxed to the utmost; and now that there had come a breathing space, when the intricate machinery of her scheme could run for a moment without her hand at the throttle, she was left weak and nerveless.	true	74.45	91.27	24.416636
5660_101884_000002_000004	She was, in fact, perilously near a breakdown.	She was, in fact, perilously near a breakdown.	true	91.58	94.96	22.116013
5660_101884_000003_000000	Added to all this, she was lonely.	Added to all this, she was lonely.	true	96.23	98.32	21.6833
5660_101884_000003_000001	More than she would own to herself she missed her friends, her home life at Hilcrest, and the tender care and sympathetic interest that had been lavished upon her for so many years.	More than she would own to herself she missed her friends, her home life at Hilcrest, and the tender care and sympathetic interest that had been lavished upon her for so many years.	false	98.6	109.09	21.781902
5660_101884_000003_000002	Here she was the head, the strong tower of defense, the one to whom everybody came with troubles, perplexities, and griefs.	Here she was the head, the strong tower of defense, the one to whom everybody came with troubles, perplexities, and griefs.	true	109.61	116.86	21.547676
5660_101884_000003_000003	There was no human being to whom she could turn for comfort.	There was no human being to whom she could turn for comfort.	true	117.2	120.34	24.6864
5660_101884_000003_000004	They all looked to her.	They all looked to her.	true	120.44	122.14	31.360292
5660_101884_000003_000005	Even Bobby McGinnis, when she saw him at all--which was seldom--treated her with a frigid deference that was inexpressibly annoying to her.	Even Bobby McGinnis, when she saw him at all-which was seldom-treated her with a frigid deference that was inexpressibly annoying to her.	true	122.18	130.78	23.002409
5660_101884_000004_000000	From the Spencers she heard irregularly.	From the Spencers she heard irregularly.	true	131.75	134.19	25.626316
5660_101884_000004_000001	Earlier in the winter the letters had been more frequent: nervously anxious epistles of some length from Mrs. Merideth; stilted notes, half protesting, half pleading, from Ned; and short, but wonderfully sympathetic communications from Frank.	Earlier in the winter the letters had been more frequent: nervously anxious epistles of some length from mrs Merideth; stilted notes, half protesting, half pleading, from Ned; and short, but wonderfully sympathetic communications from Frank.	false	134.19	149.5	23.517195
5660_101884_000004_000002	Later Frank had fallen very ill with a fever of some sort, and Mrs. Merideth and Ned had written only hurried little bulletins from the sick-room.	Later Frank had fallen very ill with a fever of some sort, and mrs Merideth and Ned had written only hurried little bulletins from the sick room.	false	149.96	158.92	22.799864
5660_101884_000004_000003	Then had come the good news that Frank was out of danger, though still far too weak to undertake the long journey home.	Then had come the good news that Frank was out of danger, though still far too weak to undertake the long journey home.	true	159.14	165.58	22.680058
5660_101884_000004_000004	Their letters showed unmistakably their impatience at the delay, and questioned her as to her health and welfare, but could set no date for their return.	Their letters showed unmistakably their impatience at the delay, and questioned her as to her health and welfare, but could set no date for their return.	true	165.8	174.94	22.92649
5660_101884_000004_000005	Frank, in particular, was disturbed, they said.	Frank, in particular, was disturbed, they said.	true	175.37	178.3	25.22252
5660_101884_000004_000006	He had not planned to leave either herself or the mills so long, it being his intention when he went away merely to take a short trip with his sister and brother, and then hurry back to America alone.	He had not planned to leave either herself or the mills so long, it being his intention when he went away merely to take a short trip with his sister and brother, and then hurry back to America alone.	false	178.37	190.21	22.395857
5660_101884_000004_000007	As for Frank himself--he had not written her since his illness.	As for Frank himself-he had not written her since his illness.	true	190.76	195.13	25.110264
5660_101884_000005_000000	Margaret was thinking of all this, and was feeling specially forlorn as she sat alone in the little sitting-room at the Mill House one evening in early April.	Margaret was thinking of all this, and was feeling specially forlorn as she sat alone in the little sitting room at the Mill House one evening in early April.	true	195.98	204.37	18
5660_101884_000005_000001	She held a book before her, but she was not reading; and she looked up at once when Patty entered the room.	She held a book before her, but she was not reading; and she looked up at once when Patty entered the room.	false	204.95	210.88	24.767654
5660_101884_000006_000000	"I'm sorry ter trouble ye," began Patty, hesitatingly, "but Bobby McGinnis is here an' wanted me ter ask ye----"	"I'm sorry ter trouble ye," began Patty, hesitatingly, "but Bobby McGinnis is here an' wanted me ter ask ye----"	false	211.43	218.62	22.237734
5660_101884_000007_000000	Margaret raised an imperious hand.	Margaret raised an imperious hand.	true	218.96	221.02	23.734192
5660_101884_000008_000000	"That's all right, Patty," she said so sharply that Patty opened wide her eyes; "but suppose you just ask Bobby McGinnis to come here to me and ask his question direct.	"That's all right, Patty," she said so sharply that Patty opened wide her eyes; "but suppose you just ask Bobby McGinnis to come here to me and ask his question direct.	false	221.36	231.855	23.393675
5660_101884_000008_000001	I will see him now." And Patty, wondering vaguely what had come to her gentle-eyed, gentle-voiced mistress--as she insisted upon calling Margaret--fled precipitately.	I will see him now." And Patty, wondering vaguely what had come to her gentle eyed, gentle voiced mistress-as she insisted upon calling Margaret-fled precipitately.	true	231.855	242.53	21.82148
5660_101884_000009_000000	Two minutes later Bobby McGinnis himself stood tall and straight just inside the door.	Two minutes later Bobby McGinnis himself stood tall and straight just inside the door.	true	243.08	247.42	20.786823
5660_101884_000010_000000	"You sent for me?" he asked.	"You sent for me?" he asked.	true	247.82	249.94	24.873518
5660_101884_000011_000000	Margaret sprang to her feet.	Margaret sprang to her feet.	true	250.19	252.42	22.610441
5660_101884_000011_000001	All the pent loneliness of the past weeks and months burst forth in a stinging whip of retort.	All the pent loneliness of the past weeks and months burst forth in a stinging whip of retort.	true	252.42	258.07	22.122374
5660_101884_000012_000000	"Yes, I sent for you." She paused, but the man did not speak, and in a moment she went on hurriedly, feverishly.	"Yes, I sent for you." She paused, but the man did not speak, and in a moment she went on hurriedly, feverishly.	true	258.29	265.6	21.929676
5660_101884_000012_000001	"I always send for you--if I see you at all, and yet you know how hard I'm trying to help these people, and that you are the only one here that can help me."	"I always send for you-if I see you at all, and yet you know how hard I'm trying to help these people, and that you are the only one here that can help me."	true	265.61	273.85	22.584816
5660_101884_000013_000000	She paused again, and again the man was silent.	She paused again, and again the man was silent.	true	274.07	277.33	23.170189
5660_101884_000014_000000	"Don't you know what I'm trying to do?" she asked.	"Don't you know what I'm trying to do?" she asked.	true	277.7	280.51	23.049257
5660_101884_000015_000000	"Yes." The lips closed firmly over the single word.	"Yes." The lips closed firmly over the single word.	true	280.94	284.53	22.904863
5660_101884_000016_000000	"Didn't I ask you to help me?	"Didn't I ask you to help me?	true	284.72	286.69	22.567959
5660_101884_000016_000001	Didn't I appoint us a committee of two to do the work?" Her voice shook, and her chin trembled like that of a grieved child.	Didn't I appoint us a committee of two to do the work?" Her voice shook, and her chin trembled like that of a grieved child.	true	286.91	294.67	24.52714
5660_101884_000017_000000	"Yes." Again that strained, almost harsh monosyllable.	"Yes." Again that strained, almost harsh monosyllable.	true	294.89	299.71	24.6937
5660_101884_000018_000000	Margaret made an impatient gesture.	Margaret made an impatient gesture.	true	300.05	302.17	22.372482
5660_101884_000019_000000	"Bobby McGinnis, why don't you help me?" she demanded, tearfully.	"Bobby McGinnis, why don't you help me?" she demanded, tearfully.	true	302.6	306.46	24.971405
5660_101884_000019_000001	"Why do you stand aloof and send to me?	"Why do you stand aloof and send to me?	false	306.77	309.16	20.63411
5660_101884_000019_000002	Why don't you come to me frankly and freely, and tell me the best way to deal with these people?"	Why don't you come to me frankly and freely, and tell me the best way to deal with these people?"	true	309.35	314.38	21.003237
5660_101884_000020_000000	There was no answer.	There was no answer.	true	314.93	316.18	25.099352
5660_101884_000020_000001	The man had half turned his face so that only his profile showed clean-cut and square-chinned against the close-shut door.	The man had half turned his face so that only his profile showed clean cut and square chinned against the close shut door.	true	316.46	323.74	22.30631
5660_101884_000021_000000	"Don't you know that I am alone here--that I have no friends but you and Patty?" she went on tremulously.	"Don't you know that I am alone here-that I have no friends but you and Patty?" she went on tremulously.	true	324.41	331.45	21.145544
5660_101884_000021_000001	"Do you think it kind of you to let me struggle along alone like this?	"Do you think it kind of you to let me struggle along alone like this?	false	332.48	335.83	22.726933
5660_101884_000021_000002	Sometimes it seems almost as if you were afraid----"	Sometimes it seems almost as if you were afraid----"	true	336.14	339.25	22.195429
5660_101884_000022_000000	"I am afraid," cut in a voice shaken with emotion.	"I am afraid," cut in a voice shaken with emotion.	true	339.26	343.09	25.271238
5660_101884_000023_000000	"Bobby!" breathed Margaret in surprised dismay, falling back before the fire in the eyes that suddenly turned and flashed straight into hers. "Why, Bobby!"	"Bobby!" breathed Margaret in surprised dismay, falling back before the fire in the eyes that suddenly turned and flashed straight into hers. "Why, Bobby!"	true	343.97	355.03	23.863228
5660_101884_000024_000000	If the man heard, he did not heed.	If the man heard, he did not heed.	true	355.82	358.33	26.360712
5660_101884_000024_000001	The bonds of his self-control had snapped, and the torrent of words came with a force that told how great had been the pressure.	The bonds of his self control had snapped, and the torrent of words came with a force that told how great had been the pressure.	false	358.43	365.65	22.643465
5660_101884_000024_000002	He had stepped forward as she fell back, and his eyes still blazed into hers.	He had stepped forward as she fell back, and his eyes still blazed into hers.	true	366.26	370.93	24.056566
5660_101884_000025_000000	"I _am_ afraid--I'm afraid of myself," he cried.	"I underscore am underscore afraid-I'm afraid of myself," he cried.	false	371.12	374.71	22.068748
5660_101884_000025_000001	"I don't dare to trust myself within sight of your dear eyes, or within touch of your dear hands--though all the while I'm hungry for both.	"I don't dare to trust myself within sight of your dear eyes, or within touch of your dear hands-though all the while I'm hungry for both.	true	374.93	383.2	23.230875
5660_101884_000025_000002	Perhaps I do let you send for me, instead of coming of my own free will; but I'm never without the thought of you, and the hope of catching somewhere a glimpse of even your dress.	Perhaps I do let you send for me, instead of coming of my own free will; but I'm never without the thought of you, and the hope of catching somewhere a glimpse of even your dress.	true	383.21	393.37	22.07584
5660_101884_000025_000003	Perhaps I do stand aloof; but many's the night I've walked the street outside, watching the light at your window, and many's the night I've not gone home until dawn lest some harm come to the woman I loved so--good God! what am I saying!" he broke off hoarsely, dropping his face into his hands, and sinking into the chair behind him.	Perhaps I do stand aloof; but many's the night I've walked the street outside, watching the light at your window, and many's the night I've not gone home until dawn lest some harm come to the woman I loved so-good God! what am I saying!" he broke off hoarsely, dropping his face into his hands, and sinking into the chair behind him.	false	393.62	414.22	22.37322
5660_101884_000026_000000	Over by the table Margaret stood silent, motionless, her eyes on the bowed figure of the man before her.	Over by the table Margaret stood silent, motionless, her eyes on the bowed figure of the man before her.	true	414.38	421.09	24.588203
5660_101884_000026_000001	Gradually her confused senses were coming into something like order.	Gradually her confused senses were coming into something like order.	true	421.7	425.47	24.067207
5660_101884_000026_000002	Slowly her dazed thoughts were taking shape.	Slowly her dazed thoughts were taking shape.	true	426.11	429.7	25.656567
5660_101884_000027_000000	It was her own fault.	It was her own fault.	true	430.19	432.43	30.046406
5660_101884_000027_000001	She had brought this thing upon herself.	She had brought this thing upon herself.	true	433.85	436.6	28.309015
5660_101884_000027_000002	She should have seen--have understood.	She should have seen-have understood.	true	436.7	439.66	21.990908
5660_101884_000027_000003	And now she had caused all this sorrow to this dear friend of her childhood--the little boy who had befriended her when she was alone and hungry and lost....	And now she had caused all this sorrow to this dear friend of her childhood-the little boy who had befriended her when she was alone and hungry and lost....	false	440.12	449.35	21.584032
5660_101884_000027_000004	But, after all, why should he not love her?	But, after all, why should he not love her?	true	449.57	453.7	24.042683
5660_101884_000027_000005	And why should she not--love him?	And why should she not-love him?	true	454.07	456.7	20.760395
5660_101884_000027_000006	He was good and true and noble, and for years he had loved her--she remembered now their childish compact, and she bitterly reproached herself for not thinking of it before--it might have saved her this....	He was good and true and noble, and for years he had loved her-she remembered now their childish compact, and she bitterly reproached herself for not thinking of it before-it might have saved her this....	true	457.1	470.26	20.597078
5660_101884_000027_000007	Still, did she want to save herself this?	Still, did she want to save herself this?	true	470.78	474.07	27.826416
5660_101884_000027_000008	Was it not, after all, the very best thing that could have happened?	Was it not, after all, the very best thing that could have happened?	true	474.29	478.09	22.515808
5660_101884_000027_000009	Where, and how could she do more good in the world than right here with this strong, loving heart to help her?...	Where, and how could she do more good in the world than right here with this strong, loving heart to help her?...	true	478.55	485.29	22.158579
