1100_135264_000000_000000	CHAPTER 17	CHAPTER seventeen	true	21.615	23.26	20.563211
1100_135264_000001_000000	A FOUR WINDS WINTER	A FOUR WINDS WINTER	true	24.44	26.23	15
1100_135264_000002_000000	Winter set in vigorously after New Year's.	Winter set in vigorously after New Year's.	true	27.11	29.7	14
1100_135264_000002_000001	Big, white drifts heaped themselves about the little house, and palms of frost covered its windows.	Big, white drifts heaped themselves about the little house, and palms of frost covered its windows.	true	29.7	37.18	19
1100_135264_000002_000002	The harbor ice grew harder and thicker, until the Four Winds people began their usual winter travelling over it.	The harbor ice grew harder and thicker, until the Four Winds people began their usual winter travelling over it.	true	37.64	44.02	15
1100_135264_000002_000003	The safe ways were "bushed" by a benevolent Government, and night and day the gay tinkle of the sleigh-bells sounded on it.	The safe ways were "bushed" by a benevolent Government, and night and day the gay tinkle of the sleigh bells sounded on it.	true	44.66	52.6	21.226164
1100_135264_000002_000004	On moonlit nights Anne heard them in her house of dreams like fairy chimes.	On moonlit nights Anne heard them in her house of dreams like fairy chimes.	true	53.03	57.46	13
1100_135264_000002_000005	The gulf froze over, and the Four Winds light flashed no more.	The gulf froze over, and the Four Winds light flashed no more.	true	57.86	62.59	14
1100_135264_000002_000006	During the months when navigation was closed Captain Jim's office was a sinecure.	During the months when navigation was closed Captain Jim's office was a sinecure.	true	63.05	67.66	16
1100_135264_000003_000000	"The First Mate and I will have nothing to do till spring except keep warm and amuse ourselves.	"The First Mate and I will have nothing to do till spring except keep warm and amuse ourselves.	true	68.87	73.87	12
1100_135264_000003_000001	The last lighthouse keeper used always to move up to the Glen in winter; but I'd rather stay at the Point.	The last lighthouse keeper used always to move up to the Glen in winter; but I'd rather stay at the Point.	true	74.36	81.43	17
1100_135264_000003_000002	The First Mate might get poisoned or chewed up by dogs at the Glen.	The First Mate might get poisoned or chewed up by dogs at the Glen.	true	81.74	85.39	17
1100_135264_000003_000003	It's a mite lonely, to be sure, with neither the light nor the water for company, but if our friends come to see us often we'll weather it through."	It's a mite lonely, to be sure, with neither the light nor the water for company, but if our friends come to see us often we'll weather it through."	true	85.67	93.73	14
1100_135264_000004_000000	Captain Jim had an ice boat, and many a wild, glorious spin Gilbert and Anne and Leslie had over the glib harbor ice with him.	Captain Jim had an ice boat, and many a wild, glorious spin Gilbert and Anne and Leslie had over the glib harbor ice with him.	false	94.52	102.69	16
1100_135264_000004_000001	Anne and Leslie took long snowshoe tramps together, too, over the fields, or across the harbor after storms, or through the woods beyond the Glen.	Anne and Leslie took long snowshoe tramps together, too, over the fields, or across the harbor after storms, or through the woods beyond the Glen.	false	102.69	111.28	15
1100_135264_000004_000002	They were very good comrades in their rambles and their fireside communings. Each had something to give the other--each felt life the richer for friendly exchange of thought and friendly silence; each looked across the white fields between their homes with a pleasant consciousness of a friend beyond.	They were very good comrades in their rambles and their fireside communings. Each had something to give the other-each felt life the richer for friendly exchange of thought and friendly silence; each looked across the white fields between their homes with a pleasant consciousness of a friend beyond.	false	111.95	128.95	13
1100_135264_000004_000003	But, in spite of all this, Anne felt that there was always a barrier between Leslie and herself--a constraint that never wholly vanished.	But, in spite of all this, Anne felt that there was always a barrier between Leslie and herself-a constraint that never wholly vanished.	true	129.74	138.37	16
1100_135264_000005_000000	"I don't know why I can't get closer to her," Anne said one evening to Captain Jim.	"I don't know why I can't get closer to her," Anne said one evening to Captain Jim.	false	138.92	143.17	12
1100_135264_000005_000001	"I like her so much--I admire her so much--I WANT to take her right into my heart and creep right into hers.	"I like her so much-I admire her so much-I WANT to take her right into my heart and creep right into hers.	true	143.33	150.135	14
1100_135264_000005_000002	But I can never cross the barrier."	But I can never cross the barrier."	false	150.135	152.56	13
1100_135264_000006_000000	"You've been too happy all your life, Mistress Blythe," said Captain Jim thoughtfully.	"You've been too happy all your life, Mistress Blythe," said Captain Jim thoughtfully.	true	153.41	157.54	11
1100_135264_000006_000001	"I reckon that's why you and Leslie can't get real close together in your souls.	"I reckon that's why you and Leslie can't get real close together in your souls.	true	157.61	162.04	11
