3274_163518_000000_000000	THE MASTER THIEF	THE MASTER THIEF
3274_163518_000001_000000	Once upon a time there was a poor cottager who had three sons.	Once upon a time there was a poor cottager who had three sons.
3274_163518_000001_000001	He had nothing to leave them when he died, and no money with which to put them to any trade, so that he did not know what to make of them.	He had nothing to leave them when he died, and no money with which to put them to any trade, so that he did not know what to make of them.
3274_163518_000001_000002	At last he said he would give them leave to take to anything each liked best, and to go whithersoever they pleased, and he would go with them a bit of the way; and so he did.	At last he said he would give them leave to take to anything each liked best, and to go whithersoever they pleased, and he would go with them a bit of the way; and so he did.
3274_163518_000002_000000	So it fell out one night as he was going through a great wood that such bad weather overtook him.	So it fell out one night as he was going through a great wood that such bad weather overtook him.
3274_163518_000002_000001	It blew, and sleeted, and drove so that he could scarce keep his eyes open; and in a trice, before he knew how it was, he got bewildered, and could not find either road or path.	It blew, and sleeted, and drove so that he could scarce keep his eyes open; and in a trice, before he knew how it was, he got bewildered, and could not find either road or path.
3274_163518_000002_000002	But as he went on and on, at last he saw a glimmering of light far far off in the wood.	But as he went on and on, at last he saw a glimmering of light far far off in the wood.
3274_163518_000002_000004	There it was in a large house, and the fire was blazing so brightly inside, that he could tell the folk had not yet gone to bed; so he went in and saw an old dame bustling about and minding the house.	There it was in a large house, and the fire was blazing so brightly inside, that he could tell the folk had not yet gone to bed; so he went in and saw an old dame bustling about and minding the house.
3274_163518_000003_000000	'Good evening!' said the youth.	'Good evening!' said the youth.
3274_163518_000004_000000	'Good evening!' said the old dame.	'Good evening!' said the old dame.
3274_163518_000006_000000	'So it is', said she.	'So it is', said she.
3274_163518_000007_000000	'Can I get leave to have a bed and shelter here to-night?' asked the youth.	'Can I get leave to have a bed and shelter here to night?' asked the youth.
3274_163518_000008_000000	'You'll get no good by sleeping here', said the old dame; 'for if the folk come home and find you here, they'll kill both me and you.'	'You'll get no good by sleeping here', said the old dame; 'for if the folk come home and find you here, they'll kill both me and you.'
3274_163518_000010_000001	And a bad lot of them too', said the old dame.	And a bad lot of them too', said the old dame.
3274_163518_000010_000002	'They stole me away when I was little, and have kept me as their housekeeper ever since.'	'They stole me away when I was little, and have kept me as their housekeeper ever since.'
3274_163518_000011_000000	'Well, for all that, I think I'll just go to bed', said the youth. 'Come what may, I'll not stir out at night in such weather.'	'Well, for all that, I think I'll just go to bed', said the youth. 'Come what may, I'll not stir out at night in such weather.'
3274_163518_000013_000000	With that the youth got into a bed which stood there, but he dared not go to sleep, and very soon after in came the robbers; so the old dame told them how a stranger fellow had come in whom she had not been able to get out of the house again.	With that the youth got into a bed which stood there, but he dared not go to sleep, and very soon after in came the robbers; so the old dame told them how a stranger fellow had come in whom she had not been able to get out of the house again.
3274_163518_000015_000000	'Such a one as he money!' said the old dame, 'the tramper!	'Such a one as he money!' said the old dame, 'the tramper!
3274_163518_000015_000001	Why, if he had clothes to his back, it was as much as he had.'	Why, if he had clothes to his back, it was as much as he had.'
3274_163518_000016_000000	Then the robbers began to talk among themselves what they should do with him; if they should kill him outright, or what else they should do.	Then the robbers began to talk among themselves what they should do with him; if they should kill him outright, or what else they should do.
3274_163518_000016_000001	Meantime the youth got up and began to talk to them, and to ask if they didn't want a servant, for it might be that he would be glad to enter their service.	Meantime the youth got up and began to talk to them, and to ask if they didn't want a servant, for it might be that he would be glad to enter their service.
3274_163518_000018_000000	'It's all one to me what trade I follow', said the youth; 'for when I left home, father gave me leave to take to any trade I chose.'	'It's all one to me what trade I follow', said the youth; 'for when I left home, father gave me leave to take to any trade I chose.'
3274_163518_000020_000000	'I don't care', said the youth, for he thought it would not take long to learn that trade.	'I don't care', said the youth, for he thought it would not take long to learn that trade.
3274_163518_000021_000000	Now there lived a man a little way off who had three oxen.	Now there lived a man a little way off who had three oxen.
3274_163518_000022_000001	So when the man came by he saw the shoe at once.	So when the man came by he saw the shoe at once.
3274_163518_000023_000000	'That's a nice shoe', said he.	'That's a nice shoe', said he.
3274_163518_000024_000000	Then the youth took up the shoe, and made all the haste he could to get before the man by a short cut through the wood, and laid it down before him in the road again.	Then the youth took up the shoe, and made all the haste he could to get before the man by a short cut through the wood, and laid it down before him in the road again.
3274_163518_000025_000000	So he set off, and hunted and hunted up and down for the shoe, but no shoe did he find; and at length he had to go back with the one he had.	So he set off, and hunted and hunted up and down for the shoe, but no shoe did he find; and at length he had to go back with the one he had.
3274_163518_000025_000001	But, meanwhile the youth had taken the ox and gone off with it; and when the man came and saw his ox gone, he began to cry and bewail, for he was afraid his old dame would kill him outright when she came to know that the ox was lost.	But, meanwhile the youth had taken the ox and gone off with it; and when the man came and saw his ox gone, he began to cry and bewail, for he was afraid his old dame would kill him outright when she came to know that the ox was lost.
3274_163518_000025_000002	But just then it came across his mind that he would go home and take the second ox, and drive it to the town, and not let his old dame know anything about the matter. So he did this, and went home and took the ox without his dame's knowing it, and set off with it to the town.	But just then it came across his mind that he would go home and take the second ox, and drive it to the town, and not let his old dame know anything about the matter. So he did this, and went home and took the ox without his dame's knowing it, and set off with it to the town.
3274_163518_000025_000003	But the robbers knew all about it, and they said to the youth, if he could get this ox too, without the man's knowing it, and without his doing him any harm, he should be as good as any one of them.	But the robbers knew all about it, and they said to the youth, if he could get this ox too, without the man's knowing it, and without his doing him any harm, he should be as good as any one of them.
3274_163518_000025_000004	If that were all, the youth said, he did not think it a very hard thing.	If that were all, the youth said, he did not think it a very hard thing.
3274_163518_000026_000000	This time he took with him a rope, and hung himself up under the arm- pits to a tree right in the man's way.	This time he took with him a rope, and hung himself up under the arm pits to a tree right in the man's way.
3274_163518_000026_000001	So the man came along with his ox, and when he saw such a sight hanging there he began to feel a little queer.	So the man came along with his ox, and when he saw such a sight hanging there he began to feel a little queer.
3274_163518_000027_000001	Down slipped the youth from the tree, and ran by a footpath, and got before the man, and hung himself up right in his way again.	Down slipped the youth from the tree, and ran by a footpath, and got before the man, and hung himself up right in his way again.
3274_163518_000028_000001	Aye, aye! you may hang for all I care, whether you are a ghost or whatever you are.' So he passed on with his ox.	Aye, aye! you may hang for all I care, whether you are a ghost or whatever you are.' So he passed on with his ox.
3274_163518_000029_000000	Now the youth did just as he had done twice before; he jumped down from the tree, ran through the wood by a footpath, and hung himself up right in the man's way again.	Now the youth did just as he had done twice before; he jumped down from the tree, ran through the wood by a footpath, and hung himself up right in the man's way again.
3274_163518_000029_000001	But when the man saw this sight for the third time, he said to himself:	But when the man saw this sight for the third time, he said to himself:
3274_163518_000030_000000	'Well! this is an ugly business!	'Well! this is an ugly business!
3274_163518_000030_000001	Is it likely now that they should have been so heavy at heart as to hang themselves, all these three? No!	Is it likely now that they should have been so heavy at heart as to hang themselves, all these three? No!
3274_163518_000030_000002	I cannot think it is anything else than a piece of witchcraft that I see.	I cannot think it is anything else than a piece of witchcraft that I see.
3274_163518_000030_000003	But now I'll soon know for certain; if the other two are still hanging there, it must be really so; but if they are not, then it can be nothing but witchcraft that I see.'	But now I'll soon know for certain; if the other two are still hanging there, it must be really so; but if they are not, then it can be nothing but witchcraft that I see.'
3274_163518_000031_000000	So he tied up his ox, and ran back to see if the others were still really hanging there.	So he tied up his ox, and ran back to see if the others were still really hanging there.
3274_163518_000031_000001	But while he went and peered up into all the trees, the youth jumped down and took his ox and ran off with it. When the man came back and found his ox gone, he was in a sad plight, and, as any one might know without being told, he began to cry and bemoan; but at last he came to take it easier, and so he thought:	But while he went and peered up into all the trees, the youth jumped down and took his ox and ran off with it. When the man came back and found his ox gone, he was in a sad plight, and, as any one might know without being told, he began to cry and bemoan; but at last he came to take it easier, and so he thought:
3274_163518_000032_000000	'There's no other help for it than to go home and take the third ox without my dame's knowing it, and to try and drive a good bargain with it, so that I may get a good sum of money for it.'	'There's no other help for it than to go home and take the third ox without my dame's knowing it, and to try and drive a good bargain with it, so that I may get a good sum of money for it.'
3274_163518_000033_000000	So he went home and set off with the ox, and his old dame knew never a word about the matter.	So he went home and set off with the ox, and his old dame knew never a word about the matter.
3274_163518_000033_000001	But the robbers, they knew all about it, and they said to the youth, that if he could steal this ox as he had stolen the other two, then he should be master over the whole band. Well, the youth set off, and ran into the wood; and as the man came by with his ox he set up a dreadful bellowing, just like a great ox in the wood.	But the robbers, they knew all about it, and they said to the youth, that if he could steal this ox as he had stolen the other two, then he should be master over the whole band. Well, the youth set off, and ran into the wood; and as the man came by with his ox he set up a dreadful bellowing, just like a great ox in the wood.
