7752_110526_000005_000000	There was once a king who was such an honourable man that his subjects called him "The Good King."	There was once a king who was such an honourable man that his subjects called him "The Good King."
7752_110526_000006_000000	One day while he was out hunting, a little rabbit that his dogs were about to kill, threw itself into his arms.	One day while he was out hunting, a little rabbit that his dogs were about to kill, threw itself into his arms.
7752_110526_000006_000001	The King caressed the little creature, and said:	The King caressed the little creature, and said:
7752_110526_000008_000000	That night when he was alone in his room, there appeared a lovely lady.	That night when he was alone in his room, there appeared a lovely lady.
7752_110526_000008_000001	She wore a robe as white as snow, and a wreath of white roses on her head.	She wore a robe as white as snow, and a wreath of white roses on her head.
7752_110526_000009_000000	"I am the Fairy Candide; I wished to see if you were as good as everybody declares you are, and for this reason I changed myself into the little rabbit, and ran to you in my distress, for I know that those who have pity for dumb creatures have still more pity for mankind.	"I am the Fairy Candide; I wished to see if you were as good as everybody declares you are, and for this reason I changed myself into the little rabbit, and ran to you in my distress, for I know that those who have pity for dumb creatures have still more pity for mankind.
7752_110526_000013_000000	"Willingly," responded the Fairy, "I will make your son the most handsome prince in the world, or the richest, or the most powerful; choose which you will for him."	"Willingly," responded the Fairy, "I will make your son the most handsome prince in the world, or the richest, or the most powerful; choose which you will for him."
7752_110526_000015_000001	All that I can promise is that I will give him good advice, and punish him for his faults, if he will not himself correct them."	All that I can promise is that I will give him good advice, and punish him for his faults, if he will not himself correct them."
7752_110526_000016_000000	And with this the father had to rest content.	And with this the father had to rest content.
7752_110526_000018_000000	"I promised your father to be your friend," she told him; "here is a little gold ring, take care of it, for it is worth more than diamonds. Every time that you are about to do any wrong action it will prick you.	"I promised your father to be your friend," she told him; "here is a little gold ring, take care of it, for it is worth more than diamonds. Every time that you are about to do any wrong action it will prick you.
7752_110526_000018_000001	If, in spite of the pricks, you continue your bad actions, you will lose my friendship and I shall become your enemy."	If, in spite of the pricks, you continue your bad actions, you will lose my friendship and I shall become your enemy."
7752_110526_000020_000001	At that moment the ring pricked like a pin running into his finger.	At that moment the ring pricked like a pin running into his finger.
7752_110526_000021_000000	"What is this?" he exclaimed: "the Fairy must be mocking me, surely I've done no great harm in kicking an animal that annoyed me.	"What is this?" he exclaimed: "the Fairy must be mocking me, surely I've done no great harm in kicking an animal that annoyed me.
7752_110526_000021_000001	What's the use of being ruler of a great empire if I may not treat my dog as I will?"	What's the use of being ruler of a great empire if I may not treat my dog as I will?"
7752_110526_000025_000000	One day when he was out walking he saw a girl named Zelie, who was so beautiful that he resolved to marry her.	One day when he was out walking he saw a girl named Zelie, who was so beautiful that he resolved to marry her.
7752_110526_000026_000000	But Zelie was as good as she was beautiful, and said to him:	But Zelie was as good as she was beautiful, and said to him:
7752_110526_000030_000000	Great was his surprise, on entering the apartment, to find the captive had disappeared, for he carried the key of the door in his pocket.	Great was his surprise, on entering the apartment, to find the captive had disappeared, for he carried the key of the door in his pocket.
7752_110526_000035_000000	"I promised your father," said she in a stern voice, "to give you good advice, and to punish you if you refused to follow it.	"I promised your father," said she in a stern voice, "to give you good advice, and to punish you if you refused to follow it.
7752_110526_000035_000001	You have despised my counsels and your crimes have converted you into a monster, the horror of heaven and earth.	You have despised my counsels and your crimes have converted you into a monster, the horror of heaven and earth.
7752_110526_000035_000002	Now it is time to fulfill my promise of punishment.	Now it is time to fulfill my promise of punishment.
7752_110526_000035_000003	I condemn you to take the resemblance of the beasts you are like in disposition--A lion, because of your fury--a wolf, on account of your greediness--a serpent, for destroying him who has been your second father--a bull, by reason of your brutality."	I condemn you to take the resemblance of the beasts you are like in disposition-A lion, because of your fury-a wolf, on account of your greediness-a serpent, for destroying him who has been your second father-a bull, by reason of your brutality."
7752_110526_000038_000000	He had a lion's head, a bull's horns, the feet of a wolf, and the tail of a viper.	He had a lion's head, a bull's horns, the feet of a wolf, and the tail of a viper.
7752_110526_000038_000001	At the same moment he found himself in a forest, and there, after roaming about miserably for some time, he fell into a pit dug by hunters.	At the same moment he found himself in a forest, and there, after roaming about miserably for some time, he fell into a pit dug by hunters.
7752_110526_000038_000002	He was captured and led into the capital of his Kingdom.	He was captured and led into the capital of his Kingdom.
7752_110526_000044_000000	One day he carried his little piece of bread into the garden to eat it there, but wandering with it in his mouth, still further on, he saw a young girl pale and thin, and almost fainting for want of food.	One day he carried his little piece of bread into the garden to eat it there, but wandering with it in his mouth, still further on, he saw a young girl pale and thin, and almost fainting for want of food.
7752_110526_000045_000001	Just then he heard loud cries, and saw that it was the beautiful Zelie struggling to free herself from four men who were carrying her into a house near by.	Just then he heard loud cries, and saw that it was the beautiful Zelie struggling to free herself from four men who were carrying her into a house near by.
7752_110526_000046_000001	Presently from a window was thrown a plateful of tempting-looking food.	Presently from a window was thrown a plateful of tempting looking food.
7752_110526_000048_000001	For several days he flew around hoping to catch sight of Zelie, and at last, seated by a hermit, outside a cave, he found her.	For several days he flew around hoping to catch sight of Zelie, and at last, seated by a hermit, outside a cave, he found her.
7752_110526_000048_000002	Fluttering down he alighted upon her shoulder.	Fluttering down he alighted upon her shoulder.
7752_110526_000048_000005	The worthy Governor was delighted to behold his dear master, and gladly resigned the throne to him.	The worthy Governor was delighted to behold his dear master, and gladly resigned the throne to him.
