5538_70919_000002_000000	"From the Depths of his Love"	"From the Depths of his Love"
5538_70919_000003_000000	At seven o'clock, precisely, Anthony Dexter's old housekeeper rang the rising bell.	At seven o'clock, precisely, Anthony Dexter's old housekeeper rang the rising bell.
5538_70919_000003_000002	In fact, the breakfast bell had rung before he was fully awake.	In fact, the breakfast bell had rung before he was fully awake.
5538_70919_000004_000000	He dressed leisurely, and was haunted by a vague feeling that something unpleasant had happened.	He dressed leisurely, and was haunted by a vague feeling that something unpleasant had happened.
5538_70919_000004_000001	At length he remembered that just before dusk, in the garden of Evelina Grey's old house, he had seen a ghost--a ghost who confronted him mutely with a thing he had long since forgotten.	At length he remembered that just before dusk, in the garden of Evelina Grey's old house, he had seen a ghost-a ghost who confronted him mutely with a thing he had long since forgotten.
5538_70919_000005_000000	"It was subjective, purely," mused Anthony Dexter.	"It was subjective, purely," mused Anthony Dexter.
5538_70919_000006_000000	He was strong and straight of body, finely muscular, and did not look over forty, though it was more than eight years ago that he had reached the fortieth milestone.	He was strong and straight of body, finely muscular, and did not look over forty, though it was more than eight years ago that he had reached the fortieth milestone.
5538_70919_000006_000001	His hair was thinning a little at the temples and the rest of it was touched generously with grey.	His hair was thinning a little at the temples and the rest of it was touched generously with grey.
5538_70919_000006_000002	His features were regular and his skin clear.	His features were regular and his skin clear.
5538_70919_000006_000003	A full beard, closely cropped, hid the weakness of his chin, but did not entirely conceal those fine lines about the mouth which mean cruelty.	A full beard, closely cropped, hid the weakness of his chin, but did not entirely conceal those fine lines about the mouth which mean cruelty.
5538_70919_000007_000000	Someway, in looking at him, one got the impression of a machine, well-nigh perfect of its kind.	Someway, in looking at him, one got the impression of a machine, well nigh perfect of its kind.
5538_70919_000007_000001	His dark eyes were sharp and penetrating.	His dark eyes were sharp and penetrating.
5538_70919_000007_000002	Once they had been sympathetic, but he had outgrown that. His hands were large, white, and well-kept, his fingers knotted, and blunt at the tips.	Once they had been sympathetic, but he had outgrown that. His hands were large, white, and well kept, his fingers knotted, and blunt at the tips.
5538_70919_000007_000003	He had, pre-eminently, the hand of the surgeon, capable of swiftness and strength, and yet of delicacy.	He had, pre eminently, the hand of the surgeon, capable of swiftness and strength, and yet of delicacy.
5538_70919_000007_000004	It was not a hand that would tremble easily; it was powerful and, in a way, brutal.	It was not a hand that would tremble easily; it was powerful and, in a way, brutal.
5538_70919_000008_000000	He was thoroughly self-satisfied, as well he might be, for the entire countryside admitted his skill, and even in the operating rooms of the hospitals in the city not far distant.	He was thoroughly self satisfied, as well he might be, for the entire countryside admitted his skill, and even in the operating rooms of the hospitals in the city not far distant.
5538_70919_000008_000001	Doctor Dexter's name was well known.	Doctor Dexter's name was well known.
