7910_294690_000000_000000	CHAPTER IV.	CHAPTER four.	false	0.18	20.055	21.914707
7910_294690_000000_000001	THE CURTAIN FALLS.	THE CURTAIN FALLS.	true	20.055	21.52	21.469631
7910_294690_000001_000000	FOR the rest of the day, and through the night, I was kept a close prisoner in my room, watched by a man on whose fidelity my father could depend.	FOR the rest of the day, and through the night, I was kept a close prisoner in my room, watched by a man on whose fidelity my father could depend.	true	21.8	30.25	21.080214
7910_294690_000002_000000	The next morning I made an effort to escape, and was discovered before I had got free of the house.	The next morning I made an effort to escape, and was discovered before I had got free of the house.	true	30.8	36.49	21.221483
7910_294690_000002_000001	Confined again to my room, I contrived to write to Mary, and to slip my note into the willing hand of the housemaid who attended on me.	Confined again to my room, I contrived to write to Mary, and to slip my note into the willing hand of the housemaid who attended on me.	true	36.83	44.62	18.665432
7910_294690_000002_000002	Useless!	Useless!	true	44.84	45.82	20.914585
7910_294690_000002_000003	The vigilance of my guardian was not to be evaded.	The vigilance of my guardian was not to be evaded.	true	46.13	49.15	19.737085
7910_294690_000002_000004	The woman was suspected and followed, and the letter was taken from her.	The woman was suspected and followed, and the letter was taken from her.	true	49.52	53.41	21.887655
7910_294690_000002_000005	My father tore it up with his own hands.	My father tore it up with his own hands.	true	53.54	56.05	21.856585
7910_294690_000003_000000	Later in the day, my mother was permitted to see me.	Later in the day, my mother was permitted to see me.	true	56.72	59.56	21.12292
7910_294690_000004_000000	She was quite unfit, poor soul, to intercede for me, or to serve my interests in any way.	She was quite unfit, poor soul, to intercede for me, or to serve my interests in any way.	true	59.99	65.59	20.392277
7910_294690_000004_000001	My father had completely overwhelmed her by announcing that his wife and his son were to accompany him, when he returned to America.	My father had completely overwhelmed her by announcing that his wife and his son were to accompany him, when he returned to America.	true	65.9	73.21	20.627083
7910_294690_000005_000000	"Every farthing he has in the world," said my mother, "is to be thrown into that hateful speculation.	"Every farthing he has in the world," said my mother, "is to be thrown into that hateful speculation.	true	73.76	79.84	19.662416
