8684_293663_000004_000000	He dropped down softly to the causeway.	He dropped down softly to the causeway.
8684_293663_000004_000004	It was the death-keening of proud Atlantis, Queen of the Atlantic for fifty thousand years.	It was the death keening of proud Atlantis, Queen of the Atlantic for fifty thousand years.
8684_293663_000004_000005	She was dying in darkness.	She was dying in darkness.
8684_293663_000005_000000	For, with the blinding of the Eye, all the soft lights within the city had gone out.	For, with the blinding of the Eye, all the soft lights within the city had gone out.
8684_293663_000005_000001	Dense, utter, impenetrable darkness reigned, and even the gibbous moon, floating overhead, seemed to give no light.	Dense, utter, impenetrable darkness reigned, and even the gibbous moon, floating overhead, seemed to give no light.
8684_293663_000006_000000	Jim dropped to the causeway and began running in the direction of the city.	Jim dropped to the causeway and began running in the direction of the city.
8684_293663_000006_000001	But, feeling the drag of his wings, he unbuckled the strap and flung them away.	But, feeling the drag of his wings, he unbuckled the strap and flung them away.
8684_293663_000006_000002	He might need them, but his one thought was to get to Lucille, if she were still alive.	He might need them, but his one thought was to get to Lucille, if she were still alive.
8684_293663_000006_000003	And he felt that each moment lost might mean that he would be too late.	And he felt that each moment lost might mean that he would be too late.
8684_293663_000007_000000	Through the blackness he raced forward, hearing that sobbing ululation within the walls.	Through the blackness he raced forward, hearing that sobbing ululation within the walls.
8684_293663_000007_000001	But behind him he heard another sound, and shuddered at it, all his hopes suddenly reversed.	But behind him he heard another sound, and shuddered at it, all his hopes suddenly reversed.
8684_293663_000007_000002	For that sound was the shouting of the Drilgoes as they rushed forward to conquest.	For that sound was the shouting of the Drilgoes as they rushed forward to conquest.
8684_293663_000007_000003	And now it seemed a monstrous thing that proud Atlantis should be at the mercy of these hordes.	And now it seemed a monstrous thing that proud Atlantis should be at the mercy of these hordes.
8684_293663_000007_000004	He had let loose destruction upon the world.	He had let loose destruction upon the world.
8684_293663_000007_000005	But it was to save Lucille.	But it was to save Lucille.
8684_293663_000008_000000	That was his consolation.	That was his consolation.
8684_293663_000008_000002	He must get to her before the Drilgoes entered.	He must get to her before the Drilgoes entered.
8684_293663_000008_000003	And he ran faster, panting, gasping, till of a sudden the portals loomed before him, and he saw a crowd of frenzied Atlanteans struggling to pass through, and a file of soldiers struggling to keep them back.	And he ran faster, panting, gasping, till of a sudden the portals loomed before him, and he saw a crowd of frenzied Atlanteans struggling to pass through, and a file of soldiers struggling to keep them back.
8684_293663_000009_000000	He could distinguish nothing more than the confused struggle.	He could distinguish nothing more than the confused struggle.
8684_293663_000009_000001	He hurled himself into the midst of the crowd and swept it back.	He hurled himself into the midst of the crowd and swept it back.
8684_293663_000009_000002	He was within the walls now, and struggling to pass through the mob of people that was swarming like homeless bees.	He was within the walls now, and struggling to pass through the mob of people that was swarming like homeless bees.
8684_293663_000010_000000	He fought them with flailing fists, he clove a pathway through them, until he found himself in a great shadowy space that he recognized as the central assembly of the city.	He fought them with flailing fists, he clove a pathway through them, until he found himself in a great shadowy space that he recognized as the central assembly of the city.
8684_293663_000010_000001	More by instinct than design he hit upon the narrow court that was the elevator.	More by instinct than design he hit upon the narrow court that was the elevator.
