7061_85640_000000_000000	All the rest of his days he went about a blind and lame old man.	All the rest of his days he went about a blind and lame old man.	false	7.425	20.28	20.225382
7061_85640_000001_000000	Thus the gods punished his too great daring.	Thus the gods punished his too great daring.	false	20.28	23.22	20.193104
7061_85640_000002_000000	_The Wolf-Mother of Saint Ailbe_	underscore The Wolf Mother of Saint Ailbe underscore	false	23.22	25.695	19.860401
7061_85640_000003_000000	ABBIE FARWELL BROWN	ABBIE FARWELL BROWN	true	25.695	27.57	20
7061_85640_000004_000000	_Ailbe's Babyhood_	underscore Ailbe's Babyhood underscore	false	27.57	31.23	19.469374
7061_85640_000005_000000	This is the story of a poor little Irish baby whose cruel father and mother did not care anything about him.	This is the story of a poor little Irish baby whose cruel father and mother did not care anything about him.	false	31.23	37.86	19.054455
7061_85640_000005_000001	But because they could not sell him nor give him away they tried to lose him.	But because they could not sell him nor give him away they tried to lose him.	true	37.86	42.31	15
7061_85640_000005_000002	They wrapped him in a piece of cloth and took him up on the mountain-side, and there they left him lying all alone on a bush of heather.	They wrapped him in a piece of cloth and took him up on the mountain side, and there they left him lying all alone on a bush of heather.	true	42.89	50.47	19.500572
7061_85640_000006_000000	Now an old mother-wolf was out taking her evening walk on the mountain after tending her cubs in the den all day.	Now an old mother wolf was out taking her evening walk on the mountain after tending her cubs in the den all day.	true	51.26	56.95	17
7061_85640_000006_000001	And as she was passing the heather bush she heard a faint, funny little cry.	And as she was passing the heather bush she heard a faint, funny little cry.	true	57.35	61.9	18
7061_85640_000006_000002	She pricked up her pointed ears and said, "What's that!" And lo and behold, when she came to sniff out the mystery with her keen nose, it led her straight to the spot where the little pink baby lay, crying with cold and hunger.	She pricked up her pointed ears and said, "What's that!" And lo and behold, when she came to sniff out the mystery with her keen nose, it led her straight to the spot where the little pink baby lay, crying with cold and hunger.	true	62.78	76.75	19.470755
7061_85640_000007_000000	The heart of the mother-wolf was touched, for she thought of her own little ones at home, and how sad it would be to see them so helpless and lonely and forgotten.	The heart of the mother wolf was touched, for she thought of her own little ones at home, and how sad it would be to see them so helpless and lonely and forgotten.	true	77.72	86.23	18.670055
7061_85640_000007_000001	So she picked the baby up in her mouth carefully and ran with him to her den in the rocks at the foot of the mountain.	So she picked the baby up in her mouth carefully and ran with him to her den in the rocks at the foot of the mountain.	true	87.17	93.19	19.449913
7061_85640_000007_000002	Here the little one, whose name was Ailbe, lived with the baby wolves sharing their breakfast and dinner and supper, playing and quarrelling and growing up with them.	Here the little one, whose name was Ailbe, lived with the baby wolves sharing their breakfast and dinner and supper, playing and quarrelling and growing up with them.	true	93.8	103.45	18.760397
7061_85640_000007_000003	The wolf-mother took good care of him and saw that he had the best of everything, for she loved him dearly, indeed.	The wolf mother took good care of him and saw that he had the best of everything, for she loved him dearly, indeed.	true	103.94	109.89	19.54207
7061_85640_000007_000004	And Ailbe grew stronger and stronger, taller and taller, handsomer and handsomer every day, living his happy life in the wild woods of green Ireland.	And Ailbe grew stronger and stronger, taller and taller, handsomer and handsomer every day, living his happy life in the wild woods of green Ireland.	false	109.89	120.15	18.337774
7061_85640_000008_000000	_Ailbe leaves his Forest Home_	underscore Ailbe leaves his Forest Home underscore	false	120.15	125.34	17.053595
7061_85640_000009_000000	Now one day, a year or two after this, a hunter came riding over the mountain on his way home from the chase, and he happened to pass near the cave where Ailbe and the wolves lived.	Now one day, a year or two after this, a hunter came riding over the mountain on his way home from the chase, and he happened to pass near the cave where Ailbe and the wolves lived.	false	125.34	134.95	16
7061_85640_000009_000001	As he was riding under the trees he saw a little white creature run across the path in front of him.	As he was riding under the trees he saw a little white creature run across the path in front of him.	false	135.5	141.72	19.19613
7061_85640_000009_000002	At first he thought it was a rabbit; but it was too big for a rabbit, and besides, it did not hop.	At first he thought it was a rabbit; but it was too big for a rabbit, and besides, it did not hop.	true	141.72	147.28	20.957376
7061_85640_000009_000003	The hunter jumped down from his horse and ran after the funny animal to find out what it was.	The hunter jumped down from his horse and ran after the funny animal to find out what it was.	true	147.89	152.95	14
7061_85640_000009_000004	His long legs soon overtook it in a clump of bushes where it was hiding, and imagine the hunter's surprise when he found that it had neither fur nor horns nor four feet nor a tail, but that it was a beautiful child who could not stand upright, and whose little, bare body ran on all-fours like a baby wolf!	His long legs soon overtook it in a clump of bushes where it was hiding, and imagine the hunter's surprise when he found that it had neither fur nor horns nor four feet nor a tail, but that it was a beautiful child who could not stand upright, and whose little, bare body ran on all fours like a baby wolf!	false	153.32	172.48	20.092422
7061_85640_000009_000005	It was little Ailbe, the wolf-mother's pet, who had grown so fast that he was almost able to take care of himself.	It was little Ailbe, the wolf mother's pet, who had grown so fast that he was almost able to take care of himself.	false	173.06	180.43	17.97635
7061_85640_000009_000006	But he was not quite able, the hunter thought; and he said to himself that he would carry the poor little thing home to his kind wife, that she might take care of him.	But he was not quite able, the hunter thought; and he said to himself that he would carry the poor little thing home to his kind wife, that she might take care of him.	true	180.74	189.64	18
7061_85640_000009_000007	So he caught Ailbe up in his arms, kicking and squealing and biting like the wild little animal he was, and wrapped him in a corner of his great cloak.	So he caught Ailbe up in his arms, kicking and squealing and biting like the wild little animal he was, and wrapped him in a corner of his great cloak.	true	190.7	199.3	17
7061_85640_000009_000008	Then he jumped on his horse with a chirrup and galloped away out of the woods toward his village.	Then he jumped on his horse with a chirrup and galloped away out of the woods toward his village.	true	199.52	205	19
7061_85640_000010_000000	But Ailbe did not want to leave his forest home, the wolf-den, and his little wolf-brothers.	But Ailbe did not want to leave his forest home, the wolf den, and his little wolf brothers.	true	205.73	210.4	19
7061_85640_000010_000001	Especially he did not want to leave his dear foster mother.	Especially he did not want to leave his dear foster mother.	true	210.92	214.39	18.692877
7061_85640_000010_000002	So he screamed and struggled to get away from the big hunter, and he called to the wolves in their own language to come and help him.	So he screamed and struggled to get away from the big hunter, and he called to the wolves in their own language to come and help him.	true	214.58	220.87	20
7061_85640_000010_000003	Then out of the forest came bounding the great mother-wolf with her four children, now grown to be nearly as big as herself.	Then out of the forest came bounding the great mother wolf with her four children, now grown to be nearly as big as herself.	true	221.33	228.46	19.16377
7061_85640_000010_000004	She chased the fleeting horse and snapped at the loose end of the huntsman's cloak, howling with grief and anger.	She chased the fleeting horse and snapped at the loose end of the huntsman's cloak, howling with grief and anger.	true	228.89	234.85	18.810663
7061_85640_000010_000005	But she could not get the thief, nor get back her adopted son, the little smooth-skinned foundling.	But she could not get the thief, nor get back her adopted son, the little smooth skinned foundling.	true	235.31	241.57	18
7061_85640_000010_000006	So after following them for miles, the five wolves gradually dropped farther and farther behind.	So after following them for miles, the five wolves gradually dropped farther and farther behind.	true	242.36	247.66	20.214548
7061_85640_000010_000007	And at last, as he stretched out his little arms to them over the hunter's velvet shoulder, Ailbe saw them stop in the road panting, with one last howl of farewell.	And at last, as he stretched out his little arms to them over the hunter's velvet shoulder, Ailbe saw them stop in the road panting, with one last howl of farewell.	false	248	257.38	18.92752
7061_85640_000010_000008	They had given up the hopeless chase.	They had given up the hopeless chase.	true	258.35	260.8	18
7061_85640_000010_000009	And with their tails between their legs and their heads drooping low, they slunk back to their lonely den where they would never see their little boy playmate any more.	And with their tails between their legs and their heads drooping low, they slunk back to their lonely den where they would never see their little boy playmate any more.	false	261.56	270.31	16
7061_85640_000010_000010	It was a sad day for the wolf-mother.	It was a sad day for the wolf mother.	true	271.19	273.7	16
7061_85640_000011_000000	But the hunter carried little Ailbe home with him on the horse's back. And he found a new mother there to receive him.	But the hunter carried little Ailbe home with him on the horse's back. And he found a new mother there to receive him.	true	274.61	280.99	21.08344
7061_85640_000011_000001	Ailbe never knew who his first mother was, but she must have been a bad, cruel woman.	Ailbe never knew who his first mother was, but she must have been a bad, cruel woman.	true	281.27	286.69	18.054499
7061_85640_000011_000002	His second mother was the kind wolf.	His second mother was the kind wolf.	true	287.09	289.24	20.460817
7061_85640_000011_000003	And this one, the third, was a beautiful Princess.	And this one, the third, was a beautiful Princess.	true	289.34	292.57	16
7061_85640_000011_000004	For the hunter who had found the child was a Prince, and he lived in a grand castle by a lake near Tipperary, with hundreds of servants and horses and dogs and little pages for Ailbe to play with.	For the hunter who had found the child was a Prince, and he lived in a grand castle by a lake near Tipperary, with hundreds of servants and horses and dogs and little pages for Ailbe to play with.	true	293.06	304.81	19
7061_85640_000011_000005	And here he lived and was very happy; and here he learned all the things which in those days made a little boy grow up into a wise and great man.	And here he lived and was very happy; and here he learned all the things which in those days made a little boy grow up into a wise and great man.	true	305.36	313.12	19
7061_85640_000011_000006	He grew so wise and great that he was made a Bishop and had a palace of his own in the town of Emly.	He grew so wise and great that he was made a Bishop and had a palace of his own in the town of Emly.	true	314.09	320.56	17
7061_85640_000011_000007	People came to see him from far and near, who made him presents, and asked him questions, and ate his dinners.	People came to see him from far and near, who made him presents, and asked him questions, and ate his dinners.	false	320.93	326.89	17
7061_85640_000012_000000	But though he had grown so great and famous, Ailbe had never forgotten his second mother, the good wolf, nor his four-footed brothers in their coats of grey fur.	But though he had grown so great and famous, Ailbe had never forgotten his second mother, the good wolf, nor his four footed brothers in their coats of grey fur.	true	327.59	336.7	19
7061_85640_000012_000001	And sometimes when his visitors were stupid and stayed a long time, or when they asked too many questions, or when they made him presents which he did not like, Ailbe longed to be back in the forest with the good beasts.	And sometimes when his visitors were stupid and stayed a long time, or when they asked too many questions, or when they made him presents which he did not like, Ailbe longed to be back in the forest with the good beasts.	false	337.4	349.2	18
7061_85640_000013_000000	_Ailbe finds the Wolf-Mother again_	underscore Ailbe finds the Wolf Mother again underscore	false	349.2	354.48	17.78588
7061_85640_000014_000000	A great many years afterward there was one day a huge hunt in Emly. All the lords for miles around were out chasing the wild beasts, and among them was the Prince, Ailbe's foster father.	A great many years afterward there was one day a huge hunt in Emly. All the lords for miles around were out chasing the wild beasts, and among them was the Prince, Ailbe's foster father.	true	354.48	366.28	18
7061_85640_000014_000001	But the Bishop himself was not with them.	But the Bishop himself was not with them.	true	366.8	368.86	22.800953
7061_85640_000014_000002	He did not see any sport in killing poor creatures.	He did not see any sport in killing poor creatures.	false	369.02	372.85	18
7061_85640_000014_000003	It was almost night, and the people of Emly were out watching for the hunters to return.	It was almost night, and the people of Emly were out watching for the hunters to return.	true	373.37	377.44	18
7061_85640_000014_000004	The Bishop was coming down the village street on his way from church, when the sounds of horns came over the hills close by, and he knew the chase was nearing home.	The Bishop was coming down the village street on his way from church, when the sounds of horns came over the hills close by, and he knew the chase was nearing home.	false	377.93	386.53	16
7061_85640_000015_000000	Louder and louder came the _tantaratara_! of the horns, and then he could hear the thud of the horses' hoofs and the yelp of the hounds. But suddenly the Bishop's heart stood still.	Louder and louder came the underscore tantaratara underscore! of the horns, and then he could hear the thud of the horses' hoofs and the yelp of the hounds. But suddenly the Bishop's heart stood still.	false	387.44	398.8	19.777794
7061_85640_000015_000001	Among all the other noises of the chase he heard a sound which made him think--think--think.	Among all the other noises of the chase he heard a sound which made him think-think-think.	true	399.26	406.57	17.863148
7061_85640_000015_000002	It was the long-drawn howl of a wolf, a sad howl of fear and weariness and pain.	It was the long drawn howl of a wolf, a sad howl of fear and weariness and pain.	true	407.45	413.71	18.015514
7061_85640_000015_000003	It spoke a language which he had almost forgotten.	It spoke a language which he had almost forgotten.	true	413.93	416.83	19.285702
7061_85640_000015_000004	But hardly had he time to think again and remember before down the village street came a gaunt figure, flying in long leaps from the foremost dogs who were snapping at her heels.	But hardly had he time to think again and remember before down the village street came a gaunt figure, flying in long leaps from the foremost dogs who were snapping at her heels.	true	417.56	428.29	19.68838
7061_85640_000015_000005	It was Ailbe's wolf-mother.	It was Ailbe's wolf mother.	true	428.48	430.87	21.442122
7061_85640_000016_000000	He recognized her as soon as he saw her green eyes and the patch of white on her right foreleg.	He recognized her as soon as he saw her green eyes and the patch of white on her right foreleg.	true	431.84	437.95	16
7061_85640_000016_000001	And she recognized him too--how I cannot say, for he had changed greatly since she last saw him, a naked little sun-browned boy.	And she recognized him too-how I cannot say, for he had changed greatly since she last saw him, a naked little sun browned boy.	true	438.23	447.22	18.72828
7061_85640_000016_000002	But, at any rate, in his fine robes of purple and linen and rich lace, with the mitre on his head and the crozier in his hand, the wolf-mother knew her dear son.	But, at any rate, in his fine robes of purple and linen and rich lace, with the mitre on his head and the crozier in his hand, the wolf mother knew her dear son.	false	447.35	456.85	18
7061_85640_000016_000003	With a cry of joy she bounded up to him and laid her head upon his breast, as if she knew he would protect her from the growling dogs and the fierce-eyed hunters.	With a cry of joy she bounded up to him and laid her head upon his breast, as if she knew he would protect her from the growling dogs and the fierce eyed hunters.	true	457.34	466.57	19
7061_85640_000016_000004	And the good Bishop was true to her.	And the good Bishop was true to her.	true	467.06	469.06	22.515537
7061_85640_000016_000005	For he drew his beautiful velvet cloak about her tired, panting body, and laid his hand lovingly on her head.	For he drew his beautiful velvet cloak about her tired, panting body, and laid his hand lovingly on her head.	true	469.22	476.14	18.156782
7061_85640_000016_000006	Then in the other, he held up his crook warningly to keep back the ferocious dogs.	Then in the other, he held up his crook warningly to keep back the ferocious dogs.	false	476.42	481.45	21.778044
7061_85640_000017_000000	"I will protect thee, old mother," he said tenderly.	"I will protect thee, old mother," he said tenderly.	false	482.27	485.08	19
7061_85640_000017_000001	"When I was little and young and feeble, thou didst nourish and cherish and protect me; and now that thou art old and grey and weak, shall I not render the same love and care to thee?	"When I was little and young and feeble, thou didst nourish and cherish and protect me; and now that thou art old and grey and weak, shall I not render the same love and care to thee?	false	485.45	497.28	19.408539
7061_85640_000017_000002	None shall injure thee."	None shall injure thee."	true	497.28	498.76	18.159443
7061_85640_000018_000000	Then the hunters came tearing up on their foaming horses.	Then the hunters came tearing up on their foaming horses.	true	499.49	502.57	20.682762
7061_85640_000018_000001	Some were angry, and wanted even now to kill the poor wolf, just as the dogs did which were prowling about snarling with disappointment.	Some were angry, and wanted even now to kill the poor wolf, just as the dogs did which were prowling about snarling with disappointment.	true	502.64	510.58	18.346914
7061_85640_000018_000002	But Ailbe would have none of it.	But Ailbe would have none of it.	true	511.04	512.86	19.394922
7061_85640_000018_000003	He forbade them to touch the wolf.	He forbade them to touch the wolf.	true	513.05	515.1	24.46981
