1337_10673_000000_000000	Then one of the Calenders, addressing himself to Zobeida as the principal lady, began his story.	Then one of the Calenders, addressing himself to Zobeida as the principal lady, began his story.	false	0.81	22.44	17.948193
1337_10673_000001_000000	The Story of the First Calender, Son of a King	The Story of the First Calender, Son of a King	true	22.44	25.78	19.267666
1337_10673_000002_000000	In order, madam, to explain how I came to lose my right eye, and to wear the dress of a Calender, you must first know that I am the son of a king.	In order, madam, to explain how I came to lose my right eye, and to wear the dress of a Calender, you must first know that I am the son of a king.	true	27.77	36.19	19.77794
1337_10673_000002_000001	My father's only brother reigned over the neighbouring country, and had two children, a daughter and a son, who were of the same age as myself.	My father's only brother reigned over the neighbouring country, and had two children, a daughter and a son, who were of the same age as myself.	false	36.38	44.17	19.794382
1337_10673_000003_000000	As I grew up, and was allowed more liberty, I went every year to pay a visit to my uncle's court, and usually stayed there about two months. In this way my cousin and I became very intimate, and were much attached to each other.	As I grew up, and was allowed more liberty, I went every year to pay a visit to my uncle's court, and usually stayed there about two months. In this way my cousin and I became very intimate, and were much attached to each other.	false	44.63	57.64	19.453999
1337_10673_000003_000001	The very last time I saw him he seemed more delighted to see me than ever, and gave a great feast in my honour. When we had finished eating, he said to me, "My cousin, you would never guess what I have been doing since your last visit to us!	The very last time I saw him he seemed more delighted to see me than ever, and gave a great feast in my honour. When we had finished eating, he said to me, "My cousin, you would never guess what I have been doing since your last visit to us!	true	58.01	71.26	17
1337_10673_000003_000002	Directly after your departure I set a number of men to work on a building after my own design.	Directly after your departure I set a number of men to work on a building after my own design.	true	71.72	76.69	13
1337_10673_000003_000003	It is now completed, and ready to be lived in.	It is now completed, and ready to be lived in.	true	76.85	79.39	18
1337_10673_000003_000004	I should like to show it to you, but you must first swear two things: to be faithful to me, and to keep my secret."	I should like to show it to you, but you must first swear two things: to be faithful to me, and to keep my secret."	true	79.7	87.25	17.868368
1337_10673_000004_000000	Of course I did not dream of refusing him anything he asked, and gave the promise without the least hesitation.	Of course I did not dream of refusing him anything he asked, and gave the promise without the least hesitation.	true	88.01	94.06	17
1337_10673_000004_000001	He then bade me wait an instant, and vanished, returning in a few moments with a richly dressed lady of great beauty, but as he did not tell me her name, I thought it was better not to inquire.	He then bade me wait an instant, and vanished, returning in a few moments with a richly dressed lady of great beauty, but as he did not tell me her name, I thought it was better not to inquire.	true	94.22	105.49	18
1337_10673_000004_000002	We all three sat down to table and amused ourselves with talking of all sorts of indifferent things, and with drinking each other's health.	We all three sat down to table and amused ourselves with talking of all sorts of indifferent things, and with drinking each other's health.	true	105.89	113.14	16
1337_10673_000004_000003	Suddenly the prince said to me, "Cousin, we have no time to lose; be so kind as to conduct this lady to a certain spot, where you will find a dome-like tomb, newly built.	Suddenly the prince said to me, "Cousin, we have no time to lose; be so kind as to conduct this lady to a certain spot, where you will find a dome like tomb, newly built.	true	113.33	123.79	20
1337_10673_000004_000004	You cannot mistake it.	You cannot mistake it.	true	123.89	125.44	19.527975
1337_10673_000004_000005	Go in, both of you, and wait till I come.	Go in, both of you, and wait till I come.	true	125.51	128.025	19.461353
1337_10673_000004_000006	I shall not be long."	I shall not be long."	true	128.025	129.46	19
1337_10673_000005_000000	As I had promised I prepared to do as I was told, and giving my hand to the lady, I escorted her, by the light of the moon, to the place of which the prince had spoken.	As I had promised I prepared to do as I was told, and giving my hand to the lady, I escorted her, by the light of the moon, to the place of which the prince had spoken.	true	129.83	139.6	17.696907
1337_10673_000005_000001	We had barely reached it when he joined us himself, carrying a small vessel of water, a pickaxe, and a little bag containing plaster.	We had barely reached it when he joined us himself, carrying a small vessel of water, a pickaxe, and a little bag containing plaster.	true	139.94	147.94	17
1337_10673_000006_000000	With the pickaxe he at once began to destroy the empty sepulchre in the middle of the tomb.	With the pickaxe he at once began to destroy the empty sepulchre in the middle of the tomb.	true	148.58	153.82	17
1337_10673_000006_000001	One by one he took the stones and piled them up in a corner.	One by one he took the stones and piled them up in a corner.	false	154.16	157.54	17
1337_10673_000006_000002	When he had knocked down the whole sepulchre he proceeded to dig at the earth, and beneath where the sepulchre had been I saw a trap-door.	When he had knocked down the whole sepulchre he proceeded to dig at the earth, and beneath where the sepulchre had been I saw a trap door.	true	157.67	164.83	16
1337_10673_000006_000003	He raised the door and I caught sight of the top of a spiral staircase; then he said, turning to the lady, "Madam, this is the way that will lead you down to the spot which I told you of."	He raised the door and I caught sight of the top of a spiral staircase; then he said, turning to the lady, "Madam, this is the way that will lead you down to the spot which I told you of."	true	165.11	175.48	19.152338
1337_10673_000007_000000	The lady did not answer, but silently descended the staircase, the prince following her.	The lady did not answer, but silently descended the staircase, the prince following her.	true	176.15	181.6	18.221903
