2053_138888_000001_000000	CHAPTER LII.	CHAPTER fifty two.
2053_138888_000002_000000	What Occurred in Suffolk Street, Pall Mall.	What Occurred in Suffolk Street, Pall Mall.
2053_138888_000003_000000	Mr. Tombe had gained nothing for the cause by his crafty silence. George Vavasor felt perfectly certain, as he walked out from the little street which runs at the back of Doctors' Commons, that the money which he had been using had come, in some shape, through the hands of John Grey.	mr Tombe had gained nothing for the cause by his crafty silence. George Vavasor felt perfectly certain, as he walked out from the little street which runs at the back of Doctors' Commons, that the money which he had been using had come, in some shape, through the hands of john Grey.
2053_138888_000003_000001	He did not care much to calculate whether the payments had been made from the personal funds of his rival, or whether that rival had been employed to dispense Alice's fortune. Under either view of the case his position was sufficiently bitter. The truth never for a moment occurred to him.	He did not care much to calculate whether the payments had been made from the personal funds of his rival, or whether that rival had been employed to dispense Alice's fortune. Under either view of the case his position was sufficiently bitter. The truth never for a moment occurred to him.
2053_138888_000003_000004	To him it seemed to be certain that Alice and Mr. Grey were in league;--and if they were in league, what must he think of Alice, and of her engagement with himself!	To him it seemed to be certain that Alice and mr Grey were in league;--and if they were in league, what must he think of Alice, and of her engagement with himself!
2053_138888_000004_000000	There are men who rarely think well of women,--who hardly think well of any woman.	There are men who rarely think well of women,--who hardly think well of any woman.
2053_138888_000004_000002	I cannot say that such had been Vavasor's creed,--not entirely such.	I cannot say that such had been Vavasor's creed,--not entirely such.
2053_138888_000004_000008	Grey, as he thought, had been accepted by her cold prudence; but he thought, also, that she had found her prudence to be too cold, and had therefore returned where she had truly loved. Vavasor, though he did not love much himself, was willing enough to be the object of love.	Grey, as he thought, had been accepted by her cold prudence; but he thought, also, that she had found her prudence to be too cold, and had therefore returned where she had truly loved. Vavasor, though he did not love much himself, was willing enough to be the object of love.
2053_138888_000005_000000	This idea of his, however, had been greatly shaken by Alice's treatment of himself personally; but still he had not, hitherto, believed that she was false to him.	This idea of his, however, had been greatly shaken by Alice's treatment of himself personally; but still he had not, hitherto, believed that she was false to him.
2053_138888_000005_000001	Now, what could he believe of her?	Now, what could he believe of her?
2053_138888_000005_000003	He hated her at this moment with even a more bitter hatred than that which he felt towards John Grey.	He hated her at this moment with even a more bitter hatred than that which he felt towards john Grey.
2053_138888_000005_000005	Or could it be that Kate, also, was lying to him?	Or could it be that Kate, also, was lying to him?
2053_138888_000005_000006	If so, Kate also should be included in the punishment.	If so, Kate also should be included in the punishment.
2053_138888_000006_000000	But why should they have conspired to feed him with these moneys? There had been no deceit, at any rate, in reference to the pounds sterling which Scruby had already swallowed.	But why should they have conspired to feed him with these moneys? There had been no deceit, at any rate, in reference to the pounds sterling which Scruby had already swallowed.
2053_138888_000006_000001	They had been supplied, whatever had been the motives of the suppliers; and he had no doubt that more would be supplied if he would only keep himself quiet.	They had been supplied, whatever had been the motives of the suppliers; and he had no doubt that more would be supplied if he would only keep himself quiet.
2053_138888_000006_000002	He was still walking westward as he thought of this, down Ludgate Hill, on his direct line towards Suffolk Street; and he tried to persuade himself that it would be well that he should hide his wrath till after provision should have been made for this other election.	He was still walking westward as he thought of this, down Ludgate Hill, on his direct line towards Suffolk Street; and he tried to persuade himself that it would be well that he should hide his wrath till after provision should have been made for this other election.
2053_138888_000006_000003	They were his enemies,--Alice and Mr. Grey,--and why should he keep any terms with his enemies?	They were his enemies,--Alice and mr Grey,--and why should he keep any terms with his enemies?
2053_138888_000006_000004	It was still a trouble to him to think that he should have been in any way beholden to John Grey; but the terrible thing had been done, the evil had occurred.	It was still a trouble to him to think that he should have been in any way beholden to john Grey; but the terrible thing had been done, the evil had occurred.
2053_138888_000006_000005	What would he gain by staying his hand now?	What would he gain by staying his hand now?
2053_138888_000006_000007	Exactly at the corner of Suffolk Street he met John Grey.	Exactly at the corner of Suffolk Street he met john Grey.
2053_138888_000007_000000	"Mr. Grey," he said, stopping himself suddenly, "I was this moment going to call on you at your lodgings."	"mr Grey," he said, stopping himself suddenly, "I was this moment going to call on you at your lodgings."
2053_138888_000008_000000	"At my lodgings, were you?	"At my lodgings, were you?
2053_138888_000008_000001	Shall I return with you?"	Shall I return with you?"
2053_138888_000009_000000	"If you please," said Vavasor, leading the way up Suffolk Street. There had been no other greeting than this between them.	"If you please," said Vavasor, leading the way up Suffolk Street. There had been no other greeting than this between them.
