2053_138888_000000_000000	"Pinkle, Pinkle," wheezed Mr. Tombe.	"Pinkle, Pinkle," wheezed mr Tombe.	false	0	2.04	21.638746
2053_138888_000000_000001	"Never mind; never mind." Pinkle didn't mind; and we may say that he had not minded; for up to that moment he had taken no steps towards a performance of the order which had been given him.	"Never mind; never mind." Pinkle didn't mind; and we may say that he had not minded; for up to that moment he had taken no steps towards a performance of the order which had been given him.	false	2.04	22.425	21.455858
2053_138888_000001_000000	CHAPTER LII.	CHAPTER fifty two.	true	22.425	24.07	22.95757
2053_138888_000002_000000	What Occurred in Suffolk Street, Pall Mall.	What Occurred in Suffolk Street, Pall Mall.	true	24.59	27.22	22.654922
2053_138888_000003_000000	Mr. Tombe had gained nothing for the cause by his crafty silence. George Vavasor felt perfectly certain, as he walked out from the little street which runs at the back of Doctors' Commons, that the money which he had been using had come, in some shape, through the hands of John Grey.	mr Tombe had gained nothing for the cause by his crafty silence. George Vavasor felt perfectly certain, as he walked out from the little street which runs at the back of Doctors' Commons, that the money which he had been using had come, in some shape, through the hands of john Grey.	true	29.09	46.21	21.393503
2053_138888_000003_000001	He did not care much to calculate whether the payments had been made from the personal funds of his rival, or whether that rival had been employed to dispense Alice's fortune. Under either view of the case his position was sufficiently bitter. The truth never for a moment occurred to him.	He did not care much to calculate whether the payments had been made from the personal funds of his rival, or whether that rival had been employed to dispense Alice's fortune. Under either view of the case his position was sufficiently bitter. The truth never for a moment occurred to him.	true	46.55	62.8	22.1729
2053_138888_000003_000002	He never dreamed that there might be a conspiracy in the matter, of which Alice was as ignorant as he himself had been.	He never dreamed that there might be a conspiracy in the matter, of which Alice was as ignorant as he himself had been.	false	63.05	69.52	21.966024
2053_138888_000003_000003	He never reflected that his uncle John, together with John, the lover, whom he so hated, might be the conspirators.	He never reflected that his uncle john, together with john, the lover, whom he so hated, might be the conspirators.	false	69.98	77.38	22.224716
2053_138888_000003_000004	To him it seemed to be certain that Alice and Mr. Grey were in league;--and if they were in league, what must he think of Alice, and of her engagement with himself!	To him it seemed to be certain that Alice and mr Grey were in league;--and if they were in league, what must he think of Alice, and of her engagement with himself!	true	77.93	88.03	20.70824
2053_138888_000004_000000	There are men who rarely think well of women,--who hardly think well of any woman.	There are men who rarely think well of women,--who hardly think well of any woman.	true	89.03	93.76	21.84281
2053_138888_000004_000001	They put their mothers and sisters into the background,--as though they belonged to some sex or race apart,--and then declare to themselves and to their friends that all women are false,--that no woman can be trusted unless her ugliness protect her; and that every woman may be attacked as fairly as may game in a cover, or deer on a mountain, What man does not know men who have so thought?	They put their mothers and sisters into the background,--as though they belonged to some sex or race apart,--and then declare to themselves and to their friends that all women are false,--that no woman can be trusted unless her ugliness protect her; and that every woman may be attacked as fairly as may game in a cover, or deer on a mountain, What man does not know men who have so thought?	false	94.4	118.36	21.731426
2053_138888_000004_000002	I cannot say that such had been Vavasor's creed,--not entirely such.	I cannot say that such had been Vavasor's creed,--not entirely such.	true	118.94	123.79	21.851017
2053_138888_000004_000003	There had been periods of his life when he had believed implicitly in his cousin Alice;--but then there had been other moments in which he had ridiculed himself for his Quixotism in believing in any woman.	There had been periods of his life when he had believed implicitly in his cousin Alice;--but then there had been other moments in which he had ridiculed himself for his Quixotism in believing in any woman.	false	123.98	135.94	22.34781
2053_138888_000004_000004	And as he had grown older the moments of his Quixotism had become more rare.	And as he had grown older the moments of his Quixotism had become more rare.	false	136.49	141.16	22
2053_138888_000004_000005	There would have been no such Quixotism left with him now, had not the various circumstances which I have attempted to describe, filled him, during the last twelve months, with a renewed desire to marry his cousin.	There would have been no such Quixotism left with him now, had not the various circumstances which I have attempted to describe, filled him, during the last twelve months, with a renewed desire to marry his cousin.	false	141.56	153.76	22.629036
2053_138888_000004_000006	Every man tries to believe in the honesty of his future wife; and, therefore, Vavasor had tried, and had in his way, believed.	Every man tries to believe in the honesty of his future wife; and, therefore, Vavasor had tried, and had in his way, believed.	true	154.55	162.31	19.944841
2053_138888_000004_000007	He had flattered himself, too, that Alice's heart had, in truth, been more prone to him than to that other suitor.	He had flattered himself, too, that Alice's heart had, in truth, been more prone to him than to that other suitor.	false	162.59	170.745	21.838877
2053_138888_000004_000008	Grey, as he thought, had been accepted by her cold prudence; but he thought, also, that she had found her prudence to be too cold, and had therefore returned where she had truly loved. Vavasor, though he did not love much himself, was willing enough to be the object of love.	Grey, as he thought, had been accepted by her cold prudence; but he thought, also, that she had found her prudence to be too cold, and had therefore returned where she had truly loved. Vavasor, though he did not love much himself, was willing enough to be the object of love.	true	170.745	189.4	21.522057
2053_138888_000005_000000	This idea of his, however, had been greatly shaken by Alice's treatment of himself personally; but still he had not, hitherto, believed that she was false to him.	This idea of his, however, had been greatly shaken by Alice's treatment of himself personally; but still he had not, hitherto, believed that she was false to him.	true	190.19	201.49	21.339243
2053_138888_000005_000001	Now, what could he believe of her?	Now, what could he believe of her?	true	202.13	204.31	25.045055
2053_138888_000005_000002	What was there within the compass of such a one to believe? As he walked out into St. Paul's Churchyard he called her by every name which is most offensive to a woman's ears.	What was there within the compass of such a one to believe? As he walked out into saint Paul's Churchyard he called her by every name which is most offensive to a woman's ears.	false	204.77	215.41	21.407671
2053_138888_000005_000003	He hated her at this moment with even a more bitter hatred than that which he felt towards John Grey.	He hated her at this moment with even a more bitter hatred than that which he felt towards john Grey.	true	215.81	221.8	23.09725
2053_138888_000005_000004	She must have deceived him with unparalleled hypocrisy, and lied to him and to his sister Kate as hardly any woman had ever lied before.	She must have deceived him with unparalleled hypocrisy, and lied to him and to his sister Kate as hardly any woman had ever lied before.	false	222.26	230.59	23
2053_138888_000005_000005	Or could it be that Kate, also, was lying to him?	Or could it be that Kate, also, was lying to him?	true	231.11	234.7	28.295498
2053_138888_000005_000006	If so, Kate also should be included in the punishment.	If so, Kate also should be included in the punishment.	true	235.22	239.44	24.038853
2053_138888_000006_000000	But why should they have conspired to feed him with these moneys? There had been no deceit, at any rate, in reference to the pounds sterling which Scruby had already swallowed.	But why should they have conspired to feed him with these moneys? There had been no deceit, at any rate, in reference to the pounds sterling which Scruby had already swallowed.	true	240.41	252.13	23.671442
2053_138888_000006_000001	They had been supplied, whatever had been the motives of the suppliers; and he had no doubt that more would be supplied if he would only keep himself quiet.	They had been supplied, whatever had been the motives of the suppliers; and he had no doubt that more would be supplied if he would only keep himself quiet.	true	252.38	261.91	20.831459
2053_138888_000006_000002	He was still walking westward as he thought of this, down Ludgate Hill, on his direct line towards Suffolk Street; and he tried to persuade himself that it would be well that he should hide his wrath till after provision should have been made for this other election.	He was still walking westward as he thought of this, down Ludgate Hill, on his direct line towards Suffolk Street; and he tried to persuade himself that it would be well that he should hide his wrath till after provision should have been made for this other election.	true	262.4	278.86	24.067726
