5519_39478_000000_000000	The next morning he had more of a struggle than ever to wash and dress her.	The next morning he had more of a struggle than ever to wash and dress her.	false	7.155	23.53	23.43699
5519_39478_000000_000001	Indeed at one time nothing but holding her by the scruff prevented her from getting away from him, but at last he achieved his object and she was washed, brushed, scented and dressed, although to be sure this left him better pleased than her, for she regarded her silk jacket with disfavour.	Indeed at one time nothing but holding her by the scruff prevented her from getting away from him, but at last he achieved his object and she was washed, brushed, scented and dressed, although to be sure this left him better pleased than her, for she regarded her silk jacket with disfavour.	true	23.81	39.82	23.350273
5519_39478_000001_000000	Still at breakfast she was well mannered though a trifle hasty with her food.	Still at breakfast she was well mannered though a trifle hasty with her food.	false	40.61	44.71	24.254488
5519_39478_000001_000001	Then his difficulties with her began for she would go out, but as he had his housework to do, he could not allow it.	Then his difficulties with her began for she would go out, but as he had his housework to do, he could not allow it.	true	45.41	51.55	24.96271
5519_39478_000001_000002	He brought her picture books to divert her, but she would have none of them but stayed at the door scratching it with her claws industriously till she had worn away the paint.	He brought her picture books to divert her, but she would have none of them but stayed at the door scratching it with her claws industriously till she had worn away the paint.	false	51.62	59.8	21.33704
5519_39478_000002_000000	At first he tried coaxing her and wheedling, gave her cards to play patience and so on, but finding nothing would distract her from going out, his temper began to rise, and he told her plainly that she must wait his pleasure and that he had as much natural obstinacy as she had. But to all that he said she paid no heed whatever but only scratched the harder.	At first he tried coaxing her and wheedling, gave her cards to play patience and so on, but finding nothing would distract her from going out, his temper began to rise, and he told her plainly that she must wait his pleasure and that he had as much natural obstinacy as she had. But to all that he said she paid no heed whatever but only scratched the harder.	true	60.83	79.9	21.54584
5519_39478_000002_000001	Thus he let her continue until luncheon, when she would not sit up, or eat off a plate, but first was for getting on to the table, and when that was prevented, snatched her meat and ate it under the table. To all his rebukes she turned a deaf or sullen ear, and so they each finished their meal eating little, either of them, for till she would sit at table he would give her no more, and his vexation had taken away his own appetite.	Thus he let her continue until luncheon, when she would not sit up, or eat off a plate, but first was for getting on to the table, and when that was prevented, snatched her meat and ate it under the table. To all his rebukes she turned a deaf or sullen ear, and so they each finished their meal eating little, either of them, for till she would sit at table he would give her no more, and his vexation had taken away his own appetite.	false	80.45	103.9	22.817232
5519_39478_000002_000002	In the afternoon he took her out for her airing in the garden.	In the afternoon he took her out for her airing in the garden.	true	104.45	107.47	29.741623
5519_39478_000003_000000	She made no pretence now of enjoying the first snowdrops or the view from the terrace.	She made no pretence now of enjoying the first snowdrops or the view from the terrace.	true	108.29	112.18	21
5519_39478_000003_000001	No--there was only one thing for her now--the ducks, and she was off to them before he could stop her.	No-there was only one thing for her now-the ducks, and she was off to them before he could stop her.	true	112.58	118.42	24.505804
5519_39478_000003_000002	Luckily they were all swimming when she got there (for a stream running into the pond on the far side it was not frozen there).	Luckily they were all swimming when she got there (for a stream running into the pond on the far side it was not frozen there).	true	118.85	125.23	21.908997
5519_39478_000004_000000	When he had got down to the pond, she ran out on to the ice, which would not bear his weight, and though he called her and begged her to come back she would not heed him but stayed frisking about, getting as near the ducks as she dared, but being circumspect in venturing on to the thin ice.	When he had got down to the pond, she ran out on to the ice, which would not bear his weight, and though he called her and begged her to come back she would not heed him but stayed frisking about, getting as near the ducks as she dared, but being circumspect in venturing on to the thin ice.	false	126.83	141.13	23.14912
5519_39478_000005_000000	Presently she turned on herself and began tearing off her clothes, and at last by biting got off her little jacket and taking it in her mouth stuffed it into a hole in the ice where he could not get it.	Presently she turned on herself and began tearing off her clothes, and at last by biting got off her little jacket and taking it in her mouth stuffed it into a hole in the ice where he could not get it.	true	142.46	152.56	23.736126
5519_39478_000005_000001	Then she ran hither and thither a stark naked vixen, and without giving a glance to her poor husband who stood silently now upon the bank, with despair and terror settled in his mind.	Then she ran hither and thither a stark naked vixen, and without giving a glance to her poor husband who stood silently now upon the bank, with despair and terror settled in his mind.	true	153.38	163.3	21.225367
5519_39478_000005_000002	She let him stay there most of the afternoon till he was chilled through and through and worn out with watching her.	She let him stay there most of the afternoon till he was chilled through and through and worn out with watching her.	true	163.55	169.21	23.968523
5519_39478_000005_000003	At last he reflected how she had just stripped herself and how in the morning she struggled against being dressed, and he thought perhaps he was too strict with her and if he let her have her own way they could manage to be happy somehow together even if she did eat off the floor.	At last he reflected how she had just stripped herself and how in the morning she struggled against being dressed, and he thought perhaps he was too strict with her and if he let her have her own way they could manage to be happy somehow together even if she did eat off the floor.	true	170.42	184.51	22.500313
5519_39478_000005_000004	So he called out to her then:	So he called out to her then:	true	184.94	186.58	31.010288
5519_39478_000006_000000	"Silvia, come now, be good, you shan't wear any more clothes if you don't want to, and you needn't sit at table neither, I promise.	"Silvia, come now, be good, you shan't wear any more clothes if you don't want to, and you needn't sit at table neither, I promise.	true	188.18	196.45	23.209415
