1961_149738_000000_000000	Freckles blushed and grinned appreciatively.	Freckles blushed and grinned appreciatively.	false	1.38	3.69	20.828869
1961_149738_000001_000000	"Angels and Bird Women don't count in the common run, sir," he affirmed shamelessly.	"Angels and Bird Women don't count in the common run, sir," he affirmed shamelessly.	false	3.69	8.01	15
1961_149738_000002_000000	McLean sat in the saddle and laughed.	McLean sat in the saddle and laughed.	false	8.01	14.205	19.706486
1961_149738_000003_000000	CHAPTER X	CHAPTER ten	true	14.205	15.46	17
1961_149738_000004_000000	Wherein Freckles Strives Mightily and the Swamp Angel Rewards Him	Wherein Freckles Strives Mightily and the Swamp Angel Rewards Him	true	15.53	19.78	17
1961_149738_000005_000000	The Bird Woman and the Angel did not seem to count in the common run, for they arrived on time for the third of the series and found McLean on the line talking to Freckles.	The Bird Woman and the Angel did not seem to count in the common run, for they arrived on time for the third of the series and found McLean on the line talking to Freckles.	true	20.09	28.9	13
1961_149738_000005_000001	The Boss was filled with enthusiasm over a marsh article of the Bird Woman's that he just had read.	The Boss was filled with enthusiasm over a marsh article of the Bird Woman's that he just had read.	false	29.12	34.69	12
1961_149738_000005_000002	He begged to be allowed to accompany her into the swamp and watch the method by which she secured an illustration in such a location.	He begged to be allowed to accompany her into the swamp and watch the method by which she secured an illustration in such a location.	true	34.73	42.01	14
1961_149738_000006_000000	The Bird Woman explained to him that it was an easy matter with the subject she then had in hand; and as Little Chicken was too small to be frightened by him, and big enough to be growing troublesome, she was glad for his company.	The Bird Woman explained to him that it was an easy matter with the subject she then had in hand; and as Little Chicken was too small to be frightened by him, and big enough to be growing troublesome, she was glad for his company.	true	42.17	53.56	13
1961_149738_000006_000001	They went to the chicken log together, leaving to the happy Freckles the care of the Angel, who had brought her banjo and a roll of songs that she wanted to hear him sing.	They went to the chicken log together, leaving to the happy Freckles the care of the Angel, who had brought her banjo and a roll of songs that she wanted to hear him sing.	true	53.84	62.92	15
1961_149738_000006_000002	The Bird Woman told them that they might practice in Freckles' room until she finished with Little Chicken, and then she and McLean would come to the concert.	The Bird Woman told them that they might practice in Freckles' room until she finished with Little Chicken, and then she and McLean would come to the concert.	true	63.26	70.96	17
1961_149738_000007_000000	It was almost three hours before they finished and came down the west trail for their rest and lunch.	It was almost three hours before they finished and came down the west trail for their rest and lunch.	true	71.48	76.78	16
1961_149738_000007_000001	McLean walked ahead, keeping sharp watch on the trail and clearing it of fallen limbs from overhanging trees.	McLean walked ahead, keeping sharp watch on the trail and clearing it of fallen limbs from overhanging trees.	true	76.94	83.11	13
1961_149738_000007_000002	He sent a big piece of bark flying into the swale, and then stopped short and stared at the trail.	He sent a big piece of bark flying into the swale, and then stopped short and stared at the trail.	true	83.39	88.78	17
1961_149738_000008_000000	The Bird Woman bent forward.	The Bird Woman bent forward.	true	89.69	91.47	18.46367
1961_149738_000008_000001	Together they studied that imprint of the Angel's foot.	Together they studied that imprint of the Angel's foot.	true	91.47	94.9	19
1961_149738_000008_000002	At last their eyes met, the Bird Woman's filled with astonishment, and McLean's humid with pity.	At last their eyes met, the Bird Woman's filled with astonishment, and McLean's humid with pity.	true	94.91	101.32	19.368692
1961_149738_000008_000003	Neither said a word, but they knew.	Neither said a word, but they knew.	false	101.87	104.19	19.821455
1961_149738_000008_000004	McLean entered the swale and hunted up the bark.	McLean entered the swale and hunted up the bark.	true	104.19	107.62	20.524374
1961_149738_000008_000005	He replaced it, and the Bird Woman carefully stepped over.	He replaced it, and the Bird Woman carefully stepped over.	true	107.96	111.13	19
1961_149738_000008_000006	As they reached the bushes at the entrance, the voice of the Angel stopped them, for it was commanding and filled with much impatience.	As they reached the bushes at the entrance, the voice of the Angel stopped them, for it was commanding and filled with much impatience.	true	111.47	118.45	13
1961_149738_000009_000000	"Freckles James Ross McLean!" she was saying.	"Freckles james Ross McLean!" she was saying.	true	119.48	122.38	20
1961_149738_000009_000001	"You fill me with dark-blue despair!	"You fill me with dark blue despair!	true	122.45	124.99	21
1961_149738_000009_000002	You're singing as if your voice were glass and might break at any minute.	You're singing as if your voice were glass and might break at any minute.	false	125.15	129.25	14
1961_149738_000009_000003	Why don't you sing as you did a week ago?	Why don't you sing as you did a week ago?	true	129.38	131.385	16
1961_149738_000009_000004	Answer me that, please."	Answer me that, please."	true	131.385	132.82	24.258932
1961_149738_000010_000000	Freckles smiled confusedly at the Angel, who sat on one of his fancy seats, playing his accompaniment on her banjo.	Freckles smiled confusedly at the Angel, who sat on one of his fancy seats, playing his accompaniment on her banjo.	true	133.19	139.87	18
1961_149738_000011_000000	"You are a fraud," she said.	"You are a fraud," she said.	true	140.21	142.09	21.501675
1961_149738_000011_000001	"Here you went last week and led me to think that there was the making of a great singer in you, and now you are singing--do you know how badly you are singing?"	"Here you went last week and led me to think that there was the making of a great singer in you, and now you are singing-do you know how badly you are singing?"	false	142.1	150.93	18.65332
1961_149738_000012_000000	"Yis," said Freckles meekly.	"y i's," said Freckles meekly.	false	150.93	153.18	21.915386
1961_149738_000012_000001	"I'm thinking I'm too happy to be singing well today.	"I'm thinking I'm too happy to be singing well today.	false	153.18	156.64	15
1961_149738_000012_000002	The music don't come right only when I'm lonesome and sad. The world's for being all sunshine at prisint, for among you and Mr. McLean and the Bird Woman I'm after being THAT happy that I can't keep me thoughts on me notes.	The music don't come right only when I'm lonesome and sad. The world's for being all sunshine at prisint, for among you and mr McLean and the Bird Woman I'm after being THAT happy that I can't keep me thoughts on me notes.	true	156.71	170.11	17
