4595_45204_000000_000000	CHAPTER VIII	CHAPTER eight	false	0.51	7.44	24.7449
4595_45204_000001_000000	A STRING OF GOLD BEADS	A STRING OF GOLD BEADS	false	7.44	12.49	21.245893
4595_45204_000002_000000	A moment later Bates entered with a fresh supply of wood.	A moment later Bates entered with a fresh supply of wood.	true	14.12	17.44	23.202574
4595_45204_000002_000001	I watched him narrowly for some sign of perturbation, but he was not to be caught off guard.	I watched him narrowly for some sign of perturbation, but he was not to be caught off guard.	true	17.54	22.75	27.903517
4595_45204_000002_000002	Possibly he had not heard the shots in the wood; at any rate, he tended the fire with his usual gravity, and after brushing the hearth paused respectfully.	Possibly he had not heard the shots in the wood; at any rate, he tended the fire with his usual gravity, and after brushing the hearth paused respectfully.	false	22.88	31.72	25.285202
4595_45204_000003_000000	“Is there anything further, sir?”	"Is there anything further, sir?"	true	32.51	34.87	23.735535
4595_45204_000004_000000	“I believe not, Bates.	"I believe not, Bates.	true	35.75	37.06	27.287552
4595_45204_000004_000001	Oh! here’s a hammer I picked up out in the grounds a bit ago.	Oh! here's a hammer I picked up out in the grounds a bit ago.	true	37.1	40.63	24.509344
4595_45204_000004_000002	I wish you’d see if it belongs to the house.”	I wish you'd see if it belongs to the house."	true	40.73	43.2	21
4595_45204_000005_000000	He examined the implement with care and shook his head.	He examined the implement with care and shook his head.	false	43.2	46.87	19.667656
4595_45204_000006_000000	“It doesn’t belong here, I think, sir.	"It doesn't belong here, I think, sir.	true	47.21	49.93	23.172726
4595_45204_000006_000001	But we sometimes find tools left by the carpenters that worked on the house.	But we sometimes find tools left by the carpenters that worked on the house.	true	49.94	55	26.133545
4595_45204_000006_000002	Shall I put this in the tool-chest, sir?”	Shall I put this in the tool chest, sir?"	false	55.07	58.53	27.292797
4595_45204_000007_000000	“Never mind.	"Never mind.	true	58.53	59.41	20.97704
4595_45204_000007_000001	I need such a thing now and then and I’ll keep it handy.”	I need such a thing now and then and I'll keep it handy."	true	59.57	62.62	22.0639
4595_45204_000008_000000	“Very good, Mr. Glenarm.	"Very good, mr Glenarm.	true	63.74	65.74	29.524843
4595_45204_000008_000001	It’s a bit sharper to-night, but we’re likely to have sudden changes at this season.”	It's a bit sharper to night, but we're likely to have sudden changes at this season."	true	65.9	70.69	28.428406
