4595_45204_000002_000000	A moment later Bates entered with a fresh supply of wood.	A moment later Bates entered with a fresh supply of wood.
4595_45204_000002_000001	I watched him narrowly for some sign of perturbation, but he was not to be caught off guard.	I watched him narrowly for some sign of perturbation, but he was not to be caught off guard.
4595_45204_000003_000000	“Is there anything further, sir?”	"Is there anything further, sir?"
4595_45204_000004_000000	“I believe not, Bates.	"I believe not, Bates.
4595_45204_000004_000001	Oh! here’s a hammer I picked up out in the grounds a bit ago.	Oh! here's a hammer I picked up out in the grounds a bit ago.
4595_45204_000004_000002	I wish you’d see if it belongs to the house.”	I wish you'd see if it belongs to the house."
4595_45204_000006_000000	“It doesn’t belong here, I think, sir.	"It doesn't belong here, I think, sir.
4595_45204_000006_000001	But we sometimes find tools left by the carpenters that worked on the house.	But we sometimes find tools left by the carpenters that worked on the house.
4595_45204_000007_000000	“Never mind.	"Never mind.
4595_45204_000007_000001	I need such a thing now and then and I’ll keep it handy.”	I need such a thing now and then and I'll keep it handy."
4595_45204_000008_000000	“Very good, Mr. Glenarm.	"Very good, mr Glenarm.
4595_45204_000008_000001	It’s a bit sharper to-night, but we’re likely to have sudden changes at this season.”	It's a bit sharper to night, but we're likely to have sudden changes at this season."
4595_45204_000009_000000	“I dare say.”	"I dare say."
4595_45204_000010_000000	We were not getting anywhere; the fellow was certainly an incomparable actor.	We were not getting anywhere; the fellow was certainly an incomparable actor.
4595_45204_000011_000000	“You must find it pretty lonely here, Bates.	"You must find it pretty lonely here, Bates.
4595_45204_000011_000001	Don’t hesitate to go to the village when you like.”	Don't hesitate to go to the village when you like."
4595_45204_000012_000001	I keep a few books by me for the evenings.	I keep a few books by me for the evenings.
4595_45204_000012_000002	Annandale is not what you would exactly call a diverting village.”	Annandale is not what you would exactly call a diverting village."
4595_45204_000013_000000	“I fancy not.	"I fancy not.
4595_45204_000013_000001	But the caretaker over at the summer resort has even a lonelier time, I suppose.	But the caretaker over at the summer resort has even a lonelier time, I suppose.
4595_45204_000013_000002	That’s what I’d call a pretty cheerless job,—watching summer cottages in the winter.”	That's what I'd call a pretty cheerless job,—watching summer cottages in the winter."
4595_45204_000014_000000	“That’s Morgan, sir.	"That's Morgan, sir.
4595_45204_000014_000001	I meet him occasionally when I go to the village; a very worthy person, I should call him, on slight acquaintance.”	I meet him occasionally when I go to the village; a very worthy person, I should call him, on slight acquaintance."
4595_45204_000015_000000	“No doubt of it, Bates.	"No doubt of it, Bates.
4595_45204_000015_000001	Any time through the winter you want to have him in for a social glass, it’s all right with me.”	Any time through the winter you want to have him in for a social glass, it's all right with me."
4595_45204_000016_000000	He met my gaze without flinching, and lighted me to the stair with our established ceremony.	He met my gaze without flinching, and lighted me to the stair with our established ceremony.
4595_45204_000016_000002	I had no intention of being killed, and now that I had due warning of danger, I resolved to protect myself from foes without and within.	I had no intention of being killed, and now that I had due warning of danger, I resolved to protect myself from foes without and within.
4595_45204_000016_000003	Both Bates and Morgan, the caretaker, were liars of high attainment.	Both Bates and Morgan, the caretaker, were liars of high attainment.
4595_45204_000016_000004	Morgan was, moreover, a cheerful scoundrel, and experience taught me long ago that a knave with humor is doubly dangerous.	Morgan was, moreover, a cheerful scoundrel, and experience taught me long ago that a knave with humor is doubly dangerous.
4595_45204_000017_000000	Before going to bed I wrote a long letter to Larry Donovan, giving him a full account of my arrival at Glenarm House.	Before going to bed I wrote a long letter to Larry Donovan, giving him a full account of my arrival at Glenarm House.
4595_45204_000017_000001	The thought of Larry always cheered me, and as the pages slipped from my pen I could feel his sympathy and hear him chuckling over the lively beginning of my year at Glenarm.	The thought of Larry always cheered me, and as the pages slipped from my pen I could feel his sympathy and hear him chuckling over the lively beginning of my year at Glenarm.
4595_45204_000017_000002	The idea of being fired upon by an unseen foe would, I knew, give Larry a real lift of the spirit.	The idea of being fired upon by an unseen foe would, I knew, give Larry a real lift of the spirit.
4595_45204_000018_000000	The next morning I walked into the village, mailed my letter, visited the railway station with true rustic instinct and watched the cutting out of a freight car for Annandale with a pleasure I had not before taken in that proceeding.	The next morning I walked into the village, mailed my letter, visited the railway station with true rustic instinct and watched the cutting out of a freight car for Annandale with a pleasure I had not before taken in that proceeding.
4595_45204_000018_000001	The villagers stared at me blankly as on my first visit.	The villagers stared at me blankly as on my first visit.
4595_45204_000018_000002	A group of idle laborers stopped talking to watch me; and when I was a few yards past them they laughed at a remark by one of the number which I could not overhear.	A group of idle laborers stopped talking to watch me; and when I was a few yards past them they laughed at a remark by one of the number which I could not overhear.
4595_45204_000018_000003	But I am not a particularly sensitive person; I did not care what my Hoosier neighbors said of me; all I asked was that they should refrain from shooting at the back of my head through the windows of my own house.	But I am not a particularly sensitive person; I did not care what my Hoosier neighbors said of me; all I asked was that they should refrain from shooting at the back of my head through the windows of my own house.
4595_45204_000019_000000	On this day I really began to work.	On this day I really began to work.
