224_128660_000000_000000	CHAPTER III.	CHAPTER three.
224_128660_000004_000000	DIMPLE.	DIMPLE.
224_128660_000005_000000	102.	one hundred two.
224_128660_000006_000000	103.	one hundred three.
224_128660_000006_000001	A dimple in the chin is lucky.	A dimple in the chin is lucky.
224_128660_000006_000002	Some say "it shows you're no fool."	Some say "it shows you're no fool."
224_128660_000007_000000	104.	one hundred four.
224_128660_000008_000000	EARS.	EARS.
224_128660_000009_000001	Small ears indicate that a person is stingy.	Small ears indicate that a person is stingy.
224_128660_000010_000000	106.	one hundred six.
224_128660_000011_000000	107.	one hundred seven.
224_128660_000012_000000	108.	one hundred eight.
224_128660_000013_000000	EYES AND EYEBROWS.	EYES AND EYEBROWS.
224_128660_000015_000000	110.	one hundred ten.
224_128660_000016_000000	111.	one hundred eleven.
224_128660_000016_000001	A well-known children's rhyme runs:--	A well-known children's rhyme runs:--
224_128660_000018_000000	112.	one hundred twelve.
224_128660_000019_000000	113.	one hundred thirteen.
224_128660_000020_000000	114.	one hundred fourteen.
224_128660_000021_000000	FINGER-NAILS.	FINGER NAILS.
224_128660_000022_000000	115.	one hundred fifteen.
224_128660_000023_000000	116.	one hundred sixteen.
224_128660_000023_000001	A white spot in the nail, when it comes, means a present.	A white spot in the nail, when it comes, means a present.
224_128660_000024_000000	117.	one hundred seventeen.
224_128660_000025_000001	Count on finger-nail spots:--	Count on finger nail spots:--
224_128660_000028_000000	119.	one hundred nineteen.
224_128660_000028_000001	Another formula:--	Another formula:--
224_128660_000030_000000	An almost identical variant is found in Prince Edward Island.	An almost identical variant is found in Prince Edward Island.
224_128660_000031_000000	FOOT.	FOOT.
224_128660_000032_000000	120.	one hundred twenty.
224_128660_000033_000000	121.	one hundred twenty one.
224_128660_000034_000000	FOREHEAD.	FOREHEAD.
224_128660_000035_000000	122.	one hundred twenty two.
224_128660_000036_000000	123.	one hundred twenty three.
224_128660_000036_000001	Vertical wrinkles in the brow show the number of husbands one will have.	Vertical wrinkles in the brow show the number of husbands one will have.
224_128660_000037_000000	HAIR.	HAIR.
224_128660_000038_000000	124.	one hundred twenty four.
224_128660_000039_000000	125.	one hundred twenty five.
224_128660_000040_000000	126.	one hundred twenty six.
224_128660_000041_000000	127.	one hundred twenty seven.
224_128660_000041_000001	The color of the hair growing on the neck indicates the color of the hair of one's future husband.	The color of the hair growing on the neck indicates the color of the hair of one's future husband.
224_128660_000042_000000	128.	one hundred twenty eight.
224_128660_000042_000001	A single white hair means genius; it must not be pulled out.	A single white hair means genius; it must not be pulled out.
224_128660_000043_000000	129.	one hundred twenty nine.
224_128660_000044_000000	130.	one hundred thirty.
224_128660_000045_000000	131.	one hundred thirty one.
224_128660_000050_000000	135.	one hundred thirty five.
224_128660_000051_000000	136.	one hundred thirty six.
224_128660_000052_000000	137.	one hundred thirty seven.
224_128660_000052_000001	Put some of your hair in the fire.	Put some of your hair in the fire.
224_128660_000052_000002	If it burns slowly you will have a long life.	If it burns slowly you will have a long life.
224_128660_000053_000000	HAND.	HAND.
224_128660_000057_000001	In clasping your own hand, you put uppermost either your right or your left thumb.	In clasping your own hand, you put uppermost either your right or your left thumb.
224_128660_000061_000001	Clasp your fingers, and if the right thumb lap over the left you were born in the daytime.	Clasp your fingers, and if the right thumb lap over the left you were born in the daytime.
224_128660_000061_000002	If the left overlap, you were born at night.	If the left overlap, you were born at night.
224_128660_000063_000001	If the ends of the fingers are capable of being bent far back, it indicates a thief.	If the ends of the fingers are capable of being bent far back, it indicates a thief.
224_128660_000064_000000	MOLES.	MOLES.
224_128660_000065_000001	A mole on the eyebrow denotes that one will be hanged.	A mole on the eyebrow denotes that one will be hanged.
224_128660_000066_000001	Mole above breath Means wealth.	Mole above breath Means wealth.
