192_128344_000000_000000	Unanimously voted.	Unanimously voted.	false	0	0.69	-20
192_128344_000000_000001	At heart and by descent an Aristocrat, an enemy of the Republic, a notorious oppressor of the People.	At heart and by descent an Aristocrat, an enemy of the Republic, a notorious oppressor of the People.	false	0.69	7.38	22.007689
192_128344_000000_000002	Back to the Conciergerie, and Death within four-and-twenty hours!	Back to the Conciergerie, and Death within four and twenty hours!	false	7.38	24.42	21.630669
192_128344_000001_000000	XI.	XI.	false	24.42	25.8	24.391747
192_128344_000001_000001	Dusk	Dusk	true	25.8	26.68	26.346037
192_128344_000002_000000	The wretched wife of the innocent man thus doomed to die, fell under the sentence, as if she had been mortally stricken.	The wretched wife of the innocent man thus doomed to die, fell under the sentence, as if she had been mortally stricken.	true	29.48	36.01	17
192_128344_000002_000001	But, she uttered no sound; and so strong was the voice within her, representing that it was she of all the world who must uphold him in his misery and not augment it, that it quickly raised her, even from that shock.	But, she uttered no sound; and so strong was the voice within her, representing that it was she of all the world who must uphold him in his misery and not augment it, that it quickly raised her, even from that shock.	true	36.77	50.47	20
192_128344_000003_000000	The Judges having to take part in a public demonstration out of doors, the Tribunal adjourned.	The judges having to take part in a public demonstration out of doors, the Tribunal adjourned.	true	51.38	56.8	18
192_128344_000003_000001	The quick noise and movement of the court's emptying itself by many passages had not ceased, when Lucie stood stretching out her arms towards her husband, with nothing in her face but love and consolation.	The quick noise and movement of the court's emptying itself by many passages had not ceased, when Lucie stood stretching out her arms towards her husband, with nothing in her face but love and consolation.	true	57.47	69.16	16
192_128344_000004_000000	"If I might touch him!	"If I might touch him!	true	69.41	70.8	30.126587
192_128344_000004_000001	If I might embrace him once!	If I might embrace him once!	true	70.8	72.405	16
192_128344_000004_000002	O, good citizens, if you would have so much compassion for us!"	O, good citizens, if you would have so much compassion for us!"	true	72.405	76.48	18
192_128344_000005_000000	There was but a gaoler left, along with two of the four men who had taken him last night, and Barsad.	There was but a gaoler left, along with two of the four men who had taken him last night, and Barsad.	true	77.21	84.28	22.199287
192_128344_000005_000001	The people had all poured out to the show in the streets.	The people had all poured out to the show in the streets.	true	85.16	89.16	22.943298
192_128344_000005_000002	Barsad proposed to the rest, "Let her embrace him then; it is but a moment." It was silently acquiesced in, and they passed her over the seats in the hall to a raised place, where he, by leaning over the dock, could fold her in his arms.	Barsad proposed to the rest, "Let her embrace him then; it is but a moment." It was silently acquiesced in, and they passed her over the seats in the hall to a raised place, where he, by leaning over the dock, could fold her in his arms.	true	89.16	104.83	22.547758
192_128344_000006_000000	"Farewell, dear darling of my soul.	"Farewell, dear darling of my soul.	true	105.86	108.615	18.520832
192_128344_000006_000001	My parting blessing on my love.	My parting blessing on my love.	true	108.615	110.505	19.466242
192_128344_000006_000002	We shall meet again, where the weary are at rest!"	We shall meet again, where the weary are at rest!"	true	110.505	113.65	19.261116
192_128344_000007_000000	They were her husband's words, as he held her to his bosom.	They were her husband's words, as he held her to his bosom.	false	114.65	118.15	22.117113
192_128344_000008_000000	"I can bear it, dear Charles.	"I can bear it, dear Charles.	true	118.25	119.97	21.5141
192_128344_000008_000001	I am supported from above: don't suffer for me.	I am supported from above: don't suffer for me.	true	119.97	122.685	20
192_128344_000008_000002	A parting blessing for our child."	A parting blessing for our child."	true	122.685	124.96	18.16736
192_128344_000009_000000	"I send it to her by you.	"I send it to her by you.	true	125.54	127.21	24.744637
192_128344_000009_000001	I kiss her by you.	I kiss her by you.	true	127.43	129.01	21.648571
192_128344_000009_000002	I say farewell to her by you."	I say farewell to her by you."	true	129.11	131.35	24.434885
192_128344_000010_000000	"My husband.	"My husband.	true	131.75	132.645	29.805002
192_128344_000010_000001	No!	No!	true	132.645	133.23	19.923513
192_128344_000010_000002	A moment!" He was tearing himself apart from her. "We shall not be separated long.	A moment!" He was tearing himself apart from her. "We shall not be separated long.	false	133.23	138.36	22.619543
192_128344_000010_000003	I feel that this will break my heart by-and-bye; but I will do my duty while I can, and when I leave her, God will raise up friends for her, as He did for me."	I feel that this will break my heart by and bye; but I will do my duty while I can, and when I leave her, God will raise up friends for her, as He did for me."	true	138.36	147.19	23.14517
192_128344_000011_000000	Her father had followed her, and would have fallen on his knees to both of them, but that Darnay put out a hand and seized him, crying:	Her father had followed her, and would have fallen on his knees to both of them, but that Darnay put out a hand and seized him, crying:	true	147.59	154.72	19
192_128344_000012_000000	"No, no! What have you done, what have you done, that you should kneel to us!	"No, no! What have you done, what have you done, that you should kneel to us!	true	154.73	159.46	20.452328
192_128344_000012_000001	We know now, what a struggle you made of old.	We know now, what a struggle you made of old.	false	159.53	162.58	21.572598
192_128344_000012_000002	We know, now what you underwent when you suspected my descent, and when you knew it.	We know, now what you underwent when you suspected my descent, and when you knew it.	true	163.01	169.27	21.893925
192_128344_000012_000003	We know now, the natural antipathy you strove against, and conquered, for her dear sake.	We know now, the natural antipathy you strove against, and conquered, for her dear sake.	true	169.88	176.29	21
192_128344_000012_000004	We thank you with all our hearts, and all our love and duty.	We thank you with all our hearts, and all our love and duty.	true	176.63	180.76	22.366512
192_128344_000012_000005	Heaven be with you!"	Heaven be with you!"	true	180.83	182.2	20.384403
192_128344_000013_000000	Her father's only answer was to draw his hands through his white hair, and wring them with a shriek of anguish.	Her father's only answer was to draw his hands through his white hair, and wring them with a shriek of anguish.	true	183.2	189.31	17
192_128344_000014_000000	"It could not be otherwise," said the prisoner.	"It could not be otherwise," said the prisoner.	true	189.74	192.315	20.143042
192_128344_000014_000001	"All things have worked together as they have fallen out.	"All things have worked together as they have fallen out.	true	192.315	195.07	21.038645
192_128344_000014_000002	It was the always-vain endeavour to discharge my poor mother's trust that first brought my fatal presence near you.	It was the always vain endeavour to discharge my poor mother's trust that first brought my fatal presence near you.	true	195.14	201.94	19
192_128344_000014_000003	Good could never come of such evil, a happier end was not in nature to so unhappy a beginning.	Good could never come of such evil, a happier end was not in nature to so unhappy a beginning.	false	202.49	209.65	21.261879
