8300_275128_000000_000000	Chapter XIII.	Chapter thirteen.	true	23.94	26.115	21.220531
8300_275128_000000_000001	Kitty Keeps Her Birthday.	Kitty Keeps Her Birthday.	true	26.115	28.33	22.70892
8300_275128_000001_000000	They were all assembled as usual at the breakfast-table.	They were all assembled as usual at the breakfast table.	true	29.27	32.92	17.389046
8300_275128_000002_000000	Preferring the request suggested to her by Mrs. Presty, Kitty had hastened the presentation of the birthday gifts, by getting into her mother's bed in the morning, and exacting her mother's promise before she would consent to get out again.	Preferring the request suggested to her by mrs Presty, Kitty had hastened the presentation of the birthday gifts, by getting into her mother's bed in the morning, and exacting her mother's promise before she would consent to get out again.	true	33.23	49.54	19
8300_275128_000002_000001	By her own express wish, she was left in ignorance of what the presents would prove to be.	By her own express wish, she was left in ignorance of what the presents would prove to be.	true	50.69	56.65	18
8300_275128_000002_000002	"Hide them from me," said this young epicure in pleasurable sensations, "and make me want to see them until I can bear it no longer." The gifts had accordingly been collected in an embrasure of one of the windows; and the time had now arrived when Kitty could bear it no longer.	"Hide them from me," said this young epicure in pleasurable sensations, "and make me want to see them until I can bear it no longer." The gifts had accordingly been collected in an embrasure of one of the windows; and the time had now arrived when Kitty could bear it no longer.	true	57.2	78.37	18
8300_275128_000003_000000	In the procession of the presents, Mrs. Linley led the way.	In the procession of the presents, mrs Linley led the way.	true	79.43	83.56	15
8300_275128_000004_000000	She had passed behind the screen which had thus far protected the hidden treasures from discovery, and appeared again with a vision of beauty in the shape of a doll.	She had passed behind the screen which had thus far protected the hidden treasures from discovery, and appeared again with a vision of beauty in the shape of a doll.	true	84.23	95.2	18
8300_275128_000004_000001	The dress of this wonderful creature exhibited the latest audacities of French fashion.	The dress of this wonderful creature exhibited the latest audacities of French fashion.	true	95.87	102.13	16
8300_275128_000004_000002	Her head made a bow; her eyes went to sleep and woke again; she had a voice that said two words--more precious than two thousand in the mouth of a mere living creature. Kitty's arms opened and embraced her gift with a scream of ecstasy.	Her head made a bow; her eyes went to sleep and woke again; she had a voice that said two words-more precious than two thousand in the mouth of a mere living creature. Kitty's arms opened and embraced her gift with a scream of ecstasy.	true	102.74	121.24	18.84835
8300_275128_000004_000003	That fervent pressure found its way to the right spring.	That fervent pressure found its way to the right spring.	true	121.94	126.07	19.433853
