2060_147963_000004_000000	"All but the crazy boy," Jake put in.	"All but the crazy boy," Jake put in.
2060_147963_000004_000004	Ambrosch come along by the cornfield yesterday where I was at work and showed me three prairie dogs he'd shot. He asked me if they was good to eat.	Ambrosch come along by the cornfield yesterday where I was at work and showed me three prairie dogs he'd shot. He asked me if they was good to eat.
2060_147963_000005_000000	Grandmother looked up in alarm and spoke to grandfather.	Grandmother looked up in alarm and spoke to grandfather.
2060_147963_000007_000000	Fuchs put in a cheerful word and said prairie dogs were clean beasts and ought to be good for food, but their family connections were against them. I asked what he meant, and he grinned and said they belonged to the rat family.	Fuchs put in a cheerful word and said prairie dogs were clean beasts and ought to be good for food, but their family connections were against them. I asked what he meant, and he grinned and said they belonged to the rat family.
2060_147963_000011_000000	After breakfast grandmother and Jake and I bundled ourselves up and climbed into the cold front wagon-seat.	After breakfast grandmother and Jake and I bundled ourselves up and climbed into the cold front wagon seat.
2060_147963_000011_000001	As we approached the Shimerdas' we heard the frosty whine of the pump and saw Antonia, her head tied up and her cotton dress blown about her, throwing all her weight on the pump-handle as it went up and down.	As we approached the Shimerdas' we heard the frosty whine of the pump and saw Antonia, her head tied up and her cotton dress blown about her, throwing all her weight on the pump handle as it went up and down.
2060_147963_000012_000001	We went slowly up the icy path toward the door sunk in the drawside.	We went slowly up the icy path toward the door sunk in the drawside.
2060_147963_000014_000005	As soon as we entered he threw a grainsack over the crack at the bottom of the door.	As soon as we entered he threw a grainsack over the crack at the bottom of the door.
2060_147963_000014_000006	The air in the cave was stifling, and it was very dark, too.	The air in the cave was stifling, and it was very dark, too.
2060_147963_000016_000001	Then the poor woman broke down.	Then the poor woman broke down.
2060_147963_000016_000003	Grandmother paid no heed to her, but called Antonia to come and help empty the basket.	Grandmother paid no heed to her, but called Antonia to come and help empty the basket.
2060_147963_000016_000004	Tony left her corner reluctantly.	Tony left her corner reluctantly.
2060_147963_000016_000005	I had never seen her crushed like this before.	I had never seen her crushed like this before.
