770_134592_000000_000000	Vasco shook his head.	Vasco shook his head.	false	0	0.18	-20
770_134592_000001_000000	“But you should have,” said Lulu angrily; “if, as you say, they are highly compromising—”	"But you should have," said Lulu angrily; "if, as you say, they are highly compromising—"	false	0.18	0.9	-20
770_134592_000002_000000	“Oh, they are, I assure you of that,” interposed the young man.	"Oh, they are, I assure you of that," interposed the young man.	false	0.9	1.53	20.586233
770_134592_000003_000000	“Then you should put them out of harm’s way at once.	"Then you should put them out of harm's way at once.	false	1.53	1.98	7
770_134592_000003_000001	Supposing anything should leak out, think of all these poor, unfortunate people who would be involved in the disclosures,” and Lulu tapped the list with an agitated gesture.	Supposing anything should leak out, think of all these poor, unfortunate people who would be involved in the disclosures," and Lulu tapped the list with an agitated gesture.	false	1.98	3.63	34.281876
770_134592_000004_000000	“Unfortunate, perhaps, but not poor,” corrected Vasco; “if you read the list carefully you’ll notice that I haven’t troubled to include anyone whose financial standing isn’t above question.”	"Unfortunate, perhaps, but not poor," corrected Vasco; "if you read the list carefully you'll notice that I haven't troubled to include anyone whose financial standing isn't above question."	false	3.63	4.29	19
770_134592_000005_000000	Lulu glared at her nephew for some moments in silence.	Lulu glared at her nephew for some moments in silence.	false	4.29	4.53	11
770_134592_000005_000001	Then she asked hoarsely: “What are you going to do?”	Then she asked hoarsely: "What are you going to do?"	false	4.53	4.77	15
770_134592_000006_000000	“Nothing—for the remainder of my life,” he answered meaningly.	"Nothing—for the remainder of my life," he answered meaningly.	false	4.77	6.93	23.700626
770_134592_000006_000001	“A little hunting, perhaps,” he continued, “and I shall have a villa at Florence. The Villa Sub-Rosa would sound rather quaint and picturesque, don’t you think, and quite a lot of people would be able to attach a meaning to the name.	"A little hunting, perhaps," he continued, "and I shall have a villa at Florence. The Villa Sub Rosa would sound rather quaint and picturesque, don't you think, and quite a lot of people would be able to attach a meaning to the name.	false	6.93	10.2	20.554888
770_134592_000006_000002	And I suppose I must have a hobby; I shall probably collect Raeburns.”	And I suppose I must have a hobby; I shall probably collect Raeburns."	false	10.2	11.16	27
770_134592_000007_000000	Lulu’s relative, who lived at the Court of Monaco, got quite a snappish answer when she wrote recommending some further invention in the realm of marine research.	Lulu's relative, who lived at the Court of Monaco, got quite a snappish answer when she wrote recommending some further invention in the realm of marine research.	false	11.16	17.175	21.869287
770_134592_000008_000000	THE COBWEB	THE COBWEB	false	17.175	21.06	19.168058
770_134592_000009_000000	The farmhouse kitchen probably stood where it did as a matter of accident or haphazard choice; yet its situation might have been planned by a master-strategist in farmhouse architecture.	The farmhouse kitchen probably stood where it did as a matter of accident or haphazard choice; yet its situation might have been planned by a master strategist in farmhouse architecture.	false	21.06	31.39	19.332798
770_134592_000009_000001	Dairy and poultry-yard, and herb garden, and all the busy places of the farm seemed to lead by easy access into its wide flagged haven, where there was room for everything and where muddy boots left traces that were easily swept away.	Dairy and poultry yard, and herb garden, and all the busy places of the farm seemed to lead by easy access into its wide flagged haven, where there was room for everything and where muddy boots left traces that were easily swept away.	true	31.82	46.09	22.350407
770_134592_000009_000002	And yet, for all that it stood so well in the centre of human bustle, its long, latticed window, with the wide window-seat, built into an embrasure beyond the huge fireplace, looked out on a wild spreading view of hill and heather and wooded combe.	And yet, for all that it stood so well in the centre of human bustle, its long, latticed window, with the wide window seat, built into an embrasure beyond the huge fireplace, looked out on a wild spreading view of hill and heather and wooded combe.	false	47.18	62.17	19.619942
770_134592_000009_000003	The window nook made almost a little room in itself, quite the pleasantest room in the farm as far as situation and capabilities went.	The window nook made almost a little room in itself, quite the pleasantest room in the farm as far as situation and capabilities went.	true	62.57	70.33	22.249655
770_134592_000009_000004	Young Mrs. Ladbruk, whose husband had just come into the farm by way of inheritance, cast covetous eyes on this snug corner, and her fingers itched to make it bright and cosy with chintz curtains and bowls of flowers, and a shelf or two of old china.	Young mrs Ladbruk, whose husband had just come into the farm by way of inheritance, cast covetous eyes on this snug corner, and her fingers itched to make it bright and cosy with chintz curtains and bowls of flowers, and a shelf or two of old china.	true	71.45	87.28	21.64812
770_134592_000009_000005	The musty farm parlour, looking out on to a prim, cheerless garden imprisoned within high, blank walls, was not a room that lent itself readily either to comfort or decoration.	The musty farm parlour, looking out on to a prim, cheerless garden imprisoned within high, blank walls, was not a room that lent itself readily either to comfort or decoration.	true	87.41	99.19	22.867445
