207_122801_000007_000000	THE BELL	THE BELL
207_122801_000009_000000	Those persons who were walking outside the town, where the houses were farther apart, with gardens or little fields between them, could see the evening sky still better, and heard the sound of the bell much more distinctly.	Those persons who were walking outside the town, where the houses were farther apart, with gardens or little fields between them, could see the evening sky still better, and heard the sound of the bell much more distinctly.
207_122801_000009_000001	It was as if the tones came from a church in the still forest; people looked thitherward, and felt their minds attuned most solemnly.	It was as if the tones came from a church in the still forest; people looked thitherward, and felt their minds attuned most solemnly.
207_122801_000010_000000	A long time passed, and people said to each other--"I wonder if there is a church out in the wood?	A long time passed, and people said to each other-"I wonder if there is a church out in the wood?
207_122801_000010_000002	The confectioner of the town came out, and set up his booth there; and soon after came another confectioner, who hung a bell over his stand, as a sign or ornament, but it had no clapper, and it was tarred over to preserve it from the rain.	The confectioner of the town came out, and set up his booth there; and soon after came another confectioner, who hung a bell over his stand, as a sign or ornament, but it had no clapper, and it was tarred over to preserve it from the rain.
207_122801_000010_000006	The king of the country was also observant of it, and vowed that he who could discover whence the sounds proceeded, should have the title of "Universal Bell-ringer," even if it were not really a bell.	The king of the country was also observant of it, and vowed that he who could discover whence the sounds proceeded, should have the title of "Universal Bell ringer," even if it were not really a bell.
207_122801_000011_000001	However, he said that the sound proceeded from a very large owl, in a hollow tree; a sort of learned owl, that continually knocked its head against the branches.	However, he said that the sound proceeded from a very large owl, in a hollow tree; a sort of learned owl, that continually knocked its head against the branches.
207_122801_000011_000002	But whether the sound came from his head or from the hollow tree, that no one could say with certainty.	But whether the sound came from his head or from the hollow tree, that no one could say with certainty.
207_122801_000011_000003	So now he got the place of "Universal Bell-ringer," and wrote yearly a short treatise "On the Owl"; but everybody was just as wise as before.	So now he got the place of "Universal Bell ringer," and wrote yearly a short treatise "On the Owl"; but everybody was just as wise as before.
207_122801_000012_000000	It was the day of confirmation.	It was the day of confirmation.
207_122801_000012_000001	The clergyman had spoken so touchingly, the children who were confirmed had been greatly moved; it was an eventful day for them; from children they become all at once grown-up-persons; it was as if their infant souls were now to fly all at once into persons with more understanding.	The clergyman had spoken so touchingly, the children who were confirmed had been greatly moved; it was an eventful day for them; from children they become all at once grown up persons; it was as if their infant souls were now to fly all at once into persons with more understanding.
207_122801_000012_000003	They all immediately felt a wish to go thither; all except three.	They all immediately felt a wish to go thither; all except three.
207_122801_000014_000000	But two of the youngest soon grew tired, and both returned to town; two little girls sat down, and twined garlands, so they did not go either; and when the others reached the willow-tree, where the confectioner was, they said, "Now we are there!	But two of the youngest soon grew tired, and both returned to town; two little girls sat down, and twined garlands, so they did not go either; and when the others reached the willow tree, where the confectioner was, they said, "Now we are there!
207_122801_000014_000001	In reality the bell does not exist; it is only a fancy that people have taken into their heads!"	In reality the bell does not exist; it is only a fancy that people have taken into their heads!"
207_122801_000015_000000	At the same moment the bell sounded deep in the wood, so clear and solemnly that five or six determined to penetrate somewhat further.	At the same moment the bell sounded deep in the wood, so clear and solemnly that five or six determined to penetrate somewhat further.
207_122801_000015_000001	It was so thick, and the foliage so dense, that it was quite fatiguing to proceed.	It was so thick, and the foliage so dense, that it was quite fatiguing to proceed.
207_122801_000015_000002	Woodroof and anemonies grew almost too high; blooming convolvuluses and blackberry-bushes hung in long garlands from tree to tree, where the nightingale sang and the sunbeams were playing: it was very beautiful, but it was no place for girls to go; their clothes would get so torn.	Woodroof and anemonies grew almost too high; blooming convolvuluses and blackberry bushes hung in long garlands from tree to tree, where the nightingale sang and the sunbeams were playing: it was very beautiful, but it was no place for girls to go; their clothes would get so torn.
207_122801_000015_000003	Large blocks of stone lay there, overgrown with moss of every color; the fresh spring bubbled forth, and made a strange gurgling sound.	Large blocks of stone lay there, overgrown with moss of every color; the fresh spring bubbled forth, and made a strange gurgling sound.
207_122801_000016_000000	"That surely cannot be the bell," said one of the children, lying down and listening.	"That surely cannot be the bell," said one of the children, lying down and listening.
207_122801_000016_000001	"This must be looked to." So he remained, and let the others go on without him.	"This must be looked to." So he remained, and let the others go on without him.
207_122801_000017_000000	They afterwards came to a little house, made of branches and the bark of trees; a large wild apple-tree bent over it, as if it would shower down all its blessings on the roof, where roses were blooming.	They afterwards came to a little house, made of branches and the bark of trees; a large wild apple tree bent over it, as if it would shower down all its blessings on the roof, where roses were blooming.
207_122801_000018_000000	Was it that which people had heard?	Was it that which people had heard?
207_122801_000019_000001	A rustling was heard in the bushes, and a little boy stood before the King's Son, a boy in wooden shoes, and with so short a jacket that one could see what long wrists he had.	A rustling was heard in the bushes, and a little boy stood before the King's Son, a boy in wooden shoes, and with so short a jacket that one could see what long wrists he had.
207_122801_000019_000002	Both knew each other: the boy was that one among the children who could not come because he had to go home and return his jacket and boots to the innkeeper's son.	Both knew each other: the boy was that one among the children who could not come because he had to go home and return his jacket and boots to the innkeeper's son.
207_122801_000019_000003	This he had done, and was now going on in wooden shoes and in his humble dress, for the bell sounded with so deep a tone, and with such strange power, that proceed he must.	This he had done, and was now going on in wooden shoes and in his humble dress, for the bell sounded with so deep a tone, and with such strange power, that proceed he must.
207_122801_000020_000001	But the poor child that had been confirmed was quite ashamed; he looked at his wooden shoes, pulled at the short sleeves of his jacket, and said that he was afraid he could not walk so fast; besides, he thought that the bell must be looked for to the right; for that was the place where all sorts of beautiful things were to be found.	But the poor child that had been confirmed was quite ashamed; he looked at his wooden shoes, pulled at the short sleeves of his jacket, and said that he was afraid he could not walk so fast; besides, he thought that the bell must be looked for to the right; for that was the place where all sorts of beautiful things were to be found.
