1053_132821_000000_000000	So his mother's prophecy had come true, after all.	So his mother's prophecy had come true, after all.	false	0	9.03	22.50992
1053_132821_000001_000000	West Highland Tales.	West Highland Tales.	false	9.03	23.37	19
1053_132821_000002_000000	The False Prince and the True	The False Prince and the True	false	23.37	28.86	20.461586
1053_132821_000003_000000	The king had just awakened from his midday sleep, for it was summer, and everyone rose early and rested from twelve to three, as they do in hot countries.	The king had just awakened from his midday sleep, for it was summer, and everyone rose early and rested from twelve to three, as they do in hot countries.	true	28.86	39.04	19
1053_132821_000003_000001	He had dressed himself in cool white clothes, and was passing through the hall on his way to the council chamber, when a number of young nobles suddenly appeared before him, and one amongst them stepped forward and spoke.	He had dressed himself in cool white clothes, and was passing through the hall on his way to the council chamber, when a number of young nobles suddenly appeared before him, and one amongst them stepped forward and spoke.	true	39.68	54.04	20.8002
1053_132821_000004_000000	'Sire, this morning we were all playing tennis in the court, the prince and this gentleman with the rest, when there broke out some dispute about the game.	'Sire, this morning we were all playing tennis in the court, the prince and this gentleman with the rest, when there broke out some dispute about the game.	true	54.35	63.34	22.527323
1053_132821_000004_000001	The prince lost his temper, and said many insulting things to the other, who was playing against him, till at length the gentleman whom you see there struck him violently in the face, so that the blood ran from his mouth and nose.	The prince lost his temper, and said many insulting things to the other, who was playing against him, till at length the gentleman whom you see there struck him violently in the face, so that the blood ran from his mouth and nose.	true	63.59	77.47	19
1053_132821_000004_000002	We were all so horrified at the sight, that we should most likely have killed the man then and there, for daring to lay hands on the prince, had not his grandfather the duke stepped between and commanded us to lay the affair before you.'	We were all so horrified at the sight, that we should most likely have killed the man then and there, for daring to lay hands on the prince, had not his grandfather the duke stepped between and commanded us to lay the affair before you.'	true	77.63	90.58	19
1053_132821_000005_000000	The king had listened attentively to the story, and when it was ended he said:	The king had listened attentively to the story, and when it was ended he said:	true	91.55	95.77	19.377064
1053_132821_000006_000000	'I suppose the prince had no arms with him, or else he would have used them?'	'I suppose the prince had no arms with him, or else he would have used them?'	true	96.17	99.85	19.506315
1053_132821_000007_000000	'Yes, sire, he had arms; he always carries a dagger in his belt.	'Yes, sire, he had arms; he always carries a dagger in his belt.	true	100.49	104.59	20.580595
1053_132821_000007_000001	But when he saw the blood pouring from his face, he went to a corner of the court and began to cry, which was the strangest thing of all.'	But when he saw the blood pouring from his face, he went to a corner of the court and began to cry, which was the strangest thing of all.'	false	104.75	112.03	20.013897
1053_132821_000008_000000	On hearing this the king walked to the window and stood for a few minutes with his back to the room, where the company of young men remained silent.	On hearing this the king walked to the window and stood for a few minutes with his back to the room, where the company of young men remained silent.	true	113.15	120.85	17
1053_132821_000008_000001	Then he came back, his face white and stern.	Then he came back, his face white and stern.	true	121.49	124.66	22
1053_132821_000009_000000	'I tell you,' he said, 'and it is the solemn truth, that I would rather you had told me that the prince was dead, though he is my only son, than know that he would suffer such an injury without attempting to avenge it.	'I tell you,' he said, 'and it is the solemn truth, that I would rather you had told me that the prince was dead, though he is my only son, than know that he would suffer such an injury without attempting to avenge it.	true	125.42	137.86	19
1053_132821_000009_000001	As for the gentleman who struck him, he will be brought before my judges, and will plead his own cause, but I hardly think he can escape death, after having assaulted the heir to the crown.'	As for the gentleman who struck him, he will be brought before my judges, and will plead his own cause, but I hardly think he can escape death, after having assaulted the heir to the crown.'	true	138.17	149.32	19
1053_132821_000010_000000	The young man raised his head as if to reply, but the king would not listen, and commanded his guards to put him under arrest, adding, however, that if the prisoner wished to visit any part of the city, he was at liberty to do so properly guarded, and in fifteen days he would be brought to trial before the highest judges in the land.	The young man raised his head as if to reply, but the king would not listen, and commanded his guards to put him under arrest, adding, however, that if the prisoner wished to visit any part of the city, he was at liberty to do so properly guarded, and in fifteen days he would be brought to trial before the highest judges in the land.	true	150.74	170.8	20
1053_132821_000011_000000	The young man left the king's presence, surrounded by soldiers, and accompanied by many of his friends, for he was a great favourite.	The young man left the king's presence, surrounded by soldiers, and accompanied by many of his friends, for he was a great favourite.	true	172.37	180.7	18.534336
1053_132821_000011_000001	By their advice he spent the fourteen days that remained to him going about to seek counsel from wise men of all sorts, as to how he might escape death, but no one could help him, for none could find any excuse for the blow he had given to the prince.	By their advice he spent the fourteen days that remained to him going about to seek counsel from wise men of all sorts, as to how he might escape death, but no one could help him, for none could find any excuse for the blow he had given to the prince.	true	181.19	197.41	20
1053_132821_000012_000000	The fourteenth night had come, and in despair the prisoner went out to take his last walk through the city.	The fourteenth night had come, and in despair the prisoner went out to take his last walk through the city.	true	198.86	205.15	21
1053_132821_000012_000001	He wandered on hardly knowing where he went, and his face was so white and desperate that none of his companions dared speak to him.	He wandered on hardly knowing where he went, and his face was so white and desperate that none of his companions dared speak to him.	true	205.52	213.52	20
1053_132821_000012_000002	The sad little procession had passed some hours in this manner, when, near the gate of a monastery, an old woman appeared round a corner, and suddenly stood before the young man.	The sad little procession had passed some hours in this manner, when, near the gate of a monastery, an old woman appeared round a corner, and suddenly stood before the young man.	true	214.07	224.56	17
1053_132821_000012_000003	She was bent almost double, and was so wizened and wrinkled that she looked at least ninety; only her eyes were bright and quick as those of a girl.	She was bent almost double, and was so wizened and wrinkled that she looked at least ninety; only her eyes were bright and quick as those of a girl.	true	224.84	233.37	18
1053_132821_000013_000000	'Sir,' she said, 'I know all that has happened to you, and how you are seeking if in any wise you can save your life.	'Sir,' she said, 'I know all that has happened to you, and how you are seeking if in any wise you can save your life.	false	233.37	242.44	20.383862
1053_132821_000013_000001	But there is none that can answer that question save only I myself, if you will promise to do all I ask.'	But there is none that can answer that question save only I myself, if you will promise to do all I ask.'	true	242.66	249.31	21.52633
1053_132821_000014_000000	At her words the prisoner felt as if a load had all at once been rolled off him.	At her words the prisoner felt as if a load had all at once been rolled off him.	true	249.98	254.62	18
1053_132821_000015_000000	'Oh, save me, and I will do anything!' he cried.	'Oh, save me, and I will do anything!' he cried.	false	255.5	258.25	20
1053_132821_000015_000001	'It is so hard to leave the world and go out into the darkness.'	'It is so hard to leave the world and go out into the darkness.'	true	258.35	261.4	18
1053_132821_000016_000000	'You will not need to do that,' answered the old woman, 'you have only got to marry me, and you will soon be free.'	'You will not need to do that,' answered the old woman, 'you have only got to marry me, and you will soon be free.'	true	261.71	267.21	20.265793
1053_132821_000017_000000	'Marry you?' exclaimed he, 'but--but--I am not yet twenty, and you --why, you must be a hundred at least!	'Marry you?' exclaimed he, 'but-but-I am not yet twenty, and you --why, you must be a hundred at least!	false	267.21	274.125	22.694838
1053_132821_000017_000001	Oh, no, it is quite impossible.'	Oh, no, it is quite impossible.'	true	274.125	275.8	20.117928
1053_132821_000018_000000	He spoke without thinking, but the flash of anger which darted from her eyes made him feel uncomfortable.	He spoke without thinking, but the flash of anger which darted from her eyes made him feel uncomfortable.	true	276.32	281.62	21
1053_132821_000018_000001	However, all she said was:	However, all she said was:	true	281.72	283.51	20.555174
1053_132821_000019_000000	'As you like; since you reject me, let the crows have you,' and hurried away down the street.	'As you like; since you reject me, let the crows have you,' and hurried away down the street.	false	283.73	288.7	19.64853
1053_132821_000020_000000	Left to himself, the full horror of his coming death rushed upon the young man, and he understood that he had thrown away his sole chance of life.	Left to himself, the full horror of his coming death rushed upon the young man, and he understood that he had thrown away his sole chance of life.	false	289.28	297.55	20
1053_132821_000020_000001	Well, if he must, he must, he said to himself, and began to run as fast as he could after the old crone, who by this time could scarcely be seen, even in the moonlight.	Well, if he must, he must, he said to himself, and began to run as fast as he could after the old crone, who by this time could scarcely be seen, even in the moonlight.	true	297.92	308.14	19.597063
1053_132821_000020_000002	Who would have believed a woman past ninety could walk with such speed?	Who would have believed a woman past ninety could walk with such speed?	false	308.42	311.775	22
1053_132821_000020_000003	It seemed more like flying!	It seemed more like flying!	true	311.775	313.15	19.560432
1053_132821_000020_000004	But at length, breathless and exhausted, he reached her side, and gasped out:	But at length, breathless and exhausted, he reached her side, and gasped out:	true	313.79	318.4	22.909313
1053_132821_000021_000000	'Madam, pardon me for my hasty words just now; I was wrong, and will thankfully accept the offer you made me.'	'Madam, pardon me for my hasty words just now; I was wrong, and will thankfully accept the offer you made me.'	true	318.98	324.76	20
1053_132821_000022_000000	'Ah, I thought you would come to your senses,' answered she, in rather an odd voice.	'Ah, I thought you would come to your senses,' answered she, in rather an odd voice.	false	325.67	330.16	22
1053_132821_000022_000001	'We have no time to lose--follow me at once,' and they went on silently and swiftly till they stopped at the door of a small house in which the priest lived.	'We have no time to lose-follow me at once,' and they went on silently and swiftly till they stopped at the door of a small house in which the priest lived.	false	330.44	339.43	22.376019
1053_132821_000022_000002	Before him the old woman bade the prisoner swear that she should be his wife, and this he did in the presence of witnesses.	Before him the old woman bade the prisoner swear that she should be his wife, and this he did in the presence of witnesses.	true	339.59	346.96	19
1053_132821_000022_000003	Then, begging the priest and the guards to leave them alone for a little, she told the young man what he was to do, when the next morning he was brought before the king and the judges.	Then, begging the priest and the guards to leave them alone for a little, she told the young man what he was to do, when the next morning he was brought before the king and the judges.	true	347.42	357.31	17
1053_132821_000023_000000	The hall was full to overflowing when the prisoner entered it, and all marvelled at the brightness of his face.	The hall was full to overflowing when the prisoner entered it, and all marvelled at the brightness of his face.	true	358.46	364.54	21.281433
1053_132821_000023_000001	The king inquired if he had any excuse to plead for the high treason he had committed by striking the heir to the throne, and, if so, to be quick in setting it forth.	The king inquired if he had any excuse to plead for the high treason he had committed by striking the heir to the throne, and, if so, to be quick in setting it forth.	true	365.03	375.55	21.054724
1053_132821_000023_000002	With a low bow the youth made answer in a clear voice:	With a low bow the youth made answer in a clear voice:	true	375.62	379.18	20
1053_132821_000024_000000	'O my lord and gracious king, and you, nobles and wise men of the land, I leave my cause without fear in your hands, knowing that you will listen and judge rightly, and that you will suffer me to speak to the end, before you give judgment.	'O my lord and gracious king, and you, nobles and wise men of the land, I leave my cause without fear in your hands, knowing that you will listen and judge rightly, and that you will suffer me to speak to the end, before you give judgment.	false	380.45	395.44	20.332489
1053_132821_000025_000000	'For four years, you, O king, had been married to the queen and yet had no children, which grieved you greatly.	'For four years, you, O king, had been married to the queen and yet had no children, which grieved you greatly.	true	395.57	402.64	19
1053_132821_000025_000001	The queen saw this, and likewise that your love was going from her, and thought night and day of some plan that might put an end to this evil.	The queen saw this, and likewise that your love was going from her, and thought night and day of some plan that might put an end to this evil.	true	402.86	411.16	21
1053_132821_000025_000002	At length, when you were away fighting in distant countries, she decided what she would do, and adopted in secret the baby of a poor quarryman, sending a messenger to tell you that you had a son.	At length, when you were away fighting in distant countries, she decided what she would do, and adopted in secret the baby of a poor quarryman, sending a messenger to tell you that you had a son.	true	411.59	424.21	20
1053_132821_000025_000003	No one suspected the truth except a priest to whom the queen confessed the truth, and in a few weeks she fell ill and died, leaving the baby to be brought up as became a prince.	No one suspected the truth except a priest to whom the queen confessed the truth, and in a few weeks she fell ill and died, leaving the baby to be brought up as became a prince.	true	424.79	435.61	21.845045
1053_132821_000025_000004	And now, if your highness will permit me, I will speak of myself.'	And now, if your highness will permit me, I will speak of myself.'	true	436.25	440.5	20.259325
1053_132821_000026_000000	'What you have already told me,' answered the king, 'is so strange that I cannot imagine what more there is to tell, but go on with your story.'	'What you have already told me,' answered the king, 'is so strange that I cannot imagine what more there is to tell, but go on with your story.'	true	441.05	449.41	18.079983
1053_132821_000027_000000	'One day, shortly after the death of the queen,' continued the young man, 'your highness was hunting, and outstripped all your attendants while chasing the deer.	'One day, shortly after the death of the queen,' continued the young man, 'your highness was hunting, and outstripped all your attendants while chasing the deer.	true	451.01	460.03	19.992542
1053_132821_000027_000001	You were in a part of the country which you did not know, so seeing an orchard all pink and white with apple-blossoms, and a girl tossing a ball in one corner, you went up to her to ask your way.	You were in a part of the country which you did not know, so seeing an orchard all pink and white with apple blossoms, and a girl tossing a ball in one corner, you went up to her to ask your way.	true	460.46	471.73	21
1053_132821_000027_000002	But when she turned to answer you, you were so struck with her beauty that all else fled from your mind.	But when she turned to answer you, you were so struck with her beauty that all else fled from your mind.	true	472.07	477.61	18
1053_132821_000027_000003	Again and again you rode back to see her, and at length persuaded her to marry you.	Again and again you rode back to see her, and at length persuaded her to marry you.	true	477.86	482.8	15
1053_132821_000027_000004	She only thought you a poor knight, and agreed that as you wished it, the marriage should be kept secret.	She only thought you a poor knight, and agreed that as you wished it, the marriage should be kept secret.	true	482.93	488.53	22
1053_132821_000028_000000	'After the ceremony you gave her three rings and a charm with a cross on it, and then put her in a cottage in the forest, thinking to hide the matter securely.	'After the ceremony you gave her three rings and a charm with a cross on it, and then put her in a cottage in the forest, thinking to hide the matter securely.	true	489.47	498.67	16
1053_132821_000029_000000	'For some months you visited the cottage every week; but a rebellion broke out in a distant part of the kingdom, and called for your presence.	'For some months you visited the cottage every week; but a rebellion broke out in a distant part of the kingdom, and called for your presence.	true	499.64	506.86	19.878216
1053_132821_000029_000001	When next you rode up to the cottage, it was empty, and none could inform you whither your bride had gone.	When next you rode up to the cottage, it was empty, and none could inform you whither your bride had gone.	true	507.11	512.86	17
1053_132821_000029_000002	That, sire, I can now tell you,' and the young man paused and looked at the king, who coloured deeply.	That, sire, I can now tell you,' and the young man paused and looked at the king, who coloured deeply.	true	513.86	520.24	20
1053_132821_000029_000003	'She went back to her father the old duke, once your chamberlain, and the cross on her breast revealed at once who you were. Fierce was his anger when he heard his daughter's tale, and he vowed that he would hide her safely from you, till the day when you would claim her publicly as your queen.	'She went back to her father the old duke, once your chamberlain, and the cross on her breast revealed at once who you were. Fierce was his anger when he heard his daughter's tale, and he vowed that he would hide her safely from you, till the day when you would claim her publicly as your queen.	false	520.37	535.72	17
1053_132821_000030_000000	'By and bye I was born, and was brought up by my grandfather in one of his great houses.	'By and bye I was born, and was brought up by my grandfather in one of his great houses.	false	536.72	542.23	19
1053_132821_000030_000001	Here are the rings you gave to my mother, and here is the cross, and these will prove if I am your son or not.'	Here are the rings you gave to my mother, and here is the cross, and these will prove if I am your son or not.'	true	542.42	549.16	18
1053_132821_000031_000000	As he spoke the young man laid the jewels at the feet of the king, and the nobles and the judges pressed round to examine them.	As he spoke the young man laid the jewels at the feet of the king, and the nobles and the judges pressed round to examine them.	true	550.19	556.87	18
1053_132821_000031_000001	The king alone did not move from his seat, for he had forgotten the hall of justice and all about him, and saw only the apple-orchard, as it was twenty years ago, and the beautiful girl playing at ball.	The king alone did not move from his seat, for he had forgotten the hall of justice and all about him, and saw only the apple orchard, as it was twenty years ago, and the beautiful girl playing at ball.	true	557.63	569.02	19
1053_132821_000031_000002	A sudden silence round him made him look up, and he found the eyes of the assembly fixed on him.	A sudden silence round him made him look up, and he found the eyes of the assembly fixed on him.	true	569.39	574.87	18
1053_132821_000032_000000	'It is true; it is he who is my son, and not the other,' he said with an effort, 'and let every man present swear to acknowledge him as king, after my death.'	'It is true; it is he who is my son, and not the other,' he said with an effort, 'and let every man present swear to acknowledge him as king, after my death.'	true	575.84	585.55	19
1053_132821_000033_000000	Therefore one by one they all knelt before him and took the oath, and a message was sent to the false prince, forbidding him ever again to appear at court, though a handsome pension was granted him.	Therefore one by one they all knelt before him and took the oath, and a message was sent to the false prince, forbidding him ever again to appear at court, though a handsome pension was granted him.	true	586.43	597.82	21
1053_132821_000034_000000	At last the ceremony was over, and the king, signing to his newly found son to follow him, rose and went into another room.	At last the ceremony was over, and the king, signing to his newly found son to follow him, rose and went into another room.	true	598.85	606.88	17
1053_132821_000035_000000	'Tell me how you knew all that,' he said, throwing himself into a carved chair filled with crimson cushions, and the prince told of his meeting with the old woman who had brought him the jewels from his mother, and how he had sworn before a priest to marry her, though he did not want to do it, on account of the difference in their ages, and besides, he would rather receive a bride chosen by the king himself.	'Tell me how you knew all that,' he said, throwing himself into a carved chair filled with crimson cushions, and the prince told of his meeting with the old woman who had brought him the jewels from his mother, and how he had sworn before a priest to marry her, though he did not want to do it, on account of the difference in their ages, and besides, he would rather receive a bride chosen by the king himself.	true	607.67	630.34	17
1053_132821_000035_000001	But the king frowned, and answered sharply:	But the king frowned, and answered sharply:	true	630.56	632.98	16
1053_132821_000036_000000	'You swore to marry her if she saved your life, and, come what may, you must fulfil your promise.' Then, striking a silver shield that hung close by, he said to the equerry who appeared immediately:	'You swore to marry her if she saved your life, and, come what may, you must fulfil your promise.' Then, striking a silver shield that hung close by, he said to the equerry who appeared immediately:	false	632.99	643.57	18
1053_132821_000037_000000	'Go and seek the priest who lives near the door of the prison, and ask him where you can find the old woman who visited him last night; and when you have found her, bring her to the palace.'	'Go and seek the priest who lives near the door of the prison, and ask him where you can find the old woman who visited him last night; and when you have found her, bring her to the palace.'	true	644.06	654.51	18
1053_132821_000038_000000	It took some time to discover the whereabouts of the old woman, but at length it was accomplished, and when she arrived at the palace with the equerry, she was received with royal honours, as became the bride of the prince.	It took some time to discover the whereabouts of the old woman, but at length it was accomplished, and when she arrived at the palace with the equerry, she was received with royal honours, as became the bride of the prince.	false	654.51	666.64	19
1053_132821_000038_000001	The guards looked at each other with astonished eyes, as the wizened creature, bowed with age, passed between their lines; but they were more amazed still at the lightness of her step as she skipped up the steps to the great door before which the king was standing, with the prince at his side.	The guards looked at each other with astonished eyes, as the wizened creature, bowed with age, passed between their lines; but they were more amazed still at the lightness of her step as she skipped up the steps to the great door before which the king was standing, with the prince at his side.	true	666.95	681.94	18.894304
1053_132821_000038_000002	If they both felt a shock at the appearance of the aged lady they did not show it, and the king, with a grave bow, took her band, and led her to the chapel, where a bishop was waiting to perform the marriage ceremony.	If they both felt a shock at the appearance of the aged lady they did not show it, and the king, with a grave bow, took her band, and led her to the chapel, where a bishop was waiting to perform the marriage ceremony.	true	682.97	696.1	19
1053_132821_000039_000000	For the next few weeks little was seen of the prince, who spent all his days in hunting, and trying to forget the old wife at home.	For the next few weeks little was seen of the prince, who spent all his days in hunting, and trying to forget the old wife at home.	true	697.16	704.26	20
1053_132821_000039_000001	As for the princess, no one troubled himself about her, and she passed the days alone in her apartments, for she had absolutely declined the services of the ladies-in-waiting whom the king had appointed for her.	As for the princess, no one troubled himself about her, and she passed the days alone in her apartments, for she had absolutely declined the services of the ladies in waiting whom the king had appointed for her.	true	704.63	716.77	19
1053_132821_000040_000000	One night the prince returned after a longer chase than usual, and he was so tired that he went up straight to bed.	One night the prince returned after a longer chase than usual, and he was so tired that he went up straight to bed.	false	717.74	725.52	21
1053_132821_000040_000001	Suddenly he was awakened by a strange noise in the room, and suspecting that a robber might have stolen in, he jumped out of bed, and seized his sword, which lay ready to his hand.	Suddenly he was awakened by a strange noise in the room, and suspecting that a robber might have stolen in, he jumped out of bed, and seized his sword, which lay ready to his hand.	false	725.52	736.18	18
1053_132821_000040_000002	Then he perceived that the noise proceeded from the next room, which belonged to the princess, and was lighted by a burning torch.	Then he perceived that the noise proceeded from the next room, which belonged to the princess, and was lighted by a burning torch.	true	737	744.46	19
1053_132821_000040_000003	Creeping softly to the door, he peeped through it, and beheld her lying quietly, with a crown of gold and pearls upon her head, her wrinkles all gone, and her face, which was whiter than the snow, as fresh as that of a girl of fourteen.	Creeping softly to the door, he peeped through it, and beheld her lying quietly, with a crown of gold and pearls upon her head, her wrinkles all gone, and her face, which was whiter than the snow, as fresh as that of a girl of fourteen.	false	744.62	759.37	20
1053_132821_000040_000004	Could that really be his wife--that beautiful, beautiful creature?	Could that really be his wife-that beautiful, beautiful creature?	true	759.89	763.57	18
1053_132821_000041_000000	The prince was still gazing in surprise when the lady opened her eyes and smiled at him.	The prince was still gazing in surprise when the lady opened her eyes and smiled at him.	true	764.18	768.85	19
1053_132821_000042_000000	'Yes, I really am your wife,' she said, as if she had guessed his thoughts, 'and the enchantment is ended.	'Yes, I really am your wife,' she said, as if she had guessed his thoughts, 'and the enchantment is ended.	false	769.16	775.56	20.40731
1053_132821_000042_000001	Now I must tell you who I am, and what befell to cause me to take the shape of an old woman.	Now I must tell you who I am, and what befell to cause me to take the shape of an old woman.	true	775.56	782.01	21.765032
1053_132821_000043_000000	'The king of Granada is my father, and I was born in the palace which overlooks the plain of the Vega.	'The king of Granada is my father, and I was born in the palace which overlooks the plain of the Vega.	true	782.01	787.51	17
1053_132821_000043_000001	I was only a few months old when a wicked fairy, who had a spite against my parents, cast a spell over me, bending my back and wrinkling my skin till I looked as if I was a hundred years old, and making me such an object of disgust to everyone, that at length the king ordered my nurse to take my away from the palace.	I was only a few months old when a wicked fairy, who had a spite against my parents, cast a spell over me, bending my back and wrinkling my skin till I looked as if I was a hundred years old, and making me such an object of disgust to everyone, that at length the king ordered my nurse to take my away from the palace.	false	787.82	806.38	19
1053_132821_000043_000002	She was the only person who cared about me, and we lived together in this city on a small pension allowed me by the king.	She was the only person who cared about me, and we lived together in this city on a small pension allowed me by the king.	true	806.66	813.37	15
1053_132821_000044_000000	'When I was about three an old man arrived at our house, and begged my nurse to let him come in and rest, as he could walk no longer.	'When I was about three an old man arrived at our house, and begged my nurse to let him come in and rest, as he could walk no longer.	true	814.25	822.22	17
1053_132821_000044_000001	She saw that he was very ill, so put him to bed and took such care of him that by and bye he was as strong as ever.	She saw that he was very ill, so put him to bed and took such care of him that by and bye he was as strong as ever.	true	822.56	830.14	19
1053_132821_000044_000002	In gratitude for her goodness to him, he told her that he was a wizard and could give her anything she chose to ask for, except life or death, so she answered that what she longed for most in the world was that my wrinkled skin should disappear, and that I should regain the beauty with which I was born.	In gratitude for her goodness to him, he told her that he was a wizard and could give her anything she chose to ask for, except life or death, so she answered that what she longed for most in the world was that my wrinkled skin should disappear, and that I should regain the beauty with which I was born.	false	831.14	848.77	17
