1422_146111_000002_000000	CHAPTER 5.	CHAPTER five.
1422_146111_000003_000000	George awoke next morning with a misty sense that somehow the world had changed.	George awoke next morning with a misty sense that somehow the world had changed.
1422_146111_000003_000002	Then he sat up in bed with a jerk.	Then he sat up in bed with a jerk.
1422_146111_000003_000003	He had remembered that he was in love.	He had remembered that he was in love.
1422_146111_000004_000000	There was no doubt about it.	There was no doubt about it.
1422_146111_000004_000002	He felt young and active.	He felt young and active.
1422_146111_000004_000004	The sun was shining.	The sun was shining.
1422_146111_000004_000005	Even the sound of someone in the street below whistling one of his old compositions, of which he had heartily sickened twelve months before, was pleasant to his ears, and this in spite of the fact that the unseen whistler only touched the key in odd spots and had a poor memory for tunes.	Even the sound of someone in the street below whistling one of his old compositions, of which he had heartily sickened twelve months before, was pleasant to his ears, and this in spite of the fact that the unseen whistler only touched the key in odd spots and had a poor memory for tunes.
1422_146111_000004_000006	George sprang lightly out of bed, and turned on the cold tap in the bath-room.	George sprang lightly out of bed, and turned on the cold tap in the bath room.
1422_146111_000005_000000	It had come at last.	It had come at last.
1422_146111_000006_000000	George had never been in love before.	George had never been in love before.
1422_146111_000006_000001	Not really in love.	Not really in love.
1422_146111_000006_000004	During the last five years women had found him more or less cold.	During the last five years women had found him more or less cold.
1422_146111_000006_000008	Some had kicked about their musical numbers, some about their love-scenes; some had grumbled about their exit lines, others about the lines of their second-act frocks.	Some had kicked about their musical numbers, some about their love scenes; some had grumbled about their exit lines, others about the lines of their second act frocks.
1422_146111_000006_000009	They had kicked in a myriad differing ways--wrathfully, sweetly, noisily, softly, smilingly, tearfully, pathetically and patronizingly; but they had all kicked; with the result that woman had now become to George not so much a flaming inspiration or a tender goddess as something to be dodged--tactfully, if possible; but, if not possible, by open flight.	They had kicked in a myriad differing ways-wrathfully, sweetly, noisily, softly, smilingly, tearfully, pathetically and patronizingly; but they had all kicked; with the result that woman had now become to George not so much a flaming inspiration or a tender goddess as something to be dodged-tactfully, if possible; but, if not possible, by open flight.
1422_146111_000007_000000	The psychological effect of such a state of things is not difficult to realize.	The psychological effect of such a state of things is not difficult to realize.
1422_146111_000007_000001	Take a man of naturally quixotic temperament, a man of chivalrous instincts and a feeling for romance, and cut him off for five years from the exercise of those qualities, and you get an accumulated store of foolishness only comparable to an escape of gas in a sealed room or a cellarful of dynamite.	Take a man of naturally quixotic temperament, a man of chivalrous instincts and a feeling for romance, and cut him off for five years from the exercise of those qualities, and you get an accumulated store of foolishness only comparable to an escape of gas in a sealed room or a cellarful of dynamite.
1422_146111_000007_000002	A flicker of a match, and there is an explosion.	A flicker of a match, and there is an explosion.
1422_146111_000008_000000	This girl's tempestuous irruption into his life had supplied flame for George.	This girl's tempestuous irruption into his life had supplied flame for George.
1422_146111_000008_000001	Her bright eyes, looking into his, had touched off the spiritual trinitrotoluol which he had been storing up for so long. Up in the air in a million pieces had gone the prudence and self-restraint of a lifetime.	Her bright eyes, looking into his, had touched off the spiritual trinitrotoluol which he had been storing up for so long. Up in the air in a million pieces had gone the prudence and self restraint of a lifetime.
1422_146111_000009_000001	In the first place, he did not know the girl's name.	In the first place, he did not know the girl's name.
1422_146111_000009_000005	This thing wanted thinking over.	This thing wanted thinking over.
1422_146111_000010_000001	His faith in his luck sustained him.	His faith in his luck sustained him.
1422_146111_000010_000003	He had gained much; it now remained for him to push his success to the happy conclusion.	He had gained much; it now remained for him to push his success to the happy conclusion.
1422_146111_000010_000004	The driver of Luck must be replaced by the spoon--or, possibly, the niblick--of Ingenuity.	The driver of Luck must be replaced by the spoon-or, possibly, the niblick-of Ingenuity.
1422_146111_000010_000005	To fail now, to allow this girl to pass out of his life merely because he did not know who she was or where she was, would stamp him a feeble adventurer.	To fail now, to allow this girl to pass out of his life merely because he did not know who she was or where she was, would stamp him a feeble adventurer.
1422_146111_000010_000006	A fellow could not expect Luck to do everything for him.	A fellow could not expect Luck to do everything for him.
1422_146111_000010_000007	He must supplement its assistance with his own efforts.	He must supplement its assistance with his own efforts.
1422_146111_000011_000001	Well, nothing much, if it came to that, except the knowledge that she lived some two hours by train out of London, and that her journey started from Waterloo Station.	Well, nothing much, if it came to that, except the knowledge that she lived some two hours by train out of London, and that her journey started from Waterloo Station.
1422_146111_000011_000002	What would Sherlock Holmes have done?	What would Sherlock Holmes have done?
1422_146111_000011_000003	Concentrated thought supplied no answer to the question; and it was at this point that the cheery optimism with which he had begun the day left George and gave place to a grey gloom.	Concentrated thought supplied no answer to the question; and it was at this point that the cheery optimism with which he had begun the day left George and gave place to a grey gloom.
1422_146111_000011_000004	A dreadful phrase, haunting in its pathos, crept into his mind.	A dreadful phrase, haunting in its pathos, crept into his mind.
1422_146111_000011_000005	"Ships that pass in the night!"	"Ships that pass in the night!"
1422_146111_000011_000006	It might easily turn out that way.	It might easily turn out that way.
1422_146111_000011_000007	Indeed, thinking over the affair in all its aspects as he dried himself after his tub, George could not see how it could possibly turn out any other way.	Indeed, thinking over the affair in all its aspects as he dried himself after his tub, George could not see how it could possibly turn out any other way.
1422_146111_000012_000000	He dressed moodily, and left the room to go down to breakfast. Breakfast would at least alleviate this sinking feeling which was unmanning him.	He dressed moodily, and left the room to go down to breakfast. Breakfast would at least alleviate this sinking feeling which was unmanning him.
1422_146111_000012_000001	And he could think more briskly after a cup or two of coffee.	And he could think more briskly after a cup or two of coffee.
1422_146111_000013_000000	He opened the door.	He opened the door.
1422_146111_000013_000001	On a mat outside lay a letter.	On a mat outside lay a letter.
1422_146111_000014_000001	It was also in pencil, and strange to him.	It was also in pencil, and strange to him.
1422_146111_000014_000002	He opened the envelope.	He opened the envelope.
1422_146111_000015_000000	"Dear Mr. Bevan" (it began).	"Dear mr Bevan" (it began).
1422_146111_000016_000000	With a sudden leap of the heart he looked at the signature.	With a sudden leap of the heart he looked at the signature.
1422_146111_000018_000000	"DEAR MR.	"DEAR mr
1422_146111_000018_000001	BEVAN,	BEVAN,
1422_146111_000019_000001	I had to.	I had to.
1422_146111_000019_000002	I saw Percy driving up in a cab, and knew that he must have followed us. He did not see me, so I got away all right.	I saw Percy driving up in a cab, and knew that he must have followed us. He did not see me, so I got away all right.
1422_146111_000020_000000	"Thank you ever so much again for all your wonderful kindness.	"Thank you ever so much again for all your wonderful kindness.
1422_146111_000023_000000	What a girl!	What a girl!
1422_146111_000023_000002	The resource of her, to think of pawning that brooch!	The resource of her, to think of pawning that brooch!
1422_146111_000023_000003	The sweetness of her to bother to send him a note!	The sweetness of her to bother to send him a note!
