3945_890_000003_000000	LET me think where we were.	LET me think where we were.
3945_890_000003_000001	Oh, yes... that conversation took place on the 4th of August, 1913.	Oh, yes... that conversation took place on the fourth of August, nineteen thirteen.
3945_890_000003_000002	I remember saying to her that, on that day, exactly nine years before, I had made their acquaintance, so that it had seemed quite appropriate and like a birthday speech to utter my little testimonial to my friend Edward.	I remember saying to her that, on that day, exactly nine years before, I had made their acquaintance, so that it had seemed quite appropriate and like a birthday speech to utter my little testimonial to my friend Edward.
3945_890_000003_000003	I could quite confidently say that, though we four had been about together in all sorts of places, for all that length of time, I had not, for my part, one single complaint to make of either of them.	I could quite confidently say that, though we four had been about together in all sorts of places, for all that length of time, I had not, for my part, one single complaint to make of either of them.
3945_890_000003_000004	And I added, that that was an unusual record for people who had been so much together.	And I added, that that was an unusual record for people who had been so much together.
3945_890_000003_000005	You are not to imagine that it was only at Nauheim that we met.	You are not to imagine that it was only at Nauheim that we met.
3945_890_000003_000006	That would not have suited Florence.	That would not have suited Florence.
3945_890_000004_000001	He made another short visit to us in December of that year--the first year of our acquaintance.	He made another short visit to us in December of that year-the first year of our acquaintance.
3945_890_000004_000002	It must have been during this visit that he knocked Mr Jimmy's teeth down his throat.	It must have been during this visit that he knocked Mr Jimmy's teeth down his throat.
3945_890_000004_000003	I daresay Florence had asked him to come over for that purpose. In 1905 he was in Paris three times--once with Leonora, who wanted some frocks.	I daresay Florence had asked him to come over for that purpose. In nineteen o five he was in Paris three times-once with Leonora, who wanted some frocks.
3945_890_000004_000004	In 1906 we spent the best part of six weeks together at Mentone, and Edward stayed with us in Paris on his way back to London.	In nineteen o six we spent the best part of six weeks together at Mentone, and Edward stayed with us in Paris on his way back to London.
3945_890_000004_000005	That was how it went.	That was how it went.
3945_890_000005_000000	The fact was that in Florence the poor wretch had got hold of a Tartar, compared with whom Leonora was a sucking kid.	The fact was that in Florence the poor wretch had got hold of a Tartar, compared with whom Leonora was a sucking kid.
3945_890_000005_000001	He must have had a hell of a time.	He must have had a hell of a time.
3945_890_000005_000002	Leonora wanted to keep him for--what shall I say--for the good of her church, as it were, to show that Catholic women do not lose their men.	Leonora wanted to keep him for-what shall I say-for the good of her church, as it were, to show that Catholic women do not lose their men.
3945_890_000005_000003	Let it go at that, for the moment.	Let it go at that, for the moment.
3945_890_000005_000004	I will write more about her motives later, perhaps.	I will write more about her motives later, perhaps.
3945_890_000005_000005	But Florence was sticking on to the proprietor of the home of her ancestors.	But Florence was sticking on to the proprietor of the home of her ancestors.
3945_890_000005_000006	No doubt he was also a very passionate lover.	No doubt he was also a very passionate lover.
3945_890_000005_000007	But I am convinced that he was sick of Florence within three years of even interrupted companionship and the life that she led him....	But I am convinced that he was sick of Florence within three years of even interrupted companionship and the life that she led him....
3945_890_000006_000001	I daresay he would have faced it out; I daresay he would have thrown over Florence and taken the risk of exposure.	I daresay he would have faced it out; I daresay he would have thrown over Florence and taken the risk of exposure.
3945_890_000006_000002	But there he had Leonora to deal with. And Leonora assured him that, if the minutest fragment of the real situation ever got through to my senses, she would wreak upon him the most terrible vengeance that she could think of.	But there he had Leonora to deal with. And Leonora assured him that, if the minutest fragment of the real situation ever got through to my senses, she would wreak upon him the most terrible vengeance that she could think of.
3945_890_000006_000004	Florence called for more and more attentions from him as the time went on.	Florence called for more and more attentions from him as the time went on.
3945_890_000006_000006	Oh, yes, it was a difficult job for him.	Oh, yes, it was a difficult job for him.
3945_890_000007_000000	For Florence, if you please, gaining in time a more composed view of nature, and overcome by her habits of garrulity, arrived at a frame of mind in which she found it almost necessary to tell me all about it--nothing less than that.	For Florence, if you please, gaining in time a more composed view of nature, and overcome by her habits of garrulity, arrived at a frame of mind in which she found it almost necessary to tell me all about it-nothing less than that.
3945_890_000008_000000	She proposed to tell me all, secure a divorce from me, and go with Edward and settle in California....	She proposed to tell me all, secure a divorce from me, and go with Edward and settle in California....
3945_890_000008_000003	Besides she had got it into her head that Leonora, who was as sound as a roach, was consumptive.	Besides she had got it into her head that Leonora, who was as sound as a roach, was consumptive.
3945_890_000008_000004	She was always begging Leonora, before me, to go and see a doctor.	She was always begging Leonora, before me, to go and see a doctor.
