7967_104986_000001_000000	CHAPTER IX.	CHAPTER nine.
7967_104986_000001_000001	SCRAPS	SCRAPS
7967_104986_000003_000000	"A specter," her husband repeated with a suggestive glance at the brilliant sunshine in which we all stood.	"A specter," her husband repeated with a suggestive glance at the brilliant sunshine in which we all stood.
7967_104986_000004_000000	"Yes." The tone was one of utter conviction.	"Yes." The tone was one of utter conviction.
7967_104986_000004_000001	"I had never believed in such things--never thought about them, but--it was a week ago--in the library--I have not seen a happy moment since--"	"I had never believed in such things-never thought about them, but-it was a week ago-in the library-I have not seen a happy moment since-"
7967_104986_000005_000000	"My darling!"	"My darling!"
7967_104986_000006_000001	I was sitting reading.	I was sitting reading.
7967_104986_000006_000005	There was no mistaking their look.	There was no mistaking their look.
7967_104986_000006_000006	As it burned into and through me, everything which had given reality to my life faded and seemed as far away and as unsubstantial as a dream.	As it burned into and through me, everything which had given reality to my life faded and seemed as far away and as unsubstantial as a dream.
7967_104986_000007_000001	Her husband, with a soothing touch on her arm, brought her back to the present.	Her husband, with a soothing touch on her arm, brought her back to the present.
7967_104986_000008_000000	"You speak of a form," he said, "a shadowy outline.	"You speak of a form," he said, "a shadowy outline.
7967_104986_000008_000001	The form of what?	The form of what?
7967_104986_000008_000002	A man or a woman?"	A man or a woman?"
7967_104986_000010_000000	In spite of himself and the sympathy he undoubtedly felt for her, an ejaculation of impatience left her husband's lips.	In spite of himself and the sympathy he undoubtedly felt for her, an ejaculation of impatience left her husband's lips.
7967_104986_000011_000002	Do you wonder that my happiness vanished before it?	Do you wonder that my happiness vanished before it?
7967_104986_000012_000000	The mayor was a practical man; he kept close to the subject.	The mayor was a practical man; he kept close to the subject.
7967_104986_000013_000000	"You saw this form between you and the lighted lamp.	"You saw this form between you and the lighted lamp.
7967_104986_000014_000000	"I can not tell you.	"I can not tell you.
7967_104986_000014_000001	One moment it was there and the next it was gone, and I found myself staring into vacancy.	One moment it was there and the next it was gone, and I found myself staring into vacancy.
7967_104986_000014_000002	I seem to be staring there still, waiting for the blow destined to shatter this household."	I seem to be staring there still, waiting for the blow destined to shatter this household."
7967_104986_000015_000001	What we have to fear and all we have to fear is that I may lose my election.	What we have to fear and all we have to fear is that I may lose my election.
7967_104986_000015_000002	And that won't kill me, whatever effect it may have on the party."	And that won't kill me, whatever effect it may have on the party."
7967_104986_000016_000000	"Henry,"--her voice had changed to one more natural, also her manner. The confidence expressed in this outburst, the vitality, the masculine attitude he took were producing their effect.	"Henry,"--her voice had changed to one more natural, also her manner. The confidence expressed in this outburst, the vitality, the masculine attitude he took were producing their effect.
7967_104986_000016_000001	"You don't believe in what I saw or in my fears.	"You don't believe in what I saw or in my fears.
7967_104986_000016_000002	Perhaps you are right.	Perhaps you are right.
7967_104986_000016_000003	I am ready to acknowledge this; I will try to look upon it all as a freak of my imagination if you will promise to forget these dreadful days, and if people, other people, will leave me alone and not print such things about me."	I am ready to acknowledge this; I will try to look upon it all as a freak of my imagination if you will promise to forget these dreadful days, and if people, other people, will leave me alone and not print such things about me."
7967_104986_000017_000000	"I am ready to do my part," was his glad reply, "and as for the other people you mention, we shall soon bring them to book." Raising his voice, he called out his secretary's name.	"I am ready to do my part," was his glad reply, "and as for the other people you mention, we shall soon bring them to book." Raising his voice, he called out his secretary's name.
7967_104986_000019_000000	"Find out who did that."	"Find out who did that."
7967_104986_000021_000000	"It is calumny," fell from Mrs. Packard's lips as she watched him.	"It is calumny," fell from mrs Packard's lips as she watched him.
7967_104986_000023_000001	Two days or a week, it is all one.	Two days or a week, it is all one.
7967_104986_000024_000000	Mr. Steele bowed.	mr Steele bowed.
7967_104986_000025_000000	"Certainly; most happy."	"Certainly; most happy."
7967_104986_000028_000000	This conclusion was brought back to me with fresh insistence a few minutes later, when, on hearing the front door shut, I stepped to the balustrade and looked over to see if Mrs. Packard was coming up.	This conclusion was brought back to me with fresh insistence a few minutes later, when, on hearing the front door shut, I stepped to the balustrade and looked over to see if mrs Packard was coming up.
7967_104986_000029_000001	This scrap of I knew not what, but which had been the occasion of the enigmatic scene I had witnessed at the breakfast-table, necessarily interested me very much and I could not help giving it a look.	This scrap of I knew not what, but which had been the occasion of the enigmatic scene I had witnessed at the breakfast table, necessarily interested me very much and I could not help giving it a look.
7967_104986_000029_000002	I saw that it was inscribed with Hebraic-looking characters as unlike as possible to the scrawl of a little child.	I saw that it was inscribed with Hebraic looking characters as unlike as possible to the scrawl of a little child.
7967_104986_000030_000000	With no means of knowing whether they were legible or not, these characters made a surprising impression upon me, one, indeed, that was almost photographic.	With no means of knowing whether they were legible or not, these characters made a surprising impression upon me, one, indeed, that was almost photographic.
7967_104986_000031_000000	I also noted that these shapes or characters, of which there were just seven, were written on the face of an empty envelope.	I also noted that these shapes or characters, of which there were just seven, were written on the face of an empty envelope.
7967_104986_000032_000000	Carrying it back to Mrs. Packard, I handed it over with the remark that I had found it lying in the hall.	Carrying it back to mrs Packard, I handed it over with the remark that I had found it lying in the hall.
7967_104986_000032_000001	She cast a quick look at it, gave me another look and tossed the paper into the grate.	She cast a quick look at it, gave me another look and tossed the paper into the grate.
7967_104986_000032_000002	As it caught fire and flared up, the characters started vividly into view.	As it caught fire and flared up, the characters started vividly into view.
7967_104986_000033_000000	This second glimpse of them, added to the one already given me, fixed the whole indelibly in my mind.	This second glimpse of them, added to the one already given me, fixed the whole indelibly in my mind.
7967_104986_000033_000001	This is the way they looked.	This is the way they looked.
7967_104986_000035_000000	While I watched these cabalistic marks pass from red to black and finally vanish in a wild leap up the chimney, Mrs. Packard remarked:	While I watched these cabalistic marks pass from red to black and finally vanish in a wild leap up the chimney, mrs Packard remarked:
7967_104986_000036_000000	"I wish I could destroy the memory of all my mistakes as completely as I can that old envelope."	"I wish I could destroy the memory of all my mistakes as completely as I can that old envelope."
7967_104986_000038_000000	"You are tired, Mrs. Packard," was my sympathetic observation.	"You are tired, mrs Packard," was my sympathetic observation.
7967_104986_000038_000001	"Will you not take a nap?	"Will you not take a nap?
7967_104986_000039_000002	Now that I feel better, now that I have relieved my mind, I must look over my letters and try to take up the old threads again."	Now that I feel better, now that I have relieved my mind, I must look over my letters and try to take up the old threads again."
7967_104986_000040_000000	"Can I help you?" I asked.	"Can I help you?" I asked.
7967_104986_000041_000000	"Possibly.	"Possibly.
7967_104986_000042_000000	I was glad to obey this order.	I was glad to obey this order.
7967_104986_000043_000000	I was met at the door by Ellen.	I was met at the door by Ellen.
7967_104986_000043_000001	She wore a look of dismay which I felt fully accounted for when I looked inside.	She wore a look of dismay which I felt fully accounted for when I looked inside.
7967_104986_000043_000002	Disorder reigned from one end of the room to the other, transcending any picture I may have formed in my own mind concerning its probable condition.	Disorder reigned from one end of the room to the other, transcending any picture I may have formed in my own mind concerning its probable condition.
7967_104986_000043_000003	Mrs. Packard must have forgotten all this disarray, or at least had supposed it to have yielded to the efforts of the maid, when she proposed my awaiting her there. There were bureau-drawers with their contents half on the floor, boxes with their covers off, cupboard-doors ajar and even the closet shelves showing every mark of a frenzied search among them.	mrs Packard must have forgotten all this disarray, or at least had supposed it to have yielded to the efforts of the maid, when she proposed my awaiting her there. There were bureau drawers with their contents half on the floor, boxes with their covers off, cupboard doors ajar and even the closet shelves showing every mark of a frenzied search among them.
7967_104986_000044_000000	"It's as bad as the attic room up-stairs.	"It's as bad as the attic room up stairs.
7967_104986_000044_000003	I have a whole morning's work before me."	I have a whole morning's work before me."
7967_104986_000045_000002	Here, there and everywhere above and below lay scraps of torn-up paper; and on many, if not on all of them, could be seen the broken squares and inverted angles which had marked so curiously the surface of the envelope she had handed to Mr. Steele, and which I had afterward seen her burn.	Here, there and everywhere above and below lay scraps of torn up paper; and on many, if not on all of them, could be seen the broken squares and inverted angles which had marked so curiously the surface of the envelope she had handed to mr Steele, and which I had afterward seen her burn.
7967_104986_000047_000000	"The baby!	"The baby!
7967_104986_000047_000001	Oh, the baby never did that.	Oh, the baby never did that.
7967_104986_000047_000002	She's too young."	She's too young."
7967_104986_000048_000002	How old is she?"	How old is she?"
7967_104986_000049_000000	"Twenty months and such a darling!	"Twenty months and such a darling!
7967_104986_000049_000002	Why, look at this!"	Why, look at this!"
7967_104986_000050_000000	"What?" I demanded, hurrying to the closet, where Ellen stood bending over something invisible to me.	"What?" I demanded, hurrying to the closet, where Ellen stood bending over something invisible to me.
7967_104986_000050_000001	"Oh, nothing," she answered, coming quickly out.	"Oh, nothing," she answered, coming quickly out.
7967_104986_000050_000003	Her bag is in there almost packed.	Her bag is in there almost packed.
7967_104986_000050_000005	That accounts--" Stopping, she cast a glance around the room, ending with a shake of the head and a shrug.	That accounts-" Stopping, she cast a glance around the room, ending with a shake of the head and a shrug.
