2149_7235_000000_000000	THE LETTER OF PAUL TO THE COLOSSIANS.	THE LETTER OF PAUL TO THE colossians.	false	0.51	13.05	20.621641
2149_7235_000001_000000	I.	I.	false	13.05	13.395	6
2149_7235_000002_000000	PAUL, an apostle of Christ Jesus by the will of God, and Timothy the brother, (2)to the saints in Colosse, and faithful brethren in Christ: Grace to you, and peace, from God our Father and the Lord Jesus Christ.	PAUL, an apostle of Christ Jesus by the will of God, and Timothy the brother, (two)to the saints in Colosse, and faithful brethren in Christ: Grace to you, and peace, from God our Father and the Lord Jesus Christ.	false	13.395	32.7	20.031052
2149_7235_000003_000000	(3)We give thanks to God the Father of our Lord Jesus Christ, praying always for you, (4)having heard of your faith in Christ Jesus, and of the love which ye have toward all the saints, (5)because of the hope which is laid up for you in heaven, of which ye heard before in the word of the truth of the gospel; (6)which is come to you, as also in all the world, and is bringing forth fruit and increasing also in you, since the day ye heard it, and knew the grace of God in truth; (7)as ye learned from Epaphras our beloved fellow-servant, who is for you a faithful minister of Christ, (8)who also made known to us your love in the Spirit.	(three)We give thanks to God the Father of our Lord Jesus Christ, praying always for you, (four)having heard of your faith in Christ Jesus, and of the love which ye have toward all the saints, (five)because of the hope which is laid up for you in heaven, of which ye heard before in the word of the truth of the gospel; (six)which is come to you, as also in all the world, and is bringing forth fruit and increasing also in you, since the day ye heard it, and knew the grace of God in truth; (seven)as ye learned from Epaphras our beloved fellow servant, who is for you a faithful minister of Christ, (eight)who also made known to us your love in the Spirit.	false	32.7	69.42	16
2149_7235_000004_000000	(9)For this cause we also, since the day we heard it, do not cease to pray for you, and to ask that ye may be filled with the knowledge of his will, in all wisdom and spiritual understanding; (10)that ye may walk worthy of the Lord unto all pleasing, bringing forth fruit in every good work, and increasing in the knowledge of God; (11)being strengthened with all strength, according to his glorious power, unto all patience and long-suffering with joy; (12)giving thanks to the Father, who made us meet for the portion of the inheritance of the saints in light; (13)who delivered us out of the power of darkness, and translated us into the kingdom of the Son of his love; (14)in whom we have the redemption, the remission of our sins; (15)who is the image of the invisible God, the first-born of every creature, (16)because in him were all things created, the things in the heavens, and the things on the earth, the visible and the invisible, whether thrones, or dominions, or principalities, or powers; all things have been created by him, and for him; (17)and he is before all things, and in him all things subsist. (18)And he is the head of the body, the church; who is the beginning, the first-born from the dead; that he may become in all things pre-eminent. (19)For He was pleased, that in him should all the fullness dwell; (20)and through him to reconcile all things to himself, having made peace through the blood of his cross; through him, whether the things on the earth, or the things in the heavens.	(nine)For this cause we also, since the day we heard it, do not cease to pray for you, and to ask that ye may be filled with the knowledge of his will, in all wisdom and spiritual understanding; (ten)that ye may walk worthy of the Lord unto all pleasing, bringing forth fruit in every good work, and increasing in the knowledge of God; (eleven)being strengthened with all strength, according to his glorious power, unto all patience and long suffering with joy; (twelve)giving thanks to the Father, who made us meet for the portion of the inheritance of the saints in light; (thirteen)who delivered us out of the power of darkness, and translated us into the kingdom of the Son of his love; (fourteen)in whom we have the redemption, the remission of our sins; (fifteen)who is the image of the invisible God, the first born of every creature, (sixteen)because in him were all things created, the things in the heavens, and the things on the earth, the visible and the invisible, whether thrones, or dominions, or principalities, or powers; all things have been created by him, and for him; (seventeen)and he is before all things, and in him all things subsist. (eighteen)And he is the head of the body, the church; who is the beginning, the first born from the dead; that he may become in all things pre-eminent. (nineteen)For He was pleased, that in him should all the fullness dwell; (twenty)and through him to reconcile all things to himself, having made peace through the blood of his cross; through him, whether the things on the earth, or the things in the heavens.	false	69.42	157.8	16
2149_7235_000005_000000	(21)And you also, being in time past alienated, and enemies in your mind in wicked works, yet now has he reconciled (22)in the body of his flesh through death, to present you holy and blameless and unaccused before him; (23)if indeed ye continue in the faith grounded and settled, and not moved away from the hope of the gospel, which ye heard, which was preached in the whole creation which is under heaven; of which I Paul was made a minister.	(twenty one)And you also, being in time past alienated, and enemies in your mind in wicked works, yet now has he reconciled (twenty two)in the body of his flesh through death, to present you holy and blameless and unaccused before him; (twenty three)if indeed ye continue in the faith grounded and settled, and not moved away from the hope of the gospel, which ye heard, which was preached in the whole creation which is under heaven; of which I Paul was made a minister.	false	157.8	185.22	17
2149_7235_000006_000000	(24)Now I rejoice in my sufferings for you, and fill up that which is behind of the afflictions of Christ in my flesh for his body, which is the church; (25)of which I was made a minister, according to the dispensation of God which was given to me for you, to fulfill the word of God, (26)the mystery which has been hidden from ages and from generations, but now has been manifested to his saints; (27)to whom God willed to make known what is the riches of the glory of this mystery among the Gentiles, which is Christ in you, the hope of glory; (28)whom we announce, warning every man, and teaching every man in all wisdom, that we may present every man perfect in Christ; (29)to which end I also labor, striving according to his working, which works in me with power.	(twenty four)Now I rejoice in my sufferings for you, and fill up that which is behind of the afflictions of Christ in my flesh for his body, which is the church; (twenty five)of which I was made a minister, according to the dispensation of God which was given to me for you, to fulfill the word of God, (twenty six)the mystery which has been hidden from ages and from generations, but now has been manifested to his saints; (twenty seven)to whom God willed to make known what is the riches of the glory of this mystery among the Gentiles, which is Christ in you, the hope of glory; (twenty eight)whom we announce, warning every man, and teaching every man in all wisdom, that we may present every man perfect in Christ; (twenty nine)to which end I also labor, striving according to his working, which works in me with power.	false	185.22	234.36	19.163984
2149_7235_000007_000000	II.	two.	false	234.36	235.65	15.974959
2149_7235_000008_000000	FOR I would have you know how great a conflict I have for you, and for those in Laodicea, and for as many as have not seen my face in the flesh; (2)that their hearts might be encouraged, they being knit together in love, and unto all the riches of the full assurance of the understanding, unto the full knowledge of the mystery of God, even Christ; (3)in whom are all the treasures of wisdom and knowledge hidden.	FOR I would have you know how great a conflict I have for you, and for those in Laodicea, and for as many as have not seen my face in the flesh; (two)that their hearts might be encouraged, they being knit together in love, and unto all the riches of the full assurance of the understanding, unto the full knowledge of the mystery of God, even Christ; (three)in whom are all the treasures of wisdom and knowledge hidden.	false	235.65	259.56	17
2149_7235_000009_000000	(4)And this I say, that no one may beguile you with enticing words. (5)For though I am absent in the flesh, yet in the spirit I am with you, rejoicing and beholding your order, and the steadfastness of your faith toward Christ.	(four)And this I say, that no one may beguile you with enticing words. (five)For though I am absent in the flesh, yet in the spirit I am with you, rejoicing and beholding your order, and the steadfastness of your faith toward Christ.	false	259.56	273.84	19.81527
2149_7235_000010_000000	(6)As therefore ye received Christ Jesus the Lord, so walk in him; (7)having been rooted and being built up in him, and being established in the faith as ye were taught, abounding therein with thanksgiving.	(six)As therefore ye received Christ Jesus the Lord, so walk in him; (seven)having been rooted and being built up in him, and being established in the faith as ye were taught, abounding therein with thanksgiving.	false	273.84	286.38	19
2149_7235_000011_000000	(8)Beware lest there shall be any one that despoils you through philosophy and vain deceit, after the tradition of men, after the rudiments of the world, and not after Christ. (9)Because in him dwells all the fullness of the Godhead bodily. (10)And ye are made complete in him[2:10], who is the head of all principality and power; (11)in whom ye were also circumcised with a circumcision not made with hands, in the putting off of the body of the flesh, in the circumcision of Christ; (12)being buried with him in the immersion, wherein ye were also raised with him through faith in the working of God, who raised him from the dead. (13)And you also, being dead in your trespasses and the uncircumcision of your flesh, he made alive together with him, graciously forgiving us all our trespasses; (14)blotting out the handwriting in ordinances that was against us, which was opposed to us, and he has taken it out of the way, nailing it to the cross; (15)despoiling principalities and powers[2:15a], he made a show of them openly, triumphing over them in it[2:15b].	(eight)Beware lest there shall be any one that despoils you through philosophy and vain deceit, after the tradition of men, after the rudiments of the world, and not after Christ. (nine)Because in him dwells all the fullness of the Godhead bodily. (ten)And ye are made complete in him[two ten], who is the head of all principality and power; (eleven)in whom ye were also circumcised with a circumcision not made with hands, in the putting off of the body of the flesh, in the circumcision of Christ; (twelve)being buried with him in the immersion, wherein ye were also raised with him through faith in the working of God, who raised him from the dead. (thirteen)And you also, being dead in your trespasses and the uncircumcision of your flesh, he made alive together with him, graciously forgiving us all our trespasses; (fourteen)blotting out the handwriting in ordinances that was against us, which was opposed to us, and he has taken it out of the way, nailing it to the cross; (fifteen)despoiling principalities and powers[two fifteen a], he made a show of them openly, triumphing over them in it[two fifteen b].	false	286.38	349.11	18
2149_7235_000012_000000	(16)Let not any one therefore judge you in food, or in drink, or in respect of a feast-day, or of a new-moon, or of a sabbath; (17)which are a shadow of the things to come, but the body is of Christ. (18)Let no one defraud you of the prize, seeking it[2:18] in humiliation and worship of the angels, intruding into things which he has not seen, vainly puffed up by his fleshly mind, (19)and not holding fast the head, from whom all the body, by means of the joints and bands having nourishment ministered, and being knit together, increases with the increase of God.	(sixteen)Let not any one therefore judge you in food, or in drink, or in respect of a feast day, or of a new moon, or of a sabbath; (seventeen)which are a shadow of the things to come, but the body is of Christ. (eighteen)Let no one defraud you of the prize, seeking it[two eighteen] in humiliation and worship of the angels, intruding into things which he has not seen, vainly puffed up by his fleshly mind, (nineteen)and not holding fast the head, from whom all the body, by means of the joints and bands having nourishment ministered, and being knit together, increases with the increase of God.	false	349.11	383.19	18
