8097_282406_000002_000000	THE FARMER AND THE CRANES	THE FARMER AND THE CRANES
8097_282406_000003_000000	Some Cranes saw a farmer plowing a large field.	Some Cranes saw a farmer plowing a large field.
8097_282406_000003_000001	When the work of plowing was done, they patiently watched him sow the seed.	When the work of plowing was done, they patiently watched him sow the seed.
8097_282406_000003_000002	It was their feast, they thought.	It was their feast, they thought.
8097_282406_000004_000000	So, as soon as the Farmer had finished planting and had gone home, down they flew to the field, and began to eat as fast as they could.	So, as soon as the Farmer had finished planting and had gone home, down they flew to the field, and began to eat as fast as they could.
8097_282406_000005_000001	He had had experience with such birds before.	He had had experience with such birds before.
8097_282406_000005_000003	But he did not bring any stones with him.	But he did not bring any stones with him.
8097_282406_000005_000004	He expected to scare the Cranes just by swinging the sling in the air, and shouting loudly at them.	He expected to scare the Cranes just by swinging the sling in the air, and shouting loudly at them.
8097_282406_000006_000002	They did not even hear the noise of stones whizzing through the air, and as for words, they would kill nobody.	They did not even hear the noise of stones whizzing through the air, and as for words, they would kill nobody.
8097_282406_000006_000003	At last they paid no attention whatever to the Farmer.	At last they paid no attention whatever to the Farmer.
8097_282406_000007_000001	He wanted to save at least some of his grain.	He wanted to save at least some of his grain.
8097_282406_000007_000002	So he loaded his sling with stones and killed several of the Cranes.	So he loaded his sling with stones and killed several of the Cranes.
8097_282406_000007_000003	This had the effect the Farmer wanted, for from that day the Cranes visited his field no more.	This had the effect the Farmer wanted, for from that day the Cranes visited his field no more.
8097_282406_000010_000000	THE FARMER AND HIS SONS	THE FARMER AND HIS SONS
8097_282406_000012_000001	Do not on any account part with the estate that has belonged to our family for so many generations.	Do not on any account part with the estate that has belonged to our family for so many generations.
8097_282406_000012_000002	Somewhere on it is hidden a rich treasure.	Somewhere on it is hidden a rich treasure.
8097_282406_000012_000003	I do not know the exact spot, but it is there, and you will surely find it.	I do not know the exact spot, but it is there, and you will surely find it.
8097_282406_000012_000004	Spare no energy and leave no spot unturned in your search."	Spare no energy and leave no spot unturned in your search."
8097_282406_000013_000000	The father died, and no sooner was he in his grave than the sons set to work digging with all their might, turning up every foot of ground with their spades, and going over the whole farm two or three times.	The father died, and no sooner was he in his grave than the sons set to work digging with all their might, turning up every foot of ground with their spades, and going over the whole farm two or three times.
8097_282406_000018_000000	THE TWO POTS	THE TWO POTS
8097_282406_000019_000000	Two Pots, one of brass and the other of clay, stood together on the hearthstone.	Two Pots, one of brass and the other of clay, stood together on the hearthstone.
8097_282406_000019_000001	One day the Brass Pot proposed to the Earthen Pot that they go out into the world together.	One day the Brass Pot proposed to the Earthen Pot that they go out into the world together.
8097_282406_000019_000002	But the Earthen Pot excused himself, saying that it would be wiser for him to stay in the corner by the fire.	But the Earthen Pot excused himself, saying that it would be wiser for him to stay in the corner by the fire.
8097_282406_000021_000000	"Don't let that keep you at home," urged the Brass Pot.	"Don't let that keep you at home," urged the Brass Pot.
8097_282406_000021_000002	If we should happen to meet anything hard I will step between and save you."	If we should happen to meet anything hard I will step between and save you."
8097_282406_000023_000000	The Earthen Pot could not survive that sort of companionship very long.	The Earthen Pot could not survive that sort of companionship very long.
8097_282406_000023_000001	They had not gone ten paces before the Earthen Pot cracked, and at the next jolt he flew into a thousand pieces.	They had not gone ten paces before the Earthen Pot cracked, and at the next jolt he flew into a thousand pieces.
8097_282406_000025_000000	THE GOOSE AND THE GOLDEN EGG	THE GOOSE AND THE GOLDEN EGG
8097_282406_000026_000000	There was once a Countryman who possessed the most wonderful Goose you can imagine, for every day when he visited the nest, the Goose had laid a beautiful, glittering, golden egg.	There was once a Countryman who possessed the most wonderful Goose you can imagine, for every day when he visited the nest, the Goose had laid a beautiful, glittering, golden egg.
8097_282406_000027_000001	But it was not long before he grew impatient with the Goose because she gave him only a single golden egg a day.	But it was not long before he grew impatient with the Goose because she gave him only a single golden egg a day.
8097_282406_000027_000002	He was not getting rich fast enough.	He was not getting rich fast enough.
8097_282406_000028_000000	Then one day, after he had finished counting his money, the idea came to him that he could get all the golden eggs at once by killing the Goose and cutting it open.	Then one day, after he had finished counting his money, the idea came to him that he could get all the golden eggs at once by killing the Goose and cutting it open.
8097_282406_000028_000001	But when the deed was done, not a single golden egg did he find, and his precious Goose was dead.	But when the deed was done, not a single golden egg did he find, and his precious Goose was dead.
