2785_163322_000000_000000	CHAPTER V. Wool and Water	CHAPTER five Wool and Water	true	21.945	24.61	18.311455
2785_163322_000001_000000	She caught the shawl as she spoke, and looked about for the owner: in another moment the White Queen came running wildly through the wood, with both arms stretched out wide, as if she were flying, and Alice very civilly went to meet her with the shawl.	She caught the shawl as she spoke, and looked about for the owner: in another moment the White Queen came running wildly through the wood, with both arms stretched out wide, as if she were flying, and Alice very civilly went to meet her with the shawl.	false	25.82	41.41	20.134985
2785_163322_000002_000000	'I'm very glad I happened to be in the way,' Alice said, as she helped her to put on her shawl again.	'I'm very glad I happened to be in the way,' Alice said, as she helped her to put on her shawl again.	true	42.05	47.59	19.457184
2785_163322_000003_000000	The White Queen only looked at her in a helpless frightened sort of way, and kept repeating something in a whisper to herself that sounded like 'bread-and-butter, bread-and-butter,' and Alice felt that if there was to be any conversation at all, she must manage it herself.	The White Queen only looked at her in a helpless frightened sort of way, and kept repeating something in a whisper to herself that sounded like 'bread and butter, bread and butter,' and Alice felt that if there was to be any conversation at all, she must manage it herself.	false	48.05	64.66	20.477026
2785_163322_000003_000001	So she began rather timidly: 'Am I addressing the White Queen?'	So she began rather timidly: 'Am I addressing the White Queen?'	true	64.73	69.67	17.851347
2785_163322_000004_000000	'Well, yes, if you call that a-dressing,' The Queen said.	'Well, yes, if you call that a dressing,' The Queen said.	true	70.28	74.23	19.639736
2785_163322_000004_000001	'It isn't MY notion of the thing, at all.'	'It isn't MY notion of the thing, at all.'	true	74.66	77.47	19.164669
2785_163322_000005_000000	Alice thought it would never do to have an argument at the very beginning of their conversation, so she smiled and said, 'If your Majesty will only tell me the right way to begin, I'll do it as well as I can.'	Alice thought it would never do to have an argument at the very beginning of their conversation, so she smiled and said, 'If your Majesty will only tell me the right way to begin, I'll do it as well as I can.'	false	77.66	92.265	19.95408
2785_163322_000006_000000	'But I don't want it done at all!' groaned the poor Queen. 'I've been a-dressing myself for the last two hours.'	'But I don't want it done at all!' groaned the poor Queen. 'I've been a dressing myself for the last two hours.'	true	92.265	98.95	19.36595
2785_163322_000007_000000	It would have been all the better, as it seemed to Alice, if she had got some one else to dress her, she was so dreadfully untidy.	It would have been all the better, as it seemed to Alice, if she had got some one else to dress her, she was so dreadfully untidy.	true	99.26	107.77	19.297682
2785_163322_000007_000001	'Every single thing's crooked,' Alice thought to herself, 'and she's all over pins!--may I put your shawl straight for you?' she added aloud.	'Every single thing's crooked,' Alice thought to herself, 'and she's all over pins!--may I put your shawl straight for you?' she added aloud.	true	107.87	118.06	20.751856
2785_163322_000008_000000	'I don't know what's the matter with it!' the Queen said, in a melancholy voice.	'I don't know what's the matter with it!' the Queen said, in a melancholy voice.	true	118.76	123.43	21.122757
2785_163322_000008_000001	'It's out of temper, I think.	'It's out of temper, I think.	true	123.5	125.205	19.482914
2785_163322_000008_000002	I've pinned it here, and I've pinned it there, but there's no pleasing it!'	I've pinned it here, and I've pinned it there, but there's no pleasing it!'	true	125.205	129.82	19.622972
2785_163322_000009_000000	'It CAN'T go straight, you know, if you pin it all on one side,' Alice said, as she gently put it right for her; 'and, dear me, what a state your hair is in!'	'It CAN'T go straight, you know, if you pin it all on one side,' Alice said, as she gently put it right for her; 'and, dear me, what a state your hair is in!'	true	130.31	142.09	19.403883
2785_163322_000010_000000	'The brush has got entangled in it!' the Queen said with a sigh.	'The brush has got entangled in it!' the Queen said with a sigh.	true	142.25	145.93	22.089113
2785_163322_000010_000001	'And I lost the comb yesterday.'	'And I lost the comb yesterday.'	true	146.3	148.66	18
