1974_139742_000000_000000	Caleb wondered what this meant; perceiving that she spoke to him, no less than to his daughter.	Caleb wondered what this meant; perceiving that she spoke to him, no less than to his daughter.	true	20.19	25.15	15
1974_139742_000000_000001	He saw her, with astonishment, so fluttered and distressed that she could scarcely breathe; and holding to a chair, to save herself from falling.	He saw her, with astonishment, so fluttered and distressed that she could scarcely breathe; and holding to a chair, to save herself from falling.	true	26.12	33.27	17
1974_139742_000001_000000	"They are wheels indeed!" she panted.	"They are wheels indeed!" she panted.	false	33.27	36.25	16.373306
1974_139742_000001_000001	"Coming nearer!	"Coming nearer!	true	36.47	37.425	18.032824
1974_139742_000001_000002	Nearer!	Nearer!	true	37.425	38.13	17.942999
1974_139742_000001_000003	Very close!	Very close!	true	38.13	39.1	22.645552
1974_139742_000001_000004	And now you hear them stopping at the garden-gate!	And now you hear them stopping at the garden gate!	true	39.44	41.61	21.154335
1974_139742_000001_000005	And now you hear a step outside the door--the same step, Bertha, is it not?--and now----!"	And now you hear a step outside the door-the same step, Bertha, is it not?--and now----!"	true	41.61	46.39	19.836641
1974_139742_000002_000000	She uttered a wild cry of uncontrollable delight; and running up to Caleb, put her hands upon his eyes, as a young man rushed into the room, and, flinging away his hat into the air, came sweeping down upon them.	She uttered a wild cry of uncontrollable delight; and running up to Caleb, put her hands upon his eyes, as a young man rushed into the room, and, flinging away his hat into the air, came sweeping down upon them.	true	47	58.96	16
1974_139742_000003_000000	"Is it over?" cried Dot.	"Is it over?" cried Dot.	true	59.96	61.9	21.441837
1974_139742_000004_000000	"Yes!"	"Yes!"	true	61.97	62.74	19.564896
1974_139742_000005_000000	"Happily over?"	"Happily over?"	true	63.23	64.42	19.951138
1974_139742_000006_000000	"Yes!"	"Yes!"	true	64.76	65.62	18.142242
1974_139742_000007_000000	"Do you recollect the voice, dear Caleb?	"Do you recollect the voice, dear Caleb?	true	66.02	68.355	19
1974_139742_000007_000001	Did you ever hear the like of it before?" cried Dot.	Did you ever hear the like of it before?" cried Dot.	true	68.355	71.17	16
1974_139742_000008_000000	"If my boy in the Golden South Americas was alive----!" said Caleb, trembling.	"If my boy in the Golden South Americas was alive----!" said Caleb, trembling.	true	71.81	76.51	22
1974_139742_000009_000000	"He is alive!" shrieked Dot, removing her hands from his eyes, and clapping them in ecstasy.	"He is alive!" shrieked Dot, removing her hands from his eyes, and clapping them in ecstasy.	true	77	82.48	19.514112
1974_139742_000009_000001	"Look at him!	"Look at him!	true	82.55	83.47	23
1974_139742_000009_000002	See where he stands before you, healthy and strong!	See where he stands before you, healthy and strong!	true	83.54	86.01	16
1974_139742_000009_000003	Your own dear son.	Your own dear son.	true	86.01	87.42	17
1974_139742_000009_000004	Your own dear living, loving brother, Bertha!"	Your own dear living, loving brother, Bertha!"	true	87.42	90.64	17
1974_139742_000010_000000	All honour to the little creature for her transports!	All honour to the little creature for her transports!	true	91.31	94.21	23.936798
1974_139742_000010_000001	All honour to her tears and laughter, when the three were locked in one another's arms! All honour to the heartiness with which she met the sunburnt sailor-fellow, with his dark streaming hair, half-way, and never turned her rosy little mouth aside, but suffered him to kiss it freely, and to press her to his bounding heart!	All honour to her tears and laughter, when the three were locked in one another's arms! All honour to the heartiness with which she met the sunburnt sailor fellow, with his dark streaming hair, half-way, and never turned her rosy little mouth aside, but suffered him to kiss it freely, and to press her to his bounding heart!	false	94.64	110.83	17
1974_139742_000011_000000	And honour to the Cuckoo too--why not?--for bursting out of the trap-door in the Moorish Palace like a housebreaker, and hiccoughing twelve times on the assembled company, as if he had got drunk for joy!	And honour to the Cuckoo too-why not?--for bursting out of the trap door in the Moorish Palace like a housebreaker, and hiccoughing twelve times on the assembled company, as if he had got drunk for joy!	false	112.37	122.17	19
1974_139742_000012_000000	The Carrier, entering, started back.	The Carrier, entering, started back.	true	122.24	124.66	19.784117
1974_139742_000012_000001	And well he might, to find himself in such good company.	And well he might, to find himself in such good company.	true	124.73	127.6	18
1974_139742_000013_000000	"Look, John!" said Caleb, exultingly, "look here!	"Look, john!" said Caleb, exultingly, "look here!	true	128.06	130.845	20
1974_139742_000013_000001	My own boy from the Golden South Americas!	My own boy from the Golden South Americas!	true	130.845	132.93	14
1974_139742_000013_000002	My own son!	My own son!	true	132.93	134.14	16
1974_139742_000013_000003	Him that you fitted out, and sent away yourself!	Him that you fitted out, and sent away yourself!	true	134.36	136.695	16
1974_139742_000013_000004	Him that you were always such a friend to!"	Him that you were always such a friend to!"	true	136.695	138.82	14
1974_139742_000014_000000	The Carrier advanced to seize him by the hand; but, recoiling, as some feature in his face awakened a remembrance of the Deaf Man in the Cart, said:	The Carrier advanced to seize him by the hand; but, recoiling, as some feature in his face awakened a remembrance of the Deaf Man in the Cart, said:	true	140.03	148.32	19
1974_139742_000015_000000	"Edward!	"Edward!	true	148.32	148.89	23.04657
1974_139742_000015_000001	Was it you?"	Was it you?"	true	148.89	149.74	15
1974_139742_000016_000000	"Now tell him all!" cried Dot.	"Now tell him all!" cried Dot.	true	150.74	152.58	18
1974_139742_000016_000001	"Tell him all, Edward; and don't spare me, for nothing shall make me spare myself in his eyes, ever again."	"Tell him all, Edward; and don't spare me, for nothing shall make me spare myself in his eyes, ever again."	true	152.58	158.05	14
1974_139742_000017_000000	"I was the man," said Edward.	"I was the man," said Edward.	true	158.54	161.05	17.847595
1974_139742_000018_000000	"And could you steal, disguised, into the house of your old friend?" rejoined the Carrier.	"And could you steal, disguised, into the house of your old friend?" rejoined the Carrier.	true	161.75	166.54	15
1974_139742_000018_000001	"There was a frank boy once--how many years is it, Caleb, since we heard that he was dead, and had it proved, we thought?--who never would have done that."	"There was a frank boy once-how many years is it, Caleb, since we heard that he was dead, and had it proved, we thought?--who never would have done that."	true	166.61	174.79	17.339262
1974_139742_000019_000000	"There was a generous friend of mine once; more a father to me than a friend," said Edward; "who never would have judged me, or any other man, unheard.	"There was a generous friend of mine once; more a father to me than a friend," said Edward; "who never would have judged me, or any other man, unheard.	true	175.46	183.25	17.527092
1974_139742_000019_000001	You were he.	You were he.	true	183.38	184.51	18.882528
1974_139742_000019_000002	So I am certain you will hear me now."	So I am certain you will hear me now."	true	184.85	186.88	16.657396
