5039_1188_000000_000000	"I am neither square nor crooked," said Scraps, looking down at her plump body.	"I am neither square nor crooked," said Scraps, looking down at her plump body.	false	0	4.59	20.126032
5039_1188_000001_000000	"No; you're round, so you're liable to do anything," asserted the Woozy.	"No; you're round, so you're liable to do anything," asserted the Woozy.	false	4.59	8.34	22.632605
5039_1188_000001_000001	"Do not blame me, Miss Gorgeous, if I regard you with suspicion. Many a satin ribbon has a cotton back."	"Do not blame me, Miss Gorgeous, if I regard you with suspicion. Many a satin ribbon has a cotton back."	false	8.34	10.26	25.300884
5039_1188_000002_000000	Scraps didn't understand this, but she had an uneasy misgiving that she had a cotton back herself.	Scraps didn't understand this, but she had an uneasy misgiving that she had a cotton back herself.	false	10.26	12.03	12
5039_1188_000002_000001	It would settle down, at times, and make her squat and dumpy, and then she had to roll herself in the road until her body stretched out again.	It would settle down, at times, and make her squat and dumpy, and then she had to roll herself in the road until her body stretched out again.	false	12.03	23.79	21.586037
5039_1188_000003_000000	Chapter Ten	Chapter Ten	true	23.79	24.94	22.563765
5039_1188_000004_000000	Shaggy Man to the Rescue	Shaggy Man to the Rescue	true	25.25	27.1	22.60379
5039_1188_000005_000000	They had not gone very far before Bungle, who had run on ahead, came bounding back to say that the road of yellow bricks was just before them.	They had not gone very far before Bungle, who had run on ahead, came bounding back to say that the road of yellow bricks was just before them.	true	28.22	36.58	22
5039_1188_000005_000001	At once they hurried forward to see what this famous road looked like.	At once they hurried forward to see what this famous road looked like.	true	36.92	40.6	24.174057
5039_1188_000006_000000	It was a broad road, but not straight, for it wandered over hill and dale and picked out the easiest places to go.	It was a broad road, but not straight, for it wandered over hill and dale and picked out the easiest places to go.	true	40.88	47.95	21.388733
5039_1188_000006_000001	All its length and breadth was paved with smooth bricks of a bright yellow color, so it was smooth and level except in a few places where the bricks had crumbled or been removed, leaving holes that might cause the unwary to stumble.	All its length and breadth was paved with smooth bricks of a bright yellow color, so it was smooth and level except in a few places where the bricks had crumbled or been removed, leaving holes that might cause the unwary to stumble.	true	48.14	62.29	21
5039_1188_000007_000000	"I wonder," said Ojo, looking up and down the road, "which way to go."	"I wonder," said Ojo, looking up and down the road, "which way to go."	true	62.84	67.89	21.797995
5039_1188_000008_000000	"Where are you bound for?" asked the Woozy.	"Where are you bound for?" asked the Woozy.	false	67.89	71.86	19.16242
5039_1188_000009_000000	"The Emerald City," he replied.	"The Emerald City," he replied.	true	72.32	74.71	21.93936
5039_1188_000010_000000	"Then go west," said the Woozy.	"Then go west," said the Woozy.	false	75.11	77.61	21.628733
