2004_147967_000001_000001	Before I opened my eyes, I seemed to know that something had happened.	Before I opened my eyes, I seemed to know that something had happened.
2004_147967_000001_000002	I heard excited voices in the kitchen--grandmother's was so shrill that I knew she must be almost beside herself.	I heard excited voices in the kitchen-grandmother's was so shrill that I knew she must be almost beside herself.
2004_147967_000001_000003	I looked forward to any new crisis with delight.	I looked forward to any new crisis with delight.
2004_147967_000001_000005	Perhaps the barn had burned; perhaps the cattle had frozen to death; perhaps a neighbor was lost in the storm.	Perhaps the barn had burned; perhaps the cattle had frozen to death; perhaps a neighbor was lost in the storm.
2004_147967_000002_000002	Their clothes and boots were steaming, and they both looked exhausted.	Their clothes and boots were steaming, and they both looked exhausted.
2004_147967_000002_000003	On the bench behind the stove lay a man, covered up with a blanket.	On the bench behind the stove lay a man, covered up with a blanket.
2004_147967_000002_000005	I obeyed reluctantly.	I obeyed reluctantly.
2004_147967_000002_000007	Her lips were tightly compressed and she kept whispering to herself: "Oh, dear Saviour!" "Lord, Thou knowest!"	Her lips were tightly compressed and she kept whispering to herself: "Oh, dear Saviour!" "Lord, Thou knowest!"
2004_147967_000003_000000	Presently grandfather came in and spoke to me: "Jimmy, we will not have prayers this morning, because we have a great deal to do.	Presently grandfather came in and spoke to me: "Jimmy, we will not have prayers this morning, because we have a great deal to do.
2004_147967_000003_000001	Old Mr. Shimerda is dead, and his family are in great distress.	Old mr Shimerda is dead, and his family are in great distress.
2004_147967_000003_000002	Ambrosch came over here in the middle of the night, and Jake and Otto went back with him.	Ambrosch came over here in the middle of the night, and Jake and Otto went back with him.
2004_147967_000003_000004	That is Ambrosch, asleep on the bench.	That is Ambrosch, asleep on the bench.
2004_147967_000004_000000	After Jake and Otto had swallowed their first cup of coffee, they began to talk excitedly, disregarding grandmother's warning glances.	After Jake and Otto had swallowed their first cup of coffee, they began to talk excitedly, disregarding grandmother's warning glances.
2004_147967_000004_000001	I held my tongue, but I listened with all my ears.	I held my tongue, but I listened with all my ears.
2004_147967_000005_000003	One of 'em ripped around and got away from him--bolted clean out of the stable.	One of 'em ripped around and got away from him-bolted clean out of the stable.
2004_147967_000005_000004	His hands is blistered where the rope run through.	His hands is blistered where the rope run through.
2004_147967_000006_000000	"Poor soul, poor soul!" grandmother groaned.	"Poor soul, poor soul!" grandmother groaned.
2004_147967_000006_000001	"I'd like to think he never done it.	"I'd like to think he never done it.
2004_147967_000007_000000	"I don't think he was out of his head for a minute, Mrs. Burden," Fuchs declared.	"I don't think he was out of his head for a minute, mrs Burden," Fuchs declared.
2004_147967_000007_000001	"He done everything natural.	"He done everything natural.
2004_147967_000007_000003	He shaved after dinner, and washed hisself all over after the girls was done the dishes.	He shaved after dinner, and washed hisself all over after the girls was done the dishes.
2004_147967_000007_000005	Then he put on a clean shirt and clean socks, and after he was dressed he kissed her and the little one and took his gun and said he was going out to hunt rabbits.	Then he put on a clean shirt and clean socks, and after he was dressed he kissed her and the little one and took his gun and said he was going out to hunt rabbits.
2004_147967_000007_000006	He must have gone right down to the barn and done it then.	He must have gone right down to the barn and done it then.
2004_147967_000007_000008	When we found him, everything was decent except,"--Fuchs wrinkled his brow and hesitated,--"except what he could n't nowise foresee.	When we found him, everything was decent except,"--Fuchs wrinkled his brow and hesitated,--"except what he could n't nowise foresee.
2004_147967_000007_000009	His coat was hung on a peg, and his boots was under the bed.	His coat was hung on a peg, and his boots was under the bed.
2004_147967_000007_000011	He turned back his shirt at the neck and rolled up his sleeves."	He turned back his shirt at the neck and rolled up his sleeves."
2004_147967_000008_000000	"I don't see how he could do it!" grandmother kept saying.	"I don't see how he could do it!" grandmother kept saying.
2004_147967_000009_000001	"Why, mam, it was simple enough; he pulled the trigger with his big toe.	"Why, mam, it was simple enough; he pulled the trigger with his big toe.
2004_147967_000009_000002	He layed over on his side and put the end of the barrel in his mouth, then he drew up one foot and felt for the trigger.	He layed over on his side and put the end of the barrel in his mouth, then he drew up one foot and felt for the trigger.
2004_147967_000010_000000	"Maybe he did," said Jake grimly.	"Maybe he did," said Jake grimly.
2004_147967_000011_000000	"Now what do you mean, Jake?" grandmother asked sharply.	"Now what do you mean, Jake?" grandmother asked sharply.
2004_147967_000015_000000	Grandmother broke in excitedly: "See here, Jake Marpole, don't you go trying to add murder to suicide.	Grandmother broke in excitedly: "See here, Jake Marpole, don't you go trying to add murder to suicide.
2004_147967_000015_000001	We're deep enough in trouble.	We're deep enough in trouble.
2004_147967_000015_000002	Otto reads you too many of them detective stories."	Otto reads you too many of them detective stories."
2004_147967_000017_000002	They was blown up there by gunshot, no question."	They was blown up there by gunshot, no question."
2004_147967_000019_000001	"The body can't be touched until we get the coroner here from Black Hawk, and that will be a matter of several days, this weather."	"The body can't be touched until we get the coroner here from Black Hawk, and that will be a matter of several days, this weather."
2004_147967_000020_000000	"Well, I can take them some victuals, anyway, and say a word of comfort to them poor little girls.	"Well, I can take them some victuals, anyway, and say a word of comfort to them poor little girls.
2004_147967_000020_000001	The oldest one was his darling, and was like a right hand to him.	The oldest one was his darling, and was like a right hand to him.
2004_147967_000020_000003	He's left her alone in a hard world." She glanced distrustfully at Ambrosch, who was now eating his breakfast at the kitchen table.	He's left her alone in a hard world." She glanced distrustfully at Ambrosch, who was now eating his breakfast at the kitchen table.
2004_147967_000021_000001	On the gray gelding, our best horse, he would try to pick his way across the country with no roads to guide him.	On the gray gelding, our best horse, he would try to pick his way across the country with no roads to guide him.
2004_147967_000022_000000	"Don't you worry about me, Mrs. Burden," he said cheerfully, as he put on a second pair of socks.	"Don't you worry about me, mrs Burden," he said cheerfully, as he put on a second pair of socks.
2004_147967_000022_000001	"I've got a good nose for directions, and I never did need much sleep.	"I've got a good nose for directions, and I never did need much sleep.
2004_147967_000023_000001	Stop at the Widow Steavens's for dinner.	Stop at the Widow Steavens's for dinner.
2004_147967_000024_000000	After Fuchs rode away, I was left with Ambrosch.	After Fuchs rode away, I was left with Ambrosch.
2004_147967_000024_000002	He was deeply, even slavishly, devout.	He was deeply, even slavishly, devout.
2004_147967_000024_000003	He did not say a word all morning, but sat with his rosary in his hands, praying, now silently, now aloud.	He did not say a word all morning, but sat with his rosary in his hands, praying, now silently, now aloud.
2004_147967_000024_000004	He never looked away from his beads, nor lifted his hands except to cross himself.	He never looked away from his beads, nor lifted his hands except to cross himself.
2004_147967_000024_000005	Several times the poor boy fell asleep where he sat, wakened with a start, and began to pray again.	Several times the poor boy fell asleep where he sat, wakened with a start, and began to pray again.
2004_147967_000025_000000	No wagon could be got to the Shimerdas' until a road was broken, and that would be a day's job.	No wagon could be got to the Shimerdas' until a road was broken, and that would be a day's job.
2004_147967_000025_000001	Grandfather came from the barn on one of our big black horses, and Jake lifted grandmother up behind him.	Grandfather came from the barn on one of our big black horses, and Jake lifted grandmother up behind him.
2004_147967_000025_000002	She wore her black hood and was bundled up in shawls.	She wore her black hood and was bundled up in shawls.
2004_147967_000025_000003	Grandfather tucked his bushy white beard inside his overcoat.	Grandfather tucked his bushy white beard inside his overcoat.
2004_147967_000025_000004	They looked very Biblical as they set off, I thought.	They looked very Biblical as they set off, I thought.
2004_147967_000025_000006	I watched them go past the pond and over the hill by the drifted cornfield.	I watched them go past the pond and over the hill by the drifted cornfield.
2004_147967_000026_000000	I felt a considerable extension of power and authority, and was anxious to acquit myself creditably.	I felt a considerable extension of power and authority, and was anxious to acquit myself creditably.
2004_147967_000026_000002	I remembered that in the hurry and excitement of the morning nobody had thought of the chickens, and the eggs had not been gathered.	I remembered that in the hurry and excitement of the morning nobody had thought of the chickens, and the eggs had not been gathered.
2004_147967_000026_000003	Going out through the tunnel, I gave the hens their corn, emptied the ice from their drinking-pan, and filled it with water.	Going out through the tunnel, I gave the hens their corn, emptied the ice from their drinking pan, and filled it with water.
2004_147967_000026_000004	After the cat had had his milk, I could think of nothing else to do, and I sat down to get warm.	After the cat had had his milk, I could think of nothing else to do, and I sat down to get warm.
2004_147967_000026_000005	The quiet was delightful, and the ticking clock was the most pleasant of companions.	The quiet was delightful, and the ticking clock was the most pleasant of companions.
2004_147967_000026_000006	I got "Robinson Crusoe" and tried to read, but his life on the island seemed dull compared with ours.	I got "Robinson Crusoe" and tried to read, but his life on the island seemed dull compared with ours.
2004_147967_000026_000009	If he could have lived with us, this terrible thing would never have happened.	If he could have lived with us, this terrible thing would never have happened.
2004_147967_000027_000000	I knew it was homesickness that had killed Mr. Shimerda, and I wondered whether his released spirit would not eventually find its way back to his own country.	I knew it was homesickness that had killed mr Shimerda, and I wondered whether his released spirit would not eventually find its way back to his own country.
2004_147967_000027_000001	I thought of how far it was to Chicago, and then to Virginia, to Baltimore,--and then the great wintry ocean.	I thought of how far it was to Chicago, and then to Virginia, to Baltimore,--and then the great wintry ocean.
2004_147967_000027_000002	No, he would not at once set out upon that long journey.	No, he would not at once set out upon that long journey.
2004_147967_000027_000003	Surely, his exhausted spirit, so tired of cold and crowding and the struggle with the ever-falling snow, was resting now in this quiet house.	Surely, his exhausted spirit, so tired of cold and crowding and the struggle with the ever falling snow, was resting now in this quiet house.
2004_147967_000028_000001	I did not wish to disturb him. I went softly down to the kitchen which, tucked away so snugly underground, always seemed to me the heart and center of the house.	I did not wish to disturb him. I went softly down to the kitchen which, tucked away so snugly underground, always seemed to me the heart and center of the house.
2004_147967_000028_000002	There, on the bench behind the stove, I thought and thought about Mr. Shimerda. Outside I could hear the wind singing over hundreds of miles of snow.	There, on the bench behind the stove, I thought and thought about mr Shimerda. Outside I could hear the wind singing over hundreds of miles of snow.
2004_147967_000028_000004	I went over all that Antonia had ever told me about his life before he came to this country; how he used to play the fiddle at weddings and dances.	I went over all that Antonia had ever told me about his life before he came to this country; how he used to play the fiddle at weddings and dances.
2004_147967_000028_000005	I thought about the friends he had mourned to leave, the trombone-player, the great forest full of game,--belonging, as Antonia said, to the "nobles,"--from which she and her mother used to steal wood on moonlight nights.	I thought about the friends he had mourned to leave, the trombone player, the great forest full of game,--belonging, as Antonia said, to the "nobles,"--from which she and her mother used to steal wood on moonlight nights.
2004_147967_000028_000007	Such vivid pictures came to me that they might have been Mr. Shimerda's memories, not yet faded out from the air in which they had haunted him.	Such vivid pictures came to me that they might have been mr Shimerda's memories, not yet faded out from the air in which they had haunted him.
2004_147967_000029_000000	It had begun to grow dark when my household returned, and grandmother was so tired that she went at once to bed.	It had begun to grow dark when my household returned, and grandmother was so tired that she went at once to bed.
2004_147967_000029_000002	Nobody could touch the body until the coroner came.	Nobody could touch the body until the coroner came.
2004_147967_000029_000003	If any one did, something terrible would happen, apparently. The dead man was frozen through, "just as stiff as a dressed turkey you hang out to freeze," Jake said.	If any one did, something terrible would happen, apparently. The dead man was frozen through, "just as stiff as a dressed turkey you hang out to freeze," Jake said.
