2741_159386_000000_000000	_The Wild Swans_	underscore The Wild Swans underscore	false	31.8	37.44	19.326551
2741_159386_000001_000000	FAR away in the land to which the swallows fly when it is winter, dwelt a king who had eleven sons, and one daughter named Eliza.	FAR away in the land to which the swallows fly when it is winter, dwelt a king who had eleven sons, and one daughter named Eliza.	true	37.44	48.88	20
2741_159386_000001_000001	The eleven brothers were princes, and each went to school with a star on his breast and a sword by his side.	The eleven brothers were princes, and each went to school with a star on his breast and a sword by his side.	true	49.82	57.55	21.910658
2741_159386_000001_000002	They wrote with diamond pencils on gold slates, and learned their lessons so quickly and read so easily that everyone might know they were princes.	They wrote with diamond pencils on gold slates, and learned their lessons so quickly and read so easily that everyone might know they were princes.	true	57.86	69.13	19
2741_159386_000001_000003	Their sister Eliza sat on a little stool of plate glass, and had a book full of pictures which had cost as much as half a kingdom.	Their sister Eliza sat on a little stool of plate glass, and had a book full of pictures which had cost as much as half a kingdom.	true	69.98	79.87	21.651085
2741_159386_000001_000004	Oh, these children were indeed happy, but they were not to remain so always.	Oh, these children were indeed happy, but they were not to remain so always.	true	80.45	86.71	18
2741_159386_000001_000005	Their father, who was King of the country, married a very wicked Queen who did not love the poor children at all. They knew this from the very first day after the wedding.	Their father, who was King of the country, married a very wicked Queen who did not love the poor children at all. They knew this from the very first day after the wedding.	true	87.26	100	22.439459
2741_159386_000001_000006	In the palace there were great festivities, and the children played at receiving company; but instead of having, as usual, all the cakes and apples that were left, she gave them some sand in a teacup and told them to pretend it was cake.	In the palace there were great festivities, and the children played at receiving company; but instead of having, as usual, all the cakes and apples that were left, she gave them some sand in a teacup and told them to pretend it was cake.	false	100.52	119.14	21.289467
2741_159386_000001_000007	The week after she sent little Eliza into the country to a peasant and his wife, and then she told the King so many untrue things about the young princes that he gave himself no more trouble respecting them.	The week after she sent little Eliza into the country to a peasant and his wife, and then she told the King so many untrue things about the young princes that he gave himself no more trouble respecting them.	true	119.84	134.8	21
2741_159386_000002_000000	"Go out into the world and get your own living," said the Queen.	"Go out into the world and get your own living," said the Queen.	true	135.74	140.08	20
2741_159386_000002_000001	"Fly like great birds who have no voice." But she could not make them ugly as she wished, for they were turned into eleven beautiful wild swans.	"Fly like great birds who have no voice." But she could not make them ugly as she wished, for they were turned into eleven beautiful wild swans.	false	140.3	151.54	22.626734
2741_159386_000002_000002	Then, with a strange cry, they flew through the windows of the palace, over the park, to the forest beyond.	Then, with a strange cry, they flew through the windows of the palace, over the park, to the forest beyond.	true	152.15	160.54	20.505713
2741_159386_000002_000003	It was yet early morning when they passed the peasant's cottage, where their sister Eliza lay asleep in her room.	It was yet early morning when they passed the peasant's cottage, where their sister Eliza lay asleep in her room.	true	161.24	168.52	18
2741_159386_000002_000004	They hovered over the roof, twisted their long necks, and flapped their wings; but no one heard them or saw them, so they were at last obliged to fly away, high up in the clouds; and over the wide world they flew till they came to a thick, dark wood, which stretched far away to the seashore.	They hovered over the roof, twisted their long necks, and flapped their wings; but no one heard them or saw them, so they were at last obliged to fly away, high up in the clouds; and over the wide world they flew till they came to a thick, dark wood, which stretched far away to the seashore.	true	169.25	191.77	21.067636
2741_159386_000002_000005	Poor little Eliza was alone in her room playing with a green leaf, for she had no other playthings, and she pierced a hole through the leaf and looked through it at the sun, and it was as if she saw her brothers' clear eyes, and when the warm sun shone on her cheeks she thought of all the kisses they had given her.	Poor little Eliza was alone in her room playing with a green leaf, for she had no other playthings, and she pierced a hole through the leaf and looked through it at the sun, and it was as if she saw her brothers' clear eyes, and when the warm sun shone on her cheeks she thought of all the kisses they had given her.	true	192.71	215.17	20.063702
2741_159386_000002_000006	One day passed just like another; sometimes the winds rustled through the leaves of the rosebush, and would whisper to the roses, "Who can be more beautiful than you?" But the roses would shake their heads and say, "Eliza is." And when the old woman sat at the cottage door on Sunday and read her hymn book, the wind would flutter the leaves and say to the book, "Who can be more pious than you?" and then the hymn book would answer, "Eliza." And the roses and the hymn book told the real truth.	One day passed just like another; sometimes the winds rustled through the leaves of the rosebush, and would whisper to the roses, "Who can be more beautiful than you?" But the roses would shake their heads and say, "Eliza is." And when the old woman sat at the cottage door on Sunday and read her hymn book, the wind would flutter the leaves and say to the book, "Who can be more pious than you?" and then the hymn book would answer, "Eliza." And the roses and the hymn book told the real truth.	true	216.56	256.81	20.147303
2741_159386_000002_000007	At fifteen she returned home, but when the Queen saw how beautiful she was, she became full of spite and hatred toward her.	At fifteen she returned home, but when the Queen saw how beautiful she was, she became full of spite and hatred toward her.	true	257.18	268.48	21.014336
2741_159386_000002_000008	Willingly would she have turned her into a swan, like her brothers, but she did not dare to do so yet, because the King wished to see his daughter.	Willingly would she have turned her into a swan, like her brothers, but she did not dare to do so yet, because the King wished to see his daughter.	true	269.12	279.79	19
2741_159386_000002_000009	Early one morning the Queen went into the bathroom; it was built of marble, and had soft cushions trimmed with the most beautiful tapestry.	Early one morning the Queen went into the bathroom; it was built of marble, and had soft cushions trimmed with the most beautiful tapestry.	true	280.73	291.28	21
