589_139200_000000_000000	CHAPTER IV	CHAPTER four	false	1.74	23.17	19.295002
589_139200_000001_000000	THE MURDERED MAN	THE MURDERED MAN	true	23.78	25.21	23.073158
589_139200_000002_000000	There may be folk in the world to whom the finding of a dead man, lying grim and stark by the roadside, with the blood freshly run from it and making ugly patches of crimson on the grass and the gravel, would be an ordinary thing; but to me that had never seen blood let in violence, except in such matters as a bout of fisticuffs at school, it was the biggest thing that had ever happened, and I stood staring down at the white face as if I should never look at anything else as long as I lived. I remember all about that scene and that moment as freshly now as if the affair had happened last night.	There may be folk in the world to whom the finding of a dead man, lying grim and stark by the roadside, with the blood freshly run from it and making ugly patches of crimson on the grass and the gravel, would be an ordinary thing; but to me that had never seen blood let in violence, except in such matters as a bout of fisticuffs at school, it was the biggest thing that had ever happened, and I stood staring down at the white face as if I should never look at anything else as long as I lived. I remember all about that scene and that moment as freshly now as if the affair had happened last night.	false	26.78	68.02	19.225473
589_139200_000002_000001	The dead man lying in the crushed grass--his arms thrown out helplessly on either side of him--the gloom of the trees all around--the murmuring of the waters, where Till was pouring its sluggish flood into the more active swirl and rush of the Tweed--the hot, oppressive air of the night--and the blood on the dry road--all that was what, at Mr. Gilverthwaite's bidding, I had ridden out from Berwick to find in that lonely spot.	The dead man lying in the crushed grass-his arms thrown out helplessly on either side of him-the gloom of the trees all around-the murmuring of the waters, where Till was pouring its sluggish flood into the more active swirl and rush of the Tweed-the hot, oppressive air of the night-and the blood on the dry road-all that was what, at mr Gilverthwaite's bidding, I had ridden out from Berwick to find in that lonely spot.	false	69.26	99.51	20.009024
589_139200_000003_000000	But I knew, of course, that James Gilverthwaite himself had not foreseen this affair, nor thought that I should find a murdered man.	But I knew, of course, that james Gilverthwaite himself had not foreseen this affair, nor thought that I should find a murdered man.	false	99.51	108.88	19.355219
589_139200_000003_000001	And as I at last drew breath, and lifted myself up a little from staring at the corpse, a great many thoughts rushed into my head, and began to tumble about over each other.	And as I at last drew breath, and lifted myself up a little from staring at the corpse, a great many thoughts rushed into my head, and began to tumble about over each other.	false	110.39	122.05	19.282383
589_139200_000003_000002	Was this the man Mr. Gilverthwaite meant me to meet?	Was this the man mr Gilverthwaite meant me to meet?	true	122.99	125.97	20
589_139200_000003_000003	Would Mr. Gilverthwaite have been murdered, too, if he had come there in person?	Would mr Gilverthwaite have been murdered, too, if he had come there in person?	false	125.97	131.14	20.606232
589_139200_000003_000004	And had the man been murdered for the sake of robbery? But I answered that last question as soon as I asked it, and in the negative, for the light of my lamp showed a fine, heavy gold watch-chain festooned across the man's waistcoat--if murderously inclined thieves had been at him, they were not like to have left that.	And had the man been murdered for the sake of robbery? But I answered that last question as soon as I asked it, and in the negative, for the light of my lamp showed a fine, heavy gold watch chain festooned across the man's waistcoat-if murderously inclined thieves had been at him, they were not like to have left that.	false	132.05	153.85	19.703127
589_139200_000003_000005	Then I wondered if I had disturbed the murderers--it was fixed in me from the beginning that there must have been more than one in at this dreadful game--and if they were still lurking about and watching me from the brushwood; and I made an effort, and bent down and touched one of the nerveless hands.	Then I wondered if I had disturbed the murderers-it was fixed in me from the beginning that there must have been more than one in at this dreadful game-and if they were still lurking about and watching me from the brushwood; and I made an effort, and bent down and touched one of the nerveless hands.	true	155.15	175.63	20.631012
589_139200_000003_000006	It was stiffened already, and I knew then that the man had been dead some time.	It was stiffened already, and I knew then that the man had been dead some time.	false	176.6	181.72	19.094435
