1165_135220_000002_000000	CHAPTER V	CHAPTER five
1165_135220_000004_000000	The boat drifted on.	The boat drifted on.
1165_135220_000004_000001	The light given by the aurora and the low moon seemed to grow fainter; and as I looked behind I saw that the distant glow from the volcanic fires had become more brilliant in the increasing darkness.	The light given by the aurora and the low moon seemed to grow fainter; and as I looked behind I saw that the distant glow from the volcanic fires had become more brilliant in the increasing darkness.
1165_135220_000004_000002	The sides of the channel grew steeper, until at last they became rocky precipices, rising to an unknown height.	The sides of the channel grew steeper, until at last they became rocky precipices, rising to an unknown height.
1165_135220_000004_000003	The channel itself grew narrower, till from a width of two miles it had contracted to a tenth of those dimensions; but with this lessening width the waters seemed to rush far more swiftly.	The channel itself grew narrower, till from a width of two miles it had contracted to a tenth of those dimensions; but with this lessening width the waters seemed to rush far more swiftly.
1165_135220_000004_000004	Here I drifted helplessly, and saw the gloomy, rocky cliffs sweep past me as I was hurled onward on the breast of the tremendous flood.	Here I drifted helplessly, and saw the gloomy, rocky cliffs sweep past me as I was hurled onward on the breast of the tremendous flood.
1165_135220_000004_000005	I was in despair. The fate of Agnew had prepared me for my own, and I was only thankful that my fate, since it was inevitable, would be less appalling.	I was in despair. The fate of Agnew had prepared me for my own, and I was only thankful that my fate, since it was inevitable, would be less appalling.
1165_135220_000004_000006	Death seemed certain, and my chief thought now was as to the moment when it would come.	Death seemed certain, and my chief thought now was as to the moment when it would come.
1165_135220_000004_000007	I was prepared.	I was prepared.
1165_135220_000005_000000	As I went on, the precipices rose higher and seemed to overhang, the channel grew narrower, the light grew fainter, until at last all around me grew dark.	As I went on, the precipices rose higher and seemed to overhang, the channel grew narrower, the light grew fainter, until at last all around me grew dark.
1165_135220_000005_000001	I was floating at the bottom of a vast chasm, where the sides seemed to rise precipitously for thousands of feet, where neither watery flood nor rocky wall was visible, and where, far above, I could see the line of sky between the summits of the cliffs, and watch the glowing stars.	I was floating at the bottom of a vast chasm, where the sides seemed to rise precipitously for thousands of feet, where neither watery flood nor rocky wall was visible, and where, far above, I could see the line of sky between the summits of the cliffs, and watch the glowing stars.
1165_135220_000005_000003	So I thought; and with these thoughts I drifted on, I cannot tell how long, until at length there appeared a vast black mass, where the open sky above me terminated, and where the lustre of the stars and the light of the heavens were all swallowed up in utter darkness.	So I thought; and with these thoughts I drifted on, I cannot tell how long, until at length there appeared a vast black mass, where the open sky above me terminated, and where the lustre of the stars and the light of the heavens were all swallowed up in utter darkness.
1165_135220_000006_000000	This, then, I thought, is the end.	This, then, I thought, is the end.
1165_135220_000006_000001	Here, amid this darkness, I must make the awful plunge and find my death I fell upon my knees in the bottom of the boat and prayed.	Here, amid this darkness, I must make the awful plunge and find my death I fell upon my knees in the bottom of the boat and prayed.
1165_135220_000006_000002	As I knelt there the boat drew nearer, the black mass grew blacker.	As I knelt there the boat drew nearer, the black mass grew blacker.
1165_135220_000006_000003	The current swept me on.	The current swept me on.
1165_135220_000006_000004	There were no breakers; there was no phosphorescent sparkle of seething waters, and no whiteness of foam.	There were no breakers; there was no phosphorescent sparkle of seething waters, and no whiteness of foam.
1165_135220_000006_000005	I thought that I was on the brink of some tremendous cataract a thousand times deeper than Niagara; some fall where the waters plunged into the depths of the earth; and where, gathering for the terrific descent, all other movements--all dashings and writhings and twistings--were obliterated and lost in the one overwhelming onward rush.	I thought that I was on the brink of some tremendous cataract a thousand times deeper than Niagara; some fall where the waters plunged into the depths of the earth; and where, gathering for the terrific descent, all other movements-all dashings and writhings and twistings-were obliterated and lost in the one overwhelming onward rush.
1165_135220_000006_000006	Suddenly all grew dark--dark beyond all expression; the sky above was in a moment snatched from view; I had been flung into some tremendous cavern; and there, on my knees, with terror in my heart, I waited for death.	Suddenly all grew dark-dark beyond all expression; the sky above was in a moment snatched from view; I had been flung into some tremendous cavern; and there, on my knees, with terror in my heart, I waited for death.
1165_135220_000007_000000	The moments passed, and death delayed to come.	The moments passed, and death delayed to come.
1165_135220_000007_000001	The awful plunge was still put off; and though I remained on my knees and waited long, still the end came not.	The awful plunge was still put off; and though I remained on my knees and waited long, still the end came not.
1165_135220_000007_000002	The waters seemed still, the boat motionless. It was borne upon the surface of a vast stream as smooth as glass; but who could tell how deep that stream was, or how wide?	The waters seemed still, the boat motionless. It was borne upon the surface of a vast stream as smooth as glass; but who could tell how deep that stream was, or how wide?
1165_135220_000007_000003	At length I rose from my knees and sank down upon the seat of the boat, and tried to peer through the gloom.	At length I rose from my knees and sank down upon the seat of the boat, and tried to peer through the gloom.
1165_135220_000007_000005	Nothing was visible.	Nothing was visible.
1165_135220_000007_000006	It was the very blackness of darkness.	It was the very blackness of darkness.
1165_135220_000007_000007	I listened, but heard nothing save a deep, dull, droning sound, which seemed to fill all the air and make it all tremulous with its vibrations.	I listened, but heard nothing save a deep, dull, droning sound, which seemed to fill all the air and make it all tremulous with its vibrations.
1165_135220_000007_000008	I tried to collect my thoughts.	I tried to collect my thoughts.
