718_129594_000000_000000	He found the ravine deserted.	He found the ravine deserted.	false	0	1.65	2
718_129594_000001_000000	Growing more alarmed every minute, he began to retrace his steps. Then it was he encountered the two Swine-men I had seen dancing on the night of my arrival; blood-stained they were about the mouth, and intensely excited.	Growing more alarmed every minute, he began to retrace his steps. Then it was he encountered the two Swine men I had seen dancing on the night of my arrival; blood stained they were about the mouth, and intensely excited.	false	1.65	8.01	20.736998
718_129594_000001_000001	They came crashing through the ferns, and stopped with fierce faces when they saw him.	They came crashing through the ferns, and stopped with fierce faces when they saw him.	false	8.01	8.61	37.843967
718_129594_000001_000002	He cracked his whip in some trepidation, and forthwith they rushed at him.	He cracked his whip in some trepidation, and forthwith they rushed at him.	false	8.61	8.97	8
718_129594_000001_000003	Never before had a Beast Man dared to do that.	Never before had a Beast Man dared to do that.	false	8.97	9.45	7
718_129594_000001_000004	One he shot through the head; M'ling flung himself upon the other, and the two rolled grappling. M'ling got his brute under and with his teeth in its throat, and Montgomery shot that too as it struggled in M'ling's grip. He had some difficulty in inducing M'ling to come on with him. Thence they had hurried back to me.	One he shot through the head; M'ling flung himself upon the other, and the two rolled grappling. M'ling got his brute under and with his teeth in its throat, and Montgomery shot that too as it struggled in M'ling's grip. He had some difficulty in inducing M'ling to come on with him. Thence they had hurried back to me.	false	9.45	14.64	22.86847
718_129594_000001_000005	On the way, M'ling had suddenly rushed into a thicket and driven out an under-sized Ocelot-man, also blood-stained, and lame through a wound in the foot. This brute had run a little way and then turned savagely at bay, and Montgomery--with a certain wantonness, I thought--had shot him.	On the way, M'ling had suddenly rushed into a thicket and driven out an under sized Ocelot man, also blood stained, and lame through a wound in the foot. This brute had run a little way and then turned savagely at bay, and Montgomery-with a certain wantonness, I thought-had shot him.	false	14.64	18.18	21.812248
718_129594_000002_000000	"What does it all mean?" said I.	"What does it all mean?" said i	false	18.18	18.42	46.32732
718_129594_000003_000000	He shook his head, and turned once more to the brandy.	He shook his head, and turned once more to the brandy.	false	18.42	18.765	17
718_129594_000004_000000	XVIII.	eighteen.	true	18.765	19.635	30.532608
718_129594_000004_000001	THE FINDING OF MOREAU.	THE FINDING OF MOREAU.	true	19.635	21.19	25.042202
718_129594_000005_000000	WHEN I saw Montgomery swallow a third dose of brandy, I took it upon myself to interfere.	WHEN I saw Montgomery swallow a third dose of brandy, I took it upon myself to interfere.	true	22.46	27.25	17
