5126_27504_000000_000000	Well done, the "Turon Star"!' says Starlight, after he read it all out. 'I call that very fair.	Well done, the "Turon Star"!' says Starlight, after he read it all out. 'I call that very fair.	false	0	6.87	17.321217
5126_27504_000000_000001	There's a flavour of good feeling underneath much of that nonsense, as well as of porter and oysters.	There's a flavour of good feeling underneath much of that nonsense, as well as of porter and oysters.	false	6.87	8.82	11
5126_27504_000000_000002	It does a fellow a deal more good than slanging him to believe that he's human after all, and that men think so.'	It does a fellow a deal more good than slanging him to believe that he's human after all, and that men think so.'	false	8.82	12.18	20.629028
5126_27504_000001_000000	'Do you reckon that chap was sober when he wrote that?' says father. 'Blest if I can make head or tail of it.	'Do you reckon that chap was sober when he wrote that?' says father. 'Blest if I can make head or tail of it.	false	12.18	16.86	27.115108
5126_27504_000001_000001	Half what them fellows puts down is regular rot.	Half what them fellows puts down is regular rot.	false	16.86	18.69	14.904894
5126_27504_000001_000002	Why couldn't he have cut it a bit shorter, too?'	Why couldn't he have cut it a bit shorter, too?'	false	18.69	20.745	23.250702
5126_27504_000002_000000	Chapter 44	Chapter forty four	true	20.745	22.15	24.357128
5126_27504_000003_000000	'The "Banner" comes next,' says Starlight, tearing it open.	'The "Banner" comes next,' says Starlight, tearing it open.	true	23.78	27.22	29
5126_27504_000003_000001	'We shall have something short and sweet after the "Star".	'We shall have something short and sweet after the "Star".	true	27.47	30.61	26.045868
5126_27504_000003_000002	How's this?	How's this?	true	30.71	31.6	28.751802
5126_27504_000004_000000	STARLIGHT AGAIN.	STARLIGHT AGAIN.	true	32.03	33.67	18.543013
5126_27504_000005_000000	This mercurial brigand, it would appear, has paid Turon another visit, but, with the exception of what may be considered the legalised robbery of the betting ring, has not levied contributions.	This mercurial brigand, it would appear, has paid Turon another visit, but, with the exception of what may be considered the legalised robbery of the betting ring, has not levied contributions.	true	34.25	45.34	22.328802
5126_27504_000005_000001	Rather the other way, indeed.	Rather the other way, indeed.	true	45.59	47.805	28.772373
5126_27504_000005_000002	A hasty note for Mr. Dawson, whom he had tricked into temporary association by adopting one of the disguises he can so wonderfully assume, requested that gentleman to receive the Handicap Stakes, won by his horse, Darkie, alias Rainbow, and to hand them over to the treasurer of the Turon Hospital, which was accordingly done.	A hasty note for mr Dawson, whom he had tricked into temporary association by adopting one of the disguises he can so wonderfully assume, requested that gentleman to receive the Handicap Stakes, won by his horse, Darkie, alias Rainbow, and to hand them over to the treasurer of the Turon Hospital, which was accordingly done.	true	47.805	68.95	24.000881
5126_27504_000006_000000	Sir Ferdinand and the police had been decoyed away previously nearly 100 miles by false intelligence as to Moran and his gang.	Sir Ferdinand and the police had been decoyed away previously nearly one hundred miles by false intelligence as to Moran and his gang.	true	69.92	78.46	18
5126_27504_000006_000001	Our town and treasure were thus left undefended for forty-eight hours, while a daring criminal and his associates mingled unsuspected with all classes.	Our town and treasure were thus left undefended for forty eight hours, while a daring criminal and his associates mingled unsuspected with all classes.	false	78.74	89.29	22.946642
5126_27504_000006_000002	We have always regarded the present system--facetiously called police protection--as a farce.	We have always regarded the present system-facetiously called police protection-as a farce.	true	89.96	96.7	23.595776
5126_27504_000006_000003	This latter fiasco will probably confirm the idea with the public at large.	This latter fiasco will probably confirm the idea with the public at large.	false	97.01	101.83	23.920668
5126_27504_000006_000004	We, unlike a contemporary, have no morbid sympathy with crime--embroidered or otherwise; our wishes, as loyal subjects, are confined to a short shrift and a high gallows for all who dare to obstruct the Queen's highway.'	We, unlike a contemporary, have no morbid sympathy with crime-embroidered or otherwise; our wishes, as loyal subjects, are confined to a short shrift and a high gallows for all who dare to obstruct the Queen's highway.'	true	102.14	117.04	22.420507
5126_27504_000007_000000	'That's easy to understand, barrin' a word here and there,' says father, taking his pipe out of his mouth and laying it down; 'that's the way they used to talk to us in the old days.	'That's easy to understand, barrin' a word here and there,' says father, taking his pipe out of his mouth and laying it down; 'that's the way they used to talk to us in the old days.	true	117.8	128.32	23.982918
5126_27504_000007_000001	Dashed if I don't think it's the best way after all.	Dashed if I don't think it's the best way after all.	true	128.45	131.5	27.169453
5126_27504_000007_000002	You know where you are.	You know where you are.	true	131.81	133.36	25.376205
5126_27504_000007_000003	The rest's flummery.	The rest's flummery.	true	133.79	135.55	25.184898
5126_27504_000007_000004	All on us as takes to the cross does it with our eyes open, and deserves all we gets.'	All on us as takes to the cross does it with our eyes open, and deserves all we gets.'	true	135.71	141.37	24.206083
