501_125128_000000_000000	Chapter 15	Chapter fifteen	false	2.73	28.84	21.002176
501_125128_000001_000000	TWO NEW SERVANTS	TWO NEW SERVANTS	false	29.24	32.49	15.679007
501_125128_000002_000000	Mr and Mrs Boffin sat after breakfast, in the Bower, a prey to prosperity.	Mr and Mrs Boffin sat after breakfast, in the Bower, a prey to prosperity.	false	32.49	37.72	23
501_125128_000002_000001	Mr Boffin's face denoted Care and Complication.	Mr Boffin's face denoted Care and Complication.	true	38.33	42.1	24.664091
501_125128_000002_000002	Many disordered papers were before him, and he looked at them about as hopefully as an innocent civilian might look at a crowd of troops whom he was required at five minutes' notice to manoeuvre and review.	Many disordered papers were before him, and he looked at them about as hopefully as an innocent civilian might look at a crowd of troops whom he was required at five minutes' notice to manoeuvre and review.	true	42.68	53.23	19
501_125128_000002_000003	He had been engaged in some attempts to make notes of these papers; but being troubled (as men of his stamp often are) with an exceedingly distrustful and corrective thumb, that busy member had so often interposed to smear his notes, that they were little more legible than the various impressions of itself; which blurred his nose and forehead.	He had been engaged in some attempts to make notes of these papers; but being troubled (as men of his stamp often are) with an exceedingly distrustful and corrective thumb, that busy member had so often interposed to smear his notes, that they were little more legible than the various impressions of itself; which blurred his nose and forehead.	false	54.08	73.09	20
501_125128_000002_000004	It is curious to consider, in such a case as Mr Boffin's, what a cheap article ink is, and how far it may be made to go.	It is curious to consider, in such a case as Mr Boffin's, what a cheap article ink is, and how far it may be made to go.	true	73.67	81.1	20
501_125128_000002_000005	As a grain of musk will scent a drawer for many years, and still lose nothing appreciable of its original weight, so a halfpenny-worth of ink would blot Mr Boffin to the roots of his hair and the calves of his legs, without inscribing a line on the paper before him, or appearing to diminish in the inkstand.	As a grain of musk will scent a drawer for many years, and still lose nothing appreciable of its original weight, so a halfpenny worth of ink would blot Mr Boffin to the roots of his hair and the calves of his legs, without inscribing a line on the paper before him, or appearing to diminish in the inkstand.	true	81.56	98.95	19
501_125128_000003_000000	Mr Boffin was in such severe literary difficulties that his eyes were prominent and fixed, and his breathing was stertorous, when, to the great relief of Mrs Boffin, who observed these symptoms with alarm, the yard bell rang.	Mr Boffin was in such severe literary difficulties that his eyes were prominent and fixed, and his breathing was stertorous, when, to the great relief of Mrs Boffin, who observed these symptoms with alarm, the yard bell rang.	false	99.65	113.14	20
501_125128_000004_000000	'Who's that, I wonder!' said Mrs Boffin.	'Who's that, I wonder!' said Mrs Boffin.	true	113.99	116.71	19.665623
501_125128_000005_000000	Mr Boffin drew a long breath, laid down his pen, looked at his notes as doubting whether he had the pleasure of their acquaintance, and appeared, on a second perusal of their countenances, to be confirmed in his impression that he had not, when there was announced by the hammer-headed young man:	Mr Boffin drew a long breath, laid down his pen, looked at his notes as doubting whether he had the pleasure of their acquaintance, and appeared, on a second perusal of their countenances, to be confirmed in his impression that he had not, when there was announced by the hammer headed young man:	true	117.23	133.75	20.85297
501_125128_000006_000000	'Mr Rokesmith.'	'Mr Rokesmith.'	true	133.97	135.46	22.788921
501_125128_000007_000000	'Oh!' said Mr Boffin. 'Oh indeed!	'Oh!' said Mr Boffin. 'Oh indeed!	true	137.42	140.38	20.910019
501_125128_000007_000001	Our and the Wilfers' Mutual Friend, my dear.	Our and the Wilfers' Mutual Friend, my dear.	false	140.66	143.22	22.531132
501_125128_000007_000002	Yes.	Yes.	true	143.22	143.98	23.928648
501_125128_000007_000003	Ask him to come in.'	Ask him to come in.'	true	144.14	145.42	26.545002
501_125128_000008_000000	Mr Rokesmith appeared.	Mr Rokesmith appeared.	true	145.91	147.54	23.769207
501_125128_000009_000000	'Sit down, sir,' said Mr Boffin, shaking hands with him.	'Sit down, sir,' said Mr Boffin, shaking hands with him.	false	147.54	151.81	18.82075
501_125128_000009_000001	'Mrs Boffin you're already acquainted with.	'Mrs Boffin you're already acquainted with.	true	152.06	154.69	25.851147
501_125128_000009_000002	Well, sir, I am rather unprepared to see you, for, to tell you the truth, I've been so busy with one thing and another, that I've not had time to turn your offer over.'	Well, sir, I am rather unprepared to see you, for, to tell you the truth, I've been so busy with one thing and another, that I've not had time to turn your offer over.'	true	154.94	165.19	21.014559
501_125128_000010_000000	'That's apology for both of us: for Mr Boffin, and for me as well,' said the smiling Mrs Boffin. 'But Lor! we can talk it over now; can't us?'	'That's apology for both of us: for Mr Boffin, and for me as well,' said the smiling Mrs Boffin. 'But Lor! we can talk it over now; can't us?'	true	166.46	176.08	21.287058
501_125128_000011_000000	Mr Rokesmith bowed, thanked her, and said he hoped so.	Mr Rokesmith bowed, thanked her, and said he hoped so.	false	176.6	180.43	20.927996
501_125128_000012_000000	'Let me see then,' resumed Mr Boffin, with his hand to his chin.	'Let me see then,' resumed Mr Boffin, with his hand to his chin.	true	181.19	185.65	18.953068
501_125128_000012_000001	'It was Secretary that you named; wasn't it?'	'It was Secretary that you named; wasn't it?'	true	186.11	188.53	25.540222
501_125128_000013_000000	'I said Secretary,' assented Mr Rokesmith.	'I said Secretary,' assented Mr Rokesmith.	true	190.52	193.84	21.134058
501_125128_000014_000000	'It rather puzzled me at the time,' said Mr Boffin, 'and it rather puzzled me and Mrs Boffin when we spoke of it afterwards, because (not to make a mystery of our belief) we have always believed a Secretary to be a piece of furniture, mostly of mahogany, lined with green baize or leather, with a lot of little drawers in it.	'It rather puzzled me at the time,' said Mr Boffin, 'and it rather puzzled me and Mrs Boffin when we spoke of it afterwards, because (not to make a mystery of our belief) we have always believed a Secretary to be a piece of furniture, mostly of mahogany, lined with green baize or leather, with a lot of little drawers in it.	true	194.33	214	23.022318
501_125128_000014_000001	Now, you won't think I take a liberty when I mention that you certainly ain't THAT.'	Now, you won't think I take a liberty when I mention that you certainly ain't THAT.'	false	214.58	218.92	22
501_125128_000015_000000	Certainly not, said Mr Rokesmith.	Certainly not, said Mr Rokesmith.	true	219.59	221.83	24.430767
501_125128_000015_000001	But he had used the word in the sense of Steward.	But he had used the word in the sense of Steward.	true	221.93	224.95	20.503632
501_125128_000016_000000	'Why, as to Steward, you see,' returned Mr Boffin, with his hand still to his chin, 'the odds are that Mrs Boffin and me may never go upon the water.	'Why, as to Steward, you see,' returned Mr Boffin, with his hand still to his chin, 'the odds are that Mrs Boffin and me may never go upon the water.	true	225.32	235.45	22.11679
501_125128_000016_000001	Being both bad sailors, we should want a Steward if we did; but there's generally one provided.'	Being both bad sailors, we should want a Steward if we did; but there's generally one provided.'	true	235.94	241.69	20.318941
501_125128_000017_000000	Mr Rokesmith again explained; defining the duties he sought to undertake, as those of general superintendent, or manager, or overlooker, or man of business.	Mr Rokesmith again explained; defining the duties he sought to undertake, as those of general superintendent, or manager, or overlooker, or man of business.	true	242.45	252.01	21.310339
501_125128_000018_000000	'Now, for instance--come!' said Mr Boffin, in his pouncing way.	'Now, for instance-come!' said Mr Boffin, in his pouncing way.	true	252.77	257.2	21.530382
501_125128_000018_000001	'If you entered my employment, what would you do?'	'If you entered my employment, what would you do?'	true	258.32	261.19	19.614882
501_125128_000019_000000	'I would keep exact accounts of all the expenditure you sanctioned, Mr Boffin.	'I would keep exact accounts of all the expenditure you sanctioned, Mr Boffin.	true	261.95	266.53	24.865046
501_125128_000019_000001	I would write your letters, under your direction.	I would write your letters, under your direction.	true	266.9	269.05	20
501_125128_000019_000002	I would transact your business with people in your pay or employment.	I would transact your business with people in your pay or employment.	true	269.66	273.19	25
501_125128_000019_000003	I would,' with a glance and a half-smile at the table, 'arrange your papers--'	I would,' with a glance and a half smile at the table, 'arrange your papers-'	false	273.44	278.23	20.164305
501_125128_000020_000000	Mr Boffin rubbed his inky ear, and looked at his wife.	Mr Boffin rubbed his inky ear, and looked at his wife.	true	278.84	281.95	18.932234
501_125128_000021_000000	'--And so arrange them as to have them always in order for immediate reference, with a note of the contents of each outside it.'	'--And so arrange them as to have them always in order for immediate reference, with a note of the contents of each outside it.'	true	282.08	289.57	19.622906
501_125128_000022_000000	'I tell you what,' said Mr Boffin, slowly crumpling his own blotted note in his hand; 'if you'll turn to at these present papers, and see what you can make of 'em, I shall know better what I can make of you.'	'I tell you what,' said Mr Boffin, slowly crumpling his own blotted note in his hand; 'if you'll turn to at these present papers, and see what you can make of 'em, I shall know better what I can make of you.'	false	290.21	302.41	22.0616
501_125128_000023_000000	No sooner said than done.	No sooner said than done.	true	303.23	304.87	19.032602
501_125128_000023_000001	Relinquishing his hat and gloves, Mr Rokesmith sat down quietly at the table, arranged the open papers into an orderly heap, cast his eyes over each in succession, folded it, docketed it on the outside, laid it in a second heap, and, when that second heap was complete and the first gone, took from his pocket a piece of string and tied it together with a remarkably dexterous hand at a running curve and a loop.	Relinquishing his hat and gloves, Mr Rokesmith sat down quietly at the table, arranged the open papers into an orderly heap, cast his eyes over each in succession, folded it, docketed it on the outside, laid it in a second heap, and, when that second heap was complete and the first gone, took from his pocket a piece of string and tied it together with a remarkably dexterous hand at a running curve and a loop.	false	305.24	330.97	21.968132
501_125128_000024_000000	'Good!' said Mr Boffin. 'Very good!	'Good!' said Mr Boffin. 'Very good!	true	331.25	333.82	19.97117
501_125128_000024_000001	Now let us hear what they're all about; will you be so good?'	Now let us hear what they're all about; will you be so good?'	true	334.4	337.66	22.05695
501_125128_000025_000000	John Rokesmith read his abstracts aloud.	john Rokesmith read his abstracts aloud.	true	338.27	341.5	25.197535
501_125128_000025_000001	They were all about the new house.	They were all about the new house.	true	341.81	343.54	25.166637
501_125128_000025_000002	Decorator's estimate, so much.	Decorator's estimate, so much.	true	343.76	346.08	22.767393
501_125128_000025_000003	Furniture estimate, so much. Estimate for furniture of offices, so much.	Furniture estimate, so much. Estimate for furniture of offices, so much.	true	346.08	351.79	20.672184
501_125128_000025_000004	Coach-maker's estimate, so much.	Coach maker's estimate, so much.	true	351.98	354.25	20.42199
501_125128_000025_000005	Horse-dealer's estimate, so much.	Horse dealer's estimate, so much.	true	354.29	356.53	22.303534
501_125128_000025_000006	Harness-maker's estimate, so much.	Harness maker's estimate, so much.	true	356.69	359.05	23.566978
501_125128_000025_000007	Goldsmith's estimate, so much.	Goldsmith's estimate, so much.	true	359.15	361.33	19.90788
501_125128_000025_000008	Total, so very much.	Total, so very much.	true	361.4	363.52	19.315401
501_125128_000025_000009	Then came correspondence.	Then came correspondence.	true	364.22	365.8	26
501_125128_000025_000010	Acceptance of Mr Boffin's offer of such a date, and to such an effect.	Acceptance of Mr Boffin's offer of such a date, and to such an effect.	true	365.84	370.15	23.14266
501_125128_000025_000011	Rejection of Mr Boffin's proposal of such a date and to such an effect.	Rejection of Mr Boffin's proposal of such a date and to such an effect.	true	370.28	374.47	21.325975
501_125128_000025_000012	Concerning Mr Boffin's scheme of such another date to such another effect.	Concerning Mr Boffin's scheme of such another date to such another effect.	true	374.69	378.99	22.576666
501_125128_000025_000013	All compact and methodical.	All compact and methodical.	true	378.99	381.07	23.538256
501_125128_000026_000000	'Apple-pie order!' said Mr Boffin, after checking off each inscription with his hand, like a man beating time.	'Apple pie order!' said Mr Boffin, after checking off each inscription with his hand, like a man beating time.	true	381.74	388.6	22.445417
501_125128_000026_000001	'And whatever you do with your ink, I can't think, for you're as clean as a whistle after it.	'And whatever you do with your ink, I can't think, for you're as clean as a whistle after it.	true	389	393.52	19.67409
501_125128_000026_000002	Now, as to a letter.	Now, as to a letter.	true	394.16	395.46	23.08174
501_125128_000026_000003	Let's,' said Mr Boffin, rubbing his hands in his pleasantly childish admiration, 'let's try a letter next.'	Let's,' said Mr Boffin, rubbing his hands in his pleasantly childish admiration, 'let's try a letter next.'	true	395.46	402.79	19
501_125128_000027_000000	'To whom shall it be addressed, Mr Boffin?'	'To whom shall it be addressed, Mr Boffin?'	true	403.16	405.49	19
501_125128_000028_000000	'Anyone.	'Anyone.	true	405.74	406.605	18.049122
501_125128_000028_000001	Yourself.'	Yourself.'	true	406.605	407.56	22.348606
501_125128_000029_000000	Mr Rokesmith quickly wrote, and then read aloud:	Mr Rokesmith quickly wrote, and then read aloud:	true	408.14	411.22	22.316116
501_125128_000030_000000	'"Mr Boffin presents his compliments to Mr John Rokesmith, and begs to say that he has decided on giving Mr John Rokesmith a trial in the capacity he desires to fill.	'"Mr Boffin presents his compliments to Mr john Rokesmith, and begs to say that he has decided on giving Mr john Rokesmith a trial in the capacity he desires to fill.	true	411.62	421.42	21
501_125128_000030_000001	Mr Boffin takes Mr John Rokesmith at his word, in postponing to some indefinite period, the consideration of salary.	Mr Boffin takes Mr john Rokesmith at his word, in postponing to some indefinite period, the consideration of salary.	true	422	429.49	21
501_125128_000030_000002	It is quite understood that Mr Boffin is in no way committed on that point.	It is quite understood that Mr Boffin is in no way committed on that point.	true	429.74	434.29	24.620691
501_125128_000030_000003	Mr Boffin has merely to add, that he relies on Mr John Rokesmith's assurance that he will be faithful and serviceable.	Mr Boffin has merely to add, that he relies on Mr john Rokesmith's assurance that he will be faithful and serviceable.	true	434.39	441.43	18
501_125128_000030_000004	Mr John Rokesmith will please enter on his duties immediately."'	Mr john Rokesmith will please enter on his duties immediately."'	true	441.62	445.42	22
501_125128_000031_000000	'Well!	'Well!	true	446	446.595	24.967196
501_125128_000031_000001	Now, Noddy!' cried Mrs Boffin, clapping her hands, 'That IS a good one!'	Now, Noddy!' cried Mrs Boffin, clapping her hands, 'That IS a good one!'	true	446.595	451.12	21.288427
501_125128_000032_000000	Mr Boffin was no less delighted; indeed, in his own bosom, he regarded both the composition itself and the device that had given birth to it, as a very remarkable monument of human ingenuity.	Mr Boffin was no less delighted; indeed, in his own bosom, he regarded both the composition itself and the device that had given birth to it, as a very remarkable monument of human ingenuity.	true	451.64	463.87	20.498274
501_125128_000033_000000	'And I tell you, my deary,' said Mrs Boffin, 'that if you don't close with Mr Rokesmith now at once, and if you ever go a muddling yourself again with things never meant nor made for you, you'll have an apoplexy--besides iron-moulding your linen--and you'll break my heart.'	'And I tell you, my deary,' said Mrs Boffin, 'that if you don't close with Mr Rokesmith now at once, and if you ever go a muddling yourself again with things never meant nor made for you, you'll have an apoplexy-besides iron moulding your linen-and you'll break my heart.'	true	464.96	481.54	20.210857
501_125128_000034_000000	Mr Boffin embraced his spouse for these words of wisdom, and then, congratulating John Rokesmith on the brilliancy of his achievements, gave him his hand in pledge of their new relations.	Mr Boffin embraced his spouse for these words of wisdom, and then, congratulating john Rokesmith on the brilliancy of his achievements, gave him his hand in pledge of their new relations.	true	482.18	493	18.805021
501_125128_000034_000001	So did Mrs Boffin.	So did Mrs Boffin.	true	493.01	494.5	21
501_125128_000035_000000	'Now,' said Mr Boffin, who, in his frankness, felt that it did not become him to have a gentleman in his employment five minutes, without reposing some confidence in him, 'you must be let a little more into our affairs, Rokesmith.	'Now,' said Mr Boffin, who, in his frankness, felt that it did not become him to have a gentleman in his employment five minutes, without reposing some confidence in him, 'you must be let a little more into our affairs, Rokesmith.	false	495.26	508.36	22.630505
501_125128_000035_000001	I mentioned to you, when I made your acquaintance, or I might better say when you made mine, that Mrs Boffin's inclinations was setting in the way of Fashion, but that I didn't know how fashionable we might or might not grow.	I mentioned to you, when I made your acquaintance, or I might better say when you made mine, that Mrs Boffin's inclinations was setting in the way of Fashion, but that I didn't know how fashionable we might or might not grow.	false	508.76	521.98	21.682621
501_125128_000035_000002	Well!	Well!	true	522.23	522.91	23.792038
501_125128_000035_000003	Mrs Boffin has carried the day, and we're going in neck and crop for Fashion.'	Mrs Boffin has carried the day, and we're going in neck and crop for Fashion.'	true	522.95	528.28	24.012695
501_125128_000036_000000	'I rather inferred that, sir,' replied John Rokesmith, 'from the scale on which your new establishment is to be maintained.'	'I rather inferred that, sir,' replied john Rokesmith, 'from the scale on which your new establishment is to be maintained.'	true	529.19	537.04	23.152859
501_125128_000037_000000	'Yes,' said Mr Boffin, 'it's to be a Spanker.	'Yes,' said Mr Boffin, 'it's to be a Spanker.	true	538.37	542.35	24.125813
501_125128_000037_000001	The fact is, my literary man named to me that a house with which he is, as I may say, connected--in which he has an interest--'	The fact is, my literary man named to me that a house with which he is, as I may say, connected-in which he has an interest-'	true	542.9	550.87	22.764364
501_125128_000038_000000	'As property?' inquired John Rokesmith.	'As property?' inquired john Rokesmith.	true	551.36	554.02	24.135284
501_125128_000039_000000	'Why no,' said Mr Boffin, 'not exactly that; a sort of a family tie.'	'Why no,' said Mr Boffin, 'not exactly that; a sort of a family tie.'	false	554.12	559.06	20.23583
501_125128_000040_000000	'Association?' the Secretary suggested.	'Association?' the Secretary suggested.	true	560.21	563.32	20.850056
501_125128_000041_000000	'Ah!' said Mr Boffin. 'Perhaps.	'Ah!' said Mr Boffin. 'Perhaps.	true	563.48	567.07	19.740288
501_125128_000041_000001	Anyhow, he named to me that the house had a board up, "This Eminently Aristocratic Mansion to be let or sold." Me and Mrs Boffin went to look at it, and finding it beyond a doubt Eminently Aristocratic (though a trifle high and dull, which after all may be part of the same thing) took it.	Anyhow, he named to me that the house had a board up, "This Eminently Aristocratic Mansion to be let or sold." Me and Mrs Boffin went to look at it, and finding it beyond a doubt Eminently Aristocratic (though a trifle high and dull, which after all may be part of the same thing) took it.	false	567.53	585.58	22.61012
501_125128_000041_000002	My literary man was so friendly as to drop into a charming piece of poetry on that occasion, in which he complimented Mrs Boffin on coming into possession of--how did it go, my dear?'	My literary man was so friendly as to drop into a charming piece of poetry on that occasion, in which he complimented Mrs Boffin on coming into possession of-how did it go, my dear?'	true	586.1	596.59	20
501_125128_000042_000000	Mrs Boffin replied:	Mrs Boffin replied:	true	597.65	599.2	27.01846
501_125128_000043_000000	'"The gay, the gay and festive scene, The halls, the halls of dazzling light."'	'"The gay, the gay and festive scene, The halls, the halls of dazzling light."'	true	599.36	605.47	20.574265
501_125128_000044_000000	'That's it!	'That's it!	true	606.32	607.27	25.593817
501_125128_000044_000001	And it was made neater by there really being two halls in the house, a front 'un and a back 'un, besides the servants'. He likewise dropped into a very pretty piece of poetry to be sure, respecting the extent to which he would be willing to put himself out of the way to bring Mrs Boffin round, in case she should ever get low in her spirits in the house.	And it was made neater by there really being two halls in the house, a front 'un and a back 'un, besides the servants'. He likewise dropped into a very pretty piece of poetry to be sure, respecting the extent to which he would be willing to put himself out of the way to bring Mrs Boffin round, in case she should ever get low in her spirits in the house.	false	607.37	626.955	20.93355
501_125128_000044_000002	Mrs Boffin has a wonderful memory.	Mrs Boffin has a wonderful memory.	true	626.955	628.96	28.280054
501_125128_000044_000003	Will you repeat it, my dear?'	Will you repeat it, my dear?'	true	629.06	630.64	23
501_125128_000045_000000	Mrs Boffin complied, by reciting the verses in which this obliging offer had been made, exactly as she had received them.	Mrs Boffin complied, by reciting the verses in which this obliging offer had been made, exactly as she had received them.	false	632.18	639.97	21.19237
501_125128_000046_000000	'"I'll tell thee how the maiden wept, Mrs Boffin, When her true love was slain ma'am, And how her broken spirit slept, Mrs Boffin, And never woke again ma'am. I'll tell thee (if agreeable to Mr Boffin) how the steed drew nigh, And left his lord afar; And if my tale (which I hope Mr Boffin might excuse) should make you sigh, I'll strike the light guitar."'	'"I'll tell thee how the maiden wept, Mrs Boffin, When her true love was slain ma'am, And how her broken spirit slept, Mrs Boffin, And never woke again ma'am. I'll tell thee (if agreeable to Mr Boffin) how the steed drew nigh, And left his lord afar; And if my tale (which I hope Mr Boffin might excuse) should make you sigh, I'll strike the light guitar."'	false	640.82	665.95	22.844326
501_125128_000047_000000	'Correct to the letter!' said Mr Boffin. 'And I consider that the poetry brings us both in, in a beautiful manner.'	'Correct to the letter!' said Mr Boffin. 'And I consider that the poetry brings us both in, in a beautiful manner.'	true	666.65	673.45	24.255272
501_125128_000048_000000	The effect of the poem on the Secretary being evidently to astonish him, Mr Boffin was confirmed in his high opinion of it, and was greatly pleased.	The effect of the poem on the Secretary being evidently to astonish him, Mr Boffin was confirmed in his high opinion of it, and was greatly pleased.	false	674.3	682.99	21
501_125128_000049_000000	'Now, you see, Rokesmith,' he went on, 'a literary man--WITH a wooden leg--is liable to jealousy.	'Now, you see, Rokesmith,' he went on, 'a literary man-WITH a wooden leg-is liable to jealousy.	true	684.38	692.08	19.71804
501_125128_000049_000001	I shall therefore cast about for comfortable ways and means of not calling up Wegg's jealousy, but of keeping you in your department, and keeping him in his.'	I shall therefore cast about for comfortable ways and means of not calling up Wegg's jealousy, but of keeping you in your department, and keeping him in his.'	true	692.51	701.5	22
501_125128_000050_000000	'Lor!' cried Mrs Boffin. 'What I say is, the world's wide enough for all of us!'	'Lor!' cried Mrs Boffin. 'What I say is, the world's wide enough for all of us!'	true	702.05	708.04	22.186901
501_125128_000051_000000	'So it is, my dear,' said Mr Boffin, 'when not literary.	'So it is, my dear,' said Mr Boffin, 'when not literary.	true	708.65	712.96	20.845812
501_125128_000051_000001	But when so, not so.	But when so, not so.	true	713.15	715.45	18.754477
501_125128_000051_000002	And I am bound to bear in mind that I took Wegg on, at a time when I had no thought of being fashionable or of leaving the Bower.	And I am bound to bear in mind that I took Wegg on, at a time when I had no thought of being fashionable or of leaving the Bower.	true	716.39	723.79	21.337397
501_125128_000051_000003	To let him feel himself anyways slighted now, would be to be guilty of a meanness, and to act like having one's head turned by the halls of dazzling light.	To let him feel himself anyways slighted now, would be to be guilty of a meanness, and to act like having one's head turned by the halls of dazzling light.	false	724.1	733.42	21.666443
501_125128_000051_000004	Which Lord forbid!	Which Lord forbid!	false	733.52	735.66	19.770018
501_125128_000051_000005	Rokesmith, what shall we say about your living in the house?'	Rokesmith, what shall we say about your living in the house?'	false	735.66	738.52	23
501_125128_000052_000000	'In this house?'	'In this house?'	true	739.16	740.2	22.351488
501_125128_000053_000000	'No, no. I have got other plans for this house.	'No, no I have got other plans for this house.	true	740.93	744	20.237236
501_125128_000053_000001	In the new house?'	In the new house?'	true	744	745.21	19
501_125128_000054_000000	'That will be as you please, Mr Boffin.	'That will be as you please, Mr Boffin.	true	745.91	748.09	20
501_125128_000054_000001	I hold myself quite at your disposal.	I hold myself quite at your disposal.	true	748.34	750.64	21.554686
501_125128_000054_000002	You know where I live at present.'	You know where I live at present.'	true	750.89	752.53	19.828403
501_125128_000055_000000	'Well!' said Mr Boffin, after considering the point; 'suppose you keep as you are for the present, and we'll decide by-and-by.	'Well!' said Mr Boffin, after considering the point; 'suppose you keep as you are for the present, and we'll decide by and by.	false	753.47	761.5	22.219019
501_125128_000055_000001	You'll begin to take charge at once, of all that's going on in the new house, will you?'	You'll begin to take charge at once, of all that's going on in the new house, will you?'	true	761.84	765.73	20
501_125128_000056_000000	'Most willingly.	'Most willingly.	true	766.34	767.53	19.616388
501_125128_000056_000001	I will begin this very day.	I will begin this very day.	true	767.66	769.39	22.972383
501_125128_000056_000002	Will you give me the address?'	Will you give me the address?'	true	769.58	771.22	19
501_125128_000057_000000	Mr Boffin repeated it, and the Secretary wrote it down in his pocket-book.	Mr Boffin repeated it, and the Secretary wrote it down in his pocket book.	true	771.71	776.14	24.345228
501_125128_000057_000001	Mrs Boffin took the opportunity of his being so engaged, to get a better observation of his face than she had yet taken.	Mrs Boffin took the opportunity of his being so engaged, to get a better observation of his face than she had yet taken.	true	776.48	783.4	20
