6215_62347_000000_000000	CHAPTER XIV.	CHAPTER fourteen.	false	10.89	21.795	21.73863
6215_62347_000001_000000	MRS. PRIME READS HER RECANTATION.	mrs PRIME READS HER RECANTATION.	true	21.795	24.49	25.340643
6215_62347_000002_000000	Above an hour had passed after the interruption mentioned at the end of the last chapter before Mrs. Ray and Rachel crossed back from the farm-house to the cottage, and when they went they went alone.	Above an hour had passed after the interruption mentioned at the end of the last chapter before mrs Ray and Rachel crossed back from the farm house to the cottage, and when they went they went alone.	true	25.1	37.18	21.084175
6215_62347_000002_000001	During that hour they had been sitting in Mrs. Sturt's parlour; and when at last they got up to go they did not press Luke Rowan to go with them. Mrs. Prime was at the cottage, and it was necessary that everything should be explained to her before she was asked to give her hand to her future brother-in-law.	During that hour they had been sitting in mrs Sturt's parlour; and when at last they got up to go they did not press luke Rowan to go with them. mrs Prime was at the cottage, and it was necessary that everything should be explained to her before she was asked to give her hand to her future brother in law.	false	37.64	53.89	21.678991
6215_62347_000002_000002	The farmer had come in and had joked his joke, and Mrs. Sturt had clacked over them as though they were a brood of chickens of her own hatching; and Mrs. Ray had smiled and cried, and sobbed and laughed till she had become almost hysterical. Then she had jumped up from her seat, saying, "Oh, dear, what will Dorothea think has become of us?"	The farmer had come in and had joked his joke, and mrs Sturt had clacked over them as though they were a brood of chickens of her own hatching; and mrs Ray had smiled and cried, and sobbed and laughed till she had become almost hysterical. Then she had jumped up from her seat, saying, "Oh, dear, what will Dorothea think has become of us?"	true	54.26	73.54	22.359064
6215_62347_000002_000003	After that Rachel insisted upon going, and the mother and daughter returned across the green, leaving Luke at the farm-house, ready to take his departure as soon as Mrs. Ray and Rachel should have safely reached their home.	After that Rachel insisted upon going, and the mother and daughter returned across the green, leaving luke at the farm house, ready to take his departure as soon as mrs Ray and Rachel should have safely reached their home.	true	74.09	87.31	22.058598
6215_62347_000003_000000	"I knew thee was minded stedfast to take her," said Mrs. Sturt, "when it came out upon the newspaper how thou hadst told them all in Baslehurst that thou wouldst wed none but a Baslehurst lass."	"I knew thee was minded stedfast to take her," said mrs Sturt, "when it came out upon the newspaper how thou hadst told them all in Baslehurst that thou wouldst wed none but a Baslehurst lass."	false	88.64	99.55	21.378325
6215_62347_000004_000000	In answer to this Luke protested that he had not thought of Rachel when he was making that speech, and tried to explain that all that was "soft sawder" as he called it, for the election.	In answer to this luke protested that he had not thought of Rachel when he was making that speech, and tried to explain that all that was "soft sawder" as he called it, for the election.	true	101.36	111.52	21.569925
6215_62347_000004_000001	But the words were too apposite to the event, and the sentiment too much in accordance with Mrs. Sturt's chivalric views to allow of her admitting the truth of any such assurance as this.	But the words were too apposite to the event, and the sentiment too much in accordance with mrs Sturt's chivalric views to allow of her admitting the truth of any such assurance as this.	true	111.86	122.44	21.963612
6215_62347_000005_000000	"I know," she said; "I know.	"I know," she said; "I know.	true	122.66	125.17	21.497122
6215_62347_000005_000001	And when I read them words in the newspaper I said to the gudeman there, we shall have bridecake from the cottage now before Christmas."	And when I read them words in the newspaper I said to the gudeman there, we shall have bridecake from the cottage now before Christmas."	false	125.24	133.17	21.059486
6215_62347_000006_000000	"For the matter of that, so you shall," said Luke, shaking hands with her as he went, "or the fault will not be mine."	"For the matter of that, so you shall," said luke, shaking hands with her as he went, "or the fault will not be mine."	false	133.17	139.63	22.187786
6215_62347_000007_000000	Rachel, as she followed her mother out from the farmyard gate, had not a word to say.	Rachel, as she followed her mother out from the farmyard gate, had not a word to say.	true	140.66	145.87	21.574312
6215_62347_000007_000001	Could it have been possible she would have wished to remain silent for the remainder of the evening and for the night, so that she might have time to think of this thing which she had done, and to enjoy the full measure of her happiness.	Could it have been possible she would have wished to remain silent for the remainder of the evening and for the night, so that she might have time to think of this thing which she had done, and to enjoy the full measure of her happiness.	false	146.48	158.82	20.76096
6215_62347_000007_000002	Hitherto she had hardly had any joy in her love.	Hitherto she had hardly had any joy in her love.	false	158.82	162.16	21.142733
6215_62347_000007_000003	The cup had been hardly given to her to drink before it had been again snatched away, and since then she had been left to think that the draught for which she longed would never again be offered to her lips.	The cup had been hardly given to her to drink before it had been again snatched away, and since then she had been left to think that the draught for which she longed would never again be offered to her lips.	false	162.5	173.86	22.295607
6215_62347_000007_000004	The whole affair had now been managed so suddenly, and the action had been so quick, that she had hardly found a moment for thought.	The whole affair had now been managed so suddenly, and the action had been so quick, that she had hardly found a moment for thought.	true	174.32	182.53	21.650875
6215_62347_000007_000005	Could it be that things were so fixed that there was no room for further disappointment?	Could it be that things were so fixed that there was no room for further disappointment?	true	182.81	187.3	21.803726
6215_62347_000007_000006	She had been scalded so cruelly that she still feared the hot water.	She had been scalded so cruelly that she still feared the hot water.	true	187.64	191.98	23.59569
6215_62347_000007_000007	Her heart was sore with the old hurt, as the head that has ached will be still sore when the actual malady has passed away.	Her heart was sore with the old hurt, as the head that has ached will be still sore when the actual malady has passed away.	false	192.44	200.65	19.804014
6215_62347_000007_000008	She longed for hours of absolute quiet, in which she might make herself sure that her malady had also passed away, and that the soreness which remained came only from the memory of former pain.	She longed for hours of absolute quiet, in which she might make herself sure that her malady had also passed away, and that the soreness which remained came only from the memory of former pain.	true	201.2	213.01	21.385752
6215_62347_000007_000009	But there was no such perfect rest within her reach as yet.	But there was no such perfect rest within her reach as yet.	true	213.5	216.94	19.620989
6215_62347_000008_000000	"Will you tell her or shall I?" said Mrs. Ray, pausing for a moment at the cottage gate.	"Will you tell her or shall I?" said mrs Ray, pausing for a moment at the cottage gate.	true	217.52	223.15	24.24389
6215_62347_000009_000000	"You had better tell her, mamma."	"You had better tell her, mamma."	true	223.61	225.34	23.327482
6215_62347_000010_000000	"I suppose she won't set herself against it; will she?"	"I suppose she won't set herself against it; will she?"	true	225.77	228.67	23.989786
6215_62347_000011_000000	"I hope not, mamma.	"I hope not, mamma.	true	230.12	231.46	22.510397
6215_62347_000011_000001	I shall think her very ill-natured if she does. But it can't make any real difference now, you know."	I shall think her very ill natured if she does. But it can't make any real difference now, you know."	true	231.68	237.43	21.510822
6215_62347_000012_000000	"No; it can't make any difference.	"No; it can't make any difference.	true	237.68	239.73	21.485447
6215_62347_000012_000001	Only it will be so uncomfortable."	Only it will be so uncomfortable."	true	239.73	241.72	24.1787
6215_62347_000013_000000	Then with half-frightened, muffled steps they entered their own house, and joined Mrs. Prime in the sitting-room.	Then with half frightened, muffled steps they entered their own house, and joined mrs Prime in the sitting room.	true	242.48	248.83	21.922033
6215_62347_000014_000000	Mrs. Prime was still reading the serious book; but I am bound to say that her mind had not been wholly intent upon it during the long absence of her mother and sister.	mrs Prime was still reading the serious book; but I am bound to say that her mind had not been wholly intent upon it during the long absence of her mother and sister.	true	249.32	258.79	21.398527
6215_62347_000014_000001	She had struggled for a time to ignore the slight fact that her companions were away gossiping with the neighbouring farmer's wife; she had made a hard fight with her book, pinning her eyes down upon the page over and over again, as though in pinning down her eyes she could pin down her mind also. But by degrees the delay became so long that she was tantalized into surmises as to the subject of their conversation.	She had struggled for a time to ignore the slight fact that her companions were away gossiping with the neighbouring farmer's wife; she had made a hard fight with her book, pinning her eyes down upon the page over and over again, as though in pinning down her eyes she could pin down her mind also. But by degrees the delay became so long that she was tantalized into surmises as to the subject of their conversation.	true	259.46	286.12	20.928333
6215_62347_000014_000002	If it were not wicked, why should not she have been allowed to share it?	If it were not wicked, why should not she have been allowed to share it?	true	286.73	291.01	23.140512
6215_62347_000014_000003	She did not imagine it to be wicked according to the world's ordinary wickedness;--but she feared that it was wicked according to that tone of morals to which she was desirous of tying her mother down as a bond slave.	She did not imagine it to be wicked according to the world's ordinary wickedness;--but she feared that it was wicked according to that tone of morals to which she was desirous of tying her mother down as a bond slave.	true	291.35	304.72	21.033323
6215_62347_000014_000004	They were away talking about love and pleasure, and those heart-throbbings in which her sister had so unfortunately been allowed to indulge.	They were away talking about love and pleasure, and those heart throbbings in which her sister had so unfortunately been allowed to indulge.	true	305.54	313.87	20.469933
6215_62347_000014_000005	She felt all but sure that some tidings of Luke Rowan had been brought in Mrs. Sturt's budget of news, and she had never been able to think well of Luke Rowan since the evening on which she had seen him standing with Rachel in the churchyard.	She felt all but sure that some tidings of luke Rowan had been brought in mrs Sturt's budget of news, and she had never been able to think well of luke Rowan since the evening on which she had seen him standing with Rachel in the churchyard.	true	314.18	328.21	21.80562
6215_62347_000014_000006	She knew nothing against him; but she had then made up her mind that he was pernicious, and she could not bring herself to own that she had been wrong in that opinion.	She knew nothing against him; but she had then made up her mind that he was pernicious, and she could not bring herself to own that she had been wrong in that opinion.	true	328.76	337.87	22.404877
