7837_109174_000000_000000	Then she regained her native element; water covered her gills, and she could begin to swim.	Then she regained her native element; water covered her gills, and she could begin to swim.	false	11.1	29.16	20.116905
7837_109174_000001_000000	II: IN THE SHELTER OF THE CREEK	two: IN THE SHELTER OF THE CREEK	false	29.16	31.12	20.338236
7837_109174_000002_000000	Grim was a year old when her scales began to grow.	Grim was a year old when her scales began to grow.	false	32.45	35.98	20.040426
7837_109174_000003_000000	In her early youth, when she could only eat small creatures, she had lived exclusively upon water-insects and larvae; but from now onwards she had no respect for any flesh but that which clothed her own ribs.	In her early youth, when she could only eat small creatures, she had lived exclusively upon water insects and larvae; but from now onwards she had no respect for any flesh but that which clothed her own ribs.	true	36.56	50.11	19.619467
7837_109174_000004_000000	She attacked any fish that was not big enough to swallow _her_, and devoured bleak and small roach with peculiar satisfaction.	She attacked any fish that was not big enough to swallow underscore her underscore, and devoured bleak and small roach with peculiar satisfaction.	false	50.78	59.2	19.633142
7837_109174_000004_000001	Now she took her revenge on the voracious small fry that had offended her when she was still in an embryo state.	Now she took her revenge on the voracious small fry that had offended her when she was still in an embryo state.	false	59.9	66.46	15
7837_109174_000005_000000	She had not been hatched artificially, or come into the world in a wooden box with running water passing through it.	She had not been hatched artificially, or come into the world in a wooden box with running water passing through it.	true	67.19	73.84	18.546003
7837_109174_000005_000001	No, the whole thing had taken place in the most natural manner.	No, the whole thing had taken place in the most natural manner.	true	74.21	78.16	18.656296
7837_109174_000006_000000	In the flickering sunshine of a March day, her mother, surrounded by three equally ardent wooers, had spawned, and the eggs had dropped and attached themselves to some tufts of grass at the edge of the lake.	In the flickering sunshine of a March day, her mother, surrounded by three equally ardent wooers, had spawned, and the eggs had dropped and attached themselves to some tufts of grass at the edge of the lake.	true	79.16	92.5	19.333097
7837_109174_000006_000001	The very next day, however, little fish had begun to gather about those tufts; one day more, and there were swarms of them.	The very next day, however, little fish had begun to gather about those tufts; one day more, and there were swarms of them.	true	93.02	101.08	21.193707
7837_109174_000006_000002	Eagerly they searched the tufts and devoured all the eggs they could find; and so thoroughly did they go about their business, that of the thousands upon thousands of the mother's eggs, only two that had fallen into the heart of a grass-stalk were left.	Eagerly they searched the tufts and devoured all the eggs they could find; and so thoroughly did they go about their business, that of the thousands upon thousands of the mother's eggs, only two that had fallen into the heart of a grass stalk were left.	true	101.51	117.34	19.247032
7837_109174_000007_000000	Out of one of these Grim had come.	Out of one of these Grim had come.	true	118.52	120.88	20.095146
7837_109174_000007_000001	The sun had looked after her, hatched her out, and taught her to seize whatever came in her way.	The sun had looked after her, hatched her out, and taught her to seize whatever came in her way.	true	121.19	127.18	19.454704
7837_109174_000007_000002	Now she was avenging the injuries to her tribe.	Now she was avenging the injuries to her tribe.	true	127.55	130.54	14
7837_109174_000008_000000	She possessed a remarkable power of placing herself, and knew how to choose her position so as to disappear, as it were, in the water.	She possessed a remarkable power of placing herself, and knew how to choose her position so as to disappear, as it were, in the water.	true	131.75	140.17	20
7837_109174_000008_000001	The stalks of the reeds threw their shadows across her body in all directions; water-grass and drifting duck-weed veiled her; the silly roach and other restless little fish flitted about her, sometimes so close to her mouth that she could feel the waves made by their tail-fins.	The stalks of the reeds threw their shadows across her body in all directions; water grass and drifting duck weed veiled her; the silly roach and other restless little fish flitted about her, sometimes so close to her mouth that she could feel the waves made by their tail fins.	true	140.72	158.74	19.363642
