2570_157243_000000_000000	'Good old carpet,' were Cyril's last sleepy words.	'Good old carpet,' were Cyril's last sleepy words.	false	1.35	5.22	21.385801
2570_157243_000001_000000	'What there is of it,' said the Phoenix, from the cornice-pole.	'What there is of it,' said the Phoenix, from the cornice pole.	false	5.22	21.24	20.75808
2570_157243_000002_000000	CHAPTER 11.	CHAPTER eleven.	true	21.24	22.45	19.267326
2570_157243_000002_000001	THE BEGINNING OF THE END	THE BEGINNING OF THE END	true	24.2	26.14	19.961178
2570_157243_000003_000000	'Well, I MUST say,' mother said, looking at the wishing carpet as it lay, all darned and mended and backed with shiny American cloth, on the floor of the nursery--'I MUST say I've never in my life bought such a bad bargain as that carpet.'	'Well, I MUST say,' mother said, looking at the wishing carpet as it lay, all darned and mended and backed with shiny American cloth, on the floor of the nursery-'I MUST say I've never in my life bought such a bad bargain as that carpet.'	true	26.93	44.95	20.368786
2570_157243_000004_000000	A soft 'Oh!' of contradiction sprang to the lips of Cyril, Robert, Jane, and Anthea.	A soft 'Oh!' of contradiction sprang to the lips of Cyril, Robert, Jane, and Anthea.	true	45.62	53.2	21.58168
2570_157243_000004_000001	Mother looked at them quickly, and said--	Mother looked at them quickly, and said-	true	53.48	55.75	20.51961
2570_157243_000005_000000	'Well, of course, I see you've mended it very nicely, and that was sweet of you, dears.'	'Well, of course, I see you've mended it very nicely, and that was sweet of you, dears.'	true	55.94	61.27	20
2570_157243_000006_000000	'The boys helped too,' said the dears, honourably.	'The boys helped too,' said the dears, honourably.	true	61.79	64.93	21.67755
2570_157243_000007_000000	'But, still--twenty-two and ninepence!	'But, still-twenty two and ninepence!	true	65.3	68.59	20.607162
2570_157243_000007_000001	It ought to have lasted for years.	It ought to have lasted for years.	true	68.75	71.02	19.714767
2570_157243_000007_000002	It's simply dreadful now.	It's simply dreadful now.	true	71.15	73.09	20.684874
2570_157243_000007_000003	Well, never mind, darlings, you've done your best.	Well, never mind, darlings, you've done your best.	true	73.34	76.27	17
2570_157243_000007_000004	I think we'll have coconut matting next time.	I think we'll have coconut matting next time.	true	76.49	79.18	19
2570_157243_000007_000005	A carpet doesn't have an easy life of it in this room, does it?'	A carpet doesn't have an easy life of it in this room, does it?'	true	79.46	82.99	19
2570_157243_000008_000000	'It's not our fault, mother, is it, that our boots are the really reliable kind?' Robert asked the question more in sorrow than in anger.	'It's not our fault, mother, is it, that our boots are the really reliable kind?' Robert asked the question more in sorrow than in anger.	true	83.81	91.72	18
2570_157243_000009_000000	'No, dear, we can't help our boots,' said mother, cheerfully, 'but we might change them when we come in, perhaps.	'No, dear, we can't help our boots,' said mother, cheerfully, 'but we might change them when we come in, perhaps.	true	92.12	98.71	21
2570_157243_000009_000001	It's just an idea of mine. I wouldn't dream of scolding on the very first morning after I've come home.	It's just an idea of mine. I wouldn't dream of scolding on the very first morning after I've come home.	true	98.78	105.04	19.693983
2570_157243_000009_000002	Oh, my Lamb, how could you?'	Oh, my Lamb, how could you?'	true	105.11	107.5	16.429998
2570_157243_000010_000000	This conversation was at breakfast, and the Lamb had been beautifully good until every one was looking at the carpet, and then it was for him but the work of a moment to turn a glass dish of syrupy blackberry jam upside down on his young head.	This conversation was at breakfast, and the Lamb had been beautifully good until every one was looking at the carpet, and then it was for him but the work of a moment to turn a glass dish of syrupy blackberry jam upside down on his young head.	false	108.23	125.55	20.866869
2570_157243_000010_000001	It was the work of a good many minutes and several persons to get the jam off him again, and this interesting work took people's minds off the carpet, and nothing more was said just then about its badness as a bargain and about what mother hoped for from coconut matting.	It was the work of a good many minutes and several persons to get the jam off him again, and this interesting work took people's minds off the carpet, and nothing more was said just then about its badness as a bargain and about what mother hoped for from coconut matting.	true	125.55	142.12	22.512733
2570_157243_000011_000000	When the Lamb was clean again he had to be taken care of while mother rumpled her hair and inked her fingers and made her head ache over the difficult and twisted house-keeping accounts which cook gave her on dirty bits of paper, and which were supposed to explain how it was that cook had only fivepence-half-penny and a lot of unpaid bills left out of all the money mother had sent her for house-keeping.	When the Lamb was clean again he had to be taken care of while mother rumpled her hair and inked her fingers and made her head ache over the difficult and twisted house keeping accounts which cook gave her on dirty bits of paper, and which were supposed to explain how it was that cook had only fivepence half penny and a lot of unpaid bills left out of all the money mother had sent her for house keeping.	true	142.91	167.74	22
2570_157243_000011_000001	Mother was very clever, but even she could not quite understand the cook's accounts.	Mother was very clever, but even she could not quite understand the cook's accounts.	true	168.08	172.84	22.862658
2570_157243_000012_000000	The Lamb was very glad to have his brothers and sisters to play with him.	The Lamb was very glad to have his brothers and sisters to play with him.	true	173.81	178.48	22.14357
2570_157243_000012_000001	He had not forgotten them a bit, and he made them play all the old exhausting games: 'Whirling Worlds', where you swing the baby round and round by his hands; and 'Leg and Wing', where you swing him from side to side by one ankle and one wrist.	He had not forgotten them a bit, and he made them play all the old exhausting games: 'Whirling Worlds', where you swing the baby round and round by his hands; and 'Leg and Wing', where you swing him from side to side by one ankle and one wrist.	true	178.88	196.51	21.142485
2570_157243_000012_000002	There was also climbing Vesuvius. In this game the baby walks up you, and when he is standing on your shoulders, you shout as loud as you can, which is the rumbling of the burning mountain, and then tumble him gently on to the floor, and roll him there, which is the destruction of Pompeii.	There was also climbing Vesuvius. In this game the baby walks up you, and when he is standing on your shoulders, you shout as loud as you can, which is the rumbling of the burning mountain, and then tumble him gently on to the floor, and roll him there, which is the destruction of Pompeii.	true	196.97	217.09	20.307339
2570_157243_000013_000000	'All the same, I wish we could decide what we'd better say next time mother says anything about the carpet,' said Cyril, breathlessly ceasing to be a burning mountain.	'All the same, I wish we could decide what we'd better say next time mother says anything about the carpet,' said Cyril, breathlessly ceasing to be a burning mountain.	false	218.48	228.31	19
2570_157243_000014_000000	'Well, you talk and decide,' said Anthea; 'here, you lovely ducky Lamb. Come to Panther and play Noah's Ark.'	'Well, you talk and decide,' said Anthea; 'here, you lovely ducky Lamb. Come to Panther and play Noah's Ark.'	true	228.86	236.89	21.493843
2570_157243_000015_000000	The Lamb came with his pretty hair all tumbled and his face all dusty from the destruction of Pompeii, and instantly became a baby snake, hissing and wriggling and creeping in Anthea's arms, as she said--	The Lamb came with his pretty hair all tumbled and his face all dusty from the destruction of Pompeii, and instantly became a baby snake, hissing and wriggling and creeping in Anthea's arms, as she said-	true	237.68	251.95	20
2570_157243_000016_000000	'I love my little baby snake, He hisses when he is awake, He creeps with such a wriggly creep, He wriggles even in his sleep.'	'I love my little baby snake, He hisses when he is awake, He creeps with such a wriggly creep, He wriggles even in his sleep.'	false	252.23	263.95	22.12388
2570_157243_000017_000000	'Crocky,' said the Lamb, and showed all his little teeth.	'Crocky,' said the Lamb, and showed all his little teeth.	true	264.14	268.75	21.431742
2570_157243_000017_000001	So Anthea went on--	So Anthea went on-	true	268.79	270.55	23.012245
2570_157243_000018_000000	'I love my little crocodile, I love his truthful toothful smile; It is so wonderful and wide, I like to see it--FROM OUTSIDE.'	'I love my little crocodile, I love his truthful toothful smile; It is so wonderful and wide, I like to see it-FROM OUTSIDE.'	true	270.98	283.15	21.69565
2570_157243_000019_000000	'Well, you see,' Cyril was saying; 'it's just the old bother.	'Well, you see,' Cyril was saying; 'it's just the old bother.	true	283.91	287.77	19
2570_157243_000019_000001	Mother can't believe the real true truth about the carpet, and--'	Mother can't believe the real true truth about the carpet, and-'	true	287.84	291.94	22
2570_157243_000020_000000	'You speak sooth, O Cyril,' remarked the Phoenix, coming out from the cupboard where the blackbeetles lived, and the torn books, and the broken slates, and odd pieces of toys that had lost the rest of themselves.	'You speak sooth, O Cyril,' remarked the Phoenix, coming out from the cupboard where the blackbeetles lived, and the torn books, and the broken slates, and odd pieces of toys that had lost the rest of themselves.	true	292.43	307.03	21
2570_157243_000020_000001	'Now hear the wisdom of Phoenix, the son of the Phoenix--'	'Now hear the wisdom of Phoenix, the son of the Phoenix-'	false	307.34	310.87	23.215609
2570_157243_000021_000000	'There is a society called that,' said Cyril.	'There is a society called that,' said Cyril.	true	311.24	314.38	20
2570_157243_000022_000000	'Where is it?	'Where is it?	true	315.11	315.975	24.259901
2570_157243_000022_000001	And what is a society?' asked the bird.	And what is a society?' asked the bird.	true	315.975	318.85	20
2570_157243_000023_000000	'It's a sort of joined-together lot of people--a sort of brotherhood--a kind of--well, something very like your temple, you know, only quite different.'	'It's a sort of joined together lot of people-a sort of brotherhood-a kind of-well, something very like your temple, you know, only quite different.'	true	319.25	330.46	22.016594
2570_157243_000024_000000	'I take your meaning,' said the Phoenix. 'I would fain see these calling themselves Sons of the Phoenix.'	'I take your meaning,' said the Phoenix. 'I would fain see these calling themselves Sons of the Phoenix.'	true	331.61	338.44	20.811253
2570_157243_000025_000000	'But what about your words of wisdom?'	'But what about your words of wisdom?'	true	339.14	341.77	22.72617
2570_157243_000026_000000	'Wisdom is always welcome,' said the Phoenix.	'Wisdom is always welcome,' said the Phoenix.	true	342.11	344.95	22.93778
2570_157243_000027_000000	'Pretty Polly!' remarked the Lamb, reaching his hands towards the golden speaker.	'Pretty Polly!' remarked the Lamb, reaching his hands towards the golden speaker.	true	345.38	350.86	20.237646
2570_157243_000028_000000	The Phoenix modestly retreated behind Robert, and Anthea hastened to distract the attention of the Lamb by murmuring--	The Phoenix modestly retreated behind Robert, and Anthea hastened to distract the attention of the Lamb by murmuring-	true	351.5	359.74	20
2570_157243_000029_000000	"I love my little baby rabbit; But oh! he has a dreadful habit Of paddling out among the rocks And soaking both his bunny socks.'	"I love my little baby rabbit; But oh! he has a dreadful habit Of paddling out among the rocks And soaking both his bunny socks.'	true	360.26	371.92	21.130571
2570_157243_000030_000000	'I don't think you'd care about the sons of the Phoenix, really,' said Robert. 'I have heard that they don't do anything fiery.	'I don't think you'd care about the sons of the Phoenix, really,' said Robert. 'I have heard that they don't do anything fiery.	true	372.65	380.47	20
