3923_153309_000000_000000	What was at the root of his extreme grief at leaving her?	What was at the root of his extreme grief at leaving her?	false	0	3.03	21.132439
3923_153309_000000_000001	Did he fear the person he was going to meet, or were his plans such as involved a much longer stay than he had mentioned?	Did he fear the person he was going to meet, or were his plans such as involved a much longer stay than he had mentioned?	false	3.03	8.82	21.29234
3923_153309_000000_000002	Did he even mean to return at all?	Did he even mean to return at all?	false	8.82	11.52	20.62597
3923_153309_000001_000000	Ah, that was the question!	Ah, that was the question!	false	11.52	13.2	21.127502
3923_153309_000001_000001	Did he intend to return, or had I been the unconscious witness of a flight?	Did he intend to return, or had I been the unconscious witness of a flight?	false	13.2	19.32	22.764967
3923_153309_000002_000000	XVII.	seventeen.	true	19.32	20.37	21.041542
3923_153309_000002_000001	SWEETWATER IN A NEW ROLE	SWEETWATER IN A NEW ROLE	true	20.37	22.45	23.49901
3923_153309_000003_000000	A few days later three men were closeted in the district attorney's office.	A few days later three men were closeted in the district attorney's office.	true	24.08	28.12	21.91402
3923_153309_000003_000001	Two of them were officials--the district attorney himself, and our old friend, the inspector.	Two of them were officials-the district attorney himself, and our old friend, the inspector.	true	28.55	33.1	23.061632
3923_153309_000003_000002	The third was the detective, Sweetwater, chosen by them to keep watch on Mr. Grey.	The third was the detective, Sweetwater, chosen by them to keep watch on mr Grey.	true	33.26	37.57	24.043365
3923_153309_000004_000000	Sweetwater had just come to town,--this was evident from the gripsack he had set down in a corner on entering, also from a certain tousled appearance which bespoke hasty rising and but few facilities for proper attention to his person.	Sweetwater had just come to town,--this was evident from the gripsack he had set down in a corner on entering, also from a certain tousled appearance which bespoke hasty rising and but few facilities for proper attention to his person.	true	38.24	50.98	22.911041
3923_153309_000004_000001	These details counted little, however, in the astonishment created by his manner.	These details counted little, however, in the astonishment created by his manner.	true	51.38	55.48	21.794832
3923_153309_000004_000002	For a hardy chap he looked strangely nervous and indisposed, so much so that, after the first short greeting, the inspector asked him what was up, and if he had had another Fairbrother-house experience.	For a hardy chap he looked strangely nervous and indisposed, so much so that, after the first short greeting, the inspector asked him what was up, and if he had had another Fairbrother house experience.	true	55.79	66.97	23.232578
3923_153309_000005_000000	He replied with a decided no; that it was not his adventure which had upset him, but the news he had to bring.	He replied with a decided no; that it was not his adventure which had upset him, but the news he had to bring.	true	67.58	73.42	22.56295
3923_153309_000006_000000	Here he glanced at every door and window; and then, leaning forward over the table at which the two officials sat, he brought his head as nearly to them as possible and whispered five words.	Here he glanced at every door and window; and then, leaning forward over the table at which the two officials sat, he brought his head as nearly to them as possible and whispered five words.	true	74.18	84.22	20.509972
3923_153309_000007_000000	They produced a most unhappy sensation.	They produced a most unhappy sensation.	true	84.89	87.58	22.810905
3923_153309_000007_000001	Both the men, hardened as they were by duties which soon sap the sensibilities, started and turned as pale as the speaker himself.	Both the men, hardened as they were by duties which soon sap the sensibilities, started and turned as pale as the speaker himself.	true	87.83	95.83	22.253605
3923_153309_000007_000002	Then the district attorney, with one glance at the inspector, rose and locked the door.	Then the district attorney, with one glance at the inspector, rose and locked the door.	true	96.38	100.6	23.82152
3923_153309_000008_000000	It was a prelude to this tale which I give, not as it came from his mouth, but as it was afterward related to me.	It was a prelude to this tale which I give, not as it came from his mouth, but as it was afterward related to me.	true	101.3	107.17	22.179777
3923_153309_000008_000001	The language, I fear, is mostly my own.	The language, I fear, is mostly my own.	true	107.24	109.48	19.770348
3923_153309_000009_000000	The detective had just been with Mr. Grey to the coast of Maine. Why there, will presently appear.	The detective had just been with mr Grey to the coast of Maine. Why there, will presently appear.	true	109.79	115.48	22.926065
3923_153309_000009_000001	His task had been to follow this gentleman, and follow him he did.	His task had been to follow this gentleman, and follow him he did.	true	115.64	119.44	21.97416
3923_153309_000010_000000	Mr. Grey was a very stately man, difficult of approach, and was absorbed, besides, by some overwhelming care.	mr Grey was a very stately man, difficult of approach, and was absorbed, besides, by some overwhelming care.	true	120.77	127.36	22.204384
3923_153309_000010_000001	But this fellow was one in a thousand and somehow, during the trip, he managed to do him some little service, which drew the attention of the great man to himself. This done, he so improved his opportunity that the two were soon on the best of terms, and he learned that the Englishman was without a valet, and, being unaccustomed to move about without one, felt the awkwardness of his position very much.	But this fellow was one in a thousand and somehow, during the trip, he managed to do him some little service, which drew the attention of the great man to himself. This done, he so improved his opportunity that the two were soon on the best of terms, and he learned that the Englishman was without a valet, and, being unaccustomed to move about without one, felt the awkwardness of his position very much.	true	127.94	149.26	23.561335
3923_153309_000010_000002	This gave Sweetwater his cue, and when he found that the services of such a man were wanted only during the present trip and for the handling of affairs quite apart from personal tendance upon the gentleman himself, he showed such an honest desire to fill the place, and made out to give such a good account of himself, that he found himself engaged for the work before reaching C--.	This gave Sweetwater his cue, and when he found that the services of such a man were wanted only during the present trip and for the handling of affairs quite apart from personal tendance upon the gentleman himself, he showed such an honest desire to fill the place, and made out to give such a good account of himself, that he found himself engaged for the work before reaching C-.	false	149.6	169.3	22.81492
3923_153309_000011_000000	This was a great stroke of luck, he thought, but he little knew how big a stroke or into what a series of adventures it was going to lead him.	This was a great stroke of luck, he thought, but he little knew how big a stroke or into what a series of adventures it was going to lead him.	true	170.27	177.67	21.45752
3923_153309_000012_000000	Once on the platform of the small station at which Mr. Grey had bidden him to stop, he noticed two things: the utter helplessness of the man in all practical matters, and his extreme anxiety to see all that was going on about him without being himself seen.	Once on the platform of the small station at which mr Grey had bidden him to stop, he noticed two things: the utter helplessness of the man in all practical matters, and his extreme anxiety to see all that was going on about him without being himself seen.	true	178.49	192.67	22.345976
3923_153309_000012_000001	There was method in this curiosity, too much method.	There was method in this curiosity, too much method.	false	193.04	195.91	24.27243
3923_153309_000012_000002	Women did not interest him in the least. They could pass and repass without arousing his attention, but the moment a man stepped his way, he shrank from him only to betray the greatest curiosity concerning him the moment he felt it safe to turn and observe him.	Women did not interest him in the least. They could pass and repass without arousing his attention, but the moment a man stepped his way, he shrank from him only to betray the greatest curiosity concerning him the moment he felt it safe to turn and observe him.	true	196.1	210.55	21.682487
3923_153309_000012_000003	All of which convinced Sweetwater that the Englishman's errand was in connection with a man whom he equally dreaded and desired to meet.	All of which convinced Sweetwater that the Englishman's errand was in connection with a man whom he equally dreaded and desired to meet.	true	210.98	218.14	22.462101
3923_153309_000013_000000	Of this he was made absolutely certain a little later.	Of this he was made absolutely certain a little later.	true	218.87	221.95	20.077078
3923_153309_000013_000001	As they were leaving the depot with the rest of the arrivals, Mr. Grey said:	As they were leaving the depot with the rest of the arrivals, mr Grey said:	true	222.14	225.82	19.355967
3923_153309_000014_000000	"I want you to get me a room at a very quiet hotel.	"I want you to get me a room at a very quiet hotel.	true	225.83	229.03	21.632751
3923_153309_000014_000001	This done, you are to hunt up the man whose name you will find written in this paper, and when you have found him, make up your mind how it will be possible for me to get a good look at him without his getting any sort of a look at me.	This done, you are to hunt up the man whose name you will find written in this paper, and when you have found him, make up your mind how it will be possible for me to get a good look at him without his getting any sort of a look at me.	false	229.25	239.5	20.261637
3923_153309_000014_000002	Do this and you will earn a week's salary in one day."	Do this and you will earn a week's salary in one day."	true	239.75	242.71	23.083755
3923_153309_000015_000000	Sweetwater, with his head in air and his heart on fire--for matters were looking very promising indeed--took the paper and put it in his pocket; then he began to hunt for a hotel.	Sweetwater, with his head in air and his heart on fire-for matters were looking very promising indeed-took the paper and put it in his pocket; then he began to hunt for a hotel.	false	243.5	253.72	19.693453
3923_153309_000015_000001	Not till he had found what he wished, and installed the Englishman in his room, did he venture to open the precious memorandum and read the name he had been speculating over for an hour.	Not till he had found what he wished, and installed the Englishman in his room, did he venture to open the precious memorandum and read the name he had been speculating over for an hour.	true	254.09	263.23	21.40475
3923_153309_000015_000002	It was not the one he had anticipated, but it came near to it. It was that of James Wellgood.	It was not the one he had anticipated, but it came near to it. It was that of james Wellgood.	true	263.48	268.9	25.311256
