639_143022_000000_000000	Not much, perhaps, considering the malevolent capacity of the Dedlow Marsh.	Not much, perhaps, considering the malevolent capacity of the Dedlow Marsh.	false	0	4.62	19.033365
639_143022_000000_000001	But you must tramp over it at low water, or paddle over it at high tide, or get lost upon it once or twice in the fog, as I have, to understand properly Mary's adventure, or to appreciate duly the blessings of living beyond High-Water Mark.	But you must tramp over it at low water, or paddle over it at high tide, or get lost upon it once or twice in the fog, as I have, to understand properly Mary's adventure, or to appreciate duly the blessings of living beyond High Water Mark.	false	4.62	21.225	19.277872
639_143022_000001_000000	A LONELY RIDE	A LONELY RIDE	true	21.225	22.51	22.092554
639_143022_000002_000000	As I stepped into the Slumgullion stage I saw that it was a dark night, a lonely road, and that I was the only passenger.	As I stepped into the Slumgullion stage one saw that it was a dark night, a lonely road, and that I was the only passenger.	false	25.76	33.85	19.965294
639_143022_000002_000001	Let me assure the reader that I have no ulterior design in making this assertion.	Let me assure the reader that I have no ulterior design in making this assertion.	true	34.61	39.49	14
639_143022_000002_000002	A long course of light reading has forewarned me what every experienced intelligence must confidently look for from such a statement.	A long course of light reading has forewarned me what every experienced intelligence must confidently look for from such a statement.	false	39.8	47.41	17
639_143022_000002_000003	The storyteller who willfully tempts Fate by such obvious beginnings; who is to the expectant reader in danger of being robbed or half-murdered, or frightened by an escaped lunatic, or introduced to his ladylove for the first time, deserves to be detected.	The storyteller who willfully tempts Fate by such obvious beginnings; who is to the expectant reader in danger of being robbed or half murdered, or frightened by an escaped lunatic, or introduced to his ladylove for the first time, deserves to be detected.	true	48.11	63.52	19.69544
639_143022_000002_000004	I am relieved to say that none of these things occurred to me.	I am relieved to say that none of these things occurred to me.	true	64.16	67.36	16
639_143022_000002_000005	The road from Wingdam to Slumgullion knew no other banditti than the regularly licensed hotelkeepers; lunatics had not yet reached such depth of imbecility as to ride of their own free will in California stages; and my Laura, amiable and long-suffering as she always is, could not, I fear, have borne up against these depressing circumstances long enough to have made the slightest impression on me.	The road from Wingdam to Slumgullion knew no other banditti than the regularly licensed hotelkeepers; lunatics had not yet reached such depth of imbecility as to ride of their own free will in California stages; and my Laura, amiable and long suffering as she always is, could not, I fear, have borne up against these depressing circumstances long enough to have made the slightest impression on me.	true	68.06	93.67	18
639_143022_000003_000000	I stood with my shawl and carpetbag in hand, gazing doubtingly on the vehicle.	I stood with my shawl and carpetbag in hand, gazing doubtingly on the vehicle.	true	94.94	100.39	17
639_143022_000003_000001	Even in the darkness the red dust of Wingdam was visible on its roof and sides, and the red slime of Slumgullion clung tenaciously to its wheels.	Even in the darkness the red dust of Wingdam was visible on its roof and sides, and the red slime of Slumgullion clung tenaciously to its wheels.	true	100.76	109.75	14
639_143022_000003_000002	I opened the door; the stage creaked easily, and in the gloomy abyss the swaying straps beckoned me, like ghostly hands, to come in now and have my sufferings out at once.	I opened the door; the stage creaked easily, and in the gloomy abyss the swaying straps beckoned me, like ghostly hands, to come in now and have my sufferings out at once.	true	109.91	120.34	17
639_143022_000004_000000	I must not omit to mention the occurrence of a circumstance which struck me as appalling and mysterious.	I must not omit to mention the occurrence of a circumstance which struck me as appalling and mysterious.	true	121.49	127.09	15
639_143022_000004_000001	A lounger on the steps of the hotel, who I had reason to suppose was not in any way connected with the stage company, gravely descended, and walking toward the conveyance, tried the handle of the door, opened it, expectorated in the carriage, and returned to the hotel with a serious demeanor.	A lounger on the steps of the hotel, who I had reason to suppose was not in any way connected with the stage company, gravely descended, and walking toward the conveyance, tried the handle of the door, opened it, expectorated in the carriage, and returned to the hotel with a serious demeanor.	false	127.73	146.14	19.219528
639_143022_000004_000002	Hardly had he resumed his position when another individual, equally disinterested, impassively walked down the steps, proceeded to the back of the stage, lifted it, expectorated carefully on the axle, and returned slowly and pensively to the hotel.	Hardly had he resumed his position when another individual, equally disinterested, impassively walked down the steps, proceeded to the back of the stage, lifted it, expectorated carefully on the axle, and returned slowly and pensively to the hotel.	true	146.75	162.31	18
639_143022_000004_000003	A third spectator wearily disengaged himself from one of the Ionic columns of the portico and walked to the box, remained for a moment in serious and expectorative contemplation of the boot, and then returned to his column.	A third spectator wearily disengaged himself from one of the Ionic columns of the portico and walked to the box, remained for a moment in serious and expectorative contemplation of the boot, and then returned to his column.	true	162.92	176.92	18
639_143022_000004_000004	There was something so weird in this baptism that I grew quite nervous.	There was something so weird in this baptism that I grew quite nervous.	true	177.56	181.63	13
639_143022_000005_000000	Perhaps I was out of spirits.	Perhaps I was out of spirits.	true	182.54	184.69	21.899015
639_143022_000005_000001	A number of infinitesimal annoyances, winding up with the resolute persistency of the clerk at the stage office to enter my name misspelt on the waybill, had not predisposed me to cheerfulness.	A number of infinitesimal annoyances, winding up with the resolute persistency of the clerk at the stage office to enter my name misspelt on the waybill, had not predisposed me to cheerfulness.	true	185.03	196.57	14
639_143022_000005_000002	The inmates of the Eureka House, from a social viewpoint, were not attractive.	The inmates of the Eureka House, from a social viewpoint, were not attractive.	true	197.27	201.88	18
639_143022_000005_000003	There was the prevailing opinion--so common to many honest people--that a serious style of deportment and conduct toward a stranger indicates high gentility and elevated station. Obeying this principle, all hilarity ceased on my entrance to supper, and general remark merged into the safer and uncompromising chronicle of several bad cases of diphtheria, then epidemic at Wingdam.	There was the prevailing opinion-so common to many honest people-that a serious style of deportment and conduct toward a stranger indicates high gentility and elevated station. Obeying this principle, all hilarity ceased on my entrance to supper, and general remark merged into the safer and uncompromising chronicle of several bad cases of diphtheria, then epidemic at Wingdam.	true	202.43	227.47	19.419218
639_143022_000005_000004	When I left the dining-room, with an odd feeling that I had been supping exclusively on mustard and tea leaves, I stopped a moment at the parlor door.	When I left the dining room, with an odd feeling that I had been supping exclusively on mustard and tea leaves, I stopped a moment at the parlor door.	true	228.56	237.13	15
639_143022_000005_000005	A piano, harmoniously related to the dinner bell, tinkled responsive to a diffident and uncertain touch.	A piano, harmoniously related to the dinner bell, tinkled responsive to a diffident and uncertain touch.	true	237.8	245.08	17
639_143022_000005_000006	On the white wall the shadow of an old and sharp profile was bending over several symmetrical and shadowy curls.	On the white wall the shadow of an old and sharp profile was bending over several symmetrical and shadowy curls.	true	246.08	253.18	14
639_143022_000005_000007	"I sez to Mariar, Mariar, sez I, 'Praise to the face is open disgrace.'" I heard no more.	"I sez to Mariar, Mariar, sez I, 'Praise to the face is open disgrace.'" I heard no more.	true	253.67	261.79	19.405645
