5400_34479_000000_000000	Sergey Ivanovitch wound up the last line, untied the horse, and they drove off.	Sergey Ivanovitch wound up the last line, untied the horse, and they drove off.	false	4.47	24.33	24.25802
5400_34479_000001_000000	Chapter 4	Chapter four	true	24.33	25.29	28.613705
5400_34479_000002_000000	The personal matter that absorbed Levin during his conversation with his brother was this.	The personal matter that absorbed Levin during his conversation with his brother was this.	true	25.29	29.59	16
5400_34479_000002_000001	Once in a previous year he had gone to look at the mowing, and being made very angry by the bailiff he had recourse to his favorite means for regaining his temper,--he took a scythe from a peasant and began mowing.	Once in a previous year he had gone to look at the mowing, and being made very angry by the bailiff he had recourse to his favorite means for regaining his temper,--he took a scythe from a peasant and began mowing.	true	30.11	41.44	21.188435
5400_34479_000003_000000	He liked the work so much that he had several times tried his hand at mowing since.	He liked the work so much that he had several times tried his hand at mowing since.	false	42.17	46.92	22.249123
5400_34479_000003_000001	He had cut the whole of the meadow in front of his house, and this year ever since the early spring he had cherished a plan for mowing for whole days together with the peasants.	He had cut the whole of the meadow in front of his house, and this year ever since the early spring he had cherished a plan for mowing for whole days together with the peasants.	true	46.92	55.66	17
5400_34479_000003_000002	Ever since his brother's arrival, he had been in doubt whether to mow or not.	Ever since his brother's arrival, he had been in doubt whether to mow or not.	true	56.27	60.13	19
5400_34479_000003_000003	He was loath to leave his brother alone all day long, and he was afraid his brother would laugh at him about it.	He was loath to leave his brother alone all day long, and he was afraid his brother would laugh at him about it.	false	60.41	65.86	17
5400_34479_000003_000004	But as he drove into the meadow, and recalled the sensations of mowing, he came near deciding that he would go mowing.	But as he drove into the meadow, and recalled the sensations of mowing, he came near deciding that he would go mowing.	true	66.14	71.59	16
5400_34479_000003_000005	After the irritating discussion with his brother, he pondered over this intention again.	After the irritating discussion with his brother, he pondered over this intention again.	true	72.38	76.48	18
5400_34479_000004_000000	"I must have physical exercise, or my temper'll certainly be ruined," he thought, and he determined he would go mowing, however awkward he might feel about it with his brother or the peasants.	"I must have physical exercise, or my temper'll certainly be ruined," he thought, and he determined he would go mowing, however awkward he might feel about it with his brother or the peasants.	true	76.79	86.86	24.837399
5400_34479_000005_000000	Towards evening Konstantin Levin went to his counting house, gave directions as to the work to be done, and sent about the village to summon the mowers for the morrow, to cut the hay in Kalinov meadow, the largest and best of his grass lands.	Towards evening Konstantin Levin went to his counting house, gave directions as to the work to be done, and sent about the village to summon the mowers for the morrow, to cut the hay in Kalinov meadow, the largest and best of his grass lands.	true	87.71	100.54	21.464643
5400_34479_000006_000000	"And send my scythe, please, to Tit, for him to set it, and bring it round tomorrow.	"And send my scythe, please, to Tit, for him to set it, and bring it round tomorrow.	false	101.21	106.27	20.14772
5400_34479_000006_000001	I shall maybe do some mowing myself too," he said, trying not to be embarrassed.	I shall maybe do some mowing myself too," he said, trying not to be embarrassed.	true	106.61	110.71	20
5400_34479_000007_000000	The bailiff smiled and said: "Yes, sir."	The bailiff smiled and said: "Yes, sir."	true	111.08	113.35	20.626595
5400_34479_000008_000000	At tea the same evening Levin said to his brother:	At tea the same evening Levin said to his brother:	true	114.17	116.7	20
5400_34479_000009_000000	"I fancy the fine weather will last.	"I fancy the fine weather will last.	true	116.7	118.575	18.254675
5400_34479_000009_000001	Tomorrow I shall start mowing."	Tomorrow I shall start mowing."	true	118.575	120.4	25.52113
5400_34479_000010_000000	"I'm so fond of that form of field labor," said Sergey Ivanovitch.	"I'm so fond of that form of field labor," said Sergey Ivanovitch.	true	120.86	124.18	20
5400_34479_000011_000000	"I'm awfully fond of it.	"I'm awfully fond of it.	true	124.58	126.105	26.350037
5400_34479_000011_000001	I sometimes mow myself with the peasants, and tomorrow I want to try mowing the whole day."	I sometimes mow myself with the peasants, and tomorrow I want to try mowing the whole day."	true	126.105	130.27	15
5400_34479_000012_000000	Sergey Ivanovitch lifted his head, and looked with interest at his brother.	Sergey Ivanovitch lifted his head, and looked with interest at his brother.	false	130.82	134.47	19.902817
5400_34479_000013_000000	"How do you mean?	"How do you mean?	true	135.23	136.27	18.789032
5400_34479_000013_000001	Just like one of the peasants, all day long?"	Just like one of the peasants, all day long?"	true	136.49	138.88	27.327545
5400_34479_000014_000000	"Yes, it's very pleasant," said Levin.	"Yes, it's very pleasant," said Levin.	true	138.98	141.28	26.659294
5400_34479_000015_000000	"It's splendid as exercise, only you'll hardly be able to stand it," said Sergey Ivanovitch, without a shade of irony.	"It's splendid as exercise, only you'll hardly be able to stand it," said Sergey Ivanovitch, without a shade of irony.	true	141.71	147.67	20.763609
5400_34479_000016_000000	"I've tried it.	"I've tried it.	true	148.16	149.205	24.440626
5400_34479_000016_000001	It's hard work at first, but you get into it.	It's hard work at first, but you get into it.	true	149.205	151.215	27.494587
5400_34479_000016_000002	I dare say I shall manage to keep it up..."	I dare say I shall manage to keep it up..."	true	151.215	153.64	20.76207
5400_34479_000017_000000	"Really! what an idea!	"Really! what an idea!	true	153.8	156.25	24.532385
5400_34479_000017_000001	But tell me, how do the peasants look at it?	But tell me, how do the peasants look at it?	true	156.29	158.89	21.860136
5400_34479_000017_000002	I suppose they laugh in their sleeves at their master's being such a queer fish?"	I suppose they laugh in their sleeves at their master's being such a queer fish?"	true	159.11	162.97	23.741673
5400_34479_000018_000000	"No, I don't think so; but it's so delightful, and at the same time such hard work, that one has no time to think about it."	"No, I don't think so; but it's so delightful, and at the same time such hard work, that one has no time to think about it."	true	163.31	170.26	24.10571
5400_34479_000019_000000	"But how will you do about dining with them?	"But how will you do about dining with them?	false	170.69	173.37	24.12335
5400_34479_000019_000001	To send you a bottle of Lafitte and roast turkey out there would be a little awkward."	To send you a bottle of Lafitte and roast turkey out there would be a little awkward."	true	173.37	177.49	18
5400_34479_000020_000000	"No, I'll simply come home at the time of their noonday rest."	"No, I'll simply come home at the time of their noonday rest."	true	177.86	181.18	21.94694
5400_34479_000021_000000	Next morning Konstantin Levin got up earlier than usual, but he was detained giving directions on the farm, and when he reached the mowing grass the mowers were already at their second row.	Next morning Konstantin Levin got up earlier than usual, but he was detained giving directions on the farm, and when he reached the mowing grass the mowers were already at their second row.	false	181.7	191.445	18
5400_34479_000022_000000	From the uplands he could get a view of the shaded cut part of the meadow below, with its grayish ridges of cut grass, and the black heaps of coats, taken off by the mowers at the place from which they had started cutting.	From the uplands he could get a view of the shaded cut part of the meadow below, with its grayish ridges of cut grass, and the black heaps of coats, taken off by the mowers at the place from which they had started cutting.	true	191.445	202.51	23.375183
5400_34479_000023_000000	Gradually, as he rode towards the meadow, the peasants came into sight, some in coats, some in their shirts mowing, one behind another in a long string, swinging their scythes differently.	Gradually, as he rode towards the meadow, the peasants came into sight, some in coats, some in their shirts mowing, one behind another in a long string, swinging their scythes differently.	false	203.24	213.49	21.732782
5400_34479_000023_000001	He counted forty-two of them.	He counted forty two of them.	true	213.83	215.56	24.33868
5400_34479_000024_000000	They were mowing slowly over the uneven, low-lying parts of the meadow, where there had been an old dam.	They were mowing slowly over the uneven, low lying parts of the meadow, where there had been an old dam.	false	216.32	222.1	17
5400_34479_000024_000001	Levin recognized some of his own men. Here was old Yermil in a very long white smock, bending forward to swing a scythe; there was a young fellow, Vaska, who had been a coachman of Levin's, taking every row with a wide sweep.	Levin recognized some of his own men. Here was old Yermil in a very long white smock, bending forward to swing a scythe; there was a young fellow, Vaska, who had been a coachman of Levin's, taking every row with a wide sweep.	false	222.53	236.86	23.120663
5400_34479_000024_000002	Here, too, was Tit, Levin's preceptor in the art of mowing, a thin little peasant.	Here, too, was Tit, Levin's preceptor in the art of mowing, a thin little peasant.	false	237.2	242.29	26.723688
