6188_78885_000001_000000	CHAPTER IX	CHAPTER nine
6188_78885_000003_000000	Two days afterwards, Elinor came to summon her to the drawing-room.	Two days afterwards, Elinor came to summon her to the drawing room.
6188_78885_000005_000000	Elinor, when she had formed a wish, never listened to an objection. 'What an old fashioned style you prose in!' she cried; 'who could believe you came so lately from France?	Elinor, when she had formed a wish, never listened to an objection. 'What an old fashioned style you prose in!' she cried; 'who could believe you came so lately from France?
6188_78885_000005_000001	But example has no more force without sympathy, than precept had without opinion!	But example has no more force without sympathy, than precept had without opinion!
6188_78885_000005_000002	However, I'll get you a licence from Aunt Maple in a minute.'	However, I'll get you a licence from Aunt Maple in a minute.'
6188_78885_000006_000000	She went down stairs, and, returning almost immediately, cried, 'Aunt Maple is quite contented.	She went down stairs, and, returning almost immediately, cried, 'Aunt Maple is quite contented.
6188_78885_000006_000002	I have ample business upon my hands, between my companions of the buskin, and this pragmatical old aunt; for Harleigh himself refused to act against her approbation, till I threatened to make over Lord Townly to Sir Lyell Sycamore, a smart beau at Brighthelmstone, that all the mammas and aunts are afraid of.	I have ample business upon my hands, between my companions of the buskin, and this pragmatical old aunt; for Harleigh himself refused to act against her approbation, till I threatened to make over Lord Townly to Sir Lyell Sycamore, a smart beau at Brighthelmstone, that all the mammas and aunts are afraid of.
6188_78885_000006_000003	And then poor aunty was fain, herself, to request Harleigh to take the part.	And then poor aunty was fain, herself, to request Harleigh to take the part.
6188_78885_000006_000004	I could manage matters no other way.'	I could manage matters no other way.'
6188_78885_000007_000000	Personal remonstrances were vain, and the stranger was forced down stairs to the theatrical group.	Personal remonstrances were vain, and the stranger was forced down stairs to the theatrical group.
6188_78885_000008_000001	She requested to have the book of the play; but Elinor, engaged in arranging the entrances and exits, did not heed her.	She requested to have the book of the play; but Elinor, engaged in arranging the entrances and exits, did not heed her.
6188_78885_000008_000002	Harleigh, however, comprehending the relief which any occupation for the eyes and hands might afford her, presented it to her himself.	Harleigh, however, comprehending the relief which any occupation for the eyes and hands might afford her, presented it to her himself.
6188_78885_000009_000000	It preserved her not, nevertheless, from a volley of questions, with which she was instantly assailed from various quarters.	It preserved her not, nevertheless, from a volley of questions, with which she was instantly assailed from various quarters.
6188_78885_000009_000001	'I find Ma'am, you are lately come from abroad,' said Mr Scope, a gentleman self-dubbed a deep politician, and who, in the most sententious manner, uttered the most trivial observations: 'I have no very high notion, I own, of the morals of those foreigners at this period.	'I find Ma'am, you are lately come from abroad,' said Mr Scope, a gentleman self dubbed a deep politician, and who, in the most sententious manner, uttered the most trivial observations: 'I have no very high notion, I own, of the morals of those foreigners at this period.
6188_78885_000009_000002	A man's wife and daughters belong to any man who has a taste to them, as I am informed.	A man's wife and daughters belong to any man who has a taste to them, as I am informed.
6188_78885_000009_000003	Nothing is very strict.	Nothing is very strict.
6188_78885_000010_000000	'But I should like to know,' cried Gooch, the young farmer, 'whether it be true, of a reality, that they've got such numbers and numbers, and millions and millions of red-coats there, all made into generals, in the twinkling, as one may say, of an eye?'	'But I should like to know,' cried Gooch, the young farmer, 'whether it be true, of a reality, that they've got such numbers and numbers, and millions and millions of red coats there, all made into generals, in the twinkling, as one may say, of an eye?'
6188_78885_000012_000001	Pray who were your masters?'	Pray who were your masters?'
6188_78885_000013_000000	While the Incognita hesitated, Miss Bydel, a collateral and uneducated successor to a large and unexpected fortune, said, 'Pray, first of all, young woman, what took you over to foreign parts?	While the Incognita hesitated, Miss Bydel, a collateral and uneducated successor to a large and unexpected fortune, said, 'Pray, first of all, young woman, what took you over to foreign parts?
6188_78885_000013_000001	I should like to know that.'	I should like to know that.'
6188_78885_000014_000000	Elinor, now, being ready, cut short all further investigation by beginning the rehearsal.	Elinor, now, being ready, cut short all further investigation by beginning the rehearsal.
