3361_1133_000000_000000	Chapter 23	Chapter twenty three	true	24.57	25.99	29.17928
3361_1133_000001_000000	Elizabeth was sitting with her mother and sisters, reflecting on what she had heard, and doubting whether she was authorised to mention it, when Sir William Lucas himself appeared, sent by his daughter, to announce her engagement to the family.	Elizabeth was sitting with her mother and sisters, reflecting on what she had heard, and doubting whether she was authorised to mention it, when Sir William Lucas himself appeared, sent by his daughter, to announce her engagement to the family.	true	27.83	42.79	23.46951
3361_1133_000001_000001	With many compliments to them, and much self-gratulation on the prospect of a connection between the houses, he unfolded the matter--to an audience not merely wondering, but incredulous; for Mrs. Bennet, with more perseverance than politeness, protested he must be entirely mistaken; and Lydia, always unguarded and often uncivil, boisterously exclaimed:	With many compliments to them, and much self gratulation on the prospect of a connection between the houses, he unfolded the matter-to an audience not merely wondering, but incredulous; for mrs Bennet, with more perseverance than politeness, protested he must be entirely mistaken; and Lydia, always unguarded and often uncivil, boisterously exclaimed:	true	43.04	69.4	24.951067
3361_1133_000002_000000	"Good Lord!	"Good Lord!	true	69.86	70.815	31.053429
3361_1133_000002_000001	Sir William, how can you tell such a story?	Sir William, how can you tell such a story?	true	70.815	73.57	26
3361_1133_000002_000002	Do not you know that Mr. Collins wants to marry Lizzy?"	Do not you know that mr Collins wants to marry Lizzy?"	true	73.79	77.14	21.490755
3361_1133_000003_000000	Nothing less than the complaisance of a courtier could have borne without anger such treatment; but Sir William's good breeding carried him through it all; and though he begged leave to be positive as to the truth of his information, he listened to all their impertinence with the most forbearing courtesy.	Nothing less than the complaisance of a courtier could have borne without anger such treatment; but Sir William's good breeding carried him through it all; and though he begged leave to be positive as to the truth of his information, he listened to all their impertinence with the most forbearing courtesy.	false	78.53	97.75	24.160479
3361_1133_000004_000000	Elizabeth, feeling it incumbent on her to relieve him from so unpleasant a situation, now put herself forward to confirm his account, by mentioning her prior knowledge of it from Charlotte herself; and endeavoured to put a stop to the exclamations of her mother and sisters by the earnestness of her congratulations to Sir William, in which she was readily joined by Jane, and by making a variety of remarks on the happiness that might be expected from the match, the excellent character of Mr. Collins, and the convenient distance of Hunsford from London.	Elizabeth, feeling it incumbent on her to relieve him from so unpleasant a situation, now put herself forward to confirm his account, by mentioning her prior knowledge of it from Charlotte herself; and endeavoured to put a stop to the exclamations of her mother and sisters by the earnestness of her congratulations to Sir William, in which she was readily joined by Jane, and by making a variety of remarks on the happiness that might be expected from the match, the excellent character of mr Collins, and the convenient distance of Hunsford from London.	false	98.72	136.18	23.482687
3361_1133_000005_000000	Mrs. Bennet was in fact too much overpowered to say a great deal while Sir William remained; but no sooner had he left them than her feelings found a rapid vent.	mrs Bennet was in fact too much overpowered to say a great deal while Sir William remained; but no sooner had he left them than her feelings found a rapid vent.	true	137.33	148.54	22.810339
3361_1133_000005_000001	In the first place, she persisted in disbelieving the whole of the matter; secondly, she was very sure that Mr. Collins had been taken in; thirdly, she trusted that they would never be happy together; and fourthly, that the match might be broken off.	In the first place, she persisted in disbelieving the whole of the matter; secondly, she was very sure that mr Collins had been taken in; thirdly, she trusted that they would never be happy together; and fourthly, that the match might be broken off.	true	148.85	166.84	25.29394
3361_1133_000005_000002	Two inferences, however, were plainly deduced from the whole: one, that Elizabeth was the real cause of the mischief; and the other that she herself had been barbarously misused by them all; and on these two points she principally dwelt during the rest of the day.	Two inferences, however, were plainly deduced from the whole: one, that Elizabeth was the real cause of the mischief; and the other that she herself had been barbarously misused by them all; and on these two points she principally dwelt during the rest of the day.	true	167.36	185.56	25.175606
3361_1133_000005_000003	Nothing could console and nothing could appease her.	Nothing could console and nothing could appease her.	true	186.17	189.67	23.263674
3361_1133_000005_000004	Nor did that day wear out her resentment.	Nor did that day wear out her resentment.	true	190.04	193.03	26.858973
3361_1133_000005_000005	A week elapsed before she could see Elizabeth without scolding her, a month passed away before she could speak to Sir William or Lady Lucas without being rude, and many months were gone before she could at all forgive their daughter.	A week elapsed before she could see Elizabeth without scolding her, a month passed away before she could speak to Sir William or Lady Lucas without being rude, and many months were gone before she could at all forgive their daughter.	true	193.1	208.39	24.935898
3361_1133_000006_000000	Mr. Bennet's emotions were much more tranquil on the occasion, and such as he did experience he pronounced to be of a most agreeable sort; for it gratified him, he said, to discover that Charlotte Lucas, whom he had been used to think tolerably sensible, was as foolish as his wife, and more foolish than his daughter!	mr Bennet's emotions were much more tranquil on the occasion, and such as he did experience he pronounced to be of a most agreeable sort; for it gratified him, he said, to discover that Charlotte Lucas, whom he had been used to think tolerably sensible, was as foolish as his wife, and more foolish than his daughter!	true	209.9	231.4	25.80577
3361_1133_000007_000000	Jane confessed herself a little surprised at the match; but she said less of her astonishment than of her earnest desire for their happiness; nor could Elizabeth persuade her to consider it as improbable.	Jane confessed herself a little surprised at the match; but she said less of her astonishment than of her earnest desire for their happiness; nor could Elizabeth persuade her to consider it as improbable.	true	232.49	246.19	27.427485
3361_1133_000007_000001	Kitty and Lydia were far from envying Miss Lucas, for Mr. Collins was only a clergyman; and it affected them in no other way than as a piece of news to spread at Meryton.	Kitty and Lydia were far from envying Miss Lucas, for mr Collins was only a clergyman; and it affected them in no other way than as a piece of news to spread at Meryton.	true	246.65	258.34	25.09519
3361_1133_000008_000000	Lady Lucas could not be insensible of triumph on being able to retort on Mrs. Bennet the comfort of having a daughter well married; and she called at Longbourn rather oftener than usual to say how happy she was, though Mrs. Bennet's sour looks and ill-natured remarks might have been enough to drive happiness away.	Lady Lucas could not be insensible of triumph on being able to retort on mrs Bennet the comfort of having a daughter well married; and she called at Longbourn rather oftener than usual to say how happy she was, though mrs Bennet's sour looks and ill natured remarks might have been enough to drive happiness away.	false	259.4	280.48	24.359278
3361_1133_000009_000000	Between Elizabeth and Charlotte there was a restraint which kept them mutually silent on the subject; and Elizabeth felt persuaded that no real confidence could ever subsist between them again.	Between Elizabeth and Charlotte there was a restraint which kept them mutually silent on the subject; and Elizabeth felt persuaded that no real confidence could ever subsist between them again.	true	281.81	294.61	26.216219
3361_1133_000009_000001	Her disappointment in Charlotte made her turn with fonder regard to her sister, of whose rectitude and delicacy she was sure her opinion could never be shaken, and for whose happiness she grew daily more anxious, as Bingley had now been gone a week and nothing more was heard of his return.	Her disappointment in Charlotte made her turn with fonder regard to her sister, of whose rectitude and delicacy she was sure her opinion could never be shaken, and for whose happiness she grew daily more anxious, as Bingley had now been gone a week and nothing more was heard of his return.	true	295.16	315.4	24.093348
3361_1133_000010_000000	Jane had sent Caroline an early answer to her letter, and was counting the days till she might reasonably hope to hear again.	Jane had sent Caroline an early answer to her letter, and was counting the days till she might reasonably hope to hear again.	true	316.94	324.79	24.12692
3361_1133_000010_000001	The promised letter of thanks from Mr. Collins arrived on Tuesday, addressed to their father, and written with all the solemnity of gratitude which a twelvemonth's abode in the family might have prompted.	The promised letter of thanks from mr Collins arrived on Tuesday, addressed to their father, and written with all the solemnity of gratitude which a twelvemonth's abode in the family might have prompted.	true	325.34	338.17	24.942303
3361_1133_000010_000002	After discharging his conscience on that head, he proceeded to inform them, with many rapturous expressions, of his happiness in having obtained the affection of their amiable neighbour, Miss Lucas, and then explained that it was merely with the view of enjoying her society that he had been so ready to close with their kind wish of seeing him again at Longbourn, whither he hoped to be able to return on Monday fortnight; for Lady Catherine, he added, so heartily approved his marriage, that she wished it to take place as soon as possible, which he trusted would be an unanswerable argument with his amiable Charlotte to name an early day for making him the happiest of men.	After discharging his conscience on that head, he proceeded to inform them, with many rapturous expressions, of his happiness in having obtained the affection of their amiable neighbour, Miss Lucas, and then explained that it was merely with the view of enjoying her society that he had been so ready to close with their kind wish of seeing him again at Longbourn, whither he hoped to be able to return on Monday fortnight; for Lady Catherine, he added, so heartily approved his marriage, that she wished it to take place as soon as possible, which he trusted would be an unanswerable argument with his amiable Charlotte to name an early day for making him the happiest of men.	false	338.6	383.35	24.225412
3361_1133_000011_000000	Mr. Collins's return into Hertfordshire was no longer a matter of pleasure to Mrs. Bennet.	mr Collins's return into Hertfordshire was no longer a matter of pleasure to mrs Bennet.	true	384.5	390.46	25.288403
3361_1133_000011_000001	On the contrary, she was as much disposed to complain of it as her husband.	On the contrary, she was as much disposed to complain of it as her husband.	true	391.07	396.67	25.518328
3361_1133_000011_000002	It was very strange that he should come to Longbourn instead of to Lucas Lodge; it was also very inconvenient and exceedingly troublesome.	It was very strange that he should come to Longbourn instead of to Lucas Lodge; it was also very inconvenient and exceedingly troublesome.	true	397.01	406.3	24.21466
3361_1133_000011_000003	She hated having visitors in the house while her health was so indifferent, and lovers were of all people the most disagreeable.	She hated having visitors in the house while her health was so indifferent, and lovers were of all people the most disagreeable.	true	406.64	415.21	23.904486
3361_1133_000011_000004	Such were the gentle murmurs of Mrs. Bennet, and they gave way only to the greater distress of Mr. Bingley's continued absence.	Such were the gentle murmurs of mrs Bennet, and they gave way only to the greater distress of mr Bingley's continued absence.	true	415.79	424.39	27.40724
3361_1133_000012_000000	Neither Jane nor Elizabeth were comfortable on this subject.	Neither Jane nor Elizabeth were comfortable on this subject.	true	425.54	429.58	28.349045
3361_1133_000012_000001	Day after day passed away without bringing any other tidings of him than the report which shortly prevailed in Meryton of his coming no more to Netherfield the whole winter; a report which highly incensed Mrs. Bennet, and which she never failed to contradict as a most scandalous falsehood.	Day after day passed away without bringing any other tidings of him than the report which shortly prevailed in Meryton of his coming no more to Netherfield the whole winter; a report which highly incensed mrs Bennet, and which she never failed to contradict as a most scandalous falsehood.	true	429.86	450.1	25.89363
3361_1133_000013_000000	Even Elizabeth began to fear--not that Bingley was indifferent--but that his sisters would be successful in keeping him away.	Even Elizabeth began to fear-not that Bingley was indifferent-but that his sisters would be successful in keeping him away.	true	451.43	459.76	24.815037
3361_1133_000013_000001	Unwilling as she was to admit an idea so destructive of Jane's happiness, and so dishonorable to the stability of her lover, she could not prevent its frequently occurring.	Unwilling as she was to admit an idea so destructive of Jane's happiness, and so dishonorable to the stability of her lover, she could not prevent its frequently occurring.	true	460.19	471.97	23.16022
3361_1133_000013_000002	The united efforts of his two unfeeling sisters and of his overpowering friend, assisted by the attractions of Miss Darcy and the amusements of London might be too much, she feared, for the strength of his attachment.	The united efforts of his two unfeeling sisters and of his overpowering friend, assisted by the attractions of Miss Darcy and the amusements of London might be too much, she feared, for the strength of his attachment.	true	472.43	487.63	26.015787
3361_1133_000014_000000	As for Jane, _her_ anxiety under this suspense was, of course, more painful than Elizabeth's, but whatever she felt she was desirous of concealing, and between herself and Elizabeth, therefore, the subject was never alluded to.	As for Jane, underscore her underscore anxiety under this suspense was, of course, more painful than Elizabeth's, but whatever she felt she was desirous of concealing, and between herself and Elizabeth, therefore, the subject was never alluded to.	false	489.02	505.87	25.1279
3361_1133_000014_000001	But as no such delicacy restrained her mother, an hour seldom passed in which she did not talk of Bingley, express her impatience for his arrival, or even require Jane to confess that if he did not come back she would think herself very ill used.	But as no such delicacy restrained her mother, an hour seldom passed in which she did not talk of Bingley, express her impatience for his arrival, or even require Jane to confess that if he did not come back she would think herself very ill used.	true	506.69	524.71	25.285244
3361_1133_000014_000002	It needed all Jane's steady mildness to bear these attacks with tolerable tranquillity.	It needed all Jane's steady mildness to bear these attacks with tolerable tranquillity.	true	525.08	531.01	28.44517
3361_1133_000015_000000	Mr. Collins returned most punctually on Monday fortnight, but his reception at Longbourn was not quite so gracious as it had been on his first introduction.	mr Collins returned most punctually on Monday fortnight, but his reception at Longbourn was not quite so gracious as it had been on his first introduction.	true	532.22	543.04	25.488373
3361_1133_000015_000001	He was too happy, however, to need much attention; and luckily for the others, the business of love-making relieved them from a great deal of his company.	He was too happy, however, to need much attention; and luckily for the others, the business of love making relieved them from a great deal of his company.	true	543.59	553.93	23.965881
3361_1133_000015_000002	The chief of every day was spent by him at Lucas Lodge, and he sometimes returned to Longbourn only in time to make an apology for his absence before the family went to bed.	The chief of every day was spent by him at Lucas Lodge, and he sometimes returned to Longbourn only in time to make an apology for his absence before the family went to bed.	true	554.33	565.45	24.786057
3361_1133_000016_000000	Mrs. Bennet was really in a most pitiable state.	mrs Bennet was really in a most pitiable state.	true	566.93	570.58	28.328358
3361_1133_000016_000001	The very mention of anything concerning the match threw her into an agony of ill-humour, and wherever she went she was sure of hearing it talked of.	The very mention of anything concerning the match threw her into an agony of ill humour, and wherever she went she was sure of hearing it talked of.	true	570.83	580.99	22.496212
3361_1133_000016_000002	The sight of Miss Lucas was odious to her.	The sight of Miss Lucas was odious to her.	true	581.42	584.35	27.344172
3361_1133_000016_000003	As her successor in that house, she regarded her with jealous abhorrence.	As her successor in that house, she regarded her with jealous abhorrence.	false	584.63	590.4	26.911898
3361_1133_000016_000004	Whenever Charlotte came to see them, she concluded her to be anticipating the hour of possession; and whenever she spoke in a low voice to Mr. Collins, was convinced that they were talking of the Longbourn estate, and resolving to turn herself and her daughters out of the house, as soon as Mr. Bennet were dead.	Whenever Charlotte came to see them, she concluded her to be anticipating the hour of possession; and whenever she spoke in a low voice to mr Collins, was convinced that they were talking of the Longbourn estate, and resolving to turn herself and her daughters out of the house, as soon as mr Bennet were dead.	true	590.4	610.84	24.96223
3361_1133_000016_000005	She complained bitterly of all this to her husband.	She complained bitterly of all this to her husband.	true	611.36	614.92	28.219143
3361_1133_000017_000000	"Indeed, Mr. Bennet," said she, "it is very hard to think that Charlotte Lucas should ever be mistress of this house, that I should be forced to make way for _her_, and live to see her take her place in it!"	"Indeed, mr Bennet," said she, "it is very hard to think that Charlotte Lucas should ever be mistress of this house, that I should be forced to make way for underscore her underscore, and live to see her take her place in it!"	false	616.25	630.22	25.512402
3361_1133_000018_000000	"My dear, do not give way to such gloomy thoughts.	"My dear, do not give way to such gloomy thoughts.	true	631.73	635.295	28.398766
3361_1133_000018_000001	Let us hope for better things.	Let us hope for better things.	true	635.295	637.03	24.659891
3361_1133_000018_000002	Let us flatter ourselves that I may be the survivor."	Let us flatter ourselves that I may be the survivor."	true	637.22	640.6	21.370304
3361_1133_000019_000000	This was not very consoling to Mrs. Bennet, and therefore, instead of making any answer, she went on as before.	This was not very consoling to mrs Bennet, and therefore, instead of making any answer, she went on as before.	true	641.84	650.2	24.309675
3361_1133_000020_000000	"I cannot bear to think that they should have all this estate.	"I cannot bear to think that they should have all this estate.	true	651.5	655.15	28.622587
3361_1133_000020_000001	If it was not for the entail, I should not mind it."	If it was not for the entail, I should not mind it."	true	655.37	658.78	26.533775
3361_1133_000021_000000	"What should not you mind?"	"What should not you mind?"	true	660.02	661.78	24.956205
3361_1133_000022_000000	"I should not mind anything at all."	"I should not mind anything at all."	true	662.93	665.02	25.685787
3361_1133_000023_000000	"Let us be thankful that you are preserved from a state of such insensibility."	"Let us be thankful that you are preserved from a state of such insensibility."	true	666.32	670.93	23.701624
3361_1133_000024_000000	"I never can be thankful, Mr. Bennet, for anything about the entail.	"I never can be thankful, mr Bennet, for anything about the entail.	true	672.14	676.36	23.646332
3361_1133_000024_000001	How anyone could have the conscience to entail away an estate from one's own daughters, I cannot understand; and all for the sake of Mr. Collins too! Why should _he_ have it more than anybody else?"	How anyone could have the conscience to entail away an estate from one's own daughters, I cannot understand; and all for the sake of mr Collins too! Why should underscore he underscore have it more than anybody else?"	false	676.64	691.21	25.480238
3361_1133_000025_000000	"I leave it to yourself to determine," said Mr. Bennet.	"I leave it to yourself to determine," said mr Bennet.	false	691.43	697.05	25.950748
3361_1133_000026_000000	Chapter 24	Chapter twenty four	false	697.05	698.37	27.018253
3361_1133_000027_000000	Miss Bingley's letter arrived, and put an end to doubt.	Miss Bingley's letter arrived, and put an end to doubt.	false	698.37	701.55	22.142933
3361_1133_000027_000001	The very first sentence conveyed the assurance of their being all settled in London for the winter, and concluded with her brother's regret at not having had time to pay his respects to his friends in Hertfordshire before he left the country.	The very first sentence conveyed the assurance of their being all settled in London for the winter, and concluded with her brother's regret at not having had time to pay his respects to his friends in Hertfordshire before he left the country.	false	701.55	703.17	29.634953
3361_1133_000028_000000	Hope was over, entirely over; and when Jane could attend to the rest of the letter, she found little, except the professed affection of the writer, that could give her any comfort.	Hope was over, entirely over; and when Jane could attend to the rest of the letter, she found little, except the professed affection of the writer, that could give her any comfort.	false	703.17	704.4	-20
3361_1133_000028_000001	Miss Darcy's praise occupied the chief of it.	Miss Darcy's praise occupied the chief of it.	false	704.4	704.7	-20
3361_1133_000028_000002	Her many attractions were again dwelt on, and Caroline boasted joyfully of their increasing intimacy, and ventured to predict the accomplishment of the wishes which had been unfolded in her former letter.	Her many attractions were again dwelt on, and Caroline boasted joyfully of their increasing intimacy, and ventured to predict the accomplishment of the wishes which had been unfolded in her former letter.	false	704.7	705.93	-20
