6877_79973_000000_000000	[Illustration: Does the gentleman wear red breeches, and has he a pointed muzzle?]	[Illustration: Does the gentleman wear red breeches, and has he a pointed muzzle?]	false	0	9.165	19.384348
6877_79973_000001_000000	The Salad	The Salad	false	9.165	27.01	20.905294
6877_79973_000002_000000	There was once a merry young Huntsman, who went into the forest to hunt.	There was once a merry young Huntsman, who went into the forest to hunt.	true	27.8	32.71	19.562567
6877_79973_000002_000001	He was gay and light-hearted, and whistled a tune upon a leaf as he went along.	He was gay and light-hearted, and whistled a tune upon a leaf as he went along.	true	33.14	38.29	19.34959
6877_79973_000003_000000	Suddenly an ugly old Crone spoke to him, and said: 'Good morning, dear Huntsman; you are merry and happy enough, while I am hungry and thirsty.	Suddenly an ugly old Crone spoke to him, and said: 'Good morning, dear Huntsman; you are merry and happy enough, while I am hungry and thirsty.	false	39.17	50.74	22.162722
6877_79973_000003_000001	Pray give me an alms.'	Pray give me an alms.'	true	50.96	53.71	23.721087
6877_79973_000004_000000	The Huntsman pitied the poor Old Woman, put his hand in his pocket, and made her a present according to his means.	The Huntsman pitied the poor Old Woman, put his hand in his pocket, and made her a present according to his means.	true	54.02	61	22.484222
6877_79973_000005_000000	Then he wanted to go on.	Then he wanted to go on.	true	61.55	63.4	20.720953
6877_79973_000005_000001	But the Old Woman held him back, and said: 'Hark ye, dear Huntsman, I will make you a present because of your good heart.	But the Old Woman held him back, and said: 'Hark ye, dear Huntsman, I will make you a present because of your good heart.	true	63.44	72.19	22.967382
6877_79973_000005_000002	Go on your way, and you will come to a tree, on which nine birds are sitting.	Go on your way, and you will come to a tree, on which nine birds are sitting.	true	72.38	78.4	24.545732
6877_79973_000005_000003	They will have a cloak in their claws, over which they are fighting.	They will have a cloak in their claws, over which they are fighting.	true	78.62	82.57	29.984299
6877_79973_000005_000004	Take aim with your gun, and shoot into the middle of them.	Take aim with your gun, and shoot into the middle of them.	true	82.67	86.175	26.249027
6877_79973_000005_000005	They will drop the cloak, and one of the birds will fall down dead.	They will drop the cloak, and one of the birds will fall down dead.	true	86.175	90.82	24.122456
6877_79973_000005_000006	Take the cloak with you, it is a wishing-cloak.	Take the cloak with you, it is a wishing cloak.	true	91.07	94.54	25.637678
6877_79973_000005_000007	When you throw it round your shoulders you only have to wish yourself at a place to be there at once.	When you throw it round your shoulders you only have to wish yourself at a place to be there at once.	false	94.73	102.39	21.77907
6877_79973_000005_000008	Take the heart out of the dead bird and swallow it whole, then you will find a gold coin under your pillow every single morning when you wake.'	Take the heart out of the dead bird and swallow it whole, then you will find a gold coin under your pillow every single morning when you wake.'	true	102.39	112.12	23.62003
6877_79973_000006_000000	The Huntsman thanked the Wise Woman, and thought: 'She promises fine things, if only they turn out as well.'	The Huntsman thanked the Wise Woman, and thought: 'She promises fine things, if only they turn out as well.'	true	113.15	120.58	20.487206
6877_79973_000007_000000	When he had gone about a hundred paces, he heard above him, in the branches of a tree, such a chattering and screaming that he looked up.	When he had gone about a hundred paces, he heard above him, in the branches of a tree, such a chattering and screaming that he looked up.	true	120.74	129.67	21.268215
6877_79973_000008_000000	There he saw a flock of birds tearing a garment with their beaks and claws; snatching and tearing at it as if each one wanted to have it for himself.	There he saw a flock of birds tearing a garment with their beaks and claws; snatching and tearing at it as if each one wanted to have it for himself.	true	130.25	139.42	23.073341
6877_79973_000009_000000	'Well,' said the Huntsman, 'this is extraordinary, it is exactly what the Old Woman said.'	'Well,' said the Huntsman, 'this is extraordinary, it is exactly what the Old Woman said.'	true	139.7	145.78	21.985168
6877_79973_000010_000000	He put his gun to his shoulder, took aim and fired right into the middle of them, making the feathers fly about.	He put his gun to his shoulder, took aim and fired right into the middle of them, making the feathers fly about.	true	146.81	153.34	22.469444
6877_79973_000011_000000	The birds took flight with a great noise, all except one, which fell down dead, and the cloak dropped at his feet.	The birds took flight with a great noise, all except one, which fell down dead, and the cloak dropped at his feet.	true	153.8	160.99	23.736185
6877_79973_000012_000000	He did as the Old Woman had told him, cut the heart out of the bird and swallowed it whole.	He did as the Old Woman had told him, cut the heart out of the bird and swallowed it whole.	true	161.81	167.95	20.028812
6877_79973_000012_000001	Then he took the cloak home with him.	Then he took the cloak home with him.	true	168.29	170.2	23.641468
6877_79973_000013_000000	When he woke in the morning, he remembered the Old Woman's promise, and looked under his pillow to see if it was true.	When he woke in the morning, he remembered the Old Woman's promise, and looked under his pillow to see if it was true.	true	171.59	177.85	24.437622
6877_79973_000014_000000	There, sure enough, lay the golden coin shining before him, and the next morning he found another, and the same every morning when he got up.	There, sure enough, lay the golden coin shining before him, and the next morning he found another, and the same every morning when he got up.	true	178.4	188.14	21.727089
6877_79973_000015_000000	He collected quite a heap of gold, and at last he thought: 'What is the good of all my gold if I stay at home here?	He collected quite a heap of gold, and at last he thought: 'What is the good of all my gold if I stay at home here?	true	188.42	196.39	23.331167
6877_79973_000015_000001	I will go and look about me in the world.'	I will go and look about me in the world.'	true	196.58	199.6	22.90137
6877_79973_000016_000000	So he took leave of his parents, shouldered his gun, and started off into the world.	So he took leave of his parents, shouldered his gun, and started off into the world.	true	200.18	205.35	20.50959
6877_79973_000017_000000	[Illustration: But the Old Woman was a witch.]	[Illustration: But the Old Woman was a witch.]	false	205.35	206.76	-20
6877_79973_000018_000000	It so happened that one day he came to a thick forest, and when he got through it, he saw a fine castle lying in the plain beyond.	It so happened that one day he came to a thick forest, and when he got through it, he saw a fine castle lying in the plain beyond.	true	206.76	214.6	22.097454
6877_79973_000019_000000	He saw an Old Woman standing in one of the windows looking out, with a beautiful Maiden beside her.	He saw an Old Woman standing in one of the windows looking out, with a beautiful Maiden beside her.	true	216.08	221.92	20.160011
6877_79973_000020_000000	But the Old Woman was a witch, and she said to the Maiden: 'Here comes some one out of the forest.	But the Old Woman was a witch, and she said to the Maiden: 'Here comes some one out of the forest.	true	222.41	229.42	19.890968
6877_79973_000020_000001	He has a wonderful treasure inside him; we must try to get it from him, my darling, it will suit us better than him.	He has a wonderful treasure inside him; we must try to get it from him, my darling, it will suit us better than him.	false	229.46	236.62	19.167583
6877_79973_000020_000002	He has a bird's heart about him, and therefore he finds a gold coin every morning under his pillow when he wakes.'	He has a bird's heart about him, and therefore he finds a gold coin every morning under his pillow when he wakes.'	false	236.81	245.41	22.993689
6877_79973_000021_000000	She told the girl how he had got it, and at last said: 'If you don't get it from him, it will be the worse for you.'	She told the girl how he had got it, and at last said: 'If you don't get it from him, it will be the worse for you.'	true	245.9	254.86	22.622808
6877_79973_000022_000000	When the Huntsman got nearer, he saw the Maiden, and said: 'I have been wandering about for a long time, I will go into this castle and take a rest.	When the Huntsman got nearer, he saw the Maiden, and said: 'I have been wandering about for a long time, I will go into this castle and take a rest.	true	255.68	266.415	19.558094
6877_79973_000022_000001	I have plenty of money.'	I have plenty of money.'	true	266.415	267.76	24.65006
6877_79973_000023_000000	But the real reason was that he had caught sight of the pretty picture at the window.	But the real reason was that he had caught sight of the pretty picture at the window.	true	268.31	272.44	25.51793
6877_79973_000023_000001	He went in, and he was kindly received and hospitably treated.	He went in, and he was kindly received and hospitably treated.	true	272.69	276.91	23.327545
6877_79973_000024_000000	Before long, he was so enamoured of the Witch-Maiden that he thought of nothing else, and cared for nothing but pleasing her.	Before long, he was so enamoured of the Witch Maiden that he thought of nothing else, and cared for nothing but pleasing her.	true	277.94	284.92	19.906654
6877_79973_000025_000000	The Old Woman said to the Maiden: 'Now we must get the bird's heart, he will never miss it.'	The Old Woman said to the Maiden: 'Now we must get the bird's heart, he will never miss it.'	true	285.71	292.09	20.359709
6877_79973_000026_000000	They concocted a potion, and when it was ready they put it into a goblet.	They concocted a potion, and when it was ready they put it into a goblet.	true	292.7	297.16	22.688787
6877_79973_000027_000000	And the Maiden took it to him, and said: 'Now, my beloved, you must drink to me.'	And the Maiden took it to him, and said: 'Now, my beloved, you must drink to me.'	true	297.77	303.25	21.50875
6877_79973_000028_000000	He took the cup and drank the potion, and when he was overpowered by it the bird's heart came out of his mouth.	He took the cup and drank the potion, and when he was overpowered by it the bird's heart came out of his mouth.	false	303.74	310.75	20.793394
6877_79973_000029_000000	The Maiden took it away secretly and swallowed it herself, for the Old Woman wanted to have it.	The Maiden took it away secretly and swallowed it herself, for the Old Woman wanted to have it.	true	310.88	316.24	20.454699
6877_79973_000030_000000	From this time the Huntsman found no more gold under his pillow; but the coin was always under the Maiden's instead, and the Old Woman used to fetch it away every morning.	From this time the Huntsman found no more gold under his pillow; but the coin was always under the Maiden's instead, and the Old Woman used to fetch it away every morning.	true	317.06	328.06	20.081848
6877_79973_000031_000000	But he was so much in love, that he thought of nothing but enjoying himself in the Maiden's company.	But he was so much in love, that he thought of nothing but enjoying himself in the Maiden's company.	true	328.55	334.99	24.241793
6877_79973_000032_000000	Then the Old Woman said: 'We have got the bird's heart, but we must have his wishing-cloak too.'	Then the Old Woman said: 'We have got the bird's heart, but we must have his wishing cloak too.'	false	335.48	344.79	23.32985
6877_79973_000033_000000	The Maiden said: 'Let us leave him that; we have taken away his wealth.'	The Maiden said: 'Let us leave him that; we have taken away his wealth.'	true	344.79	349.45	21.354502
6877_79973_000034_000000	The Old Woman was very angry, and said: 'A cloak like that is a very wonderful thing, and not often to be got.	The Old Woman was very angry, and said: 'A cloak like that is a very wonderful thing, and not often to be got.	true	349.58	357.37	21.701113
6877_79973_000034_000001	Have it I must, and will!'	Have it I must, and will!'	true	357.68	360.82	21.621456
6877_79973_000035_000000	So she obeyed the Witch's orders, placed herself at the window, and looked sadly out at the distant hills.	So she obeyed the Witch's orders, placed herself at the window, and looked sadly out at the distant hills.	true	361.55	369.07	21.65628
6877_79973_000036_000000	The Huntsman said: 'Why are you so sad?'	The Huntsman said: 'Why are you so sad?'	true	369.53	372.34	17.101751
6877_79973_000037_000000	'Alas! my love,' was her answer, 'over there are the garnet mountains, where the precious stones are found.	'Alas! my love,' was her answer, 'over there are the garnet mountains, where the precious stones are found.	true	373.1	380.68	21.778791
6877_79973_000037_000001	I long for them so much that I grow sad whenever I think of them.	I long for them so much that I grow sad whenever I think of them.	true	380.9	385	20
6877_79973_000037_000002	But who could ever get them?	But who could ever get them?	true	385.07	386.98	32.022133
6877_79973_000037_000003	The birds which fly, perhaps; no mortal could ever reach them.'	The birds which fly, perhaps; no mortal could ever reach them.'	true	387.05	391.3	25.862188
6877_79973_000038_000000	'If that is all your trouble,' said the Huntsman, 'I can soon lift that load from your heart.'	'If that is all your trouble,' said the Huntsman, 'I can soon lift that load from your heart.'	true	391.76	397.57	23.01011
6877_79973_000039_000000	Then he drew her under his cloak, and in a moment they were both sitting on the mountain.	Then he drew her under his cloak, and in a moment they were both sitting on the mountain.	true	398.12	403.18	20.092026
6877_79973_000039_000001	The precious stones were glittering around them; their hearts rejoiced at the sight of them, and they soon gathered together some of the finest and largest.	The precious stones were glittering around them; their hearts rejoiced at the sight of them, and they soon gathered together some of the finest and largest.	true	403.31	412.06	20.889095
6877_79973_000040_000000	Now the Witch had so managed that the Huntsman began to feel his eyes grow very heavy.	Now the Witch had so managed that the Huntsman began to feel his eyes grow very heavy.	true	413.51	419.47	19.248177
6877_79973_000041_000000	So he said to the Maiden: 'We will sit down to rest a while, I am so tired I can hardly stand.'	So he said to the Maiden: 'We will sit down to rest a while, I am so tired I can hardly stand.'	false	419.9	426.49	22.09189
