1018_133447_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
1018_133447_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
1018_133447_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.
1018_133447_000002_000000	THE PARADISE MYSTERY	THE PARADISE MYSTERY
1018_133447_000003_000000	By J. S. Fletcher	By j s Fletcher
1018_133447_000004_000000	CHAPTER I. ONLY THE GUARDIAN	CHAPTER one ONLY THE GUARDIAN
1018_133447_000005_000000	American tourists, sure appreciators of all that is ancient and picturesque in England, invariably come to a halt, holding their breath in a sudden catch of wonder, as they pass through the half-ruinous gateway which admits to the Close of Wrychester.	American tourists, sure appreciators of all that is ancient and picturesque in England, invariably come to a halt, holding their breath in a sudden catch of wonder, as they pass through the half ruinous gateway which admits to the Close of Wrychester.
1018_133447_000005_000001	Nowhere else in England is there a fairer prospect of old-world peace.	Nowhere else in England is there a fairer prospect of old world peace.
1018_133447_000005_000002	There before their eyes, set in the centre of a great green sward, fringed by tall elms and giant beeches, rises the vast fabric of the thirteenth-century Cathedral, its high spire piercing the skies in which rooks are for ever circling and calling.	There before their eyes, set in the centre of a great green sward, fringed by tall elms and giant beeches, rises the vast fabric of the thirteenth century Cathedral, its high spire piercing the skies in which rooks are for ever circling and calling.
1018_133447_000005_000003	The time-worn stone, at a little distance delicate as lacework, is transformed at different hours of the day into shifting shades of colour, varying from grey to purple: the massiveness of the great nave and transepts contrasts impressively with the gradual tapering of the spire, rising so high above turret and clerestory that it at last becomes a mere line against the ether.	The time worn stone, at a little distance delicate as lacework, is transformed at different hours of the day into shifting shades of colour, varying from grey to purple: the massiveness of the great nave and transepts contrasts impressively with the gradual tapering of the spire, rising so high above turret and clerestory that it at last becomes a mere line against the ether.
1018_133447_000005_000004	In morning, as in afternoon, or in evening, here is a perpetual atmosphere of rest; and not around the great church alone, but in the quaint and ancient houses which fence in the Close.	In morning, as in afternoon, or in evening, here is a perpetual atmosphere of rest; and not around the great church alone, but in the quaint and ancient houses which fence in the Close.
1018_133447_000007_000001	In some lights he looked no more than forty: a strong light betrayed the fact that his dark hair had a streak of grey in it, and was showing a tendency to whiten about the temples.	In some lights he looked no more than forty: a strong light betrayed the fact that his dark hair had a streak of grey in it, and was showing a tendency to whiten about the temples.
1018_133447_000007_000002	A strong, intellectually superior man, this, scrupulously groomed and well-dressed, as befitted what he really was--a medical practitioner with an excellent connection amongst the exclusive society of a cathedral town.	A strong, intellectually superior man, this, scrupulously groomed and well dressed, as befitted what he really was-a medical practitioner with an excellent connection amongst the exclusive society of a cathedral town.
1018_133447_000008_000000	The second person of the three was a boy of apparently seventeen--a well-built, handsome lad of the senior schoolboy type, who was devoting himself in business-like fashion to two widely-differing pursuits--one, the consumption of eggs and bacon and dry toast; the other, the study of a Latin textbook, which he had propped up in front of him against the old-fashioned silver cruet.	The second person of the three was a boy of apparently seventeen-a well built, handsome lad of the senior schoolboy type, who was devoting himself in business like fashion to two widely differing pursuits-one, the consumption of eggs and bacon and dry toast; the other, the study of a Latin textbook, which he had propped up in front of him against the old-fashioned silver cruet.
1018_133447_000008_000001	His quick eyes wandered alternately between his book and his plate; now and then he muttered a line or two to himself.	His quick eyes wandered alternately between his book and his plate; now and then he muttered a line or two to himself.
1018_133447_000009_000000	It was not difficult to see that the third member of the party, a girl of nineteen or twenty, was the boy's sister.	It was not difficult to see that the third member of the party, a girl of nineteen or twenty, was the boy's sister.
1018_133447_000009_000001	Each had a wealth of brown hair, inclining, in the girl's case to a shade that had tints of gold in it; each had grey eyes, in which there was a mixture of blue; each had a bright, vivid colour; each was undeniably good-looking and eminently healthy.	Each had a wealth of brown hair, inclining, in the girl's case to a shade that had tints of gold in it; each had grey eyes, in which there was a mixture of blue; each had a bright, vivid colour; each was undeniably good looking and eminently healthy.
1018_133447_000010_000000	While the boy learnt the last lines of his Latin, and the doctor turned over the newspaper, the girl read a letter--evidently, from the large sprawling handwriting, the missive of some girlish correspondent.	While the boy learnt the last lines of his Latin, and the doctor turned over the newspaper, the girl read a letter-evidently, from the large sprawling handwriting, the missive of some girlish correspondent.
1018_133447_000010_000001	She was deep in it when, from one of the turrets of the Cathedral, a bell began to ring.	She was deep in it when, from one of the turrets of the Cathedral, a bell began to ring.
1018_133447_000010_000002	At that, she glanced at her brother.	At that, she glanced at her brother.
1018_133447_000011_000001	"You'll have to hurry."	"You'll have to hurry."
1018_133447_000012_000002	And Dick Bewery, without a word, bolted half his coffee, snatched up his book, grabbed at a cap which lay with more books on a chair close by, and vanished through the open window.	And Dick Bewery, without a word, bolted half his coffee, snatched up his book, grabbed at a cap which lay with more books on a chair close by, and vanished through the open window.
1018_133447_000012_000003	The doctor laughed, laid aside his newspaper, and handed his cup across the table.	The doctor laughed, laid aside his newspaper, and handed his cup across the table.
1018_133447_000013_000000	"I don't think you need bother yourself about Dick's ever being late, Mary," he said.	"I don't think you need bother yourself about Dick's ever being late, Mary," he said.
1018_133447_000013_000002	Dick could get to any given point in just about one-fourth of the time that I could, for instance--moreover, he has a cunning knowledge of every short cut in the city."	Dick could get to any given point in just about one fourth of the time that I could, for instance-moreover, he has a cunning knowledge of every short cut in the city."
1018_133447_000014_000000	Mary Bewery took the empty cup and began to refill it.	Mary Bewery took the empty cup and began to refill it.
1018_133447_000015_000000	"I don't like him to be late," she remarked.	"I don't like him to be late," she remarked.
1018_133447_000015_000001	"It's the beginning of bad habits."	"It's the beginning of bad habits."
1018_133447_000016_000001	"He's pretty free from anything of that sort, you know.	"He's pretty free from anything of that sort, you know.
1018_133447_000016_000002	I haven't even suspected him of smoking, yet."	I haven't even suspected him of smoking, yet."
1018_133447_000017_000000	"That's because he thinks smoking would stop his growth and interfere with his cricket," answered Mary.	"That's because he thinks smoking would stop his growth and interfere with his cricket," answered Mary.
1018_133447_000017_000001	"He would smoke if it weren't for that."	"He would smoke if it weren't for that."
1018_133447_000018_000000	"That's giving him high praise, then," said Ransford.	"That's giving him high praise, then," said Ransford.
1018_133447_000018_000001	"You couldn't give him higher!	"You couldn't give him higher!
1018_133447_000018_000003	An excellent thing--and most unusual, I fancy.	An excellent thing-and most unusual, I fancy.
1018_133447_000018_000004	Most people--don't!"	Most people-don't!"
1018_133447_000019_000000	He took his refilled cup, rose from the table, and opened a box of cigarettes which stood on the mantelpiece.	He took his refilled cup, rose from the table, and opened a box of cigarettes which stood on the mantelpiece.
1018_133447_000019_000001	And the girl, instead of picking up her letter again, glanced at him a little doubtfully.	And the girl, instead of picking up her letter again, glanced at him a little doubtfully.
1018_133447_000020_000000	"That reminds me of--of something I wanted to say to you," she said. "You're quite right about people not repressing their inclinations.	"That reminds me of-of something I wanted to say to you," she said. "You're quite right about people not repressing their inclinations.
1018_133447_000020_000001	I--I wish some people would!"	I-I wish some people would!"
1018_133447_000021_000000	Ransford turned quickly from the hearth and gave her a sharp look, beneath which her colour heightened.	Ransford turned quickly from the hearth and gave her a sharp look, beneath which her colour heightened.
1018_133447_000021_000001	Her eyes shifted their gaze away to her letter, and she picked it up and began to fold it nervously.	Her eyes shifted their gaze away to her letter, and she picked it up and began to fold it nervously.
1018_133447_000022_000000	"Bryce?" he asked.	"Bryce?" he asked.
1018_133447_000023_000000	The girl nodded her face showing distinct annoyance and dislike.	The girl nodded her face showing distinct annoyance and dislike.
1018_133447_000023_000001	Before saying more, Ransford lighted a cigarette.	Before saying more, Ransford lighted a cigarette.
1018_133447_000024_000001	"Since last time?"	"Since last time?"
1018_133447_000025_000000	"Twice," she answered.	"Twice," she answered.
1018_133447_000025_000001	"I didn't like to tell you--I've hated to bother you about it.	"I didn't like to tell you-I've hated to bother you about it.
1018_133447_000025_000002	But--what am I to do?	But-what am I to do?
