7665_104979_000000_000000	CHAPTER II.	CHAPTER two.	false	0.6	21.79	19.374865
7665_104979_000000_000001	QUESTIONS	QUESTIONS	true	22.22	23.26	15.836227
7665_104979_000001_000000	I knew all the current gossip about Mrs. Packard before I had parted with Miss Davies.	I knew all the current gossip about mrs Packard before I had parted with Miss Davies.	true	24.89	29.32	21.532122
7665_104979_000001_000001	Her story was a simple one.	Her story was a simple one.	true	29.75	31.39	18.232574
7665_104979_000001_000002	Bred in the West, she had come, immediately after her mother's death, to live with that mother's brother in Detroit.	Bred in the West, she had come, immediately after her mother's death, to live with that mother's brother in Detroit.	true	31.61	38.17	19.756865
7665_104979_000001_000003	In doing this she had walked into a fortune.	In doing this she had walked into a fortune.	true	38.6	41.44	20.11847
7665_104979_000001_000004	Her uncle was a rich man and when he died, which was about a year after her marriage with Mr. Packard and removal to C--, she found herself the recipient of an enormous legacy.	Her uncle was a rich man and when he died, which was about a year after her marriage with mr Packard and removal to C-, she found herself the recipient of an enormous legacy.	false	41.75	52.6	20.981869
7665_104979_000001_000005	She was therefore a woman of independent means, an advantage which, added to personal attractions of a high order, and manners at once dignified and winning, caused her to be universally regarded as a woman greatly to be envied by all who appreciated a well-founded popularity.	She was therefore a woman of independent means, an advantage which, added to personal attractions of a high order, and manners at once dignified and winning, caused her to be universally regarded as a woman greatly to be envied by all who appreciated a well founded popularity.	true	53.03	70.33	17
7665_104979_000002_000000	So much for public opinion.	So much for public opinion.	true	71.3	72.97	16
7665_104979_000002_000001	It differs materially from that just given me by her husband.	It differs materially from that just given me by her husband.	true	73.61	77.65	14
7665_104979_000003_000000	The mayor lived on Franklin Street in a quarter I had seldom visited.	The mayor lived on Franklin Street in a quarter I had seldom visited.	true	78.95	82.75	18.36949
7665_104979_000003_000001	As I entered this once aristocratic thoroughfare from Carlton Avenue, I was struck as I had been before by its heterogeneous appearance.	As I entered this once aristocratic thoroughfare from Carlton Avenue, I was struck as I had been before by its heterogeneous appearance.	true	83.24	91.39	15
7665_104979_000003_000002	Houses of strictly modern type neighbored those of a former period, and it was not uncommon to see mansion and hovel confronting each other from the opposite side of the street.	Houses of strictly modern type neighbored those of a former period, and it was not uncommon to see mansion and hovel confronting each other from the opposite side of the street.	false	92	102.31	15
7665_104979_000003_000003	Should I find the number I sought attached to one of the crude, unmeaning dwellings I was constantly passing, or to one of mellower aspect and possibly historic association?	Should I find the number I sought attached to one of the crude, unmeaning dwellings I was constantly passing, or to one of mellower aspect and possibly historic association?	false	102.95	113.56	15
7665_104979_000004_000000	I own that I felt a decided curiosity on this point, and congratulated myself greatly when I had left behind me a peculiarly obnoxious monstrosity in stone, whose imposing proportions might reasonably commend themselves to the necessities, if not to the taste of the city's mayor.	I own that I felt a decided curiosity on this point, and congratulated myself greatly when I had left behind me a peculiarly obnoxious monstrosity in stone, whose imposing proportions might reasonably commend themselves to the necessities, if not to the taste of the city's mayor.	false	115.04	131.53	14
7665_104979_000005_000000	A little shop, one story in height and old enough for its simple wooden walls to cry aloud for paint, stood out from the middle of a row of cheap brick houses.	A little shop, one story in height and old enough for its simple wooden walls to cry aloud for paint, stood out from the middle of a row of cheap brick houses.	false	133.25	142.39	17
7665_104979_000005_000001	Directly opposite it were two conspicuous dwellings, neither of them new and one of them ancient as the street itself.	Directly opposite it were two conspicuous dwellings, neither of them new and one of them ancient as the street itself.	true	143.06	149.98	14.478422
7665_104979_000005_000002	They stood fairly close together, with an alley running between.	They stood fairly close together, with an alley running between.	true	150.38	153.64	16
7665_104979_000005_000003	From the number I had now reached it was evident that the mayor lived in one of these.	From the number I had now reached it was evident that the mayor lived in one of these.	true	153.92	157.81	15
7665_104979_000005_000004	Happily it was in the fresher and more inviting one.	Happily it was in the fresher and more inviting one.	true	158.69	161.47	17
7665_104979_000005_000005	As I noted this, I paused in admiration of its spacious front and imposing doorway. The latter was in the best style of Colonial architecture, and though raised but one step from the walk, was so distinguished by the fan-tailed light overhead and the flanking casements glazed with antique glass, that I felt myself carried back to the days when such domiciles were few and denoted wealth the most solid, and hospitality the most generous.	As I noted this, I paused in admiration of its spacious front and imposing doorway. The latter was in the best style of Colonial architecture, and though raised but one step from the walk, was so distinguished by the fan tailed light overhead and the flanking casements glazed with antique glass, that I felt myself carried back to the days when such domiciles were few and denoted wealth the most solid, and hospitality the most generous.	false	162.23	187.66	17
7665_104979_000006_000000	A light wall, painted to match the house, extended without break to the adjoining building, a structure equal to the other in age and dimensions, but differing in all other respects as much as neglect and misuse could make it.	A light wall, painted to match the house, extended without break to the adjoining building, a structure equal to the other in age and dimensions, but differing in all other respects as much as neglect and misuse could make it.	true	188.3	201.07	13
